NOISeq	DESeq2
EHI_117850A	1	1
EHI_188960A	1	1
EHI_001130A	1	0
EHI_007510A	1	0
EHI_007620A	1	0
EHI_013900A	1	0
EHI_015320A	1	0
EHI_016370A	1	0
EHI_023400A	1	0
EHI_025600A	1	0
EHI_025830A	1	0
EHI_025850A	1	0
EHI_035220A	0	1
EHI_038860A	1	0
EHI_044550A	1	0
EHI_044730A	1	0
EHI_044830A	1	0
EHI_048990A	1	0
EHI_049670A	1	0
EHI_050520A	1	0
EHI_056480A	1	0
EHI_087110A	1	0
EHI_087570A	1	0
EHI_092120A	1	0
EHI_095830A	0	1
EHI_098440A	1	0
EHI_103310A	1	0
EHI_107290A	1	0
EHI_108690A	1	0
EHI_116360A	1	0
EHI_125780A	1	0
EHI_129750A	1	0
EHI_143430A	1	0
EHI_153070A	1	0
EHI_156690A	1	0
EHI_159150A	1	0
EHI_169580A	1	0
EHI_175050A	1	0
EHI_178960A	1	0
EHI_181610A	0	1
EHI_182590A	1	0
EHI_188180A	1	0
EHI_191770A	1	0
