baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_147570A	1923.21185655601	-1.30926746747402	0.346048840197334	-3.78347595884849	0.000154653269037364	0.0127237462253468	856	1097	3071	3069	961.39385529496	1249.88062440936	2087.74391342918	3393.82903309056	98.73	UP_pEhEx_DOWN_U2AF84
EHI_058090A	2086.73494249468	-1.29746270120494	0.343674081037806	-3.77527073699285	0.000159833970691213	0.0127632126596072	1047	1086	3209	3393	1175.91047487596	1237.34763729131	2181.5598235735	3752.12183423795	98.72	UP_pEhEx_DOWN_U2AF84
EHI_062500A	84.0863879381541	-1.72075600153444	0.45976315028893	-3.74270099822715	0.00018205280646489	0.0141175036189798	31	38	157	137	34.8168335445605	43.295773680543	106.732593425067	151.500351102446	98.59	UP_pEhEx_DOWN_U2AF84
EHI_163670A	2536.08607007909	-1.41146403980052	0.377831164375914	-3.73570042093251	0.000187193418152218	0.0141175036189798	1184	1265	3643	4428	1329.77841666966	1441.29351857597	2476.60406272305	4896.66828234766	98.59	UP_pEhEx_DOWN_U2AF84
EHI_092110A	166.436771968029	-1.62334986997524	0.439330932479116	-3.69505024564234	0.000219843308125813	0.0161317454476103	80	64	260	295	89.8498930182205	72.9191977777566	176.754613315398	326.223383760741	98.39	UP_pEhEx_DOWN_U2AF84
EHI_051690A	39.7698306400778	-2.66846674115512	0.733280127265947	-3.63908231238253	0.000273611340044388	0.0195488102163293	4	15	77	77	4.49249465091103	17.0904369791617	52.3465585587909	85.1498323714476	98.05	UP_pEhEx_DOWN_U2AF84
EHI_104360A	692.236299261089	-1.49751673561216	0.413824319308287	-3.61872578710521	0.000296057133795445	0.0195978320104576	265	374	1006	1231	297.627770622856	426.121562013765	683.904388443423	1361.29147596431	98.04	UP_pEhEx_DOWN_U2AF84
EHI_105140A	7029.61917866756	-1.40512563911433	0.388108631284588	-3.62044418971964	0.000294097685762264	0.0195978320104576	2523	4277	11325	11496	2833.64100106213	4873.05326399164	7699.02306075723	12712.7593888592	98.04	UP_pEhEx_DOWN_U2AF84
EHI_167270A	7029.61917866756	-1.40512563911433	0.388108631284588	-3.62044418971964	0.000294097685762264	0.0195978320104576	2523	4277	11325	11496	2833.64100106213	4873.05326399164	7699.02306075723	12712.7593888592	98.04	UP_pEhEx_DOWN_U2AF84
EHI_194430A	58.4641299003085	-2.18794048772038	0.605645621294738	-3.61257542495402	0.000303170881929731	0.0195978320104576	14	23	92	117	15.7237312781886	26.2053367013813	62.5439400962176	129.383511525446	98.04	UP_pEhEx_DOWN_U2AF84
EHI_040310A	970.884408849333	-0.962519285175259	0.267443111337005	-3.59896832026601	0.000319482101265773	0.0197359441011973	584	580	1757	1241	655.90421903301	660.830229860919	1194.45329075059	1372.34989575281	98.03	UP_pEhEx_DOWN_U2AF84
EHI_092930A	426.468396333654	-1.45495328179437	0.405607838758474	-3.58709359821014	0.000334384319946621	0.0197359441011973	136	266	814	630	152.744818130975	303.070415763801	553.37790476436	696.680446675481	98.03	UP_pEhEx_DOWN_U2AF84
EHI_110570A	226.811295348415	-1.50117525522859	0.418434350839395	-3.58760042577092	0.000333735207742096	0.0197359441011973	106	103	341	397	119.051108249142	117.354333923577	231.820473617502	439.019265603438	98.03	UP_pEhEx_DOWN_U2AF84
EHI_144610A	1126.6060365856	-1.3842140726197	0.38563203346618	-3.58946859309887	0.000331352747657942	0.0197359441011973	484	618	1654	1930	543.591852760234	704.126003541462	1124.43127086026	2134.27501918044	98.03	UP_pEhEx_DOWN_U2AF84
EHI_095830A	196.949351340636	-1.64709682462981	0.461932652244922	-3.56566442451118	0.000362935530628772	0.0206216494842514	52	116	384	304	58.4024304618434	132.166045972184	261.052967358126	336.175961570391	97.94	UP_pEhEx_DOWN_U2AF84
EHI_103310A	1936.06121074258	-1.50938446769225	0.423451808885297	-3.56447755333856	0.000364581648340356	0.0206216494842514	585	1190	3240	3191	657.027342695738	1355.84133368016	2202.63441208419	3528.74175451025	97.94	UP_pEhEx_DOWN_U2AF84
EHI_118670A	93.3101184819433	-1.91097782273102	0.537753199006916	-3.55363357439821	0.000379948194593898	0.0206311869664486	28	41	138	182	31.4474625563772	46.7138610763753	93.8159101443265	201.263240150694	97.94	UP_pEhEx_DOWN_U2AF84
EHI_161940A	341.521606409515	-1.25500252548893	0.352935498573511	-3.55589769394515	0.000376690652287863	0.0206311869664486	164	192	566	523	184.192280687352	218.75759333327	384.781196678904	578.355354938534	97.94	UP_pEhEx_DOWN_U2AF84
EHI_001940A	803.144096322188	-1.28465778234523	0.362954068510716	-3.53945001254974	0.000400961699122295	0.0213453139826869	336	489	1316	1251	377.369550676526	557.148245520672	894.650273550244	1383.40831554131	97.87	UP_pEhEx_DOWN_U2AF84
EHI_022010A	2794.65190077201	-1.15323988572645	0.328024631945012	-3.51571124061127	0.000438577708050067	0.0220507125436283	1177	1883	5923	3332	1321.91655103057	2145.41952211743	4026.60605641192	3684.6654735281	97.79	UP_pEhEx_DOWN_U2AF84
EHI_177520A	1405.76481103235	-1.47989106774831	0.420382672221769	-3.52034269140286	0.000430989561294396	0.0220507125436283	484	825	2107	2448	543.591852760234	939.974033853894	1432.39219329055	2707.10116422472	97.79	UP_pEhEx_DOWN_U2AF84
EHI_182550A	142.13275154048	-1.74560274975259	0.495980274755349	-3.51950034830244	0.000432360468404718	0.0220507125436283	42	73	220	261	47.1711938345658	83.1734599652537	149.56159588226	288.624756479842	97.79	UP_pEhEx_DOWN_U2AF84
EHI_176820A	875.22369988448	-1.51716506659902	0.434102528460763	-3.49494639429669	0.000474156976308666	0.0234061125577823	413	388	1125	1655	463.850072706564	442.07263652765	764.803615307009	1830.1684749967	97.66	UP_pEhEx_DOWN_U2AF84
EHI_014400A	485.326261669308	-1.02919405540023	0.297898002281431	-3.45485383425943	0.000550591225493223	0.0253879124047876	282	282	850	656	316.720872889227	321.30021520824	577.851620454185	725.43233812558	97.46	UP_pEhEx_DOWN_U2AF84
EHI_027610A	583.503483365043	-1.29530698484615	0.374365286938608	-3.4600082594158	0.000540158819423729	0.0253879124047876	212	384	1143	797	238.102216498284	437.51518666654	777.040473151921	881.356057143425	97.46	UP_pEhEx_DOWN_U2AF84
EHI_077770A	73.9970524379017	-1.84132104766663	0.533050699856745	-3.45430753240073	0.00055170785704695	0.0253879124047876	36	21	126	132	40.4324518581992	23.9266117708264	85.658004914385	145.971141208196	97.46	UP_pEhEx_DOWN_U2AF84
EHI_117850A	4427.65974614668	-1.59468046625457	0.461591834577326	-3.45474149843832	0.000550820665884366	0.0253879124047876	1174	2709	7024	7714	1318.54718004239	3086.5329184366	4775.09386125905	8530.46502484866	97.46	UP_pEhEx_DOWN_U2AF84
EHI_090020A	11066.188910382	-1.66701611674427	0.483546597547984	-3.4474777098992	0.0005658470965003	0.0256045811166386	2808	6536	16174	20499	3153.73124493954	7446.8730730534	10995.4965990894	22668.6547244455	97.44	UP_pEhEx_DOWN_U2AF84
EHI_015310A	7684.71586565639	-1.20184180846544	0.353382557639723	-3.40096527823179	0.000671483562434252	0.0298595713318189	3206	5014	12746	11539	3600.73446270519	5712.76340090112	8665.05500506946	12760.3105939498	97.01	UP_pEhEx_DOWN_U2AF84
EHI_017660A	216.48277816048	-2.0645442018515	0.607797259397239	-3.39676457886457	0.000681876030413543	0.0298595713318189	36	111	293	452	40.4324518581992	126.469233645797	199.188852697737	499.840574440186	97.01	UP_pEhEx_DOWN_U2AF84
EHI_188170A	332.17026562008	-1.30368191067037	0.385683018617193	-3.38019007252255	0.000724357176653639	0.031216344993883	154	184	510	542	172.961044060075	209.64269361105	346.710972272511	599.366352536683	96.88	UP_pEhEx_DOWN_U2AF84
EHI_005020A	1020.19215443848	-1.2048933204702	0.357501644445226	-3.37031546341545	0.000750821757048994	0.0313425732648597	478	612	1570	1609	536.853110783868	697.289828749798	1067.32593425067	1779.2997439696	96.87	UP_pEhEx_DOWN_U2AF84
EHI_100810A	147.112874377683	1.91143904200908	0.567324747235311	3.36921498898807	0.000753826064252359	0.0313425732648597	207	205	141	24	232.486598184646	233.569305381877	95.8553864518118	26.5402074923993	96.87	DOWN_pEhEx_UP_U2AF84
EHI_111760A	7468.58999632674	-1.05322134630087	0.312874819648619	-3.36627072604855	0.000761918908096038	0.0313425732648597	3491	5085	13331	10035	3920.8247065826	5793.65813593582	9062.7528850291	11097.1242577594	96.87	UP_pEhEx_DOWN_U2AF84
EHI_023400A	1560.71059663438	1.46849915942157	0.437640636441358	3.35549086886118	0.000792242718487271	0.0316537948086834	2311	1748	1723	438	2595.53878456385	1991.60558930498	1171.33922593242	484.358786736287	96.83	DOWN_pEhEx_UP_U2AF84
EHI_134840A	44.2582722060816	-2.31604288984291	0.690264934197148	-3.35529559028914	0.000792802227252476	0.0316537948086834	8	18	69	91	8.98498930182205	20.508524374994	46.9079550721632	100.631620075347	96.83	UP_pEhEx_DOWN_U2AF84
EHI_138470A	462.172866338257	-1.93753699718528	0.578946478380225	-3.34665995828512	0.000817914748802983	0.0321831672898565	91	246	574	973	102.204253308226	280.283166458252	390.219800165532	1075.98424542102	96.78	UP_pEhEx_DOWN_U2AF84
EHI_096340A	1606.74555097829	-1.04085454613895	0.314759633020286	-3.30682348353059	0.000943603315994937	0.0350942877113186	880	977	2553	2342	988.348823200426	1113.15712857607	1735.59433767004	2589.88191446663	96.49	UP_pEhEx_DOWN_U2AF84
EHI_098800A	412.132597074772	-1.06812794406911	0.322752887320528	-3.30942955440813	0.000934862881658799	0.0350942877113186	219	251	699	580	245.964082137379	285.979978784639	475.197979644088	641.388347732982	96.49	UP_pEhEx_DOWN_U2AF84
EHI_112800A	144.900546229331	-1.37736017107862	0.416157277966372	-3.30971064067253	0.000933924648529506	0.0350942877113186	59	83	250	225	66.2642961009377	94.5670846180281	169.956358957113	248.814445241243	96.49	UP_pEhEx_DOWN_U2AF84
EHI_148470A	460.15171055363	-1.61766861507983	0.487657200600701	-3.31722491349901	0.000909163958791159	0.0350942877113186	162	237	564	909	181.946033361897	270.028904270755	383.421545807247	1005.21035877462	96.49	UP_pEhEx_DOWN_U2AF84
EHI_035510A	84.9389697058666	-1.38556792546627	0.428390926339666	-3.23435404504266	0.00121918217940907	0.0447308056364274	38	45	168	119	42.6786991836548	51.2713109374851	114.21067321918	131.595195483146	95.53	UP_pEhEx_DOWN_U2AF84
EHI_126210A	119.139702835159	-1.4240629195721	0.441711328577539	-3.22396739100641	0.00126427795381174	0.0452515046840784	47	67	202	190	52.7868121482046	76.337285173589	137.324738037347	210.109975981494	95.47	UP_pEhEx_DOWN_U2AF84
EHI_174910A	684.307551888344	-1.29447399013832	0.401584367759585	-3.2234172793132	0.00126670878673663	0.0452515046840784	330	370	940	1181	370.63080870016	421.564112152656	639.035909678745	1305.99937702181	95.47	UP_pEhEx_DOWN_U2AF84
EHI_194730A	43.0553053095403	1.72509711242658	0.537492199912282	3.20952957588614	0.00132952367854208	0.046878659574568	59	58	31	17	66.2642961009377	66.0830229860919	21.074588510682	18.7993136404495	95.31	DOWN_pEhEx_UP_U2AF84
EHI_201940A	136.993193805931	-1.21032165576962	0.379113840676708	-3.1925018976074	0.00141046017954218	0.0490948639417567	77	69	246	195	86.4805220300373	78.6160101041439	167.237057213799	215.639185875744	95.09	UP_pEhEx_DOWN_U2AF84
EHI_048300A	49.1607886848523	-1.92687631493506	0.604852100251633	-3.18569831225424	0.0014440509588689	0.0496278272573301	15	21	78	93	16.8468549409164	23.9266117708264	53.0263839946193	102.843304033047	95.04	UP_pEhEx_DOWN_U2AF84
EHI_086080A	298.074947674232	-1.55441235658944	0.491165266142323	-3.16474405610559	0.00155219424507956	0.0521636581819202	109	158	372	576	122.420479237325	180.019269513837	252.895062128184	636.964979817582	94.78	UP_pEhEx_DOWN_U2AF84
EHI_131670A	424.161241465269	0.965297437037347	0.305089414581117	3.16398206854435	0.00155626383526171	0.0521636581819202	546	447	459	237	613.225519849355	509.295021979019	312.03987504526	262.084548987443	94.78	DOWN_pEhEx_UP_U2AF84
EHI_105280A	72.4915699317855	-1.46451100772573	0.463448496689178	-3.16002968655208	0.00157753064505081	0.0522316548940604	31	37	136	109	34.8168335445605	42.1564112152655	92.4562592726696	120.536775694647	94.78	UP_pEhEx_DOWN_U2AF84
EHI_044820A	155.633375269895	-1.39671183574169	0.444429131660991	-3.14270990860044	0.00167391643985743	0.0536258664769144	64	87	238	262	71.8799144145764	99.1245344791379	161.798453727172	289.730598458692	94.64	UP_pEhEx_DOWN_U2AF84
EHI_083270A	2585.88852436365	-1.53845824435601	0.489667833881526	-3.14184052515941	0.0016788945305848	0.0536258664769144	568	1765	5365	3660	637.934240429366	2010.97475121469	3647.26346321965	4047.38164259089	94.64	UP_pEhEx_DOWN_U2AF84
EHI_083410A	2585.88852436365	-1.53845824435601	0.489667833881526	-3.14184052515941	0.0016788945305848	0.0536258664769144	568	1765	5365	3660	637.934240429366	2010.97475121469	3647.26346321965	4047.38164259089	94.64	UP_pEhEx_DOWN_U2AF84
EHI_058320A	51.0406793259129	-1.99385153427302	0.636883857614644	-3.13063600283528	0.00174428211483341	0.0550665807182872	13	23	76	101	14.6006076154608	26.2053367013813	51.6667331229624	111.690039863847	94.49	UP_pEhEx_DOWN_U2AF84
EHI_009810A	757.331607878517	-0.862432593846857	0.276181840661799	-3.12269840689112	0.00179201275350631	0.0552876662019276	480	470	1317	958	539.099358109323	535.5003586804	895.330098986072	1059.39661573827	94.47	UP_pEhEx_DOWN_U2AF84
EHI_035600A	3354.90639599815	-0.901996535922795	0.288756200094437	-3.12373045367614	0.00178573963170015	0.0552876662019276	1863	2269	5632	4443	2092.37938366181	2585.21343371453	3828.77685458585	4913.25591203041	94.47	UP_pEhEx_DOWN_U2AF84
EHI_186950A	201.13690883076	-1.12681876058484	0.361858382206234	-3.11397722422424	0.00184583737781275	0.0563084098961979	93	130	376	268	104.450500633681	148.117120486068	255.614363871498	296.365650331792	94.37	UP_pEhEx_DOWN_U2AF84
EHI_143440A	181.688732986439	-1.46758185539494	0.473083216153581	-3.10216428163984	0.00192111313518606	0.0579535795781127	58	112	291	304	65.1411724382099	127.608596111074	197.82920182608	336.175961570391	94.2	UP_pEhEx_DOWN_U2AF84
EHI_013220A	1095.79405036837	-1.22590852699045	0.395683260031744	-3.09820669919697	0.00194695582718716	0.0580877480309135	435	723	1690	1738	488.558793286574	823.759062395594	1148.90498655008	1921.95335924125	94.19	UP_pEhEx_DOWN_U2AF84
EHI_115360A	59.1668948993799	-1.66302779225724	0.538202196395967	-3.08996842337989	0.00200177775895915	0.0590742023431967	19	31	107	97	21.3393495918274	35.3202364236009	72.7413216336444	107.266671948447	94.09	UP_pEhEx_DOWN_U2AF84
EHI_017030A	89.6422578171658	-1.58247672005906	0.513266345703998	-3.08314919398919	0.00204822440611422	0.0597949383075281	30	49	142	156	33.6937098818327	55.8287607985949	96.5352118876403	172.511348700595	94.02	UP_pEhEx_DOWN_U2AF84
EHI_107170A	337.632917463093	1.85596652292433	0.605391611975902	3.06572883768037	0.00217140143628923	0.0620563673634237	502	435	355	45	563.808078689334	495.62267239569	241.338029719101	49.7628890482486	93.79	DOWN_pEhEx_UP_U2AF84
EHI_202460A	588.683755152054	-1.49713118958193	0.488152092201836	-3.06693592734396	0.00216265208532494	0.0620563673634237	189	354	764	1103	212.270372255546	403.334312708216	519.386632972938	1219.74370267152	93.79	UP_pEhEx_DOWN_U2AF84
EHI_022970A	407.330124016104	-0.931860466415932	0.305527565109373	-3.05000455877801	0.00228837892656754	0.0630682962092136	249	246	693	541	279.657792019211	280.283166458252	471.119027029118	598.260510557833	93.69	UP_pEhEx_DOWN_U2AF84
EHI_028880A	520.568402344295	-0.88669075536773	0.290448054979098	-3.05283764228182	0.00226688550240833	0.0630682962092136	300	346	1057	572	336.937098818327	394.219412985997	718.575485670674	632.541611902182	93.69	UP_pEhEx_DOWN_U2AF84
EHI_076020A	479.709591424324	-1.09046067043308	0.357701844115046	-3.04851844734231	0.00229972792807077	0.0630682962092136	222	319	789	696	249.333453125562	363.456626423506	536.382268868649	769.666017279579	93.69	UP_pEhEx_DOWN_U2AF84
EHI_083400A	445.972883751997	0.870626349047325	0.285090350350157	3.05386116358549	0.00225916606148729	0.0630682962092136	529	491	488	270	594.132417582983	559.426970451227	331.754812684285	298.577334289492	93.69	DOWN_pEhEx_UP_U2AF84
EHI_049000A	3793.23712439594	-1.44376583790359	0.47585796498035	-3.03402684026358	0.00241312959845679	0.0642318319589235	951	2642	6747	5885	1068.0906032541	3010.19563326302	4586.78221553457	6507.88004553207	93.58	UP_pEhEx_DOWN_U2AF84
EHI_181610A	150.217185854418	1.1655474140341	0.384038335559276	3.03497673568633	0.00240554241601603	0.0642318319589235	151	216	139	82	169.591673071891	246.102292499929	94.4957355801549	90.6790422656975	93.58	DOWN_pEhEx_UP_U2AF84
EHI_186720A	9827.00879944542	-1.25476060808199	0.413125767151791	-3.03723637654623	0.00238758146427458	0.0642318319589235	3225	7009	17410	14346	3622.07381229702	7985.79151912963	11835.7608377734	15864.4090285817	93.58	UP_pEhEx_DOWN_U2AF84
EHI_012570A	118.492835972628	-1.27974867779479	0.423559266802899	-3.02141583975853	0.00251595570522375	0.0656809590354086	66	56	195	184	74.1261617400319	63.804298055537	132.565959986548	203.474924108394	93.43	UP_pEhEx_DOWN_U2AF84
EHI_170120A	191.819167086539	-1.14251905060683	0.377776955469751	-3.02432171699343	0.00249191293630388	0.0656809590354086	86	125	346	265	96.5886349945871	142.420308159681	235.219600796645	293.048124395242	93.43	UP_pEhEx_DOWN_U2AF84
EHI_087210A	506.486773130723	1.20307966751773	0.398861889907023	3.01628131932629	0.0025589572445201	0.0661673230368769	721	530	590	191	809.772160826713	603.862106597047	401.097007138787	211.215817960344	93.38	DOWN_pEhEx_UP_U2AF84
EHI_007930A	121.489698197392	-1.24829070959101	0.414251443064415	-3.01336478240561	0.00258368149853305	0.0661763704577097	66	61	201	186	74.1261617400319	69.5011103819243	136.644912601519	205.686608066094	93.38	UP_pEhEx_DOWN_U2AF84
EHI_178340A	1856.35263974395	-3.1089025879668	1.03473399442357	-3.00454281459913	0.00265980320913559	0.0674893991850758	217	463	1876	4864	243.717834811923	527.524821423458	1275.35251761418	5378.81538512625	93.25	UP_pEhEx_DOWN_U2AF84
EHI_141940A	13831.4986782145	-0.923330875086391	0.308562964625214	-2.99235806282806	0.00276831362377435	0.0695923285976608	7635	9238	21731	19399	8575.04916492642	10525.4304542331	14773.2865459881	21452.2285477106	93.04	UP_pEhEx_DOWN_U2AF84
EHI_197480A	14079.9165791878	-1.44804878043826	0.484519452976255	-2.98862877753068	0.00280232379682157	0.0698010009942253	3594	9715	22670	23333	4036.50644384356	11068.9063501704	15411.642630231	25802.6108925063	93.02	UP_pEhEx_DOWN_U2AF84
EHI_167310A	4135.76294468648	-1.39337714367535	0.468128418194711	-2.97648484800124	0.00291573489903574	0.0719656386443822	1410	2613	5302	7576	1583.60436444614	2977.15412176997	3604.43446076246	8377.85883176737	92.8	UP_pEhEx_DOWN_U2AF84
EHI_015440A	261.344555801791	-1.14604629441268	0.38589118976217	-2.96986903256071	0.00297926734440061	0.0728712688292582	129	158	401	405	144.882952491881	180.019269513837	272.60999976721	447.866001434238	92.71	UP_pEhEx_DOWN_U2AF84
