U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2
EHI_000010A	7.8618656390943	5.69681232638724	7.47807979411298	2.21168395769994
EHI_000130A	66.2642961009377	77.4766476388664	160.438802855515	406.949848216789
EHI_000140A	131.405468539148	227.872493055489	323.596907454343	320.694173866491
EHI_000240A	765.97033798033	959.343195763611	1076.84349035227	1818.00421322935
EHI_000250A	473.958185671113	447.769448854037	297.763540892862	307.424070120291
EHI_000260A	115.681737260959	120.772421319409	99.9343390667825	63.0329927944482
EHI_000280A	44.9249465091103	38.7383238194332	50.3070822513055	78.5147804983478
EHI_000290A	16.8468549409164	21.6478868402715	16.9956358957113	13.2701037461996
EHI_000300A	83.111151041854	103.681984340248	122.368578449121	108.372513927297
EHI_000410A	16.8468549409164	17.0904369791617	25.8333665614812	23.2226815558494
EHI_000430A	20.2162259290996	26.2053367013813	23.7938902539958	13.2701037461996
EHI_000440A	317.843996551955	246.102292499929	370.504862526507	259.872865029743
EHI_000480A	23.5855969172829	19.3691619097166	23.1140648181674	21.0109975981494
EHI_000510A	10227.164072799	10680.3837495108	8544.04607749199	11394.5957500701
EHI_000520A	15.7237312781886	11.3936246527745	15.6359850240544	18.7993136404495
EHI_000540A	37.063080870016	15.9510745138843	29.9123191764519	12.1642617673497
EHI_000550A	312.228378238316	330.41511493046	263.77226910144	248.814445241243
EHI_000560A	25.8318442427384	59.2468481944273	42.8290024571925	45.3395211328487
EHI_000570A	62.8949251127544	48.9925860069302	45.5483042005063	45.3395211328487
EHI_000580A	146.006076154608	149.256482951346	127.127356499921	110.584197884997
EHI_000590A	11929.8195454942	11532.6268735383	9510.07802180422	10879.273387926
EHI_000610A	1257.89850225509	1427.62116899264	1327.01925073714	2520.21386979908
EHI_000620A	3.36937098818327	10.254262187497	16.9956358957113	30.9635754077991
EHI_000650A	77.4955327282152	60.3862106597047	70.0220198903306	58.6096248790484
EHI_000660A	22.4624732545551	17.0904369791617	22.4342393823389	9.95257780964972
EHI_000670A	17.9699786036441	4.55744986110979	7.47807979411298	11.0584197884997
EHI_000690A	0	23.9266117708264	125.087880192435	329.540909697291
EHI_000700A	75.2492854027597	71.7798353124792	53.7062094304478	57.5037829001984
EHI_000710A	30.3243388936494	25.0659742361038	31.2719700481088	28.7518914500992
EHI_000720A	140.39045784097	159.510745138843	148.201945010603	118.325091736947
EHI_000730A	434.648857475642	532.082271284568	622.720099218863	923.378052339724
