CDC5_1	CDC5_2	pEhEx_1	pEhEx_2
EHI_000010A	9.17074550496533	6.20773485480389	7.10403711269823	2.10948137509339
EHI_000130A	66.815431536176	36.2117866530227	152.413887145162	388.144573017183
EHI_000140A	102.188307055328	128.29318699928	307.411060513123	305.874799388541
EHI_000240A	807.025604436949	664.227629464016	1022.98134422854	1733.99369032676
EHI_000250A	453.296849245429	451.095399449082	282.869841396529	293.217911137981
EHI_000260A	11.790958506384	95.1852677736596	94.9357686878763	60.1202191901615
EHI_000280A	53.7143665290827	37.2464091288233	47.7907951217881	74.8865888158152
EHI_000290A	15.721278008512	23.7963169434149	16.145538892496	12.6568882505603
EHI_000300A	45.8537275248267	62.0773485480389	116.247880025971	103.364587379576
EHI_000410A	13.1010650070933	17.588582088611	24.5412191165939	22.1495544384806
EHI_000430A	9.17074550496533	22.7616944676142	22.6037544494944	12.6568882505603
EHI_000440A	307.875027666693	286.590425796779	351.972747856412	247.864061573473
EHI_000480A	14.4111715078027	24.8309394192155	21.9579328937945	20.0400730633872
EHI_000510A	9241.49125600364	9648.88920931684	8116.68531203557	10868.0480444811
EHI_000520A	20.9617040113493	12.4154697096078	14.8538957810963	17.9305916882938
EHI_000540A	30.1324495163147	26.9001843708168	28.4161484507929	11.6021475630136
EHI_000550A	281.672897652507	285.555803320979	250.578763611537	237.316654698006
EHI_000560A	74.676070540432	58.9734811206369	40.6867580090898	43.2443681894144
EHI_000570A	78.60639004256	65.1812159754408	43.2700442318892	43.2443681894144
EHI_000580A	142.801608577317	143.81252413629	120.76863091587	105.474068754669
EHI_000590A	13158.7096931245	11811.2501837402	9034.39774268505	10376.5388840844
EHI_000610A	1509.24268881715	1228.09687877537	1260.64367672609	2403.75402691891
EHI_000620A	1.31010650070933	1.03462247580065	16.145538892496	29.5327392513074
EHI_000650A	35.372875519152	63.1119710238395	66.5196202370834	55.9012564399747
EHI_000660A	19.65159751064	22.7616944676142	21.3121113380947	9.49266618792024
EHI_000670A	15.721278008512	8.27697980640518	7.10403711269823	10.5474068754669
EHI_000690A	0	0	118.83116624877	314.312724888915
EHI_000700A	56.3345795305013	62.0773485480389	51.0199029002873	54.8465157524281
EHI_000710A	20.9617040113493	30.0040517982188	29.7077915621926	27.423257876214
EHI_000720A	117.90958506384	115.877717289673	140.789099142565	112.857253567496
EHI_000730A	340.627690184427	426.264460029867	591.572545021052	880.708474101489
EHI_000740A	150.662247581573	109.669982434869	80.08187290678	83.3245143161888
EHI_000780A	10.4808520056747	36.2117866530227	18.0830035595955	30.5874799388541
EHI_000790A	77.2962835418507	57.9388586448363	45.8533304546886	42.1896275018677
EHI_000800A	292.153749658181	273.140333611371	222.162615160745	222.550285072352
EHI_000900A	15.721278008512	8.27697980640518	17.4371820038956	36.9159240641343
EHI_001050A	525.352706784443	460.407001731288	499.865884111675	521.041899648067
EHI_001060A	0	3.10386742740194	14.2080742253965	16.8758510007471
EHI_001070A	579.067073313525	547.315289698543	576.072827684256	686.636187592897
EHI_001100A	32.7526625177333	16.5539596128104	16.145538892496	20.0400730633872
EHI_001120A	70.745751038304	48.6272563626304	67.8112633484831	94.9266618792024
EHI_001130A	3504.53488939747	2223.40370049559	992.627731110652	1915.40908858479
EHI_001140A	17.0313845092213	20.692449516013	36.8118286748908	31.6422206264008
EHI_001150A	72.0558575390133	80.7005531124505	74.2694789054815	49.5728123146946
EHI_001180A	15.721278008512	10.3462247580065	7.10403711269823	4.21896275018677
EHI_001400A	1264.25277318451	1769.20443361911	1544.15933967831	2014.55471321418
EHI_001410A	14.4111715078027	20.692449516013	22.6037544494944	14.7663696256537
EHI_001420A	9172.05561146604	7792.77648773048	7822.19068263645	11282.561134687
EHI_001430A	11.790958506384	13.4500921854084	7.74985866839807	16.8758510007471
EHI_001635A	123.150011066677	291.763538175783	353.910212523512	221.495544384806
EHI_001780A	7320.87512596375	4680.63208052213	4088.05044757998	2630.52327474145
EHI_001800A	14.4111715078027	10.3462247580065	7.74985866839807	1.05474068754669
EHI_001810A	615.750055333387	524.553595230928	547.010857677763	471.469087333372
EHI_001820A	0	26.9001843708168	21.9579328937945	22.1495544384806
EHI_001830A	32.7526625177333	32.0732967498201	45.2075088989887	41.134886814321
EHI_001840A	95.6377745517813	132.431676902483	107.852199801873	130.78784525579
EHI_001850A	146.731928079445	128.29318699928	151.768065589462	138.171030068617
EHI_001860A	14.4111715078027	8.27697980640518	5.16657244559871	0
EHI_001870A	11.790958506384	2.0692449516013	8.3956802240979	3.16422206264008
EHI_001910A	14.4111715078027	12.4154697096078	14.2080742253965	9.49266618792024
EHI_001940A	390.411737211381	255.55175152276	849.901167300988	1319.48060012091
EHI_001950A	141.491502076608	181.058933265113	218.287685826545	281.615763574967
EHI_001990A	34.0627690184427	20.692449516013	34.8743640077913	8.43792550037355
EHI_002110A	154.592567083701	144.847146612091	146.601493143863	93.8719211916557
EHI_002130A	87.7771355475253	122.085452144476	146.601493143863	124.45940113051
EHI_002140A	353.72875519152	262.794108853364	231.849938496242	244.699839510833
EHI_002150A	20.9617040113493	20.692449516013	23.2495760051942	21.0948137509339
EHI_002160A	1445.04747028239	1421.57128175009	1246.43560250069	1615.86273332153
EHI_002180A	745.450598903611	712.854885826646	506.324099668674	316.422206264008
EHI_002190A	343.247903185845	299.005895506387	119.47698780447	372.323462703983
EHI_002200A	137.56118257448	249.344016667956	163.392853592059	130.78784525579
EHI_002210A	14.4111715078027	14.4847146612091	17.4371820038956	21.0948137509339
EHI_002670A	165.073419089376	183.128178216715	227.329187606343	297.436873888167
