logFC	AveExpr	t	P.Value	adj.P.Val	B	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	-1.09840294768043	4.6251519504936	-1.14988759911063	0.290622587400141	0.999461130610639	-4.59198718999885	59	68	259	236	368	666	7.66549805506248	8.93010744230497	75.2934683405365	19.1075176133691	45.8784932694021	48.9069364515343	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000140A	-0.058285111918288	4.10357668068337	-0.0591586664885458	0.954598111776271	0.999461130610639	-4.60725721552549	117	200	39	476	290	54	15.2010724142764	26.2650218891323	11.3376265068761	38.5388914574733	36.1542474133875	3.96542727985413	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000240A	0.347774776805819	7.68704473658851	0.329275425101745	0.752272600881885	0.999461130610639	-4.60712183103633	682	842	4704	1584	1644	2955	88.6079605686883	110.575742153247	1367.49218175245	128.247067371088	204.957181888307	216.99699281424	0.05	DOWN_pEhEx_UP_U2AF84
EHI_000250A	0.925466921224841	5.90733939513523	1.36988891341275	0.21603584604582	0.999461130610639	-4.58665128745067	422	393	682	438	278	917	54.827799648074	51.6107680121449	198.263109684347	35.4622572654901	34.6582095893853	67.3388299190044	0.05	DOWN_pEhEx_UP_U2AF84
EHI_000260A	1.44355396707845	3.67540700665873	2.06761663109198	0.080445135235685	0.999461130610639	-4.57197653913638	103	106	179	147	57	70	13.3821406723972	13.9204616012401	52.0367985828418	11.9017164795138	7.10617966401065	5.14036869610721	0.05	DOWN_pEhEx_UP_U2AF84
EHI_000280A	-0.0584397018165274	2.79133237274332	-0.101238797191742	0.922403886226345	0.999461130610639	-4.60574321776638	40	34	46	74	71	86	5.19694783394066	4.46505372115249	13.3725851106744	5.99134026859879	8.8515571253466	6.31531011236028	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000290A	-0.056044234279714	1.60243727466005	-0.0677308216308062	0.948030185835566	0.999461130610639	-4.60433641631031	15	19	19	25	12	113	1.94885543772775	2.49517707946757	5.52345906745248	2.02410144209418	1.49603782400224	8.29802375228735	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000300A	-0.964058539632774	2.47671066959819	-0.732784246673356	0.489193987092073	0.999461130610639	-4.59955780903018	74	91	1	180	98	44	9.61435349279023	11.9505849595552	0.290708371971183	14.5735303830781	12.2176422293517	3.23108889469596	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000410A	-0.033668743746512	1.98490444770183	-0.0360991441210378	0.972283670056174	0.999461130610639	-4.60489289937221	15	15	57	38	21	91	1.94885543772775	1.96987664168492	16.5703772023574	3.07663419198316	2.61806619200392	6.68247930493937	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000430A	0.777601746290534	1.18374848459323	1.34307678714897	0.224122268913526	0.999461130610639	-4.58969363943161	18	23	12	35	12	15	2.3386265252733	3.02047751725021	3.4885004636542	2.83374201893186	1.49603782400224	1.10150757773726	0.05	DOWN_pEhEx_UP_U2AF84
EHI_000440A	-0.438258517615752	4.86737644505642	-0.852210052502256	0.424297141344222	0.999461130610639	-4.59832123678839	283	216	50	545	235	422	36.7684059251302	28.3662236402628	14.5354185985592	44.1254114376532	29.2974073867106	30.9890798536749	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000480A	0.0100270998333803	0.958002728252559	0.0153722615243747	0.988195009775836	0.999461130610639	-4.60335162686097	21	17	3	34	19	16	2.72839761281885	2.23252686057624	0.87212511591355	2.75277796124809	2.36872655467022	1.17494141625308	0.05	DOWN_pEhEx_UP_U2AF84
EHI_000510A	-0.66930541101535	9.61781556570127	-0.799444708843518	0.452173590434851	0.999461130610639	-4.60034030010851	9106	9374	538	12568	10304	10746	1183.08517439659	1231.04157594363	156.401104120497	1017.55627696959	1284.59781154326	789.120028690972	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000520A	-0.20360816640649	0.710056922402002	-0.376242153316072	0.718681233701156	0.999461130610639	-4.60161144976561	14	10	4	23	17	18	1.81893174187923	1.31325109445661	1.16283348788473	1.86217332672665	2.11938691733651	1.32180909328471	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000540A	0.150114518699685	1.89770463119518	0.176797925737756	0.865033754503643	0.999461130610639	-4.60447334159763	33	14	27	44	11	106	4.28748196300105	1.83855153223926	7.84912604322195	3.56241853808576	1.37136800533539	7.78398688267663	0.05	DOWN_pEhEx_UP_U2AF84
EHI_000550A	-0.0575586263616458	4.41963411401573	-0.0695829935631517	0.946611622792371	0.999461130610639	-4.6074837089281	278	290	21	388	225	171	36.1187874458876	38.0842817392418	6.10487581139485	31.4140543813017	28.0507092000421	12.5571863862047	0.05	UP_pEhEx_DOWN_U2AF84
EHI_000560A	0.621505564046731	1.82968251003548	0.735822323403659	0.487463399389283	0.999461130610639	-4.59925342532843	23	52	13	63	41	12	2.98824500451588	6.82890569117439	3.77920883562538	5.10073563407734	5.111462565341	0.881206062189807	0.05	DOWN_pEhEx_UP_U2AF84
