logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_004600A	-2.24234570082369	5.81589072334564	-2.306988217447	0.0529241165508469	0.728802950726254	-4.55705115336086	291	502	61	905	864	2229	49.1088865714268	70.004709837396	5.24204137936544	81.4870087989596	120.464026392413	178.443354570946	27.12	UP_pEhEx_DOWN_CDC5
EHI_004880A	-1.53998419248018	5.09730592999749	-3.23301956389165	0.0135776918274689	0.728802950726254	-4.53691269445853	151	175	153	474	496	823	25.4826181178194	24.4040323138333	13.1480710007035	42.6793836140407	69.1552744104594	65.8855454517222	27.12	UP_pEhEx_DOWN_CDC5
EHI_004990A	-1.24830554436197	2.42627326110054	-1.8429333317079	0.106121527057166	0.728802950726254	-4.57641657863608	31	37	18	56	59	161	5.23153087187021	5.15970968921046	1.5468318824357	5.04229004722844	8.22613143188933	12.8889098635811	27.12	UP_pEhEx_DOWN_CDC5
EHI_005010A	-1.04434210295172	3.96919558837977	-1.89345510295507	0.0984233183860651	0.728802950726254	-4.57146420566684	38	66	238	198	190	314	6.41284429455058	9.20380647264568	20.4525548899832	17.8280969527006	26.4909317298131	25.1373770010216	27.12	UP_pEhEx_DOWN_CDC5
EHI_005060A	-1.03622389198878	5.81676614120174	-2.24276387347952	0.0582838969308542	0.728802950726254	-4.55817083616445	297	321	316	729	801	891	50.1214409337243	44.7639678442313	27.1554930472046	65.6398115076702	111.680191134633	71.329308623918	27.12	UP_pEhEx_DOWN_CDC5
EHI_005070A	-2.14702684213569	3.48529000138972	-4.0026921026965	0.00474107302351337	0.728802950726254	-4.53425924629944	33	48	46	174	154	476	5.56904899263603	6.69367743465141	3.95301481066902	15.6671155038884	21.4715972967959	38.1063422053703	27.12	UP_pEhEx_DOWN_CDC5
EHI_005100A	-1.20880838020661	3.16305963343547	-2.25840781851329	0.0569299725912767	0.728802950726254	-4.56489757865877	31	32	98	108	86	268	5.23153087187021	4.46245162310094	8.42164024881661	9.72441651965485	11.9906322566522	21.4548313257127	27.12	UP_pEhEx_DOWN_CDC5
EHI_005140A	1.36153871164653	5.29479535246511	1.85062801657654	0.104912713959605	0.728802950726254	-4.569925854863	287	419	995	355	407	103	48.4338503298952	58.4302259399779	85.5054290568625	31.9645172636803	56.7463642843891	8.24570009906122	27.12	DOWN_pEhEx_UP_CDC5
EHI_005950A	-0.957379804186037	4.26030822803626	-1.7859512939257	0.115498050972133	0.728802950726254	-4.57364786764466	94	147	94	310	258	230	15.8633516759935	20.4993871436199	8.07789983049757	27.9126770471574	35.9718967699567	18.4127283765445	27.12	UP_pEhEx_DOWN_CDC5
EHI_006150A	1.11317845482541	2.27724788478824	2.08968609627138	0.0733566309829596	0.728802950726254	-4.57136702760349	49	55	65	52	26	25	8.26919395876259	7.66983872720474	5.58578179768449	4.68212647242641	3.62507486829021	2.00138351918962	27.12	DOWN_pEhEx_UP_CDC5
EHI_006160A	-0.861663563975068	3.40131365770133	-1.77322729396283	0.11769729885036	0.728802950726254	-4.57591400579149	60	36	108	164	82	210	10.1255436229746	5.02025807598856	9.28099129461422	14.7667065668833	11.4329284307614	16.8116215611928	27.12	UP_pEhEx_DOWN_CDC5
EHI_006700A	-2.61537955423805	1.58676142511143	-2.46653359804845	0.0416684415229419	0.728802950726254	-4.56929007289622	11	17	5	41	25	308	1.85634966421201	2.37067742477237	0.429675522898807	3.69167664172082	3.48564891181751	24.6570449564161	27.12	UP_pEhEx_DOWN_CDC5
EHI_006810A	-1.83517438485181	5.85300101726342	-3.10522107844335	0.0162977956843243	0.728802950726254	-4.53771313810194	196	231	312	699	599	3077	33.0767758350504	32.2133226542599	26.8117526288855	62.938584696655	83.5161479271476	246.330283541858	27.12	UP_pEhEx_DOWN_CDC5
EHI_006940A	-1.31290803413916	4.18438568406583	-2.31558779401301	0.0522452324637798	0.728802950726254	-4.56015753872754	52	68	205	204	186	630	8.77547113991132	9.48270969908949	17.6166964388511	18.3683423149036	25.9332279039223	50.4348646835784	27.12	UP_pEhEx_DOWN_CDC5
EHI_006960A	-1.97187742057379	0.375243174529292	-3.25352281030163	0.0131882519222592	0.728802950726254	-4.569881963997	3	4	8	25	22	30	0.50627718114873	0.557806452887617	0.687480836638091	2.2510223425127	3.06737104239941	2.40166022302754	27.12	UP_pEhEx_DOWN_CDC5
EHI_007260A	-1.37925416941796	0.242116053760683	-1.83173947113641	0.107903968536201	0.728802950726254	-4.58456798149108	2	4	14	18	25	17	0.33751812076582	0.557806452887617	1.20309146411666	1.62073608660914	3.48564891181751	1.36094079304894	27.12	UP_pEhEx_DOWN_CDC5
EHI_007510A	2.68707244092943	11.3682982404132	2.5423111560152	0.0372105496176829	0.728802950726254	-4.5415551485284	41255	45584	78079	37214	15620	1967	6962.15503609695	6356.76233710729	6709.72703048319	3350.7818181707	2177.83344010358	157.468855289839	27.12	DOWN_pEhEx_UP_CDC5
EHI_007620A	2.50865032530396	9.37537454482409	2.61721995488987	0.0332845796584293	0.728802950726254	-4.54391146902518	10224	10657	17811	8869	3753	653	1725.39263335487	1486.13584210583	1530.59014767013	798.572686229804	523.265614642045	52.2761375212328	27.12	DOWN_pEhEx_UP_CDC5
EHI_007630A	0.929721125926663	3.70691193468568	1.76881741297158	0.118468768492289	0.728802950726254	-4.5752537410911	103	160	177	188	48	90	17.3821832194397	22.3122581155047	15.2105135106178	16.9276880156955	6.69244591068962	7.20498066908262	27.12	DOWN_pEhEx_UP_CDC5
EHI_007640A	1.75008416168872	1.22761958720898	1.88248097115971	0.100048259021338	0.728802950726254	-4.57854355866541	21	45	33	15	35	4	3.54394026804111	6.27532259498569	2.83585845113212	1.35061340550762	4.87990847654452	0.320221363070339	27.12	DOWN_pEhEx_UP_CDC5
EHI_007930A	-1.05110573659923	3.92792521113209	-2.15890277687737	0.0661118337547581	0.728802950726254	-4.56469021050352	48	59	195	201	186	288	8.10043489837968	8.22764518009235	16.7573453930535	18.0982196338021	25.9332279039223	23.0559381410644	27.12	UP_pEhEx_DOWN_CDC5
EHI_008040A	-0.987023300759547	2.29032662368765	-1.94521968523845	0.0910971104165022	0.728802950726254	-4.5744737291033	16	27	45	53	51	118	2.70014496612656	3.76519355699142	3.86707970608926	4.77216736612692	7.11072378010772	9.44653021057499	27.12	UP_pEhEx_DOWN_CDC5
EHI_008090A	-1.24783417134997	4.95698776337036	-2.01385508086672	0.0821977903506817	0.728802950726254	-4.56593738249935	178	247	95	527	345	574	30.039112748158	34.4445484658104	8.16383493507733	47.4515509801677	48.1019549830817	45.9517656005936	27.12	UP_pEhEx_DOWN_CDC5
EHI_008130A	1.5651564928639	2.62794060364571	2.14178920055505	0.0678339998104572	0.728802950726254	-4.56929471308861	85	57	126	64	8	80	14.3445201325474	7.94874195364855	10.8278231770499	5.7626171968325	1.1154076517816	6.40442726140678	27.12	DOWN_pEhEx_UP_CDC5
EHI_008200A	-2.8044025695225	4.84267605722878	-2.5517172523584	0.0366924519450634	0.728802950726254	-4.55418966659771	147	195	24	457	357	2376	24.8075818762878	27.1930645782713	2.06244250991427	41.1486884211321	49.7750664607541	190.211489663781	27.12	UP_pEhEx_DOWN_CDC5
EHI_008420A	1.03727251903695	4.26694608603812	2.03491292334808	0.0796424296172114	0.728802950726254	-4.56645080387948	217	190	258	234	58	170	36.6207161030915	26.4958065121618	22.1712569815784	21.0695691259188	8.08670547541663	13.6094079304894	27.12	DOWN_pEhEx_UP_CDC5
EHI_008610A	1.97750645800124	1.65843940609536	2.90523740444254	0.0217736572045553	0.728802950726254	-4.55939569394461	37	26	118	31	12	10	6.24408523416767	3.62574194376951	10.1403423404118	2.79126770471574	1.67311147767241	0.800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_008630A	2.26566186957549	4.03391034981032	1.84550326674308	0.105716316151077	0.728802950726254	-4.57283615266578	183	312	365	174	247	10	30.8829080500725	43.5089033252341	31.3663131716129	15.6671155038884	34.438211248757	0.800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_009240A	-0.975406387672689	4.0137343787073	-2.26261404602915	0.056571367160749	0.728802950726254	-4.5617311931893	77	85	114	222	207	249	12.9944476494841	11.8533871238619	9.79660192209279	19.9890784015127	28.861172989849	19.9337798511286	27.12	UP_pEhEx_DOWN_CDC5
EHI_009460A	1.58955786764561	0.251038041763703	1.85809154921992	0.103752874025323	0.728802950726254	-4.58308530462832	10	14	23	12	12	2	1.6875906038291	1.95232258510666	1.97650740533451	1.08049072440609	1.67311147767241	0.160110681535169	27.12	DOWN_pEhEx_UP_CDC5
EHI_009500A	1.56333899011204	6.89259956801404	2.08628194268243	0.0737325877423527	0.728802950726254	-4.56217068303516	1476	1936	1482	2099	455	341	249.088373125175	269.978323197607	127.355824987206	188.995835877366	63.4388101950787	27.2988712017464	27.12	DOWN_pEhEx_UP_CDC5
EHI_009690A	1.17382982037637	1.49063475578053	1.93417402174305	0.0926145278827382	0.728802950726254	-4.57647894393963	26	25	53	31	18	11	4.38773556995566	3.48629033054761	4.55456054272735	2.79126770471574	2.50966721650861	0.880608748443432	27.12	DOWN_pEhEx_UP_CDC5
EHI_009800A	-1.51642119221708	2.17832954673243	-2.40104535415436	0.0459600636976645	0.728802950726254	-4.56546153131945	16	32	18	77	34	159	2.70014496612656	4.46245162310094	1.5468318824357	6.93314881493911	4.74048252007182	12.728799182046	27.12	UP_pEhEx_DOWN_CDC5
EHI_009880A	0.992220610208784	0.616581440808933	1.81585991353458	0.110481861007755	0.728802950726254	-4.58151028592099	11	14	29	16	7	10	1.85634966421201	1.95232258510666	2.49211803281308	1.44065429920813	0.975981695308903	0.800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_010020A	-2.27168780029055	6.02616596992105	-2.56926066150152	0.0357458886870703	0.728802950726254	-4.54990075889064	96	128	1013	610	1264	3885	16.2008697967594	17.8498064924038	87.0522609392982	54.9249451573098	176.234408981493	311.014998882067	27.12	UP_pEhEx_DOWN_CDC5
EHI_010030A	-1.59618231752189	5.6663752732038	-1.79870476230703	0.113333039539875	0.728802950726254	-4.57154961350752	146	63	1289	704	770	1296	24.6388228159049	8.78545163297997	110.770349803312	63.3887891651575	107.357986483979	103.75172163479	27.12	UP_pEhEx_DOWN_CDC5
EHI_010100A	1.19185228855927	1.69913976067623	1.8848101371895	0.0997012260183932	0.728802950726254	-4.57696191604058	25	22	97	24	25	16	4.21897650957275	3.06793549088189	8.33570514423685	2.16098144881219	3.48564891181751	1.28088545228136	27.12	DOWN_pEhEx_UP_CDC5
EHI_010560A	-1.21506908839977	2.77893534009826	-2.48974547680346	0.0402475524358278	0.728802950726254	-4.56144768114612	27	31	52	82	73	186	4.55649463033857	4.32300000987903	4.46862543814759	7.38335328344165	10.1780948225071	14.8902933827708	27.12	UP_pEhEx_DOWN_CDC5
EHI_010650A	-1.05411327617168	9.21633487614014	-1.8451773033823	0.105767629507176	0.728802950726254	-4.56766023196465	3438	4793	2141	7973	6443	12017	580.193649596445	668.391582172587	183.987058905269	717.896045474149	898.321437553609	962.025030004065	27.12	UP_pEhEx_DOWN_CDC5
EHI_011390A	-1.01092719651292	3.64320322989448	-1.85725956024838	0.103881552129896	0.728802950726254	-4.57319046560099	50	114	59	200	149	181	8.4379530191455	15.8974839072971	5.07017117020592	18.0081787401016	20.7744675144324	14.4900166789328	27.12	UP_pEhEx_DOWN_CDC5
EHI_011530A	1.13256283322912	1.60539992091331	2.13400869502929	0.0686316642417299	0.728802950726254	-4.57220285888449	24	28	63	30	17	16	4.05021744918984	3.90464517021332	5.41391158852496	2.70122681101524	2.37024126003591	1.28088545228136	27.12	DOWN_pEhEx_UP_CDC5
EHI_011660A	2.3994847909764	0.617757078821748	2.24914589378173	0.0577276899276907	0.728802950726254	-4.5767619890343	15	23	43	11	23	1	2.53138590574365	3.2073871041038	3.69520949692974	0.990449830705587	3.20679699887211	0.0800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_012020A	2.35802792272836	7.32859898398992	2.26644482478049	0.0562467498036133	0.728802950726254	-4.55646876418712	2055	1708	6721	1752	1336	153	346.79986908688	238.183355383013	577.569837880576	157.75164576329	186.273077847528	12.2484671374405	27.12	DOWN_pEhEx_UP_CDC5
EHI_012260A	3.32334808335484	0.201431509549358	2.62698111579596	0.0328054433978104	0.728802950726254	-4.57814390432153	27	16	40	16	7	0	4.55649463033857	2.23122581155047	3.43740418319045	1.44065429920813	0.975981695308903	0	27.12	DOWN_pEhEx_UP_CDC5
EHI_012480A	-1.13712829522464	9.26220381603039	-2.0465679084173	0.0782618714912507	0.728802950726254	-4.56104257421867	3423	4243	2458	8392	5165	17033	577.662263690701	591.69319490054	211.228487057053	755.623179934662	720.135065181498	1363.58261929427	27.12	UP_pEhEx_DOWN_CDC5
EHI_013200A	1.34025669421061	0.712784623226497	2.2056659549874	0.0616252818202844	0.728802950726254	-4.57506782849957	12	18	38	20	5	9	2.02510872459492	2.51012903799428	3.26553397403093	1.80081787401016	0.697129782363502	0.720498066908262	27.12	DOWN_pEhEx_UP_CDC5
EHI_013220A	-1.05305264940848	7.15606531551898	-1.78725312587115	0.115275259308909	0.728802950726254	-4.57115712016535	371	503	2563	1690	1738	2938	62.6096114020596	70.1441614506179	220.251673037928	152.169110353858	242.322312349553	235.202591175164	27.12	UP_pEhEx_DOWN_CDC5
EHI_013250A	0.989036847387874	2.57012200791	2.06161780643511	0.0765140228133542	0.728802950726254	-4.57128243734748	50	48	116	55	34	39	8.4379530191455	6.69367743465141	9.96847213125231	4.95224915352793	4.74048252007182	3.1221582899358	27.12	DOWN_pEhEx_UP_CDC5
EHI_013870A	-1.17476990255088	2.16595884314349	-1.86284894824495	0.103020022390505	0.728802950726254	-4.57653797633144	26	33	15	65	43	102	4.38773556995566	4.60190323632284	1.28902656869642	5.85265809053301	5.99531612832612	8.16564475829364	27.12	UP_pEhEx_DOWN_CDC5
EHI_013895A	1.01326592223019	10.720272902351	2.15910945980257	0.0660913034676005	0.728802950726254	-4.55506296454781	12008	13194	42396	10547	12775	12530	2026.45879707798	1839.92458484981	3643.30469376356	949.661305859257	1781.16659393875	1003.09341981784	27.12	DOWN_pEhEx_UP_CDC5
EHI_013900A	1.52530706313429	11.3984804381258	2.44203075806349	0.0432241191983456	0.728802950726254	-4.5446075149465	30453	32207	48109	30971	17307	7527	5139.21966584076	4491.31810703787	4134.25194622774	2788.65651879843	2413.04502867303	602.57654995761	27.12	DOWN_pEhEx_UP_CDC5
