logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_001060A	-1.33417360732712	0.454142812038333	-1.27996873909244	0.241953415726385	0.999791217706948	-4.59197300456281	3	3	22	22	16	22	0.332169999431245	0.320744265628292	7.89453763182366	1.68983802893357	1.93165866237111	1.60363488955916	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001070A	-1.43939086093449	4.840326552555	-0.96837758879211	0.365602335893943	0.999791217706948	-4.59576984135855	642	449	3	892	651	327	71.0843798782864	48.0047250890344	1.07652785888504	68.5152509913066	78.5943618252244	23.8358458584475	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001100A	0.488335249656442	2.54813479533745	0.367130187495729	0.724535226564864	0.999791217706948	-4.60285101657304	23	36	109	25	19	298	2.54663666230621	3.8489311875395	39.1138455394899	1.92027048742451	2.29384466156569	21.7219635040286	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001120A	-0.988906820614012	2.34569922882881	-1.02699595522089	0.339111052420274	0.999791217706948	-4.59477716288848	123	28	2	105	90	71	13.618969976681	2.99361314586406	0.717685239256696	8.06513604718296	10.8655799758375	5.17536714357729	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001130A	1.24736689443703	6.03785775235198	0.708354804821161	0.50197289569008	0.999791217706948	-4.60007937632446	1586	2481	64	1537	1816	39	175.607206365985	265.255507674597	22.9659276562143	118.058229566859	219.243258179121	2.84280730421851	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001140A	0.254427590153179	1.01618279712958	0.244790665702265	0.813746805345063	0.999791217706948	-4.60197427154044	19	19	6	57	30	5	2.10374332973122	2.03138034897918	2.15305571777009	4.37821671132789	3.62185999194582	0.364462474899809	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001150A	0.249085509861144	2.43855192051063	0.319185359570481	0.759042390898174	0.999791217706948	-4.60304822208705	78	86	6	115	47	36	8.63641998521236	9.19466894801104	2.15305571777009	8.83324424215276	5.67424732071512	2.62412981927862	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001180A	0.551395645675841	1.47493198756717	0.290344853123479	0.780094081995472	0.999791217706948	-4.60236074197453	7	11	162	11	4	221	0.775063332006238	1.17606230730374	58.1325043797924	0.844919014466786	0.482914665592777	16.1092413905716	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001400A	-0.176678205745629	7.56367156840079	-0.344366049378788	0.740839414757865	0.999791217706948	-4.60458464908835	2110	2029	307	2391	1910	2653	233.626232933309	216.930038319935	110.164684225903	183.65466941728	230.591752820551	193.383789181839	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001410A	-0.28694527365671	0.855767550902196	-0.460534024210006	0.65931123671298	0.999791217706948	-4.60047557197025	20	17	2	35	14	26	2.21446666287496	1.81755083856032	0.717685239256696	2.68837868239432	1.69020132957472	1.89520486947901	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001420A	-0.693019402331811	9.20132697184726	-0.699437984506119	0.507190554518108	0.999791217706948	-4.60070388193784	10326	7310	287	12112	10697	5153	1143.32913804234	781.546860580938	102.987831833336	930.332645747428	1291.43454446148	375.615026631743	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001430A	0.584364274025288	-0.136797264108991	0.632749090202045	0.547308735755115	0.999791217706948	-4.59822774038665	9	11	2	12	16	3	0.996509998293734	1.17606230730374	0.717685239256696	0.921729833963767	1.93165866237111	0.218677484939885	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001635A	-1.41986888699039	2.99302785852928	-0.714053669855777	0.498656570815149	0.999791217706948	-4.59935552867621	535	67	0	548	210	42	59.2369832319053	7.16328859903185	0	42.0923290843453	25.3530199436208	3.0614847891584	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001780A	0.090881390441258	9.48877449149918	0.099455621941695	0.923607520811633	0.999791217706948	-4.60671121470941	3162	7441	4212	6330	2494	30597	350.107179400532	795.552693513373	1511.4451138746	486.212487415887	301.097293997096	2230.29166890189	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001800A	0.890620492642619	0.447509310695337	0.715115501972617	0.498040247464495	0.999791217706948	-4.59807968818784	7	16	19	12	1	49	0.775063332006238	1.71063608335089	6.81800977293861	0.921729833963767	0.120728666398194	3.57173225401813	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001810A	-0.532111090043632	5.29984894726207	-0.675453453347372	0.521397843249849	0.999791217706948	-4.6005339515112	501	537	29	847	447	431	55.4723899050179	57.4132235474643	10.4064359692221	65.0587641139425	53.9657138799928	31.4166653363635	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001820A	-1.03319109854947	0.656904840414328	-1.12198948354573	0.299430406194858	0.999791217706948	-4.59381161131528	25	15	0	34	21	36	2.76808332859371	1.60372132814146	0	2.61156786289734	2.53530199436208	2.62412981927862	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001830A	-0.849075199101441	2.06438166341031	-1.3996692739591	0.204980035162454	0.999791217706948	-4.58896523301702	33	42	4	70	39	104	3.65386999374369	4.49041971879609	1.43537047851339	5.37675736478864	4.70841798952957	7.58081947791603	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001840A	0.392272102715135	4.37080256042238	0.601046508845594	0.567042806661392	0.999791217706948	-4.60154638483526	168	141	137	167	124	399	18.6015199681497	15.0749804845297	49.1614388890837	12.8274068559958	14.9703546333761	29.0841054970048	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001850A	-0.141738070383716	4.42523087110659	-0.248785108799465	0.81077774885415	0.999791217706948	-4.60487526981829	216	143	65	235	131	543	23.9162399590496	15.2888099949486	23.3247702758426	18.0505425817904	15.8154552981634	39.5806247741193	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001870A	0.10792190770673	0.128373444809069	0.122840583016388	0.905738671857384	0.999791217706948	-4.60100776229427	11	5	7	13	3	26	1.21795666458123	0.534573776047153	2.51189833739844	0.998540653460747	0.362185999194582	1.89520486947901	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001910A	0.680783869088719	1.52961217656179	0.731921064681055	0.488352283355685	0.999791217706948	-4.59862284766425	17	22	35	22	9	67	1.88229666344372	2.35212461460747	12.5594916869922	1.68983802893357	1.08655799758375	4.88379716365744	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001930A	0.26916854437441	0.388920461662685	0.209087607779943	0.840425391227385	0.999791217706948	-4.60125792763693	4	10	25	7	3	55	0.442893332574993	1.06914755209431	8.9710654907087	0.537675736478864	0.362185999194582	4.0090872238979	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_001940A	-0.182016070232398	7.17754497187729	-0.123957350305676	0.90488670904737	0.999791217706948	-4.60565456399207	505	257	4472	1316	1251	3341	55.9152832375929	27.4770920888237	1604.74419497797	101.083038458026	151.031561664141	243.533825728052	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001950A	-0.675744209289799	3.29410523505203	-0.458083755343693	0.660985343851515	0.999791217706948	-4.60257539290951	236	150	2	338	267	38	26.1307066219246	16.0372132814146	0.717685239256696	25.9620569899794	32.2345539283178	2.76991480923855	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001990A	-0.0515713642481484	1.74723303541612	-0.0568485607183927	0.956278821512136	0.999791217706948	-4.60326811518857	40	19	11	54	8	118	4.42893332574993	2.03138034897918	3.94726881591183	4.14778425283695	0.965829331185553	8.60131440763549	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_002110A	0.368914448206968	3.34255661396721	0.506760655288669	0.62812918527009	0.999791217706948	-4.60221594333022	132	139	18	227	89	54	14.6154799749748	14.8611509741109	6.45916715331026	17.4360560258146	10.7448513094393	3.93619472891794	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002130A	-0.123710649292223	3.57584767331163	-0.167848928260594	0.871521210524163	0.999791217706948	-4.60483239619336	193	144	11	227	118	115	21.3696032967434	15.395724750158	3.94726881591183	17.4360560258146	14.2459826349869	8.38263692269561	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_002140A	0.543397809519553	5.41822391396194	0.875887568323222	0.410577364310011	0.999791217706948	-4.59742190168071	306	396	266	359	232	786	33.881339941987	42.3382430629345	95.4521368211406	27.575084199416	28.009050604381	57.29350105425	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002150A	0.485744758365672	1.42796303362296	0.708166203340386	0.502082893044671	0.999791217706948	-4.5988262524624	20	20	20	36	20	20	2.21446666287496	2.13829510418861	7.17685239256696	2.7651895018913	2.41457332796388	1.45784989959924	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002160A	-0.328779198609053	6.94848398659053	-0.399278379448633	0.701771165170584	0.999791217706948	-4.6038871521564	1843	1868	92	1930	1532	1311	204.063102983928	199.716762731216	33.013521005808	148.244881629172	184.956316922033	95.5620609187299	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_002180A	-0.453915634475229	5.03957946562175	-0.454786582373998	0.663241380801043	0.999791217706948	-4.60324265400011	613	507	15	784	300	387	67.8734032171177	54.2057808911813	5.38263929442522	60.2196824856327	36.2185999194582	28.2093955572452	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_002190A	0.999551998804807	3.14253484171686	0.601016049348176	0.567061967477719	0.999791217706948	-4.60103334535334	153	219	11	185	353	6	16.9406699709935	23.4143313908653	3.94726881591183	14.2100016069414	42.6172192385625	0.437354969879771	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002200A	0.73261824257807	3.33517989988376	0.570497998544786	0.586449682221091	0.999791217706948	-4.60150305750034	247	273	6	253	124	26	27.3486632865058	29.1877281721746	2.15305571777009	19.4331373327361	14.9703546333761	1.89520486947901	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002210A	0.149887083804037	1.10877531693505	0.249901107734154	0.809948826518904	0.999791217706948	-4.60206583251722	17	16	10	27	20	20	1.88229666344372	1.71063608335089	3.58842619628348	2.07389212641847	2.41457332796388	1.45784989959924	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002670A	0.0118028776315263	5.34332414167261	0.0120961673377262	0.990691583540655	0.999791217706948	-4.60569051458991	169	190	507	352	282	955	18.7122433012935	20.3138034897918	181.933208151572	27.0374084629372	34.0454839242907	69.6123327058635	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002780A	0.602972274550284	3.24524360058321	0.323851831178836	0.755656174159684	0.999791217706948	-4.60374812722393	21	36	636	47	20	520	2.32518999601871	3.8489311875395	228.223906083629	3.61010851635809	2.41457332796388	37.9040973895801	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_002790A	-0.244828619892275	2.31502426701888	-0.411953799907494	0.692883844059821	0.999791217706948	-4.60225278750292	29	37	21	48	47	96	3.2109766611687	3.95584594274893	7.53569501219531	3.68691933585507	5.67424732071512	6.99767951807633	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_002990A	0.264593571899343	1.94953665395947	0.356902161396968	0.731842385486104	0.999791217706948	-4.60234952955601	45	55	6	83	37	22	4.98254999146867	5.88031153651869	2.15305571777009	6.37529801824939	4.46696065673318	1.60363488955916	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_003000A	0.104593186173574	3.08529933051996	0.216875371291816	0.834585437272582	0.999791217706948	-4.60423863002905	68	92	25	100	60	132	7.52918665377488	9.83615747926762	8.9710654907087	7.68108194969805	7.24371998389165	9.62180933735496	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_003010A	-0.774324122028719	6.29219466466062	-1.45776755529197	0.188914286273142	0.999791217706948	-4.58619552597965	838	527	114	1226	1076	1206	92.786153174461	56.34407599537	40.9080586376317	94.1700647032982	129.904045044457	87.9083489458339	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_003020A	-1.04908805809065	0.509674354576455	-0.769065895217932	0.467386632231424	0.999791217706948	-4.59758710330033	2	4	43	14	7	54	0.221446666287496	0.427659020837723	15.430232644019	1.07535147295773	0.845100664787359	3.93619472891794	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_003040A	-1.07089276132184	0.338366790975935	-1.50465569594555	0.176788077402894	0.999791217706948	-4.589612381025	7	12	1	19	12	41	0.775063332006238	1.28297706251317	0.358842619628348	1.45940557044263	1.44874399677833	2.98859229417843	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_003240.mRNA	2.4608663681365	-0.0423467384250177	1.16662963213044	0.282136832236914	0.999791217706948	-4.59351778520145	31	90	0	74	5	0	3.4324233274562	9.62232796884876	0	5.68400064277656	0.603643331990971	0	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_003260A	0.451644110355016	7.31724906687062	0.964920939250729	0.36721300938904	0.999791217706948	-4.59586714534265	1648	1554	597	1436	1115	2335	182.472053020897	166.145529595455	214.229043918124	110.300336797664	134.612463033986	170.203975778211	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_003890A	0.459485472225492	1.61685227510642	0.621906739108339	0.554010646811376	0.999791217706948	-4.59985926845357	18	39	16	35	10	64	1.99301999658747	4.1696754531678	5.74148191405357	2.68837868239432	1.20728666398194	4.66511967871755	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_003900A	-0.237783791590256	1.66821106995598	-0.309066859183114	0.766404333133822	0.999791217706948	-4.60233337923325	13	19	27	38	25	50	1.43940333086873	2.03138034897918	9.6887507299654	2.91881114088526	3.01821665995485	3.64462474899809	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_003930A	0.871200177310879	2.68140849310321	0.590789800158473	0.573516391601997	0.999791217706948	-4.60087636768906	147	157	5	137	162	8	16.276329972131	16.7856165678806	1.79421309814174	10.5230822710863	19.5580439565075	0.583139959839694	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_003940A	-0.493593115693332	8.77604435013644	-0.373675488338228	0.719875191851298	0.999791217706948	-4.60477134759951	9413	7259	158	12824	9564	1860	1042.2387348821	776.094208065257	56.697133901279	985.021949229278	1154.64896543233	135.580040662729	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_003950A	0.224580206025186	2.02600757103115	0.109286992966925	0.916088769648318	0.999791217706948	-4.60355520859976	5	13	402	24	9	228	0.553616665718741	1.3898918177226	144.254733090596	1.84345966792753	1.08655799758375	16.6194888554313	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_004170A	-0.531697274555731	6.54210464992135	-0.958128211776215	0.370393993509725	0.999791217706948	-4.59597634313717	641	474	356	1137	1165	1585	70.9736565451426	50.6775939692701	127.747972587692	87.3339017680669	140.648896353896	115.534604543239	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_004190A	0.255480524311999	1.70174456069347	0.452105562937963	0.665078600304495	0.999791217706948	-4.60144256392372	24	49	8	45	25	34	2.65735999544996	5.2388230052621	2.87074095702678	3.45648687736412	3.01821665995485	2.4783448293187	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_004200A	0.515760611590764	12.9201561648221	1.0360659225023	0.335150070707592	0.999791217706948	-4.5944414490023	61196	77813	39905	61524	57846	111658	6775.82509506482	8319.35784711143	14319.6147362692	4725.70885873223	6983.67043646994	8139.03020447257	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_004230A	-0.848334801822636	5.18959677692633	-1.2417040739176	0.254936386603812	0.999791217706948	-4.59061133407909	495	282	32	640	543	519	54.8080499061554	30.1499609690594	11.4829638281071	49.1589244780675	65.5556658542194	37.8312048946002	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_004350A	0.267577393900819	1.22314502397833	0.170390046528091	0.869597375919781	0.999791217706948	-4.60241421097364	50	35	1	81	73	3	5.53616665718741	3.74201643233007	0.358842619628348	6.22167637925542	8.81319264706817	0.218677484939885	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_004370A	-0.243955184995223	5.31107411190184	-0.279109335540638	0.788350472805229	0.999791217706948	-4.6047498832641	137	313	271	329	256	1378	15.1690966406935	33.4643183805518	97.2463499192823	25.2707596145066	30.9065385979377	100.445858082387	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_004380A	-0.537558281810991	5.54527269784387	-1.1668416232921	0.282056726935943	0.999791217706948	-4.59206597578909	343	326	122	662	431	919	37.9781032683056	34.8542101982744	43.7787995946585	50.8487625070011	52.0340552176217	66.9882028865849	0.02	UP_pEhEx_DOWN_EhMyb10
