EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	74.4928273966303	62.70862284757	495.227446044532	156.356199720713	383.21184682389	418.733540694956
EHI_000140A	230.163735930614	29.5099401635624	64.9986022933448	315.362504521438	301.98759668187	33.9513681644559
EHI_000240A	906.329399992335	500.746797150449	12204.2613734599	1049.44161168479	1711.95727222412	1857.89431344384
EHI_000250A	440.271710639058	631.697156626257	1819.96086421365	290.186506261323	289.491558198482	576.544529755668
EHI_000260A	86.908298629402	79.3079641895739	510.703303733423	97.3913616904441	59.3561827960916	44.0110328057762
EHI_000280A	38.2014499469899	49.7980240260115	58.8082592177881	49.0269439802236	73.934894360044	54.0706974470964
EHI_000290A	13.3705074814465	23.9768263828944	46.4275730666748	16.5631567500755	12.4960384833877	71.0463815293244
EHI_000300A	110.784204846271	70.0861078884606	9.28551461333497	119.254728600544	102.050980947666	27.6640777636307
EHI_000410A	18.1456887248202	11.0662275613359	142.377890737803	25.1759982601148	21.8680673459285	57.214342647509
EHI_000430A	20.0557612221697	20.2880838624491	24.7613723022266	23.1884194501057	12.4960384833877	9.43093560123775
EHI_000440A	216.793228449168	306.16562919696	182.615120728921	361.076817151647	244.714086966343	265.323654914822
EHI_000480A	22.9208699681939	16.5993413420038	12.3806861511133	22.5258931801027	19.7853942653639	10.0596646413203
EHI_000510A	11544.4781739803	8330.10279679559	1049.26315130685	8326.63016139797	10729.9317110689	6756.32226472672
EHI_000520A	15.280579978796	22.1324551226718	0	15.2381042100695	17.7027211847993	11.3171227214853
EHI_000540A	20.0557612221697	35.9652395743416	43.3324015288965	29.1511558801329	11.4547019431054	66.6452782487468
EHI_000550A	240.669134666036	186.281497282487	49.5227446044532	257.060192761172	234.30072156352	107.51266585411
EHI_000560A	63.0323924125333	42.4205389851209	3.09517153777832	41.7391550101903	42.6947981515747	7.5447484809902
EHI_000570A	37.2464136983151	66.3973653680153	30.9517153777832	44.3892600902024	42.6947981515747	118.829788575596
EHI_000580A	170.95148851278	177.059640981374	71.1889453689014	123.892412490565	104.133654028231	155.296072900382
EHI_000590A	12060.1977482647	12564.7792102668	742.841169066797	9268.07999107227	10244.6688832974	5683.71052234595
EHI_000610A	1719.06524761454	1242.18404375995	8316.72592201035	1293.2512790459	2373.20597530338	3348.61086747948
EHI_000620A	8.59532623807272	1.84437126022265	58.8082592177881	16.5631567500755	29.1574231279047	50.2983232066013
EHI_000640A	4.77518124337374	7.37748504089059	668.557052160118	1.32505254000604	0	133.919285537576
EHI_000650A	50.6169211797616	59.0198803271247	43.3324015288965	68.2402058103112	55.1908366349624	42.7535747256111
EHI_000660A	21.9658337195192	19.3658982323378	6.19034307555664	21.8633669100997	9.37202886254079	16.3469550421454
