pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_156240A	558.320606808626	2780.85466187747	-0.709353478841891	0.88167747840315	-2.31636263587534	224	135	3176	394	171	1948	241.836292863847	147.321669675049	7672.25670024764	265.077935690558	177.150560422483	1188.69455969413	88.17	DOWN_pEhEx_UP_U2AF84
EHI_076020A	677.414310447859	2893.3477552617	-0.71076841964312	0.881471654621652	-2.09462936374853	222	319	3232	789	696	1273	239.677040248991	348.115649084004	7807.53578564244	530.828658019925	721.033859965193	776.800910929481	88.15	DOWN_pEhEx_UP_U2AF84
EHI_130930A	11945.5046478008	36156.7202588497	-0.712992006874625	0.881176797572533	-1.59779601527903	6587	7364	37324	11065	9757	29349	7111.4984870275	8036.1242628671	90163.5104156307	7444.38415841631	10107.9416259776	17909.135848287	88.12	DOWN_pEhEx_UP_U2AF84
EHI_148240A	1502.62598399319	6682.71497857657	-0.679811853865777	0.881104312969801	-2.15294838853451	227	154	7837	399	190	6350	245.075171786131	168.055830592278	18931.8248614108	268.441868884601	196.833956024981	3874.85136245263	88.11	DOWN_pEhEx_UP_U2AF84
EHI_012420A	203.535126418235	1351.85583634473	-0.713962587166133	0.881061489282081	-2.7315916052441	33	33	1590	113	78	717	35.6276681451203	36.0119636983452	3840.95974603078	76.0248901853631	80.8055187892027	437.522586910006	88.11	DOWN_pEhEx_UP_U2AF84
EHI_073360A	192.731556192767	1427.39981875254	-0.714623100612972	0.880987970593571	-2.88872478395263	27	19	1689	46	16	833	29.149910300553	20.7341609172291	4080.11384342515	30.9481853851921	16.5754910336826	508.307273216228	88.1	DOWN_pEhEx_UP_U2AF84
EHI_074180A	130501.207747129	265293.926990922	-0.715994848527692	0.88085055457077	-1.0235284917706	124433	111781	216865	162615	132226	237228	134341.140312174	121983.433762568	523880.33668111	109405.199269848	136981.929838732	144759.565198727	88.09	DOWN_pEhEx_UP_U2AF84
EHI_167080A	2929.7149706292	6979.49249197429	-0.731498677604917	0.880557382669464	-1.25236182291781	3615	2778	5632	4708	1432	6659	3902.84910135182	3031.55258042434	13605.2108739908	3167.47949551053	1483.50644751459	4063.4071216649	88.06	DOWN_pEhEx_UP_U2AF84
EHI_148020A	421.469860702358	2289.32701747438	-0.730775165552883	0.880543987902842	-2.44142218558965	145	151	2614	292	204	1358	156.545814577044	164.78201571061	6314.63445039274	196.453698532089	211.337510679453	828.669000033178	88.05	DOWN_pEhEx_UP_U2AF84
EHI_068480A	3119.50678976873	6560.04259578136	-0.729991813258988	0.880528263488442	-1.07238723307036	4324	2890	4783	4521	2005	6840	4668.30415331819	3153.77500267327	11554.2833114876	3041.66839405333	2077.11622015835	4173.85564081512	88.05	DOWN_pEhEx_UP_U2AF84
EHI_023230A	83609.0193396533	174259.379878676	-0.738184822373293	0.880502432657175	-1.05950582745801	90520	71008	139793	104004	59678	191644	97727.7733483725	77489.0157058212	337697.664010617	69972.5015826416	61824.5096192569	116943.624331634	88.05	DOWN_pEhEx_UP_U2AF84
EHI_078180A	13.9234583525992	226.026598213016	-0.743334936156724	0.879964283217455	-4.02090305320751	6	7	265	9	2	53	6.47775784456733	7.63890139055808	640.159957671797	6.05507974927671	2.07193637921033	32.3412790881873	88	DOWN_pEhEx_UP_U2AF84
EHI_066760A	712.011708760859	2862.94174754917	-0.676868418739515	0.87979267155915	-2.00752544496285	343	302	3152	609	389	2105	370.311823447766	329.56403142122	7614.27994936416	409.72706303439	402.991625756408	1284.49797133272	87.98	DOWN_pEhEx_UP_U2AF84
EHI_129370A	214.257538649709	1426.19764114275	-0.675602407798177	0.879138103401451	-2.7347560514166	21	3	1697	29	5	969	22.6721524559857	3.27381488166775	4099.43942705298	19.5108125254472	5.17984094802581	591.296215782142	87.91	DOWN_pEhEx_UP_U2AF84
EHI_195140A	905.945030238354	3763.09223060885	-0.675312760648591	0.878979156957632	-2.05442322917338	292	244	4276	556	387	3074	315.250881768943	266.27027704231	10329.524449074	374.069371177539	400.919689377198	1875.79418711487	87.9	DOWN_pEhEx_UP_U2AF84
EHI_178740A	251.829776808703	1447.64353148504	-0.673955314422324	0.878206646076828	-2.52318561102742	82	40	1681	113	64	966	88.5293572090869	43.6508650889033	4060.78825979732	76.0248901853631	66.3019641347304	589.465577343188	87.82	DOWN_pEhEx_UP_U2AF84
EHI_196950A	246.887285868206	1495.26776429246	-0.673700374184533	0.878054486276249	-2.5984794094135	20	31	1768	81	41	1012	21.5925261485578	33.8294204439001	4270.95398174995	54.4957177434904	42.4746957738117	617.535366740483	87.81	DOWN_pEhEx_UP_U2AF84
EHI_176820A	2628.354270731	9987.1941055905	-0.67315162310487	0.877718288773919	-1.92591966408676	413	388	11613	1125	1655	8582	445.885664967718	423.413391362362	28053.5003337456	756.884968659588	1714.52735379654	5236.84636103441	87.77	DOWN_pEhEx_UP_U2AF84
EHI_048730A	379.259995419096	2024.52037380515	-0.672567720980355	0.877351077339149	-2.41632105328342	79	58	2365	117	79	1537	85.2904782868032	63.2937543789098	5713.1256599766	78.7160367405972	81.8414869788079	937.897093557433	87.74	DOWN_pEhEx_UP_U2AF84
EHI_024690A	572.54683233573	3715.50837365389	-0.752026550142287	0.877241820176781	-2.69809401014007	51	23	4416	97	44	2521	55.0609416788223	25.0992474261194	10667.722162561	65.2603039644267	45.5826003426272	1538.34650153435	87.72	DOWN_pEhEx_UP_U2AF84
EHI_118270A	48371.9807216337	203350.156326175	-0.752490431037675	0.877013851644103	-2.07172258071958	4325	8539	237897	25137	58145	109725	4669.38377962562	9318.36842485364	574687.296038669	16911.8377397298	60236.3703845922	66955.6009047426	87.7	DOWN_pEhEx_UP_U2AF84
EHI_048260A	101.92316568437	1004.38711250197	-0.753341478261629	0.876578642792761	-3.30076152439586	12	12	1192	23	16	430	12.9555156891347	13.095259526671	2879.51196054634	15.474092692596	16.5754910336826	262.391509583407	87.66	DOWN_pEhEx_UP_U2AF84
EHI_192800A	2073.05242497911	6022.79027439742	-0.671199678438225	0.876446758947745	-1.53867542135416	1330	1535	5986	1977	1657	5092	1435.90298887909	1675.10194778667	14460.3679495222	1330.09918492445	1716.59929017575	3107.20364371792	87.64	DOWN_pEhEx_UP_U2AF84
EHI_118190A	61.5702967691463	573.917961145397	-0.670166876942969	0.875725291880219	-3.22053809773539	7	7	681	9	7	269	7.55738415199522	7.63890139055808	1645.09030631884	6.05507974927671	7.25177732723614	164.147246692875	87.57	DOWN_pEhEx_UP_U2AF84
EHI_129910A	465.144595721442	2316.73317540444	-0.668727927058029	0.874662376526021	-2.31634072463337	96	71	2702	187	111	1818	103.644125513077	77.4802855328034	6527.21587029885	125.811101457194	114.992469046173	1109.36689400612	87.47	DOWN_pEhEx_UP_U2AF84
EHI_054490A	315.547273530439	2353.42847568317	-0.756850088157552	0.874464481759383	-2.89883594494168	45	21	2789	54	14	1405	48.583183834255	22.9167041716742	6737.38159225147	36.3304784956602	14.5035546544723	857.349002243457	87.45	DOWN_pEhEx_UP_U2AF84
EHI_158070A	151.756394213948	1350.18639299732	-0.757888515794893	0.873740200038032	-3.15332937439157	24	14	1600	27	23	649	25.9110313782693	15.2778027811162	3865.11672556556	18.1652392478301	23.8272683609187	396.028115627049	87.37	DOWN_pEhEx_UP_U2AF84
EHI_076870A	1386.58007323491	5433.73268391819	-0.666489312820861	0.872882849854136	-1.97041266038064	384	325	6202	698	552	4926	414.576502052309	354.663278847339	14982.1587074735	469.605073888349	571.85444066205	3005.90831676247	87.29	DOWN_pEhEx_UP_U2AF84
EHI_049360A	78.5050965102162	901.196469985269	-0.759300351523128	0.872677716977641	-3.52098344133063	3	8	1074	5	3	359	3.23887892228367	8.73017301778066	2594.45960203588	3.36393319404261	3.10790456881549	219.066399861495	87.27	DOWN_pEhEx_UP_U2AF84
EHI_057550A	228.823700190289	651.77690630186	-0.665925896103854	0.872413416398046	-1.51014174996799	731	436	284	341	156	478	789.206830729786	475.794429469046	686.058218787888	229.420243833706	161.611037578405	291.681724606671	87.24	DOWN_pEhEx_UP_U2AF84
EHI_009680A	20933.924986201	35735.3739907889	-0.760750264462907	0.87150779729627	-0.771510053288422	23042	20680	24138	28526	21101	35713	24876.7493757534	22567.497250963	58310.1172010635	19191.9116586519	21859.9647688585	21792.5301901214	87.15	DOWN_pEhEx_UP_U2AF84
EHI_167300A	17037.7671768552	50715.3131373128	-0.664074304984247	0.870800125194032	-1.57368514402092	6669	7130	54817	11682	13848	46191	7200.02784423659	7780.76670209702	132421.31471583	7859.49351456116	14346.0874896523	28186.3400445748	87.08	DOWN_pEhEx_UP_U2AF84
EHI_057670A	38445.5119992257	143500.422156459	-0.764172423767635	0.868402895389246	-1.90016788337257	21352	20925	153737	23758	22533	120650	23052.1809162003	22834.8587996326	371382.156273921	15984.0649648129	23343.4712163731	73622.1758866001	86.84	DOWN_pEhEx_UP_U2AF84
EHI_092270A	116.585951231784	1157.42326787667	-0.770174392717765	0.861963373399312	-3.31145069487721	10	19	1373	40	8	494	10.7962630742789	20.7341609172291	3316.75329012595	26.9114655523409	8.2877455168413	301.445129614425	86.2	DOWN_pEhEx_UP_U2AF84
EHI_099190A	1281.66075145937	4218.70321448576	-0.654845075095356	0.861400445857793	-1.71878515856118	725	626	4474	1149	832	3527	782.729072885219	683.136038641337	10807.8326438627	773.031847990993	861.925533751496	2152.22059139692	86.14	DOWN_pEhEx_UP_U2AF84
EHI_117850A	5293.50475087976	2092.52259377819	1.08806601338653	0.860758915073534	1.33898002544933	1174	2709	840	7024	7714	5476	1267.48128492034	2956.25483814598	2029.18628092192	4725.65335099106	7991.45861461423	3341.52536390404	86.08	UP_pEhEx_DOWN_U2AF84
EHI_148230A	49465.3136107914	69509.5427239654	-0.653931796488532	0.860360601812759	-0.490793830311344	57623	46160	38996	59066	37002	113249	62211.3067129172	50373.0983125944	94202.5573938467	39738.8156078642	38332.8949517702	69105.9908577005	86.04	DOWN_pEhEx_UP_U2AF84
EHI_087570A	5894.65603418512	17676.4648501217	-0.653841300933363	0.860256865916308	-1.58435023982189	1395	2706	19402	5229	6267	12431	1506.0786988619	2952.98102326431	46869.3716933894	3518.00133432977	6492.41264425556	7585.55547821239	86.03	DOWN_pEhEx_UP_U2AF84
EHI_170340A	65971.2071419347	45296.7879565371	1.08609702436531	0.859915226009615	0.542427752749502	42828	51209	14062	75864	68305	124151	46238.2354945216	55882.9287584413	33969.5446218143	51040.2855665698	70761.8071909806	75758.5309448594	85.99	UP_pEhEx_DOWN_U2AF84
EHI_090020A	13741.2106311395	6341.0503709088	1.07500349529269	0.855113985193071	1.11571537216288	2808	6536	3584	16174	20499	15588	3031.59067125751	7132.5513555268	8657.86146526686	10881.651096089	21236.3119187162	9511.99732880499	85.51	UP_pEhEx_DOWN_U2AF84
EHI_069450A	14625.8563505481	17895.2425029278	-0.649330028709558	0.854873483509119	-0.291054996589278	16401	13442	8707	22082	14605	22952	17706.9510681248	14668.873213126	21033.4820809371	14856.4745581698	15130.3154091834	14005.6044836241	85.49	DOWN_pEhEx_UP_U2AF84
EHI_163530A	983.872309822183	3299.41153810369	-0.647772894844703	0.852935290904557	-1.74566574244466	545	539	3487	954	592	2707	588.396337548199	588.195407072972	8423.53876377945	641.838453423331	613.293168246256	1651.84608474949	85.29	DOWN_pEhEx_UP_U2AF84
EHI_075690A	203.955634210403	1150.03119923801	-0.647553040142417	0.852657047155182	-2.49534573383511	32	28	1351	93	79	738	34.5480418376924	30.5556055622323	3263.60793514942	62.5691574091926	81.8414869788079	450.337055982684	85.27	DOWN_pEhEx_UP_U2AF84
EHI_065820A	417.506436606486	1575.62218414559	-0.647508032128314	0.852599927598765	-1.9160512902025	378	282	1605	428	260	1111	408.098744207742	307.738598876768	3877.19521533296	287.952681410048	269.351729297342	677.946435225965	85.26	DOWN_pEhEx_UP_U2AF84
EHI_024490A	891.274392644211	3061.36814365108	-0.778894611189974	0.851041095485022	-1.78023498474909	1188	961	2749	1600	605	1586	1282.59605322433	1048.7120337609	6640.75367411233	1076.45862209364	626.760754711124	967.797521393682	85.1	DOWN_pEhEx_UP_U2AF84
EHI_148790A	7490.61818440019	21585.8284472733	-0.645766932440984	0.850382273699406	-1.52692777218457	3195	3066	23168	5483	5921	20214	3449.4060522321	3345.83880906444	55966.8901861894	3688.88914058713	6133.96765065217	12334.8418016721	85.04	DOWN_pEhEx_UP_U2AF84
EHI_021360A	12639.0826939031	38850.5879985702	-0.643997742361341	0.84808706394007	-1.62004467289319	4484	4568	42642	6385	5804	43661	4841.04436250665	4984.92879315276	103010.192132229	4295.74268879242	6012.75937246837	26642.5016277235	84.81	DOWN_pEhEx_UP_U2AF84
EHI_035460A	32844.0734972994	103248.705112795	-0.782407450505168	0.84639963258723	-1.65241871422362	25651	24168	102345	32925	31316	71040	27693.4944118328	26373.8526867154	247234.607048755	22151.5000827706	32442.3798256753	43349.5182344307	84.64	DOWN_pEhEx_UP_U2AF84
EHI_108500A	38126.1362208063	116345.201322449	-0.785383087032123	0.84246132219184	-1.60955946979635	32524	28798	113127	41958	31408	86410	35113.7660227846	31426.4403207559	273280.66238316	28228.781791128	32537.688899119	52728.4891700051	84.25	DOWN_pEhEx_UP_U2AF84
EHI_070750A	2230.99928179641	7269.36778654358	-0.638576662811935	0.840881183948785	-1.70413984995003	870	949	7925	1164	973	7750	939.274887462263	1035.61677423423	19144.4062813169	783.123647573121	1007.99704848582	4729.14930063117	84.09	DOWN_pEhEx_UP_U2AF84
EHI_092110A	2358.45463556066	14530.1087113286	-0.788358015315574	0.83856509959703	-2.62313174068867	80	64	17331	260	295	10349	86.3701045942311	69.8413841422453	41866.4612317355	174.924526090216	305.610615933523	6315.09240157832	83.86	DOWN_pEhEx_UP_U2AF84
EHI_010020A	1384.6477867621	10951.9034238262	-0.916728314773148	0.838368022215441	-2.98359068045853	140	135	12992	610	1264	3885	151.147683039904	147.321669675049	31384.7478115924	410.399849673199	1309.46379166093	2370.67677844543	83.84	DOWN_pEhEx_UP_U2AF84
EHI_169350A	4729.99134740918	36185.3376037264	-0.912678221696146	0.835659534144926	-2.93549578224476	153	347	43099	1248	3834	14895	165.182825036467	378.671254646236	104114.166096969	839.637725233037	3971.90203894619	9089.11984940661	83.57	DOWN_pEhEx_UP_U2AF84
EHI_036580A	2162.95886717902	8139.31137288744	-0.790843342196835	0.835363133055098	-1.91190051038019	1603	1719	8325	2553	1933	4486	1730.64097080691	1875.89592719562	20110.6854627083	1717.62428887816	2002.52651050678	2737.41467904922	83.54	DOWN_pEhEx_UP_U2AF84
EHI_008650A	37079.0370394549	77079.7697604962	-0.633197508720586	0.833629454715234	-1.055748485307	27539	27064	68975	38432	36775	76660	29731.8288802566	29534.175319152	166622.766341178	25856.5361026892	38097.7301727299	46778.9142434046	83.36	DOWN_pEhEx_UP_U2AF84
EHI_113440A	6.95989598797669	65.4754298701447	-0.633193832289684	0.833624505430438	-3.23381597540637	12	10	69	3	8	17	12.9555156891347	10.9127162722258	166.683158790015	2.01835991642557	8.2877455168413	10.3736178207393	83.36	DOWN_pEhEx_UP_U2AF84
EHI_068020A	30.3510316863778	268.994552615588	-0.631176291899045	0.830920764987166	-3.14775949495374	6	8	316	18	14	102	6.47775784456733	8.73017301778066	763.360553299199	12.1101594985534	14.5035546544723	62.241706924436	83.09	DOWN_pEhEx_UP_U2AF84
EHI_131940A	7379.68268309402	4664.59162478028	1.01725086138385	0.828502522035493	0.661808001901231	3773	5374	1673	9329	7855	12682	4073.43005792542	5864.49372469416	4041.46267616949	6276.42655344471	8137.53012934855	7738.71889427155	82.85	UP_pEhEx_DOWN_U2AF84
EHI_049000A	4361.35588777259	1776.02402773499	1.0143479026762	0.827417069321736	1.29612561954795	951	2642	584	6747	5885	4265	1026.72461836392	2883.13963912206	1410.76760483143	4539.2914520411	6096.67279582638	2602.5576473796	82.74	UP_pEhEx_DOWN_U2AF84
EHI_195110A	8.75336154684192	270.170662210059	-0.936183055698605	0.826843125143621	-4.94789005046951	559	169	15	0	0	41	603.51110585219	184.424905000617	36.2354693021772	0.336393319404261	0.517984094802581	25.0187253323713	82.68	DOWN_pEhEx_UP_U2AF84
EHI_194240A	270.115623262109	3290.17237599404	-0.904976751868641	0.826260083131463	-3.60651417877841	24	12	3923	28	18	1212	25.9110313782693	13.095259526671	9476.78307149607	18.8380258866386	18.6474274128929	739.577929337416	82.63	DOWN_pEhEx_UP_U2AF84
EHI_040820A	151.804101451998	1550.55617984034	-0.798678956748309	0.825679555393945	-3.3525031234962	24	9	1842	33	4	673	25.9110313782693	9.82144464500325	4449.71563030736	22.2019590806813	4.14387275842065	410.673223138681	82.57	DOWN_pEhEx_UP_U2AF84
EHI_194520A	6771.19076710486	15331.8571622054	-0.627026220621207	0.825450851447794	-1.17905099209838	4939	4806	14196	6499	5406	16599	5332.27433238634	5244.65144043173	34293.2481475805	4372.44036561659	5600.44403300551	10128.9224827325	82.55	DOWN_pEhEx_UP_U2AF84
EHI_000240A	1527.74327948551	4473.68874927748	-0.626728424148625	0.825064664845701	-1.55006275172146	682	842	4704	1584	1644	2955	736.30514166582	918.850710121415	11363.4431731628	1065.6940358727	1703.13170371089	1803.17886236969	82.51	DOWN_pEhEx_UP_U2AF84
EHI_099790A	73139.2677312572	102046.65346283	-0.625806792373453	0.823876105195334	-0.480510783500408	85784	63253	58700	86126	57397	164460	92614.663156394	69026.2042367101	141801.469869187	57944.4220540228	59461.4661787675	100355.599223458	82.39	DOWN_pEhEx_UP_U2AF84
EHI_196920A	27735.9028758352	31462.6816297753	-0.902452729799927	0.82212824937964	-0.181886950185655	28021	29918	12936	40575	29599	41865	30252.2087604369	32648.6645432452	31249.4687261976	27298.3178696558	30663.6224441232	25546.5594156031	82.21	DOWN_pEhEx_UP_U2AF84
EHI_044770A	7931.6302957244	4349.54713196291	0.995044111532457	0.820755560554401	0.866752235487599	4066	5690	1036	10867	10162	10054	4389.76056600179	6209.3355588965	2502.6630798037	7311.17240393222	10527.5087427677	6135.07962174784	82.08	UP_pEhEx_DOWN_U2AF84
EHI_105350A	305.092914091599	1549.55509877895	-0.621975419015431	0.819053133743173	-2.34453347667331	81	34	1806	64	15	1344	87.449730901659	37.1032353255678	4362.75050398213	43.0583448837455	15.5395228440774	820.126020651392	81.91	DOWN_pEhEx_UP_U2AF84
EHI_090270A	208.506788723771	792.294553315393	-0.621915642299454	0.818979455176314	-1.9259425275467	306	191	737	300	166	409	330.365650072934	208.432880799513	1780.36939171364	201.835991642557	171.970719474457	249.577040510729	81.9	DOWN_pEhEx_UP_U2AF84
EHI_192590A	3412.20401879449	9090.85041094311	-0.621300956515293	0.818225784802106	-1.41371134951569	1758	1760	9381	2681	3272	8113	1897.98304845823	1920.63806391175	22661.6625015816	1803.74097864565	3389.68791638809	4950.6565517446	81.82	DOWN_pEhEx_UP_U2AF84
EHI_135080A	36574.1330356807	83651.3352747832	-0.621025207090527	0.817889455142799	-1.19356490261131	18124	23968	82143	47527	45516	51138	19567.1471958231	26155.5983612709	198432.676992583	31975.5305826527	47153.1281180686	31205.0628304099	81.79	DOWN_pEhEx_UP_U2AF84
EHI_050640A	3.57180804894301	49.4452982620783	-0.805982927318228	0.816983219782591	-3.79110688570863	30	36	31	4	8	0	32.3887892228367	39.285778580013	74.8866365578328	2.69114655523409	8.2877455168413	0.305106406492333	81.7	DOWN_pEhEx_UP_U2AF84
EHI_004970A	380.95139244429	1213.14442421405	-0.619941672479305	0.816579776098735	-1.67107247911594	491	355	1092	638	246	745	530.096516947093	387.401427664017	2637.9421651985	429.237875559838	254.84817464287	454.608545673577	81.66	DOWN_pEhEx_UP_U2AF84
EHI_151810A	13410.4421425861	24161.5126292522	-0.61858292021245	0.814963746992282	-0.849353973564045	11212	11705	19143	15567	14575	23999	12104.7701588815	12773.3343966403	46243.7059234385	10473.2696063323	15099.2363634952	14644.497298819	81.5	DOWN_pEhEx_UP_U2AF84
EHI_008450A	191.906935436465	771.938846445512	-0.617595692436788	0.813809051326011	-2.00807970980279	188	201	758	240	183	366	202.969745796443	219.345597071739	1831.09904873669	161.468793314045	189.582178697745	223.337889552388	81.38	DOWN_pEhEx_UP_U2AF84
EHI_029370A	680.281304889928	3864.00985150683	-0.80976267366044	0.812385664553039	-2.50589542497956	368	350	4319	505	422	2011	397.302481133463	381.945069527904	10433.3994610735	339.757252598304	437.178576013379	1227.13796691217	81.24	DOWN_pEhEx_UP_U2AF84
