UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	56.2002698558932	505.710637718888	792.032819497041	195.522164513161	479.407728032964	494.125557174548
EHI_000140A	125.173328315398	437.695757645936	39.46070986818	394.358264018071	377.794133504238	40.0642343655039
EHI_000240A	791.912893423949	1375.50092759299	6413.77466464596	1312.3182567324	2141.70191545161	2192.40393611229
EHI_000250A	749.76269103203	251.25496874008	1424.81348845464	362.87588159646	362.161272807511	680.350053947538
EHI_000260A	126.45060717576	113.624858474813	125.428684938143	121.787110946757	74.2560883094537	51.9351186219494
EHI_000280A	61.309385297338	70.415405251997	31.0048434678557	61.3077973473472	92.4944257889687	63.806002878395
EHI_000290A	28.1001349279466	23.2050767307718	63.4189980024321	20.7120936984281	15.6328606967271	83.838120061147
EHI_000300A	85.577683644201	136.029760145903	14.0931106672071	149.127074628682	127.668362356605	32.6449317052254
EHI_000410A	21.7137406261405	28.8063021485442	125.428684938143	31.4823824216107	27.3575062192724	67.5156542085343
EHI_000430A	33.2092503693914	42.4092781631346	12.6837996004864	28.9969311777993	15.6328606967271	11.1289539904177
EHI_000440A	360.192638621861	568.924467433749	118.38212960454	451.523642625733	306.143521977572	313.094572263752
EHI_000480A	20.4364617657793	20.0043764920446	4.22793320016214	28.1684474298622	24.7520294364846	11.8708842564456
EHI_000510A	11789.283881134	8038.55864956321	6316.53220104223	10412.3837440738	13423.416384923	7972.78263873527
EHI_000520A	25.5455772072242	24.8054268501353	2.81862213344143	19.0551262025539	22.1465526536967	13.3547447885013
EHI_000540A	40.8729235315587	28.0061270888625	46.5072652017835	36.4532849092335	14.3301223053332	78.644608198952
EHI_000550A	321.874272811025	255.255844038489	128.247307071585	321.451694199604	293.116138063633	126.870075490762
EHI_000560A	71.5276161802277	54.4119040583614	14.0931106672071	52.1944761200388	53.4122740471509	8.90316319233419
EHI_000570A	79.1912893423949	67.2147050132699	77.5121086696392	55.5084111117873	53.4122740471509	140.224820279263
EHI_000580A	169.878088428041	156.83431169763	160.661461606161	154.926460864242	130.273839139393	183.256775708879
EHI_000590A	16055.3952747404	8757.91602821713	3028.60948238281	11589.6591498924	12816.3402945334	6707.04960489176
EHI_000610A	1235.12865796929	1129.84718427068	7646.92184802659	1617.20027597327	2968.94079398676	3951.52059686432
EHI_000620A	6.38639430180604	52.011378879316	128.247307071585	20.7120936984281	36.4766749590299	59.3544212822279
EHI_000640A	11.4955097432509	0	412.928142549169	1.65696749587425	0	158.031146663932
EHI_000650A	86.8549625045622	76.0166306697695	40.8700209349007	85.3338260375238	69.045134743878	50.4512580898937
EHI_000660A	29.3774137883078	19.2042014323628	21.1396660008107	27.3399636819251	11.7246455225453	19.2901869167241
EHI_000670A	22.9910194865018	15.2033261339539	111.335574270936	9.11332122730837	13.0273839139393	101.644446445815
EHI_000690A	0	225.649366830263	0	152.441009620431	388.21604063539	0
EHI_000700A	76.6367316216725	55.2120791180431	15.5024217339278	65.4502160870328	67.7423963524841	28.9352803750861
EHI_000710A	35.7638080901138	63.213829714861	4.22793320016214	38.1102524051077	33.8711981762421	10.3870237243899
EHI_000720A	208.196454238877	156.034136637948	191.666305074017	180.609457050293	139.39300787915	159.515007195988
EHI_000730A	321.874272811025	812.177685577011	3462.67729093279	758.891113110406	1087.78655681393	2045.50174343878
EHI_000740A	145.609790081178	74.416280550406	35.2327766680178	102.731984744203	102.91633292012	33.3868619712532
EHI_000770A	14.0500674639733	8.00175059681785	28.1862213344143	6.62786998349699	5.2109535655757	47.4835370257823
EHI_000780A	33.2092503693914	26.4057769694989	2.81862213344143	23.1975449422395	37.7794133504238	1.4838605320557
EHI_000790A	56.2002698558932	69.6152301923153	162.070772672882	58.8223461035358	52.109535655757	227.030661404522
EHI_000800A	429.165697081366	210.446040696309	552.449938154519	284.998409290371	274.877800584118	413.99708844354
EHI_000900A	11.4955097432509	31.2068273275896	53.5538205353871	22.3690611943024	45.5958436987874	83.0961897951191
EHI_001040A	3.83183658108363	12.0026258952268	49.3258873352249	4.97090248762275	2.60547678278785	43.0319554296153
EHI_001050A	528.79344818954	628.937596909883	1314.88722525042	641.246420903334	643.552765348599	895.509831095614
EHI_001060A	10.2182308828897	20.8045515517264	46.5072652017835	18.2266424546167	20.8438142623028	16.3224658526127
EHI_001070A	554.339025396765	779.370508130058	91.6052193368463	739.007503159915	848.082692797445	242.611196991107
EHI_001100A	29.3774137883078	32.8071774469532	341.053278146412	20.7120936984281	24.7520294364846	221.095219276299
EHI_001120A	49.8138755540871	56.8124292374067	64.8283090691528	86.990793533398	117.246455225453	52.6770488879773
EHI_001130A	2790.85430988924	1154.65261112082	121.200751737981	1273.37952057936	2365.77291877137	28.9352803750861
EHI_001140A	30.654692648669	80.8176810278602	5.63724426688285	47.2235736324161	39.0821517418178	3.70965133013925
EHI_001150A	112.400539711786	89.6196066843599	15.5024217339278	95.2756310127693	61.2287043955145	26.7094895770026
EHI_001180A	14.0500674639733	4.00087529840892	233.945637075638	9.11332122730837	5.2109535655757	163.966588792155
EHI_001400A	2329.75664129884	1409.10828009962	1891.2954515392	1980.90464131766	2488.2303275624	1968.34099577188
EHI_001410A	28.1001349279466	27.2059520291807	11.2744885337657	28.9969311777993	18.238337479515	19.2901869167241
EHI_001420A	8864.31529090679	8573.07558943064	2281.67461702083	10034.5951550144	13935.3925727408	3823.16666084151
EHI_001430A	12.7727886036121	15.2033261339539	4.22793320016214	9.94180497524549	20.8438142623028	2.22579079808355
