CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	81.8678325198536	46.4266775004623	334.108742446717	192.440117693877	466.228306631834	479.79985749024
EHI_000140A	125.209626206835	164.483086001638	766.682781785791	388.141932297819	367.408176421826	38.9026911478573
EHI_000240A	988.834996710388	851.59791300848	1337.27655352099	1291.63197638602	2082.82428288787	2128.84171003552
EHI_000250A	555.417059840575	578.343754005759	276.881048526372	357.155811652195	352.20507946644	660.625329307132
EHI_000260A	14.4472645623271	122.035838001215	2.52475120236814	119.867361444915	72.214710538083	50.4294144509261
EHI_000280A	65.8153163394901	47.7531540004755	204.504847391819	60.3413928362155	89.9516569860332	61.956137753995
EHI_000290A	19.2630194164361	30.5089595003038	16.8316746824543	20.3856056879107	15.2030969553859	81.4074833279236
EHI_000300A	56.183806631272	79.5885900007925	57.2276939203445	146.776360952957	124.158625135651	31.6984890834393
EHI_000410A	16.0525161803634	22.5501005002246	62.2771963250807	30.9861206456242	26.6054196719253	65.558238786204
EHI_000430A	11.2367613262544	29.1824830002906	2.52475120236814	28.5398479630749	15.2030969553859	10.806303096627
EHI_000440A	377.234130238541	367.433990503659	620.247212048439	444.406203996452	297.727315376307	304.01732711844
EHI_000480A	17.6577677983998	31.835436000317	3.36633493649085	27.7244237355585	24.071570179361	11.5267233030688
EHI_000510A	11323.4449136284	12370.7198391232	4876.97773924112	10248.2516914264	13054.3925856914	7741.6355384236
EHI_000520A	25.6840258885815	15.9177180001585	37.0296843013994	18.7547572328778	21.5377206867967	12.9675637159524
EHI_000540A	36.9207872148359	34.4883890003434	55.544526452099	35.8786660107228	13.9361722091037	76.364541882831
EHI_000550A	345.129097877814	366.107514003646	423.316618263724	316.384600276373	285.058067913485	123.191855301548
EHI_000560A	91.4993422280716	75.6091605007529	125.395976384284	51.3717263335349	51.9439145975685	8.64504247730162
EHI_000570A	96.3150970821807	83.5680195008322	140.544483598493	54.6334232436006	51.9439145975685	136.159419017501
EHI_000580A	174.972426365962	184.380233501836	122.871225181916	152.484330545572	126.692474628216	177.943790991125
EHI_000590A	16123.147251557	15143.0557241508	4017.72074670183	11406.9695187273	12464.0056539239	6512.59866623389
EHI_000610A	1849.24986397787	1574.52760551568	1317.92012763617	1591.70809211206	2887.32149677704	3836.95801950904
EHI_000620A	1.60525161803634	1.32647650001321	26.0890957578041	20.3856056879107	35.4738928959004	57.6336165153441
EHI_000650A	43.3417936869813	80.9150665008058	2.52475120236814	83.9886954341919	67.1470115529543	48.9885740380425
EHI_000660A	24.0787742705452	29.1824830002906	9.25742107534984	26.9089995080421	11.4023227165394	18.7309253674868
EHI_000670A	19.2630194164361	10.6118120001057	25.2475120236814	8.96966650268069	12.6692474628216	98.6975682825268
EHI_000690A	0	0	69.0098661980624	150.038057863022	377.543574392083	0
EHI_000700A	69.0258195755628	79.5885900007925	17.673258416577	64.4185139737977	65.8800868066722	28.0963880512303
EHI_000710A	25.6840258885815	38.4678185003831	6.7326698729817	37.5095144657556	32.9400434033361	10.0858828901852
EHI_000720A	144.472645623271	148.565368001479	48.8118565791173	177.762481598581	135.560947852191	154.890344384987
EHI_000730A	417.36542068945	546.508318005442	127.07914385253	746.928592405046	1057.8821631456	1986.19850916005
EHI_000740A	184.60393607418	140.6065090014	175.049416697524	101.112604212037	100.08705495629	32.4189092898811
EHI_000780A	12.8420129442908	46.4266775004623	5.89108613885899	22.8318783704599	36.7408176421826	1.4408404128836
EHI_000790A	94.7098454641443	74.2826840007397	183.465254038751	57.8951201536663	50.6769898512863	220.448583171191
EHI_000800A	357.971110822105	350.189796003487	171.683081761033	280.505934265651	267.321121465535	401.994475194525
EHI_000900A	19.2630194164361	10.6118120001057	53.8613589838536	22.0164541429435	44.3423661198755	80.6870631214818
EHI_001050A	643.705898832574	590.282042505878	547.029427179763	631.138352097714	625.860824663386	869.547189175255
EHI_001060A	0	3.97942950003963	12.6237560118407	17.9393330053614	20.2707959405145	15.8492445417196
EHI_001070A	709.521215172064	701.706068506988	1075.54401220883	727.358410944652	824.768009829685	235.577407506469
EHI_001100A	40.1312904509086	21.2236240002113	85.8415408805167	20.3856056879107	24.071570179361	214.685221519657
EHI_001120A	86.6835873739626	62.3443955006208	324.009737637244	85.6195438892248	114.023227165394	51.1498346573679
EHI_001130A	4294.04807824722	2850.59799852839	5422.32399895264	1253.30703769275	2300.7353392484	28.0963880512303
EHI_001140A	20.8682710344725	26.5295300002642	20.1980096189451	46.4791809684363	38.0077423884647	3.60210103220901
EHI_001150A	88.2888389919989	103.46516700103	17.673258416577	93.773786164389	59.5454630752614	25.9351274319049
EHI_001180A	19.2630194164361	13.2647650001321	40.3960192378902	8.96966650268069	5.06769898512863	159.212865623638
EHI_001400A	1549.06781140507	2268.27481502259	94.2573782217438	1949.67932799178	2419.82626539892	1911.2748076901
EHI_001410A	17.6577677983998	26.5295300002642	10.9405885435953	28.5398479630749	17.7369464479502	18.7309253674868
EHI_001420A	11238.3665778724	9991.02099809949	12234.1027429419	9876.41824367895	13552.2940109802	3712.3253237946
EHI_001430A	14.4472645623271	17.2441945001717	16.8316746824543	9.78509073019712	20.2707959405145	2.16126061932541
EHI_001635A	150.893652095416	374.066373003725	51.3366077814855	446.852476679002	266.054196719253	30.2576486705557
EHI_001780A	8970.14604158709	6000.97968605976	28320.1342369634	5161.63536017898	3159.7103172277	22042.6970564998
EHI_001790A	12.8420129442908	5.30590600005284	15.1485072142088	7.33881804764784	2.53384949256432	17.2900849546032
