pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_111980A	29430.7610345564	41450.902309817	-1.57597818135211	0.996888005253086	-0.494078658225114	26270	27574	59826	32707	22499	41378	42169.9600058148	36576.2630113642	50348.5884776254	26670.0802093798	28504.5398666023	29809.5473021489	99.69	DOWN_pEhEx_UP_CDC5
EHI_178960A	11225.9759347591	3724.36695496778	1.53594793106113	0.993982177239925	1.59177374061666	2576	5192	459	8458	10570	16805	4135.12816806162	6887.06598806858	386.286933962325	6896.85811633393	13391.3945682024	12106.6615692545	99.4	UP_pEhEx_DOWN_CDC5
EHI_025600A	61732.1941589934	187065.058120642	-1.81428485651673	0.993365067056255	-1.59944512739284	94921	107628	347065	90687	70620	27104	152372.088835628	142766.012743422	292084.258683299	73948.3769207821	89470.225582446	19526.2692753986	99.34	DOWN_pEhEx_UP_CDC5
EHI_107290A	13907.3745062334	6013.68802126585	1.21414321041937	0.987482359524268	1.20952815675002	4405	8148	615	11824	14707	16891	7071.1333774501	10808.1305221076	517.573996485468	9641.57606615422	18632.6622435717	12168.6177070085	98.75	UP_pEhEx_DOWN_CDC5
EHI_188180A	22987.6129892303	8961.84295591634	1.27537782419592	0.986491804602891	1.35898931526139	6911	11813	734	15537	19116	40233	11093.8939322492	15669.666894656	617.722460846071	12669.2462229227	24218.5334499297	28984.666165773	98.65	UP_pEhEx_DOWN_CDC5
EHI_164870A	36803.0501057511	55677.2014764197	-1.55405883465727	0.985590979864075	-0.59726136163425	36256	35708	80518	38367	27051	56066	58200.0026635257	47365.8228624717	67762.6391040926	31285.3813371227	34271.5813116786	40391.0792943661	98.56	DOWN_pEhEx_UP_CDC5
EHI_087570A	7371.48010368698	2831.63413131623	1.27753944274254	0.984637830081984	1.38031945376871	978	1445	6516	5229	6267	12431	1569.93608243954	1916.75854251909	5483.7596115436	4263.85328568339	7939.81738495028	8955.54358627804	98.46	UP_pEhEx_DOWN_CDC5
EHI_015320A	10468.1168949728	21107.0854649465	-1.36209892943783	0.981852965626689	-1.01172544059018	11518	12490	36902	9253	6695	19235	18489.2881365426	16567.691485165	31056.1229565963	7545.12037720949	8482.06117635904	13857.2826709081	98.19	DOWN_pEhEx_UP_CDC5
EHI_056480A	13558.5245652674	6043.30891161978	1.28056809484016	0.981788741283255	1.16578959908301	4350	5259	5597	8833	11155	24261	6982.8445384581	6975.93991356947	4710.34415988482	7202.64220165259	14132.5455447775	17478.1146284846	98.18	UP_pEhEx_DOWN_CDC5
EHI_025830A	2394.3057400741	1004.1693504648	1.28083606608971	0.981525661595547	1.25360479205489	618	832	1218	2317	1872	3656	992.045499946461	1103.62844801099	1025.04898816146	1889.33793515556	2371.6831250402	2633.85627475123	98.15	UP_pEhEx_DOWN_CDC5
EHI_129750A	3531.88578723035	1491.86769648945	1.20591127748639	0.981123372739602	1.2433190918802	891	984	2281	2858	2695	6076	1430.27919167038	1305.252876013	1919.65249753391	2330.48244224195	3414.36219123041	4377.27317434039	98.11	UP_pEhEx_DOWN_CDC5
EHI_103310A	2395.79771447616	443.495696732007	1.20248206494278	0.978050510001778	2.43351409037303	237	652	145	3240	3191	632	380.444633474614	864.862678008612	122.029641447793	2641.97449715322	4042.75686538636	455.305570471219	97.81	UP_pEhEx_DOWN_CDC5
EHI_023400A	811.086517664187	3492.44413455605	-1.33859202178413	0.977563393873099	-2.10630931996141	2623	3888	1610	1723	438	578	4210.57499410933	5157.34063205136	1354.94981193757	1404.9759440108	554.913038871585	416.402879323361	97.76	DOWN_pEhEx_UP_CDC5
EHI_189940A	14158.4113158006	27361.967152268	-1.29847167559326	0.977415326774882	-0.950512561730869	14923	14728	50262	16648	13411	14890	23955.1698959564	19536.3458921945	42299.6816444758	13575.1825396935	16990.72777239	10727.0568739184	97.74	DOWN_pEhEx_UP_CDC5
EHI_098440A	440.203605593439	1707.62116812222	-1.33802171033461	0.977406490499987	-1.95574508470614	1090	1448	1935	726	540	54	1749.72426365962	1920.73797201913	1628.46452552745	591.997989176925	684.139362992365	38.9026911478573	97.74	DOWN_pEhEx_UP_CDC5
EHI_049670A	1243.72368126546	3726.58940888631	-1.29399505077705	0.977005929511978	-1.583189876664	2178	3288	4432	1257	2116	44	3496.23802408316	4361.45473204343	3729.89910963186	1024.98825398815	2680.81276313305	31.6984890834393	97.7	DOWN_pEhEx_UP_CDC5
EHI_069490A	8432.1974502393	12407.954918544	-1.29396056185374	0.976999559689787	-0.557284794838794	8839	9826	13283	11032	6950	9346	14188.8190518232	13033.9580891298	11178.756740352	8995.76007796121	8805.12698666099	6733.04724940508	97.7	DOWN_pEhEx_UP_CDC5
EHI_197030A	47141.6300723426	80093.7089220326	-1.30954807352687	0.976400199242196	-0.764687283246962	40662	58239	128557	73060	44670	31337	65272.7412925938	77252.6648842693	108191.480107614	59574.8940623501	56593.528416424	22575.8080092667	97.64	DOWN_pEhEx_UP_CDC5
EHI_169580A	2382.62533163942	151.107211238972	1.20013499898136	0.975831932906121	3.9789076887373	56	80	335	236	203	8389	89.8940906100353	106.118120001057	281.930550931109	192.440117693877	257.185723495278	6043.60511184028	97.58	UP_pEhEx_DOWN_CDC5
EHI_044730A	3004.06629248883	6202.8141737307	-1.54326471373737	0.9755293697572	-1.0460062547504	3741	3798	9890	3515	2411	3861	6005.24630307396	5037.95774705017	8323.26313047363	2866.21615972024	3054.55556328628	2781.5424170718	97.55	DOWN_pEhEx_UP_CDC5
EHI_140170A	16231.3227041199	22039.9480038282	-1.32712524527201	0.975310525918499	-0.441340249230894	13357	15462	31771	18051	15002	18725	21441.3458621115	20509.9796432042	26737.9568168127	14719.222730899	19006.4050437249	13489.8683656227	97.53	DOWN_pEhEx_UP_CDC5
EHI_113890A	9321.45403617146	15376.116157657	-1.54028959019753	0.972418936857939	-0.722064219145673	10131	9429	22700	10952	8403	10483	16262.8041423262	12507.3469186245	19103.9507645856	8930.5261397599	10645.968643009	7552.16502412941	97.24	DOWN_pEhEx_UP_CDC5
EHI_013895A	11586.2757961477	23094.4154730011	-1.27827297210519	0.968737663213903	-0.995127119578436	12008	13194	42396	10547	12775	12530	19275.8614293804	17501.5309411743	35679.7839918665	8600.27932761575	16184.9636337546	9026.86518671578	96.87	DOWN_pEhEx_UP_CDC5
EHI_087110A	9581.03953467644	22390.2573358964	-1.66091791172816	0.967431804076791	-1.22461700872399	14991	17816	25835	18494	9508	1927	24064.3270059828	23632.5053242353	21742.3157710603	15080.4556636888	12045.9204876508	1388.24973781335	96.74	DOWN_pEhEx_UP_CDC5
EHI_141940A	18297.8268082159	10086.8516687749	1.29469850285474	0.965023803366933	0.859196365608673	4985	8249	14970	21731	19399	15767	8002.17931591118	10942.104648609	12598.508499817	17719.9838881595	24577.0731531276	11358.8653949679	96.5	UP_pEhEx_DOWN_CDC5
EHI_116360A	139544.737198861	372114.464130702	-1.66421692152087	0.96415235938166	-1.41501875375436	190353	217306	681903	242646	138762	55223	305564.461248072	288251.30231187	573878.47304948	197859.427109951	175801.011643605	39783.7650603356	96.42	DOWN_pEhEx_UP_CDC5
EHI_042720A	74270.7870655164	119902.722808392	-1.26768216268579	0.957106735296531	-0.690997648440655	62883	73695	210442	91671	59270	91063	100943.037496979	97754.6856684734	177104.564176252	74750.7543606583	75090.6297121435	65603.6252592098	95.71	DOWN_pEhEx_UP_CDC5
EHI_001130A	1193.71880915987	4031.16215009686	-1.39106750362799	0.955752882657109	-1.75573277828002	2675	2149	6443	1537	1816	39	4294.04807824722	2850.59799852839	5422.32399895264	1253.30703769275	2300.7353392484	28.0963880512303	95.58	DOWN_pEhEx_UP_CDC5
EHI_159150A	29996.097572812	11627.8124006674	1.30364145728573	0.952866632153961	1.36719512063243	7977	16788	619	20777	26083	50187	12805.0921570759	22268.8874822218	520.940331421959	16942.0691751088	33045.1981572775	36155.7289006947	95.29	UP_pEhEx_DOWN_CDC5
EHI_050520A	1493.6432129103	513.744610699611	1.05864232199798	0.951564397968221	1.53971231241842	219	359	936	1211	1190	2488	351.550104349959	476.205063504742	787.722375138859	987.478739522392	1507.64044807577	1792.4054736272	95.16	UP_pEhEx_DOWN_CDC5
EHI_155410A	17013.6985672985	26373.9565909186	-1.26322606498524	0.951447540819499	-0.632417219780152	15110	16496	43146	23423	13804	18000	24255.3519485292	21881.5563442179	36310.9717924586	19099.6816811173	17488.6291976789	12967.5637159524	95.14	DOWN_pEhEx_UP_CDC5
EHI_182850A	19660.9625844235	12082.7132405209	1.05064026347657	0.951205513869787	0.702389500315165	7337	10180	14585	27582	19672	14414	11777.7311215327	13503.5307701345	12274.4987621798	22491.0310433581	24922.9436088626	10384.1368556521	95.12	UP_pEhEx_DOWN_CDC5
EHI_175050A	2293.49835580082	890.141426710411	1.05029039507136	0.951140429913159	1.36544339668105	575	1228	216	2205	1966	3245	923.019680370898	1628.91314201622	181.782086570506	1798.01042167372	2490.77405119072	2337.76356990365	95.11	UP_pEhEx_DOWN_CDC5
EHI_038860A	72291.4841421627	147748.766369499	-1.69399840491541	0.950995343493849	-1.03124847025087	85249	82477	256792	82537	65055	83958	136846.09518598	109403.802291589	216111.97025284	67302.6694665233	82419.7893693857	60485.0396924408	95.1	DOWN_pEhEx_UP_CDC5
EHI_012480A	9004.40983187731	4296.20907840362	1.06550723929284	0.949622977812566	1.06756751701265	3423	4243	2458	8392	5165	17033	5494.77628853841	5628.23978955605	2068.61281847363	6843.04011731785	6543.66631454734	12270.9173763232	94.96	UP_pEhEx_DOWN_CDC5
EHI_187020A	40461.1633566284	13848.735210024	1.45549652457969	0.949413372578426	1.54678357895927	11035	16955	2529	23462	38236	67606	17713.9516050311	22490.409057724	2128.36526359634	19131.4832259904	48442.1345988446	48704.7284767045	94.94	UP_pEhEx_DOWN_CDC5
