U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	63.6979521382454	74.2064706511356	625.665769950926	158.777646758811	381.2362937747	406.401733447788
EHI_000140A	126.316277969063	218.254325444517	94.2122201856606	320.246440072857	300.430774985497	32.951491901172
EHI_000240A	736.30514166582	918.850710121415	11363.4431731628	1065.6940358727	1703.13170371089	1803.17886236969
EHI_000250A	455.602301734569	428.869749498475	1647.50600427232	294.680547798133	287.999156710235	559.56514950694
EHI_000260A	111.201509665073	115.674792485594	432.409933672647	98.8996359048529	59.0501868074943	42.7148969089267
EHI_000280A	43.1850522971155	37.1032353255678	111.12210586001	49.7862112718307	73.5537414619666	52.4783019166814
EHI_000290A	16.1943946114183	20.7341609172291	45.8982611160911	16.8196659702131	12.431618275262	68.9540478672674
EHI_000300A	79.8923467496637	99.3057180772551	2.41569795347848	121.101594985534	101.524882581306	26.8493637713253
EHI_000410A	16.1943946114183	16.3690744083387	137.694783348273	25.5658922747239	21.7553319817084	55.5293659816047
EHI_000430A	19.433273533702	25.0992474261194	28.9883754417417	23.5475323582983	12.431618275262	9.15319219477
EHI_000440A	305.534245002092	235.714671480078	120.784897673924	366.668718150645	243.452524557213	257.509807079529
EHI_000480A	22.6721524559857	18.5516176627839	7.24709386043543	22.8747457194898	19.6833956024981	9.76340500775467
EHI_000510A	9831.07715543835	10229.5802335845	1299.64549897142	8455.58247654551	10674.6162256916	6557.34688833323
EHI_000520A	15.1147683039904	10.9127162722258	9.66279181391391	15.474092692596	17.6114592232878	10.983830633724
EHI_000540A	35.6276681451203	15.2778027811162	65.2238447439189	29.602612107575	11.3956500856568	64.6825581763747
EHI_000550A	300.136113464953	316.468771894549	50.729657023048	261.041215857707	233.092842661162	104.346391020378
EHI_000560A	24.8314050708414	56.7461246155743	31.4040733952202	42.3855582449369	42.4746957738117	7.322553755816
EHI_000570A	60.4590732159618	46.9246799705711	60.3924488369619	45.076704800171	42.4746957738117	115.330221654102
EHI_000580A	140.351419965625	142.956583166158	118.369199720445	125.811101457194	103.596818960516	150.722564807213
EHI_000590A	11467.790637499	11045.851410747	831.000095996596	9411.61229029243	10191.8550493356	5516.32382938139
EHI_000610A	1209.18146431924	1367.3633489099	12063.9955796715	1313.27951895424	2360.97150411017	3249.99344195634
EHI_000620A	3.23887892228367	9.82144464500325	140.110481301752	16.8196659702131	29.0071093089446	48.8170250387734
EHI_000650A	74.4942152125243	57.8373962427969	16.9098856743493	69.2970237972779	54.9063140490736	41.4944712829573
EHI_000660A	21.5925261485578	16.3690744083387	9.66279181391391	22.2019590806813	9.32371370644647	15.8655331376013
EHI_000670A	17.2740209188462	4.36508650889033	70.0552406508758	7.40065302689375	10.3596818960516	83.5991553788994
EHI_000690A	0	22.9167041716742	0	123.792741540768	308.718520502339	0
EHI_000700A	72.3349625976685	68.7501125150227	4.83139590695695	53.1501444658733	53.8703458594685	23.798299706402
EHI_000710A	29.149910300553	24.0079757988968	2.41569795347848	30.9481853851921	26.9351729297342	8.54297938178534
EHI_000720A	134.953288428486	152.778027811162	125.616293580881	146.667487260258	110.848596287752	131.195754791703
EHI_000730A	417.815380974593	509.623849912946	1932.55836278278	616.272561148607	865.033438320311	1682.35672539873
EHI_000740A	114.440388587356	112.400977603926	48.3139590695695	83.4255432122568	81.8414869788079	27.45957658431
EHI_000770A	10.7962630742789	7.63890139055808	48.3139590695695	5.38229311046818	4.14387275842065	39.0536200310187
EHI_000780A	21.5925261485578	29.4643339350097	4.83139590695695	18.8380258866386	30.0430774985497	1.22042562596933
EHI_000790A	46.4239312193992	56.7461246155743	149.773273115666	47.7678513554051	41.4387275842065	186.725120773308
EHI_000800A	242.915919171275	221.528140326184	458.982611160911	231.438603750132	218.589288006689	340.498749645444
EHI_000900A	9.716636766851	12.0039878994484	31.4040733952202	18.1652392478301	36.2588866361807	68.3438350542827
EHI_001040A	2.15925261485578	8.73017301778066	386.511672556556	4.03671983285114	2.07193637921033	35.3923431531107
EHI_001050A	538.733527406516	465.972984824043	454.151215253954	520.736858437797	511.76828566495	736.526865272493
EHI_001060A	5.39813153713944	8.73017301778066	70.0552406508758	14.8013060537875	16.5754910336826	13.4246818856627
EHI_001070A	446.965291275146	640.576445179656	53.1453549765265	600.125681817202	674.415291432961	199.539589845986
EHI_001100A	21.5925261485578	17.4603460355613	321.287827812637	16.8196659702131	19.6833956024981	181.843418269431
EHI_001120A	38.866547067404	73.1151990239131	16.9098856743493	70.6425970748949	93.2371370644647	43.3251097219114
EHI_001130A	1513.6360830139	1601.98674876275	417.915745951777	1034.0730638487	1881.31823232298	23.798299706402
EHI_001140A	19.433273533702	25.0992474261194	4.83139590695695	38.3488384120858	31.0790456881549	3.05106406492333
EHI_001150A	86.3701045942311	80.7541004144712	14.4941877208709	77.3704634629801	48.6905049114427	21.967661267448
EHI_001180A	8.63701045942311	2.18254325444517	485.555288649174	7.40065302689375	4.14387275842065	134.857031669611
EHI_001400A	1996.22904243417	1845.34032163339	753.697761485285	1608.63285339118	1978.69924214586	1618.89459284832
EHI_001410A	23.7517787634135	22.9167041716742	7.24709386043543	23.5475323582983	14.5035546544723	15.8655331376013
EHI_001420A	7546.58788892094	9632.65465349374	1152.28792380923	8148.79176924883	11081.7517242064	3144.42662530999
EHI_001430A	7.55738415199522	9.82144464500325	4.83139590695695	8.07343966570227	16.5754910336826	1.830638438954
EHI_001635A	308.773123924376	496.528590386275	0	368.687078067071	217.553319817084	25.628938145356
EHI_001780A	5226.47095425841	3396.03730391668	19035.6998734104	4258.73942365795	2583.70466487528	18670.6814388919
EHI_001800A	7.55738415199522	8.73017301778066	82.1337304182682	8.07343966570227	1.03596818960516	29.9004278362487
EHI_001810A	509.583617105963	465.972984824043	161.851762883058	569.850283070819	463.077780753508	263.001722396391
EHI_001820A	15.1147683039904	0	0	22.8747457194898	21.7553319817084	21.967661267448
EHI_001830A	31.3091629154088	33.8294204439001	12.0784897673924	47.0950647165966	40.4027593946014	63.4621325504054
EHI_001840A	97.16636766851	116.766064112816	673.979729020495	112.355368681023	128.46005551104	243.474912380882
EHI_001850A	141.431046273053	145.139126420604	229.491305580455	158.104860120003	135.711832838276	331.345557450674
EHI_001860A	11.8758893817068	0	41.0668652091341	5.38229311046818	0	23.798299706402
EHI_001870A	6.47775784456733	6.5476297633355	38.6511672556556	8.7462263045108	3.10790456881549	15.8655331376013
EHI_001910A	30.2295366079809	14.1865311538936	79.7180324647897	14.8013060537875	9.32371370644647	40.8842584699727
EHI_001920A	7.55738415199522	6.5476297633355	26.5726774882632	5.38229311046818	4.14387275842065	12.814469072678
EHI_001940A	362.754439295771	533.631825711843	9092.68709689299	885.387216672016	1295.99620519606	2038.72100818177
EHI_001950A	180.297593340457	222.619411953407	14.4941877208709	227.401883917281	276.603506624578	23.1880868934173
EHI_001990A	29.149910300553	18.5516176627839	55.561052930005	36.3304784956602	8.2877455168413	72.0051119321907
EHI_002110A	144.669925195337	159.325657574497	60.3924488369619	152.722567009535	92.2011688748595	32.951491901172
EHI_002130A	125.236651661635	128.770052012265	36.2354693021772	152.722567009535	122.244246373409	70.1744734932367
EHI_002140A	296.897234542669	272.817906805646	717.462292183108	241.53040333226	240.344619988398	479.627271005948
EHI_002150A	25.9110313782693	19.6428892900065	57.9767508834835	24.2203189971068	20.7193637921033	12.2042562596933
EHI_002160A	1526.59159870303	1433.93091817047	193.255836278278	1298.47821290045	1587.10326647511	799.988997822898
EHI_002180A	670.447936912719	571.826332664634	82.1337304182682	527.464724825882	310.790456881549	236.152358625066
EHI_002190A	95.0071150536542	291.36952446843	103.875011999575	124.465528179577	365.696770930623	3.661276877908
EHI_002200A	252.632555938126	265.179005415088	7.24709386043543	170.215019618556	128.46005551104	15.8655331376013
EHI_002210A	18.3536472262741	17.4603460355613	16.9098856743493	18.1652392478301	20.7193637921033	12.2042562596933
EHI_002670A	184.616098570169	130.95259526671	1806.9420692019	236.8208968606	292.143029468656	582.753236400357
EHI_002780A	42.1054259896877	28.3730623077872	1608.85483701667	31.6209720240006	20.7193637921033	317.310662752027
EHI_002790A	32.3887892228367	32.7381488166775	86.9651263252252	32.2937586628091	48.6905049114427	58.580430046528
EHI_002990A	57.2201942936781	38.1945069527904	19.3255836278278	55.8412910211074	38.330823015391	13.4246818856627
EHI_003000A	75.5738415199522	82.9366436689163	41.0668652091341	67.2786638808523	62.1580913763098	80.548091313976
EHI_003010A	646.696158149305	810.814819026379	386.511672556556	824.836419179249	1114.70177201516	735.916652459508
EHI_003020A	5.39813153713944	5.45635813611292	120.784897673924	9.41901294331932	7.25177732723614	32.951491901172
EHI_003040A	14.0351419965625	14.1865311538936	7.24709386043543	12.7829461373619	12.431618275262	25.0187253323713
