baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1.1	U2AF84_2.1	U2AF84_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_050640A	25.0962465868436	3.90048778173712	1.00266284155614	3.89012898461816	0.000100190952903488	0.445048212797296	30	36	31	4	8	0	30.3152324669021	37.259141565902	73.0856122762581	2.37561748444356	7.54187572755561	0	55.5	DOWN_pEhEx_UP_U2AF84
EHI_188960A	3694.37558554786	-1.38573849381914	0.384510914717561	-3.60389898122143	0.000313478935674218	0.696236716132439	1556	2388	887	7493	6979	8726	1572.35005728332	2471.52305720484	2091.19155125939	4450.12545273389	6579.34383782633	5001.7195569794	30.38	UP_pEhEx_DOWN_U2AF84
EHI_057550A	413.844258736412	1.57408317098231	0.456094517152005	3.45122142842535	0.000558055518232189	0.826294203995795	731	436	284	341	156	478	738.681164443514	451.249603409258	669.558512466365	202.521390548813	147.066576687334	273.988304863185	17.37	DOWN_pEhEx_UP_U2AF84
EHI_000130A	268.242324798832	-0.235950479341116	0.961662414571427	-0.245356869277531	0.806180121764717	0.999772996314194	59	68	259	236	368	666	59.6199571849075	70.3783785133705	610.618502566156	140.16143158217	346.926283467558	381.749395478831	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000140A	167.369197074511	-0.488987402320645	0.827989715006241	-0.59057183133846	0.5548073433664	0.999772996314194	117	200	39	476	290	54	118.229406620918	206.995230921678	91.9464154443247	282.698480648783	273.392995123891	30.9526536874728	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000250A	581.482596724809	1.21771098822669	0.724336996224219	1.68113874422306	0.0927359683271768	0.999772996314194	422	393	682	438	278	917	426.434270034423	406.745628761097	1607.88347007768	260.130114546569	262.080181532557	525.621915396529	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000260A	136.160643143015	1.80245697994362	0.717850810027707	2.51090749604928	0.0120421247829873	0.999772996314194	103	106	179	147	57	70	104.082298136364	109.707472388489	422.01047088549	87.3039425533007	53.7358645588337	40.1238103356129	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000280A	57.3728591594921	0.174055549141939	0.608651895059585	0.285968959523078	0.774901895901332	0.999772996314194	40	34	46	74	71	86	40.4203099558695	35.1891892566853	108.449618216383	43.9489234622058	66.934147082056	49.294966983753	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000290A	28.424714565294	-0.229308081799529	0.860919286896461	-0.266352589946224	0.789967674445049	0.999772996314194	15	19	19	25	12	113	15.157616233451	19.6645469375594	44.7944075241582	14.8476092777722	11.3128135913334	64.7712938274894	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000300A	65.971574854772	-0.376074289909584	1.04308511988394	-0.360540365058057	0.718443076433899	0.999772996314194	74	91	1	180	98	44	74.7775734183585	94.1828300693635	2.35760039600833	106.90278679996	92.3879776625562	25.2206807823853	0.02	UP_pEhEx_DOWN_U2AF84
