EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	69.9280530790305	61.1938432303758	501.737158925797	139.508688821314	345.557782116408	365.636675248812
EHI_000140A	216.059753744184	28.7971026966474	65.8530021090109	281.381931690446	272.314556559126	29.6462169120658
EHI_000240A	850.791312461538	488.650836383736	12364.6851102776	936.363402936274	1543.74183097656	1622.30686991027
EHI_000250A	413.292723967091	616.437979600109	1843.88405905231	258.918668236167	261.046368011852	503.436683488229
EHI_000260A	81.5827285922023	77.39221349724	517.416445142228	86.8973612573436	53.5238955995523	38.4302811823076
EHI_000280A	35.8605400405285	48.5951108005925	59.5812876224384	43.7442498846492	66.6701155713722	47.2143454525493
EHI_000290A	12.551189014185	23.397645941026	47.0378586492935	14.778462798868	11.2681885472742	62.0374539085822
EHI_000300A	103.995566117533	68.3931189045376	9.4075717298587	106.404932151849	92.0235398027391	24.1561767431648
EHI_000410A	17.033756519251	10.7989135112428	144.249433191167	22.4632634542793	19.7193299577298	49.9593655369999
EHI_000430A	18.8267835212774	19.7980081039451	25.0868579462899	20.6898479184151	11.2681885472742	8.23506025335162
EHI_000440A	203.508564729999	298.769940477717	185.015577353888	322.170489015321	220.668692384119	231.679695127626
EHI_000480A	21.5163240243171	16.1983702668642	12.5434289731449	20.0987094064604	17.8412985331841	8.78406427024173
EHI_000510A	10837.0552002477	8128.88214558801	1063.05560547403	7429.4288182469	9675.61789925943	5899.5971655011
EHI_000520A	14.3442160162114	21.5978270224856	0	13.5961857749585	15.9632671086384	9.88207230402195
EHI_000540A	18.8267835212774	35.0964689115391	43.9020014060073	26.0100945260076	10.3291728350013	58.1944257903515
EHI_000550A	225.921402255329	181.781710772587	50.1737158925797	229.361742638431	211.278535261391	93.8796868882085
EHI_000560A	59.169891066872	41.3958351264307	3.13585724328623	37.2417262531473	38.4996442031868	6.5880482026813
