baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_188960A	3332.298112697	-1.90249890042623	0.40316048381971	-4.71896174545969	2.3705138774597e-06	0.0104373726024551	1658	1348	485	7493	6979	8726	1486.4193846799	1213.07795109627	1520.89076299382	4429.4008700767	6553.39065595221	4790.60905138308	98.96	UP_pEhEx_DOWN_EhMyb10
EHI_033240A	6.10383955880673	-5.59131800906469	1.352535455815	-4.13395300287747	3.56576421356091e-05	0.0738445744004047	0	0	0	12	18	23	0	0	0	7.09366214345662	16.9022828209113	12.6270923884725	92.62	UP_pEhEx_DOWN_EhMyb10
EHI_126980A	43.7827082435854	-2.97068120346983	0.73274845848671	-4.05416233778908	5.03142682719087e-05	0.0738445744004047	6	14	4	61	127	140	5.37908100607927	12.5987324297832	12.5434289731449	36.0594492292378	119.254995458652	76.8605623646152	92.62	UP_pEhEx_DOWN_EhMyb10
EHI_103400A	32.1380536483301	3.01961358870454	0.790513295822567	3.81981379018108	0.000133552459479039	0.147007869771553	26	68	28	7	4	23	23.3093510263435	61.1938432303758	87.8040028120145	4.13796958368303	3.75606284909139	12.6270923884725	85.3	DOWN_pEhEx_UP_EhMyb10
EHI_050640A	19.829135927439	3.54648080671797	1.03943276193984	3.41193864247588	0.000645026303693904	0.46172526604371	18	58	13	4	8	0	16.1372430182378	52.1947486376735	40.766144162721	2.36455404781887	7.51212569818278	0	53.83	DOWN_pEhEx_UP_EhMyb10
EHI_057550A	555.512622295899	2.15310921027942	0.637669120230677	3.37653046379371	0.000734062426142623	0.46172526604371	508	777	500	341	156	478	455.428858514712	699.22964985297	1567.92862164312	201.578232576559	146.486451114564	262.423920073472	53.83	DOWN_pEhEx_UP_EhMyb10
EHI_181610A	169.349104650558	2.11415726278013	0.625373259964457	3.38063265273012	0.000723191572021153	0.46172526604371	262	481	50	139	82	59	234.886537265461	432.856449908982	156.792862164312	82.1682531617058	76.9992884063735	32.3912369965164	53.83	DOWN_pEhEx_UP_EhMyb10
EHI_152800A	398.238010909799	-2.50079088846556	0.750929854829762	-3.33025897476468	0.000867652445472014	0.477534214676659	191	106	29	755	1419	461	171.234078693523	95.3904026826446	90.9398600553008	446.309576525812	1332.46329571517	253.09085178634	52.25	UP_pEhEx_DOWN_EhMyb10
EHI_134840A	51.3635338268072	-1.99566479529412	0.621799014332618	-3.20950138114336	0.00132965407828233	0.650496322964124	22	20	8	69	91	217	19.7232970222907	17.9981891854046	25.0868579462899	40.7885573248756	85.4504298168292	119.133871665154	34.95	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	1630.09527130236	-2.44480119584469	0.771902983642363	-3.16723895055886	0.00153893809512793	0.677594443284828	301	366	294	1876	4864	4705	269.850563804977	329.366862092905	921.942029526153	1108.97584842705	4567.37242449513	2583.06389946796	32.24	UP_pEhEx_DOWN_EhMyb10
EHI_004430A	20.9109268324179	-4.22130094379021	1.34894486547012	-3.12933541751467	0.00175202189808197	0.688442507275245	0	0	3	79	61	22	0	0	9.4075717298587	46.6999424444227	57.2799584486437	12.0780883715824	31.16	UP_pEhEx_DOWN_EhMyb10
EHI_100350A	22.031187507204	-2.72689712977221	0.877056698422774	-3.10914577663683	0.00187629118494275	0.688442507275245	3	14	0	41	56	73	2.68954050303963	12.5987324297832	0	24.2366789901434	52.5848798872795	40.0772932329779	31.16	UP_pEhEx_DOWN_EhMyb10
EHI_155680A	252.03460090932	-1.97135671748115	0.645858889184598	-3.05230252380672	0.00227093100123336	0.693923470604456	74	67	59	550	623	529	66.3419990749777	60.2939337711056	185.015577353888	325.126181575095	585.006788745984	290.423124934867	30.61	UP_pEhEx_DOWN_EhMyb10
EHI_186950A	169.882300988645	-1.14812664551325	0.377645630701397	-3.04022224057208	0.002364036352275	0.693923470604456	125	100	37	376	268	414	112.064187626651	89.9909459270232	116.026718001591	222.268080494974	251.656210889123	227.287662992505	30.61	UP_pEhEx_DOWN_EhMyb10
EHI_201200A	157.737125332577	-1.24951863925762	0.406585343183585	-3.07320138368448	0.00211775520293361	0.693923470604456	112	89	32	324	285	376	100.40951211348	80.0919418750507	100.347431785159	191.528877873329	267.619477997762	206.425510350681	30.61	UP_pEhEx_DOWN_EhMyb10
EHI_038300A	44.3558921668834	-1.79584196705641	0.616505453692439	-2.91293768173593	0.00358046047183365	0.750703212261121	27	10	9	138	75	96	24.2058645273567	8.99909459270232	28.2227151895761	81.5771146497511	70.4261784204636	52.7043856214504	24.93	UP_pEhEx_DOWN_EhMyb10
EHI_092720A	14.303854262842	-2.40224372066474	0.819844363364875	-2.9301216523649	0.00338829326786238	0.750703212261121	4	5	2	15	31	61	3.58605400405285	4.49954729635116	6.27171448657247	8.86707767932077	29.1094870804583	33.4892450302966	24.93	UP_pEhEx_DOWN_EhMyb10
EHI_103370A	46.1585119870878	-1.66806246000925	0.561379428890454	-2.9713637054819	0.00296480437931799	0.750703212261121	30	14	9	134	80	100	26.8954050303963	12.5987324297832	28.2227151895761	79.2125606019323	75.1212569818278	54.9004016890108	24.93	UP_pEhEx_DOWN_EhMyb10
EHI_140540A	5391.37755905237	-1.28295550734671	0.439086117831837	-2.92187672359539	0.00347929222408615	0.750703212261121	4936	2512	872	12921	8262	13719	4425.19064100121	2260.57256168682	2734.4675161456	7638.10071296692	7758.14781479827	7531.7861077154	24.93	UP_pEhEx_DOWN_EhMyb10
EHI_153650A	33.6220360237876	-1.79885957718676	0.610734537018736	-2.94540339239333	0.00322533852570598	0.750703212261121	25	13	3	70	49	129	22.4128375253303	11.698822970513	9.4075717298587	41.3796958368303	46.0117699013696	70.821518178824	24.93	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	69.6337186538848	-2.39426782952822	0.803062590807866	-2.98142119547573	0.00286913878963995	0.750703212261121	17	12	14	135	227	100	15.2407295172246	10.7989135112428	43.9020014060073	79.803699113887	213.156566685936	54.9004016890108	24.93	UP_pEhEx_DOWN_EhMyb10
EHI_008040A	31.1807919480414	-1.80375537443481	0.629440953798874	-2.86564667193735	0.00416158440439673	0.819725823830399	9	18	6	53	51	118	8.0686215091189	16.1983702668642	18.8151434597174	31.3303411336001	47.8898013259153	64.7824739930328	18.03	UP_pEhEx_DOWN_EhMyb10
EHI_025390A	63.1049242669072	2.34513944519471	0.832359831969087	2.81745869409254	0.00484053404941866	0.819725823830399	44	44	76	31	20	44	39.4465940445813	39.5960162078902	238.325150489754	18.3252938705963	18.780314245457	24.1561767431648	18.03	DOWN_pEhEx_UP_EhMyb10
EHI_140770A	10.7236240600913	-2.50121891011004	0.881840018249694	-2.83636357882074	0.00456304677122028	0.819725823830399	5	4	0	21	35	20	4.48256750506606	3.59963783708093	0	12.4139087510491	32.8655499295497	10.9800803378022	18.03	UP_pEhEx_DOWN_EhMyb10
EHI_141220A	11.8181550491468	2.42563796517567	0.859670811162721	2.82158930334618	0.00477863307060208	0.819725823830399	16	16	10	11	4	1	14.3442160162114	14.3985513483237	31.3585724328623	6.5025236315019	3.75606284909139	0.549004016890108	18.03	DOWN_pEhEx_UP_EhMyb10
EHI_174880A	16.7089204233552	-2.129846764681	0.754758468348153	-2.82189184222383	0.00477412752707191	0.819725823830399	10	6	1	24	28	77	8.96513501013212	5.39945675562139	3.13585724328623	14.1873242869132	26.2924399436397	42.2733093005383	18.03	UP_pEhEx_DOWN_EhMyb10
EHI_058110A	31.6066324226875	2.39156897800066	0.8553187772395	2.79611419933903	0.00517211210880683	0.84343739315098	18	55	30	26	12	6	16.1372430182378	49.4950202598628	94.075717298587	15.3696013108227	11.2681885472742	3.29402410134065	15.66	DOWN_pEhEx_UP_EhMyb10
EHI_199650A	14.9584385442123	-1.71960875426189	0.61770162501181	-2.78388251646418	0.00537124857331403	0.844628838153631	7	9	2	33	23	51	6.27559450709248	8.09918513343209	6.27171448657247	19.5075708945057	21.5973613822755	27.9992048613955	15.54	UP_pEhEx_DOWN_EhMyb10
EHI_050740A	292.561870328369	-1.14083982714228	0.419433641817961	-2.71995308291799	0.00652911794235051	0.95825687667231	260	167	52	734	443	654	233.093510263435	150.284879698129	163.064576650884	433.895667774763	415.983960536872	359.048627046131	4.17	UP_pEhEx_DOWN_EhMyb10
EHI_093840A	15.7540020606177	-1.62812574917816	0.596363706710191	-2.73008858664394	0.00633173086989988	0.95825687667231	9	7	3	35	27	45	8.0686215091189	6.29936621489162	9.4075717298587	20.6898479184151	25.3534242313669	24.7051807600549	4.17	UP_pEhEx_DOWN_EhMyb10
EHI_086540A	29.485468572306	-1.480880007419	0.548059587338112	-2.70204197067609	0.00689150625290372	0.978816194565648	24	13	4	81	46	73	21.5163240243171	11.698822970513	12.5434289731449	47.8822194683322	43.194722764551	40.0772932329779	2.12	UP_pEhEx_DOWN_EhMyb10
EHI_124880A	78.4745764697063	-1.63170634284035	0.609221592492637	-2.67834620924088	0.00739866999133525	0.987161938540882	47	57	6	124	122	311	42.1361345476209	51.2948391784032	18.8151434597174	73.3011754823851	114.559916897287	170.740249252824	1.28	UP_pEhEx_DOWN_EhMyb10
EHI_126210A	91.0735834649859	-1.42641662979264	0.532043817207524	-2.68101344975552	0.00733995657919267	0.987161938540882	62	35	20	202	190	180	55.5838370628191	31.4968310744581	62.7171448657247	119.409979414853	178.412985331841	98.8207230402195	1.28	UP_pEhEx_DOWN_EhMyb10
EHI_000130A	247.260366903623	-0.438341052555812	0.91180719813225	-0.480738749873561	0.63070218698378	0.999126623936413	78	68	160	236	368	666	69.9280530790305	61.1938432303758	501.737158925797	139.508688821314	345.557782116408	365.636675248812	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000140A	149.00876061858	-0.902820644108294	0.982891463710509	-0.918535441034415	0.358338613182951	0.999126623936413	241	32	21	476	290	54	216.059753744184	28.7971026966474	65.8530021090109	281.381931690446	272.314556559126	29.6462169120658	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000250A	649.502747059292	1.4864067059844	0.729124842404592	2.03861755839008	0.0414882114551281	0.999126623936413	461	685	588	438	278	917	413.292723967091	616.437979600109	1843.88405905231	258.918668236167	261.046368011852	503.436683488229	0.09	DOWN_pEhEx_UP_EhMyb10
EHI_000260A	142.540487545146	1.90699654606099	0.857005430685953	2.22518606974826	0.0260687496156165	0.999126623936413	91	86	165	147	57	70	81.5827285922023	77.39221349724	517.416445142228	86.8973612573436	53.5238955995523	38.4302811823076	0.09	DOWN_pEhEx_UP_EhMyb10
EHI_000280A	50.2776082286884	-0.152129408577138	0.492901948452295	-0.308640306768562	0.757595156384148	0.999126623936413	40	54	19	74	71	86	35.8605400405285	48.5951108005925	59.5812876224384	43.7442498846492	66.6701155713722	47.2143454525493	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000290A	28.5117998098715	-0.142454532570765	0.868613331700019	-0.164002240550417	0.869729379990801	0.999126623936413	14	26	15	25	12	113	12.551189014185	23.397645941026	47.0378586492935	14.778462798868	11.2681885472742	62.0374539085822	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000300A	67.396817574947	-0.266586928046057	0.900422590299265	-0.296068680326483	0.767177631766663	0.999126623936413	116	76	3	180	98	44	103.995566117533	68.3931189045376	9.4075717298587	106.404932151849	92.0235398027391	24.1561767431648	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000410A	44.0373436951116	0.858584483287302	1.00967228326757	0.850359564698252	0.395125209691982	0.999126623936413	19	12	46	38	21	91	17.033756519251	10.7989135112428	144.249433191167	22.4632634542793	19.7193299577298	49.9593655369999	0.09	DOWN_pEhEx_UP_EhMyb10
EHI_000430A	17.3174577150922	0.630809553523576	0.615627496784796	1.02466110889795	0.305523119652295	0.999126623936413	21	22	8	35	12	15	18.8267835212774	19.7980081039451	25.0868579462899	20.6898479184151	11.2681885472742	8.23506025335162	0.09	DOWN_pEhEx_UP_EhMyb10
EHI_000440A	243.635493181445	-0.166949858410882	0.445691535469609	-0.374586109729396	0.707968304945614	0.999126623936413	227	332	59	545	235	422	203.508564729999	298.769940477717	185.015577353888	322.170489015321	220.668692384119	231.679695127626	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000480A	16.1636992457021	0.157452083284569	0.620007529677007	0.253951888885276	0.799532726910009	0.999126623936413	24	18	4	34	19	16	21.5163240243171	16.1983702668642	12.5434289731449	20.0987094064604	17.8412985331841	8.78406427024173	0.09	DOWN_pEhEx_UP_EhMyb10
EHI_000510A	7172.27280571953	-0.199521952695568	0.797868740769336	-0.25006864224707	0.802534265552848	0.999126623936413	12088	9033	339	12568	10304	10746	10837.0552002477	8128.88214558801	1063.05560547403	7429.4288182469	9675.61789925943	5899.5971655011	0.09	UP_pEhEx_DOWN_EhMyb10
EHI_000520A	12.5639280377193	0.0153273157647572	0.787551129208769	0.019461994524922	0.984472555272038	0.999126623936413	16	24	0	23	17	18	14.3442160162114	21.5978270224856	0	13.5961857749585	15.9632671086384	9.88207230402195	0.09	DOWN_pEhEx_UP_EhMyb10
