"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CmasM_1","CmasM_2","CmasM_3","pEhEx_1","pEhEx_2","pEhEx_3","CmasM_1.1","CmasM_2.1","CmasM_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
19.6287187631457,-7.685163207947,1.31102002079542,-5.86197242303308,4.57401002284468e-09,2.09764099647657e-05,0,0,0,51,35,47,0,0,0,38.9143572367604,42.4334376054956,36.4245177366184,100,"UP_pEhEx_DOWN_CmasM"
24.1058368735088,-7.98009123877156,1.52431023285653,-5.23521463463314,1.64793249867277e-07,0.000377870921945666,0,0,0,80,60,14,0,0,0,61.0421289988398,72.7430358951353,10.8498563470778,99.96,"UP_pEhEx_DOWN_CmasM"
220.701111801496,-2.27565761132051,0.485950552193903,-4.6828995276303,2.82845170946035e-06,0.00432375984652838,37,77,120,300,329,607,47.9137076294938,88.3266527009156,89.7652416215291,228.907983745649,398.874313491658,470.418771619732,99.57,"UP_pEhEx_DOWN_CmasM"
4954.13324395178,1.10584998723147,0.263993503296234,4.18892879341265,2.80274319605333e-05,0.0321334507427515,5573,5158,9573,4054,2776,3834,7216.84034105863,5916.73863157562,7161.02215035749,3093.30988701621,3365.57779408159,2971.31065962117,96.79,"DOWN_pEhEx_UP_CmasM"
41.0079654021801,-2.26024902522725,0.546807235696684,-4.13353898352769,3.57219671630281e-05,0.0327641882819293,14,11,16,54,73,95,18.1295109949436,12.6180932429879,11.9686988828706,41.2034370742169,88.5040270057479,73.6240252123139,96.72,"UP_pEhEx_DOWN_CmasM"
244.760515945232,-2.09825456203667,0.531871466015702,-3.94504066509695,7.97864373488213e-05,0.0609834336136158,75,59,151,284,294,797,97.1223803300551,67.6788637578444,112.954595707091,216.699557945881,356.440875886163,617.66682204436,93.9,"UP_pEhEx_DOWN_CmasM"
85.3607314526137,-3.01405050123208,0.790151091983197,-3.81452424961804,0.000136445538892628,0.0893913201945133,6,32,16,135,227,100,7.76979042640441,36.7071803432377,11.9686988828706,103.008592685542,275.211152469928,77.4989739076988,91.06,"UP_pEhEx_DOWN_CmasM"
203.655792666566,1.95365355310822,0.525242386937776,3.71952759657926,0.000199595739756358,0.114418257815332,240,186,597,139,82,59,310.791617056176,213.360485745069,446.582077067107,106.060699135484,99.4154823900182,45.7243946055423,88.56,"DOWN_pEhEx_UP_CmasM"
45.3558345862841,-3.18707869952214,0.879535589834424,-3.62359265089218,0.000290539061488601,0.148045792887414,7,5,16,41,27,234,9.06475549747181,5.73549692863088,11.9686988828706,31.2840911119054,32.7343661528109,181.347598944015,85.2,"UP_pEhEx_DOWN_CmasM"
2179.47228913818,-2.38358513023539,0.669944298372505,-3.55788553768698,0.000373852147683206,0.171448594927518,287,544,1479,1876,4864,4705,371.654975396344,624.02206583504,1106.35660298535,1431.43792502279,5897.0354432323,3646.32672235723,82.86,"UP_pEhEx_DOWN_CmasM"
81.8829480583535,-1.59397187896085,0.458448636278131,-3.47688214736845,0.000507280743524339,0.203041061495498,30,34,59,100,110,206,38.848952132022,39.00137911469,44.1345771305852,76.3026612485498,133.362232474415,159.64788624986,79.7,"UP_pEhEx_DOWN_CmasM"
4646.03598130425,-1.59429938609483,0.460186452873725,-3.46446397137272,0.00053128930177627,0.203041061495498,1117,2996,2743,7493,6979,8726,1446.47598438229,3436.70975963563,2051.88381473212,5717.35840735383,8461.22745853582,6762.5604631858,79.7,"UP_pEhEx_DOWN_CmasM"
977.607960151702,-2.54600080097325,0.747079290684025,-3.4079392009945,0.000654554772236676,0.203842912329841,131,202,609,610,1264,3885,169.64042430983,231.714075916688,455.55860122926,465.446233616154,1532.45328952418,3010.8351363141,79.62,"UP_pEhEx_DOWN_CmasM"
230.442466599383,1.42002815093859,0.421559342940877,3.36851305686219,0.000755748173539169,0.203842912329841,279,242,490,144,147,115,361.295254827805,277.598051345735,366.541403287911,109.875832197912,178.220437943081,89.1238199938536,79.62,"DOWN_pEhEx_UP_CmasM"
230.442466599383,1.42002815093859,0.421559342940877,3.36851305686219,0.000755748173539169,0.203842912329841,279,242,490,144,147,115,361.295254827805,277.598051345735,366.541403287911,109.875832197912,178.220437943081,89.1238199938536,79.62,"DOWN_pEhEx_UP_CmasM"
68.7456943325706,-1.91213656723557,0.566568734549545,-3.37494191019177,0.000738312734500991,0.203842912329841,12,35,41,99,75,206,15.5395808528088,40.1484785004162,30.6697908873558,75.5396346360643,90.9287948689191,159.64788624986,79.62,"UP_pEhEx_DOWN_CmasM"
3406.45152518364,-1.59536337412924,0.470853705640877,-3.38823578325204,0.000703437657162126,0.203842912329841,1116,1427,2673,3643,4428,9302,1445.18101931122,1636.91082343125,1999.52075711956,2779.70594928467,5368.43604906098,7208.95455289414,79.62,"UP_pEhEx_DOWN_CmasM"
85.885402032907,-2.33130211908236,0.695336818337753,-3.35276668457668,0.000800081208446825,0.203842912329841,8,27,58,92,117,282,10.3597205685392,30.9716834146068,43.3865334504058,70.1984483486658,141.848919995514,218.547106419711,79.62,"UP_pEhEx_DOWN_CmasM"
237.364894388638,-2.01470263133667,0.615000007413339,-3.27593919845696,0.00105311230032552,0.248016520448313,35,94,172,236,368,666,45.323777487359,107.827342258261,128.663512990858,180.074280546577,446.157286823496,516.143166225274,75.2,"UP_pEhEx_DOWN_CmasM"
