"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
3861.58640304809,-2.32414538303012,0.467571986249997,-4.9706685844679,6.67224166491721e-07,0.00182819421618732,798,1152,1940,7493,6979,8726,1135.89586321599,1349.40790087219,1370.92717630416,5395.266961187,7801.0910957206,6116.92942098862,99.82,"UP_pEhEx_DOWN_CDC5"
63.4759162894729,-2.98249503195247,0.643095026030458,-4.63772057196912,3.52272590049843e-06,0.0032174229891219,4,14,28,166,101,152,5.69371360008014,16.3990543508773,19.7865778023281,119.526800421332,112.897291971311,106.552059590909,99.68,"UP_pEhEx_DOWN_CDC5"
179.499626454964,-2.71289004120525,0.580783586418222,-4.6710859339811,2.99611553845246e-06,0.0032174229891219,31,61,39,384,304,453,44.1262804006211,71.4530225288226,27.5598762246712,276.49573109513,339.809670883946,317.55317759659,99.68,"UP_pEhEx_DOWN_CDC5"
3525.58093466515,-2.2689456416699,0.551627154741339,-4.11318699989275,3.90234023519484e-05,0.0267310306110846,716,1244,1639,7024,7714,5476,1019.17473441435,1457.17311517796,1158.22146492913,5057.56774794842,8622.67039868014,3838.6781468409,97.33,"UP_pEhEx_DOWN_CDC5"
237.45580455021,2.35639236984205,0.585881734814117,4.0219590914362,5.77160835436501e-05,0.0316284137819203,279,262,690,139,82,59,397.13652360559,306.896588566418,487.597810128799,100.085694328706,91.6591875410645,41.3590231306817,96.84,"DOWN_pEhEx_UP_CDC5"
186.300870250057,-2.40674556436996,0.644366226720691,-3.73505851884629,0.000187671542114918,0.0765044229171844,55,52,55,250,225,725,78.2885620011019,60.9107733032586,38.8664921117158,180.010241598392,251.503868252921,508.225284232953,92.35,"UP_pEhEx_DOWN_CDC5"
438.890297654585,-2.15276503538291,0.577950349890803,-3.72482694368063,0.000195449255627843,0.0765044229171844,103,173,190,564,909,1038,146.613125202064,202.645457335841,134.266063658655,406.103105045972,1016.0756277418,727.638406943179,92.35,"UP_pEhEx_DOWN_CDC5"
46.2080924600262,-3.81771128827625,1.03759326249658,-3.67939097743402,0.000233791608354628,0.08007362586146,8,4,4,26,30,294,11.3874272001603,4.68544410025066,2.82665397176115,18.7210651262328,33.5338491003895,206.094115261363,91.99,"UP_pEhEx_DOWN_CDC5"
211.927224768695,-3.02581592057075,0.835373845002895,-3.62210995552568,0.000292209858691277,0.0889616680904555,42,55,22,191,226,1058,59.7839928008415,64.4248563784466,15.5465968446863,137.527824581171,252.621663222934,741.658414784089,91.1,"UP_pEhEx_DOWN_CDC5"
127.80145453784,-2.22329559371331,0.628190250186899,-3.53920741853576,0.000401330379247238,0.0969214048285005,33,48,46,174,154,476,46.9731372006612,56.2253292030079,32.5065206752532,125.287128152481,172.140425381999,333.676186613635,90.31,"UP_pEhEx_DOWN_CDC5"
60.6760265151401,-2.32170622731059,0.658755729596524,-3.5243810763249,0.00042447330581825,0.0969214048285005,12,19,30,69,91,217,17.0811408002404,22.2558594761906,21.1999047882086,49.6828266811562,101.719342271181,152.117085073863,90.31,"UP_pEhEx_DOWN_CDC5"
72.5520065500719,-1.90997870010744,0.539823585708184,-3.53815348323801,0.000402935767860275,0.0969214048285005,21,33,33,144,106,173,29.8919964004207,38.654913827068,23.3198952670295,103.685899160674,118.486266821376,121.273067823863,90.31,"UP_pEhEx_DOWN_CDC5"
58.5424381734178,-3.04280486365128,0.874217165709914,-3.48060525805433,0.00050028220749573,0.0979123748955929,13,13,7,64,44,310,18.5045692002605,15.2276933258147,4.94664445058201,46.0826218491883,49.1829786805712,217.31012153409,90.21,"UP_pEhEx_DOWN_CDC5"
58.5424381734178,-3.04280486365128,0.874217165709914,-3.48060525805433,0.00050028220749573,0.0979123748955929,13,13,7,64,44,310,18.5045692002605,15.2276933258147,4.94664445058201,46.0826218491883,49.1829786805712,217.31012153409,90.21,"UP_pEhEx_DOWN_CDC5"
44.7415101715089,2.68393027826563,0.797974346713956,3.3634292747856,0.000769805582618074,0.136520938221085,51,30,176,26,12,6,72.5948484010218,35.14083075188,124.372774757491,18.7210651262328,13.4135396401558,4.20600235227271,86.35,"DOWN_pEhEx_UP_CDC5"
2997.76806177112,-1.85606925533602,0.553428661947392,-3.35376423910704,0.000797202558955239,0.136520938221085,1009,1046,1743,3643,4428,9302,1436.23925562022,1225.24363221555,1231.71446819492,2623.10924057177,4949.59612721748,6520.7056468068,86.35,"UP_pEhEx_DOWN_CDC5"
77.6372628580407,-2.44980228292574,0.73804247815418,-3.31932423327802,0.000902355906514434,0.145438540226444,8,16,58,92,117,282,11.3874272001603,18.7417764010026,40.9864825905367,66.2437689082082,130.782011491519,197.682110556818,85.46,"UP_pEhEx_DOWN_CDC5"
1913.41165387526,-1.55587660477459,0.471406072531074,-3.30050182939047,0.0009651208441462,0.146912839608922,650,825,1446,3071,3069,4173,925.228460013023,966.372845676699,1021.83541079166,2211.24580779465,3430.51276296984,2925.27463600567,85.31,"UP_pEhEx_DOWN_CDC5"
38.1817158802204,-3.08254305534989,0.939619157980385,-3.28063027362649,0.00103575420022808,0.149366658348681,6,12,3,41,31,200,8.54057040012021,14.056332300752,2.11999047882086,29.5216796221363,34.6516440704024,140.20007840909,85.06,"UP_pEhEx_DOWN_CDC5"
