baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,UmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,UmasM_1.1,UmasM_2.1,UmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_000700A,47.27476645,-0.111847602,0.781303371,-0.143155151,0.886167649,0.999887746,60,69,11,79,52,39,71.99412699,46.76202256,17.17193459,58.5988848,61.11328643,28.00834336,0.01,UP_pEhEx_DOWN_UmasM
EHI_000710A,27.7585719,0.315585858,0.985268056,0.320304566,0.748737462,0.999887746,28,79,3,46,26,14,33.59725926,53.53912728,4.683254888,34.12086963,30.55664322,10.0542771,0.01,DOWN_pEhEx_UP_UmasM
EHI_000720A,163.6509505,0.285950462,0.544531525,0.525131142,0.599492028,0.999887746,163,195,136,218,107,215,195.584045,132.153542,212.3075549,161.7032517,125.7523394,154.4049698,0.01,DOWN_pEhEx_UP_UmasM
EHI_000730A,1411.100059,0.406185857,1.037915369,0.391347762,0.695540199,0.999887746,252,1015,2457,916,835,2757,302.3753334,687.8761289,3835.585753,679.4503604,981.3383494,1979.974426,0.01,DOWN_pEhEx_UP_UmasM
EHI_000740A,75.99725667,0.140331327,0.799526561,0.17551803,0.860672605,0.999887746,114,93,25,124,79,45,136.7888413,63.02707388,39.02712406,91.97799639,92.84518516,32.31731926,0.01,DOWN_pEhEx_UP_UmasM
EHI_000770A,17.96587053,-0.174383642,1.113094561,-0.156665613,0.875508389,0.999887746,11,10,20,8,4,64,13.19892328,6.777104719,31.22169925,5.934064283,4.701022033,45.96240961,0.01,UP_pEhEx_DOWN_UmasM
EHI_000780A,18.82867176,0.02929236,1.189002735,0.024636074,0.980345245,0.999887746,26,33,2,28,29,2,31.19745503,22.36444557,3.122169925,20.76922499,34.08240974,1.4363253,0.01,DOWN_pEhEx_UP_UmasM
EHI_000790A,101.7856811,-0.139127273,0.927497553,-0.150002847,0.880762369,0.999887746,44,87,115,71,40,306,52.79569313,58.96081105,179.5247707,52.66482052,47.01022033,219.7577709,0.01,UP_pEhEx_DOWN_UmasM
EHI_000800A,349.5381176,0.398798377,0.702917738,0.567347153,0.570478347,0.999887746,336,263,392,344,211,558,403.1671111,178.2378541,611.9453053,255.1647642,247.9789123,400.7347588,0.01,DOWN_pEhEx_UP_UmasM
EHI_000900A,39.69111376,-0.563588246,0.904061196,-0.623396124,0.533024244,0.999887746,9,39,38,27,35,112,10.79911905,26.4307084,59.32122858,20.02746696,41.13394279,80.43421682,0.01,UP_pEhEx_DOWN_UmasM
EHI_001040A,19.47630501,0.474543058,1.322086648,0.358934914,0.71964378,0.999887746,3,15,35,6,2,58,3.59970635,10.16565708,54.63797369,4.450548213,2.350511017,41.65343371,0.01,DOWN_pEhEx_UP_UmasM
EHI_001050A,751.2419061,0.297471285,0.705317967,0.421754867,0.673203952,0.999887746,414,786,933,774,494,1207,496.7594762,532.6804309,1456.49227,574.1207194,580.5762211,866.8223187,0.01,DOWN_pEhEx_UP_UmasM
EHI_001060A,21.60963936,0.612047364,0.831542298,0.736038763,0.461707108,0.999887746,8,26,33,22,16,22,9.599216932,17.62047227,51.51580376,16.31867678,18.80408813,15.7995783,0.01,DOWN_pEhEx_UP_UmasM
EHI_001070A,490.6494551,-0.37243789,0.894684684,-0.416278379,0.677206312,0.999887746,434,974,65,892,651,327,520.7575186,660.0899996,101.4705226,661.6481676,765.0913359,234.8391866,0.01,UP_pEhEx_DOWN_UmasM
EHI_001120A,66.89511199,-0.494779137,0.622656018,-0.794626765,0.426830644,0.999887746,39,71,46,105,90,71,46.79618254,48.1174435,71.80990828,77.88459372,105.7729957,50.98954816,0.01,UP_pEhEx_DOWN_UmasM
EHI_001130A,1172.721682,0.177427195,1.364184025,0.130061042,0.896518133,0.999887746,2185,1443,86,1537,1816,39,2621.786125,977.9362109,134.2533068,1140.0821,2134.264003,28.00834336,0.01,DOWN_pEhEx_UP_UmasM
