baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CDC5_1,CDC5_2,CDC5_3,pEhEx_1,pEhEx_2,pEhEx_3,CDC5_1.1,CDC5_2.1,CDC5_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_188960A,3861.586403,-2.324145383,0.467571986,-4.970668584,6.67E-07,0.001828194,798,1152,1940,7493,6979,8726,1135.895863,1349.407901,1370.927176,5395.266961,7801.091096,6116.929421,99.82,UP_pEhEx_DOWN_CDC5
EHI_035220A,63.47591629,-2.982495032,0.643095026,-4.637720572,3.52E-06,0.003217423,4,14,28,166,101,152,5.6937136,16.39905435,19.7865778,119.5268004,112.897292,106.5520596,99.68,UP_pEhEx_DOWN_CDC5
EHI_095830A,179.4996265,-2.712890041,0.580783586,-4.671085934,3.00E-06,0.003217423,31,61,39,384,304,453,44.1262804,71.45302253,27.55987622,276.4957311,339.8096709,317.5531776,99.68,UP_pEhEx_DOWN_CDC5
EHI_117850A,3525.580935,-2.268945642,0.551627155,-4.113187,3.90E-05,0.026731031,716,1244,1639,7024,7714,5476,1019.174734,1457.173115,1158.221465,5057.567748,8622.670399,3838.678147,97.33,UP_pEhEx_DOWN_CDC5
EHI_181610A,237.4558046,2.35639237,0.585881735,4.021959091,5.77E-05,0.031628414,279,262,690,139,82,59,397.1365236,306.8965886,487.5978101,100.0856943,91.65918754,41.35902313,96.84,DOWN_pEhEx_UP_CDC5
EHI_112800A,186.3008703,-2.406745564,0.644366227,-3.735058519,0.000187672,0.076504423,55,52,55,250,225,725,78.288562,60.9107733,38.86649211,180.0102416,251.5038683,508.2252842,92.35,UP_pEhEx_DOWN_CDC5
EHI_148470A,438.8902977,-2.152765035,0.57795035,-3.724826944,0.000195449,0.076504423,103,173,190,564,909,1038,146.6131252,202.6454573,134.2660637,406.103105,1016.075628,727.6384069,92.35,UP_pEhEx_DOWN_CDC5
EHI_054690A,46.20809246,-3.817711288,1.037593262,-3.679390977,0.000233792,0.080073626,8,4,4,26,30,294,11.3874272,4.6854441,2.826653972,18.72106513,33.5338491,206.0941153,91.99,UP_pEhEx_DOWN_CDC5
EHI_031240A,211.9272248,-3.025815921,0.835373845,-3.622109956,0.00029221,0.088961668,42,55,22,191,226,1058,59.7839928,64.42485638,15.54659684,137.5278246,252.6216632,741.6584148,91.1,UP_pEhEx_DOWN_CDC5
EHI_005070A,127.8014545,-2.223295594,0.62819025,-3.539207419,0.00040133,0.096921405,33,48,46,174,154,476,46.9731372,56.2253292,32.50652068,125.2871282,172.1404254,333.6761866,90.31,UP_pEhEx_DOWN_CDC5
EHI_134840A,60.67602652,-2.321706227,0.65875573,-3.524381076,0.000424473,0.096921405,12,19,30,69,91,217,17.0811408,22.25585948,21.19990479,49.68282668,101.7193423,152.1170851,90.31,UP_pEhEx_DOWN_CDC5
EHI_159820A,72.55200655,-1.9099787,0.539823586,-3.538153483,0.000402936,0.096921405,21,33,33,144,106,173,29.8919964,38.65491383,23.31989527,103.6858992,118.4862668,121.2730678,90.31,UP_pEhEx_DOWN_CDC5
