baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CDC5_1,CDC5_2,CDC5_3,pEhEx_1,pEhEx_2,pEhEx_3,CDC5_1.1,CDC5_2.1,CDC5_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_063340A,58.54243817,-3.042804864,0.874217166,-3.480605258,0.000500282,0.097912375,13,13,7,64,44,310,18.5045692,15.22769333,4.946644451,46.08262185,49.18297868,217.3101215,90.21,UP_pEhEx_DOWN_CDC5
EHI_087380A,58.54243817,-3.042804864,0.874217166,-3.480605258,0.000500282,0.097912375,13,13,7,64,44,310,18.5045692,15.22769333,4.946644451,46.08262185,49.18297868,217.3101215,90.21,UP_pEhEx_DOWN_CDC5
EHI_058110A,44.74151017,2.683930278,0.797974347,3.363429275,0.000769806,0.136520938,51,30,176,26,12,6,72.5948484,35.14083075,124.3727748,18.72106513,13.41353964,4.206002352,86.35,DOWN_pEhEx_UP_CDC5
EHI_163670A,2997.768062,-1.856069255,0.553428662,-3.353764239,0.000797203,0.136520938,1009,1046,1743,3643,4428,9302,1436.239256,1225.243632,1231.714468,2623.109241,4949.596127,6520.705647,86.35,UP_pEhEx_DOWN_CDC5
EHI_194430A,77.63726286,-2.449802283,0.738042478,-3.319324233,0.000902356,0.14543854,8,16,58,92,117,282,11.3874272,18.7417764,40.98648259,66.24376891,130.7820115,197.6821106,85.46,UP_pEhEx_DOWN_CDC5
EHI_147570A,1913.411654,-1.555876605,0.471406073,-3.300501829,0.000965121,0.14691284,650,825,1446,3071,3069,4173,925.22846,966.3728457,1021.835411,2211.245808,3430.512763,2925.274636,85.31,UP_pEhEx_DOWN_CDC5
EHI_068330A,38.18171588,-3.082543055,0.939619158,-3.280630274,0.001035754,0.149366658,6,12,3,41,31,200,8.5405704,14.0563323,2.119990479,29.52167962,34.65164407,140.2000784,85.06,UP_pEhEx_DOWN_CDC5
EHI_049660A,105.6896687,-1.907400013,0.600584514,-3.175906086,0.001493693,0.194891371,38,38,50,137,141,348,54.0902792,44.51171895,35.33317465,98.6456124,157.6090908,243.9481364,80.51,UP_pEhEx_DOWN_CDC5
EHI_056460A,203.4232211,-1.844001221,0.580020486,-3.179200157,0.001476821,0.194891371,63,110,68,387,305,477,89.6759892,128.8497128,48.05311752,278.655854,340.9274659,334.377187,80.51,UP_pEhEx_DOWN_CDC5
EHI_136980A,50.25437242,-2.87947392,0.931572141,-3.09098329,0.001994949,0.248461781,12,15,3,50,51,245,17.0811408,17.57041538,2.119990479,36.00204832,57.00754347,171.7450961,75.15,UP_pEhEx_DOWN_CDC5
EHI_187160A,82.88846039,-2.350507242,0.766072885,-3.068255369,0.002153125,0.25650276,19,33,23,81,83,377,27.0451396,38.65491383,16.25326034,58.32331828,92.77698251,264.2771478,74.35,UP_pEhEx_DOWN_CDC5
EHI_171280A,998.4148807,-2.032473141,0.665699823,-3.053137573,0.002264621,0.258544221,312,500,209,1594,1434,2942,444.1096608,585.6805125,147.69267,1147.7453,1602.917987,2062.343153,74.15,UP_pEhEx_DOWN_CDC5
EHI_006810A,683.3169003,-2.113100941,0.69804464,-3.027171644,0.002468537,0.263104408,196,231,312,699,599,3077,278.9919664,270.5843968,220.4790098,503.3086355,669.559187,2156.978206,73.69,UP_pEhEx_DOWN_CDC5
EHI_025360A,449.3457921,-2.008154868,0.664126872,-3.023751865,0.002496611,0.263104408,126,152,254,545,379,1916,179.3519784,178.0468758,179.4925272,392.4223267,423.6442936,1343.116751,73.69,UP_pEhEx_DOWN_CDC5
EHI_026360A,39.99228827,-2.530778608,0.846985393,-2.987983771,0.002808245,0.265330702,9,18,3,57,78,108,12.8108556,21.08449845,2.119990479,41.04233508,87.18800766,75.70804234,73.47,UP_pEhEx_DOWN_CDC5
EHI_065340A,289.0667116,-2.346439744,0.783750313,-2.993861317,0.002754711,0.265330702,62,151,29,696,511,537,88.2525608,176.8755148,20.4932413,501.1485126,571.1932297,376.4372105,73.47,UP_pEhEx_DOWN_CDC5
EHI_169280A,824.2875666,-1.712331024,0.572900551,-2.988880045,0.00280002,0.265330702,315,383,368,1184,978,2629,448.379946,448.6312726,260.0521654,852.5285042,1093.203481,1842.930031,73.47,UP_pEhEx_DOWN_CDC5
EHI_019860A,43.58416364,-2.583835659,0.878075255,-2.942612997,0.00325455,0.291049198,13,8,14,41,27,234,18.5045692,9.370888201,9.893288901,29.52167962,30.18046419,164.0340917,70.9,UP_pEhEx_DOWN_CDC5
EHI_035510A,140.7805386,-2.075303904,0.706129516,-2.938984785,0.003292892,0.291049198,33,37,101,168,119,612,46.9731372,43.34035793,71.37301279,120.9668824,133.0176014,429.0122399,70.9,UP_pEhEx_DOWN_CDC5
EHI_044550A,101849.3611,1.347600814,0.461405927,2.920640449,0.003493127,0.291605574,98905,103273,250407,80340,53808,77595,140784.1859,120969.9671,176953.4853,57848.09124,60146.31175,54394.12542,70.84,DOWN_pEhEx_UP_CDC5
EHI_115270A,229.2602426,1.562327794,0.536948997,2.909639095,0.003618463,0.291605574,246,252,540,144,147,115,350.1633864,295.1829783,381.5982862,103.6858992,164.3158606,80.61504509,70.84,DOWN_pEhEx_UP_CDC5
EHI_115400A,229.2602426,1.562327794,0.536948997,2.909639095,0.003618463,0.291605574,246,252,540,144,147,115,350.1633864,295.1829783,381.5982862,103.6858992,164.3158606,80.61504509,70.84,DOWN_pEhEx_UP_CDC5
EHI_023400A,1926.839265,2.141753857,0.743417229,2.880958057,0.003964684,0.310378116,2623,3888,1610,1723,438,578,3733.652693,4554.251665,1137.728224,1240.630585,489.5941969,405.1782266,68.96,DOWN_pEhEx_UP_CDC5
EHI_103900A,161.6647065,2.967778307,1.043762135,2.843347358,0.004464239,0.332546637,233,279,285,79,47,1,331.6588172,326.809726,201.3990955,56.88323635,52.53636359,0.701000392,66.75,DOWN_pEhEx_UP_CDC5
EHI_198550A,56.16782083,-1.775055831,0.624696088,-2.841471023,0.004490593,0.332546637,19,19,38,65,83,173,27.0451396,22.25585948,26.85321273,46.80266282,92.77698251,121.2730678,66.75,UP_pEhEx_DOWN_CDC5
EHI_006700A,52.07980699,-2.827351904,1.005319445,-2.812391542,0.00491746,0.336846037,11,17,5,41,25,308,15.6577124,19.91313743,3.533317465,29.52167962,27.94487425,215.9081207,66.32,UP_pEhEx_DOWN_CDC5
EHI_021190A,208.345799,1.909009935,0.67715918,2.819145028,0.004815176,0.336846037,164,146,824,145,92,80,233.4422576,171.0187097,582.2907182,104.4059401,102.8371372,56.08003136,66.32,DOWN_pEhEx_UP_CDC5
EHI_174220A,366.3971898,-1.827209086,0.647458247,-2.822126516,0.004770635,0.336846037,119,198,117,519,418,1246,169.3879796,231.929483,82.67962867,373.7012616,467.2382975,873.4464885,66.32,UP_pEhEx_DOWN_CDC5
EHI_176850A,42.97927122,2.061019807,0.735806368,2.801035567,0.00509389,0.340420972,63,27,122,21,24,12,89.6759892,31.62674768,86.21294614,15.12086029,26.82707928,8.412004705,65.96,DOWN_pEhEx_UP_CDC5
EHI_161860A,45.20861478,-1.717074725,0.617422717,-2.781035875,0.005418575,0.353497505,16,14,34,69,52,143,22.7748544,16.39905435,24.02655876,49.68282668,58.12533844,100.2430561,64.65,UP_pEhEx_DOWN_CDC5
EHI_039070A,123.3742804,-2.001646719,0.730371291,-2.740587895,0.006132938,0.390796489,36,49,56,116,110,550,51.2434224,57.39669023,39.5731556,83.5247521,122.9574467,385.5502156,60.92,UP_pEhEx_DOWN_CDC5
EHI_000730A,747.4954533,-1.879065587,0.744038274,-2.52549587,0.011553514,0.401026633,260,412,151,916,835,2757,370.091384,482.6007423,106.7061874,659.5575252,933.3588,1932.658081,59.9,UP_pEhEx_DOWN_CDC5
EHI_004880A,333.4490713,-1.482272225,0.562891721,-2.633316801,0.008455544,0.401026633,151,175,153,474,496,823,214.9376884,204.9881794,108.1195144,341.2994181,554.4263051,576.9233227,59.9,UP_pEhEx_DOWN_CDC5
EHI_014250A,260.7715848,2.179678199,0.857150696,2.542934643,0.010992579,0.401026633,315,326,638,117,167,18,448.379946,381.8636942,450.8513085,84.24479307,186.67176,12.61800706,59.9,DOWN_pEhEx_UP_CDC5
EHI_014400A,788.2744131,-1.782662356,0.678716516,-2.626519783,0.008626298,0.401026633,274,319,427,850,656,3308,390.0193816,373.664167,301.7453115,612.0348214,733.2735003,2318.909297,59.9,UP_pEhEx_DOWN_CDC5
EHI_016370A,2362.420062,1.257630632,0.480688121,2.616313107,0.008888501,0.401026633,2600,2701,4429,2381,1260,1508,3700.91384,3163.846129,3129.81261,1714.417541,1408.421662,1057.108591,59.9,DOWN_pEhEx_UP_CDC5
EHI_025830A,1506.445299,-1.219895817,0.47147224,-2.58741812,0.009669817,0.401026633,618,832,1218,2317,1872,3656,879.6787512,974.5723729,860.7161344,1668.334919,2092.512184,2562.857433,59.9,UP_pEhEx_DOWN_CDC5
EHI_029210A,67.20444196,-1.591915292,0.630532717,-2.524714816,0.011579221,0.401026633,24,17,65,90,91,195,34.1622816,19.91313743,45.93312704,64.80368698,101.7193423,136.6950764,59.9,UP_pEhEx_DOWN_CDC5
EHI_044830A,42463.20289,1.434257241,0.538932686,2.661291993,0.007784142,0.401026633,42177,50178,95027,36062,26602,18706,60035.93963,58776.55352,67152.11174,25966.11733,29735.58179,13112.91333,59.9,DOWN_pEhEx_UP_CDC5
EHI_048990A,83265.72019,1.249406569,0.481952976,2.592382724,0.009531367,0.401026633,77714,77874,212030,61717,45200,75547,110620.3147,91218.56847,149833.8604,44438.76832,50524.33264,52958.47662,59.9,DOWN_pEhEx_UP_CDC5
EHI_050520A,889.9868428,-1.500367185,0.576709435,-2.601599858,0.009279005,0.401026633,219,359,936,1211,1190,2488,311.7308196,420.518608,661.4370294,871.9696103,1330.176014,1744.088975,59.9,UP_pEhEx_DOWN_CDC5
EHI_059830A,249.0286781,-1.612538113,0.627490411,-2.569821121,0.010175104,0.401026633,85,139,120,272,320,816,120.991414,162.8191825,84.79961915,195.8511429,357.6943904,572.0163199,59.9,UP_pEhEx_DOWN_CDC5
EHI_065630A,360.3751273,1.723112871,0.657529028,2.620588288,0.00877782,0.401026633,300,250,1329,261,188,150,427.02852,292.8402563,939.1557821,187.9306922,210.1454544,105.1500588,59.9,DOWN_pEhEx_UP_CDC5
EHI_068170A,537.3183476,-1.47913206,0.558307333,-2.649315123,0.008065509,0.401026633,206,218,428,613,749,1561,293.2262504,255.3567035,302.451975,441.3851124,837.2284325,1094.261612,59.9,UP_pEhEx_DOWN_CDC5
EHI_068210A,52.64691418,-2.370529337,0.940387358,-2.520800942,0.011708807,0.401026633,13,21,12,30,34,292,18.5045692,24.59858153,8.479961915,21.60122899,38.00502898,204.6921145,59.9,UP_pEhEx_DOWN_CDC5
EHI_068610A,122.9675051,1.733867301,0.647128187,2.679325881,0.007377056,0.401026633,149,192,184,96,69,35,212.0908316,224.9013168,130.0260827,69.12393277,77.12785293,24.53501372,59.9,DOWN_pEhEx_UP_CDC5
EHI_073180A,266.8811439,-1.455632158,0.562902855,-2.58593849,0.009711426,0.401026633,75,88,307,540,405,475,106.75713,103.0797702,216.9456923,388.8221219,452.7069629,332.9751862,59.9,UP_pEhEx_DOWN_CDC5
EHI_081130A,81.4130697,-2.01133219,0.749712001,-2.682806445,0.007300723,0.401026633,11,52,29,160,180,107,15.6577124,60.9107733,20.4932413,115.2065546,201.2030946,75.00704195,59.9,UP_pEhEx_DOWN_CDC5
EHI_093910A,74.51825058,-2.340984568,0.920883837,-2.542106261,0.011018667,0.401026633,11,16,55,32,68,392,15.6577124,18.7417764,38.86649211,23.04131092,76.01005796,274.7921537,59.9,UP_pEhEx_DOWN_CDC5
EHI_103310A,1257.732476,-2.398328906,0.917770882,-2.613210935,0.008969592,0.401026633,237,652,145,3240,3191,632,337.3525308,763.7273883,102.4662065,2332.932731,3566.883749,443.0322478,59.9,UP_pEhEx_DOWN_CDC5
EHI_103370A,53.0103069,-2.023234999,0.802357599,-2.521612558,0.01168183,0.401026633,2,24,44,134,80,100,2.8468568,28.1126646,31.09319369,96.4854895,89.4235976,70.1000392,59.9,UP_pEhEx_DOWN_CDC5
EHI_108690A,2362.420062,1.257630632,0.480688121,2.616313107,0.008888501,0.401026633,2600,2701,4429,2381,1260,1508,3700.91384,3163.846129,3129.81261,1714.417541,1408.421662,1057.108591,59.9,DOWN_pEhEx_UP_CDC5
EHI_120300A,197.5143351,1.676797655,0.631251859,2.656305292,0.007900206,0.401026633,183,190,593,145,119,65,260.4873972,222.5585948,419.0514513,104.4059401,133.0176014,45.56502548,59.9,DOWN_pEhEx_UP_CDC5
EHI_126270A,43.91172074,2.195124756,0.81926038,2.679398161,0.007375463,0.401026633,54,52,111,40,14,4,76.8651336,60.9107733,78.43964772,28.80163866,15.64912958,2.804001568,59.9,DOWN_pEhEx_UP_CDC5
EHI_133540A,125.3768967,2.270759516,0.88243856,2.573277755,0.010074032,0.401026633,140,91,448,51,77,10,199.279976,106.5938533,316.5852448,36.72208929,86.07021269,7.01000392,59.9,DOWN_pEhEx_UP_CDC5
EHI_147540A,103.0338316,2.299289806,0.909555659,2.527926448,0.011473839,0.401026633,114,104,324,29,71,7,162.2708376,121.8215466,228.9589717,20.88118803,79.36344287,4.907002744,59.9,DOWN_pEhEx_UP_CDC5
EHI_156690A,46980.89655,1.245000702,0.49144922,2.533325217,0.011298607,0.401026633,50016,52427,92886,46465,27579,27613,71194.19486,61410.94446,65639.14521,33456.7035,30827.66748,19356.72383,59.9,DOWN_pEhEx_UP_CDC5
EHI_158270A,4900.831116,1.248718874,0.481104661,2.595524373,0.00944467,0.401026633,3957,5212,12676,4054,2776,3834,5632.506179,6105.133663,8957.666437,2919.046078,3102.998837,2687.635503,59.9,DOWN_pEhEx_UP_CDC5
EHI_161870A,58.36494266,-1.959311572,0.761110239,-2.574280927,0.010044868,0.401026633,15,38,9,125,86,131,21.351426,44.51171895,6.359971436,90.0051208,96.13036742,91.83105136,59.9,UP_pEhEx_DOWN_CDC5
EHI_163640A,52.98120097,-1.527981562,0.603850942,-2.530395261,0.01139341,0.401026633,21,31,23,89,68,136,29.8919964,36.31219178,16.25326034,64.08364601,76.01005796,95.33605332,59.9,UP_pEhEx_DOWN_CDC5
EHI_166030A,221.0755793,-1.251334151,0.490924525,-2.548933872,0.010805279,0.401026633,93,128,156,435,327,364,132.3788412,149.9342112,110.2395049,313.2178204,365.5189552,255.1641427,59.9,UP_pEhEx_DOWN_CDC5
EHI_172280A,83.7981723,-2.341241502,0.887076491,-2.639278039,0.008308281,0.401026633,7,10,85,135,227,100,9.9639988,11.71361025,60.0663969,97.20553046,253.7394582,70.1000392,59.9,UP_pEhEx_DOWN_CDC5
EHI_179080A,47.62580553,-1.532933177,0.582801451,-2.630283732,0.008531363,0.401026633,18,26,25,75,73,109,25.6217112,30.45538665,17.66658732,54.00307248,81.59903281,76.40904273,59.9,UP_pEhEx_DOWN_CDC5
EHI_182590A,39057.66686,1.270880556,0.494721151,2.568882599,0.010202702,0.401026633,36237,38980,96855,27129,25888,28802,51580.77493,45659.65276,68443.89261,19533.99138,28937.47618,20190.21329,59.9,DOWN_pEhEx_UP_CDC5
EHI_184520A,303.6608495,1.897623465,0.726961047,2.610350958,0.009044938,0.401026633,259,310,996,156,205,64,368.6679556,363.1219178,703.836839,112.3263908,229.1479689,44.86402509,59.9,DOWN_pEhEx_UP_CDC5
EHI_190440A,127.8213009,-1.329255484,0.517891898,-2.566665918,0.010268149,0.401026633,44,62,117,188,175,311,62.6308496,72.62438355,82.67962867,135.3677017,195.6141198,218.0111219,59.9,UP_pEhEx_DOWN_CDC5
EHI_196580A,89.45815353,-1.694655601,0.656818933,-2.580095543,0.009877298,0.401026633,21,29,88,118,97,310,29.8919964,33.96946973,62.18638738,84.96483403,108.4261121,217.3101215,59.9,UP_pEhEx_DOWN_CDC5
EHI_199110A,69.10399099,-1.678707422,0.645324598,-2.601338035,0.00928609,0.401026633,24,38,29,85,92,216,34.1622816,44.51171895,20.4932413,61.20348214,102.8371372,151.4160847,59.9,UP_pEhEx_DOWN_CDC5
EHI_140000A,45.95075714,1.686671479,0.670452229,2.515722086,0.011878881,0.401828816,35,50,144,45,19,17,49.819994,58.56805125,101.759543,32.40184349,21.23810443,11.91700666,59.82,DOWN_pEhEx_UP_CDC5
EHI_038300A,54.23947033,-1.715652441,0.687206147,-2.496561548,0.01254039,0.419032559,11,12,64,138,75,96,15.6577124,14.0563323,45.22646355,99.36565336,83.83462275,67.29603764,58.1,UP_pEhEx_DOWN_CDC5
EHI_008200A,474.7179593,-2.399011792,0.981800175,-2.443482751,0.014546265,0.437986439,147,195,24,457,357,2376,209.2439748,228.4153999,16.95992383,329.0587216,399.0528043,1665.576931,56.2,UP_pEhEx_DOWN_CDC5
EHI_010020A,929.6563018,-2.18875008,0.894145077,-2.447869072,0.014370386,0.437986439,96,128,1013,610,1264,3885,136.6491264,149.9342112,715.8501183,439.2249895,1412.892842,2723.386523,56.2,UP_pEhEx_DOWN_CDC5
EHI_041580A,57.21039206,2.070826183,0.846653245,2.44589647,0.014449249,0.437986439,80,86,88,30,37,5,113.874272,100.7370482,62.18638738,21.60122899,41.35841389,3.50500196,56.2,DOWN_pEhEx_UP_CDC5
EHI_095820A,75.46636484,-1.725272464,0.699118669,-2.467781994,0.013595309,0.437986439,21,52,21,111,108,209,29.8919964,60.9107733,14.83993335,79.92454727,120.7218568,146.5090819,56.2,UP_pEhEx_DOWN_CDC5
EHI_136740A,187.8394432,-1.802362732,0.736793121,-2.446226329,0.014436035,0.437986439,46,120,64,199,459,313,65.4777064,140.563323,45.22646355,143.2881523,513.0678912,219.4131227,56.2,UP_pEhEx_DOWN_CDC5
EHI_143430A,184522.7343,1.359655632,0.55484902,2.450496592,0.014265931,0.437986439,165102,223763,423919,160534,123647,80809,235010.8757,262107.2571,299568.0813,115591.0565,138211.9947,56647.14068,56.2,DOWN_pEhEx_UP_CDC5
EHI_153070A,155802.9125,1.166374944,0.47584064,2.45118816,0.01423855,0.437986439,149883,143678,375064,142101,90199,121233,213347.7189,168298.8094,265044.0363,102318.5414,100823.9885,84984.38053,56.2,DOWN_pEhEx_UP_CDC5
EHI_153450A,233.4339229,-1.883546581,0.764194177,-2.464748671,0.013710939,0.437986439,75,74,149,179,185,1093,106.75713,86.68071585,105.2928604,128.887333,206.7920695,766.1934285,56.2,UP_pEhEx_DOWN_CDC5
EHI_186950A,203.1040836,-1.260031828,0.510781048,-2.466872712,0.01362988,0.437986439,64,91,227,376,268,414,91.0994176,106.5938533,160.4126129,270.7354034,299.569052,290.2141623,56.2,UP_pEhEx_DOWN_CDC5
EHI_075690A,137.2078429,-2.154694674,0.887107225,-2.428899928,0.015144712,0.451049027,29,27,110,93,79,738,41.2794236,31.62674768,77.73298422,66.96380987,88.30580263,517.3382893,54.9,UP_pEhEx_DOWN_CDC5
EHI_048580A,147.6624839,2.046717438,0.845584721,2.420475898,0.015500207,0.451814538,143,141,487,103,81,12,203.5502612,165.1619045,344.1451211,74.16421954,90.54139257,8.412004705,54.82,DOWN_pEhEx_UP_CDC5
EHI_096380A,78.93602661,-1.991721842,0.822045064,-2.422886445,0.015397739,0.451814538,34,34,11,100,79,310,48.3965656,39.82627485,7.773298422,72.00409664,88.30580263,217.3101215,54.82,UP_pEhEx_DOWN_CDC5
EHI_167090A,317.3837325,-1.867506294,0.776661405,-2.40453083,0.01619324,0.46704714,88,110,220,265,207,1530,125.2616992,128.8497128,155.4659684,190.8108561,231.3835588,1072.5306,53.3,UP_pEhEx_DOWN_CDC5
EHI_025600A,111613.2679,1.633441312,0.690841907,2.364421289,0.018058264,0.515412957,94921,107628,347065,90687,70620,27104,135113.2472,126071.2444,245258.1652,65298.35512,78938.68078,18999.91463,48.46,DOWN_pEhEx_UP_CDC5
EHI_126980A,58.37150952,-2.071994241,0.880989257,-2.351895014,0.018678046,0.519141641,6,7,70,61,127,140,8.5405704,8.199527175,49.46644451,43.92249895,141.9599612,98.14005489,48.09,UP_pEhEx_DOWN_CDC5
EHI_155700A,147.1347347,-1.724693902,0.733812561,-2.350319405,0.018757307,0.519141641,39,110,30,272,235,312,55.5137076,128.8497128,21.19990479,195.8511429,262.681818,218.7121223,48.09,UP_pEhEx_DOWN_CDC5
EHI_171070A,122.8778633,1.563921166,0.664636739,2.35304652,0.018620304,0.519141641,110,75,433,93,69,61,156.577124,87.85207688,305.9852924,66.96380987,77.12785293,42.76102391,48.09,DOWN_pEhEx_UP_CDC5
EHI_031260A,49.25932634,1.513215637,0.644969914,2.346180193,0.018966935,0.519578799,47,55,124,58,18,21,66.9011348,64.42485638,87.62627312,41.76237605,20.12030946,14.72100823,48.04,DOWN_pEhEx_UP_CDC5
EHI_119890A,437.4757276,1.245860757,0.532675576,2.33887344,0.019341984,0.519578799,414,447,1038,512,191,280,589.2993576,523.5983782,733.5167057,368.6609748,213.4988393,196.2801098,48.04,DOWN_pEhEx_UP_CDC5
EHI_133100A,43.56965717,-1.470339076,0.628478414,-2.339521999,0.019308434,0.519578799,13,29,24,61,71,98,18.5045692,33.96946973,16.95992383,43.92249895,79.36344287,68.69803842,48.04,UP_pEhEx_DOWN_CDC5
EHI_036900A,509.2692674,-1.293196532,0.559472588,-2.311456468,0.020807655,0.551370442,200,262,416,610,572,1557,284.68568,306.8965886,293.9720131,439.2249895,639.3787228,1091.45761,44.86,UP_pEhEx_DOWN_CDC5
EHI_051720A,148.7553435,-1.799851669,0.780870253,-2.304930508,0.021170466,0.551370442,64,73,33,180,123,607,91.0994176,85.50935483,23.31989527,129.607374,137.4887813,425.507238,44.86,UP_pEhEx_DOWN_CDC5
EHI_163260A,486.5518733,-1.107347611,0.481019466,-2.302084819,0.021330389,0.551370442,219,247,459,743,557,1193,311.7308196,289.3261732,324.3585433,534.990438,622.6117983,836.2934677,44.86,UP_pEhEx_DOWN_CDC5
EHI_194840A,122.6898601,1.257408411,0.545464462,2.305206845,0.021154992,0.551370442,105,125,315,108,80,72,149.459982,146.4201281,222.5990003,77.76442437,89.4235976,50.47202823,44.86,DOWN_pEhEx_UP_CDC5
EHI_030600A,164.8783869,-1.609155424,0.706041759,-2.279122168,0.022659804,0.55643949,62,109,41,222,215,491,88.2525608,127.6783517,28.97320321,159.8490945,240.3259186,344.1911925,44.36,UP_pEhEx_DOWN_CDC5
EHI_044730A,4115.881158,1.079489912,0.471713929,2.288441881,0.022111801,0.55643949,3741,3798,9890,3515,2411,3861,5325.045644,4448.829173,6988.901945,2530.943997,2695.003673,2706.562514,44.36,DOWN_pEhEx_UP_CDC5
EHI_046600A,92.82792449,-1.450945285,0.63450491,-2.286736102,0.022211231,0.55643949,25,28,113,126,139,232,35.58571,32.7981087,79.8529747,90.72516177,155.3735008,162.632091,44.36,UP_pEhEx_DOWN_CDC5
EHI_053850A,43.84097922,1.877509545,0.823409249,2.280165724,0.022597861,0.55643949,52,39,123,44,19,5,74.0182768,45.68307998,86.91960963,31.68180252,21.23810443,3.50500196,44.36,DOWN_pEhEx_UP_CDC5
EHI_129750A,2227.067715,-1.209862843,0.531093584,-2.278059611,0.022723026,0.55643949,891,984,2281,2858,2695,6076,1268.274704,1152.619249,1611.899427,2057.877082,3012.457444,4259.278382,44.36,UP_pEhEx_DOWN_CDC5
EHI_137110A,150.1622885,-1.132975625,0.497422801,-2.277691377,0.022744972,0.55643949,72,85,114,264,158,359,102.4868448,99.56568713,80.5596382,190.0908151,176.6116053,251.6591407,44.36,UP_pEhEx_DOWN_CDC5
EHI_039060A,80.51173294,-1.460556209,0.645307273,-2.26334999,0.023614123,0.559875729,34,40,48,98,76,283,48.3965656,46.854441,33.91984766,70.56401471,84.95241772,198.3831109,44.01,UP_pEhEx_DOWN_CDC5
EHI_049740A,43.17626548,1.317412278,0.582036966,2.263451214,0.023607889,0.559875729,48,51,80,36,29,23,68.3245632,59.73941228,56.53307944,25.92147479,32.41605413,16.12300902,44.01,DOWN_pEhEx_UP_CDC5
EHI_062500A,124.9963807,-1.524128001,0.673876925,-2.261730511,0.023714058,0.559875729,39,31,143,157,137,415,55.5137076,36.31219178,101.0528795,113.0464317,153.1379109,290.9151627,44.01,UP_pEhEx_DOWN_CDC5
EHI_098440A,963.2124376,1.987494402,0.879960058,2.258618881,0.023907102,0.559875729,1090,1448,1935,726,540,54,1551.536956,1696.130764,1367.393859,522.7497416,603.6092838,37.85402117,44.01,DOWN_pEhEx_UP_CDC5
EHI_114320A,269.7240022,-1.586585819,0.699418533,-2.268435485,0.023302677,0.559875729,124,148,78,285,377,837,176.5051216,173.3614317,55.11975245,205.2116754,421.4087037,586.7373281,44.01,UP_pEhEx_DOWN_CDC5
