"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"25","EHI_141220A",11.81815505,2.425637965,0.859670811,2.821589303,0.004778633,0.819725824,16,16,10,11,4,1,14.34421602,14.39855135,31.35857243,6.502523632,3.756062849,0.549004017,18.03,"DOWN_pEhEx_UP_EhMyb10"
"26","EHI_174880A",16.70892042,-2.129846765,0.754758468,-2.821891842,0.004774128,0.819725824,10,6,1,24,28,77,8.96513501,5.399456756,3.135857243,14.18732429,26.29243994,42.2733093,18.03,"UP_pEhEx_DOWN_EhMyb10"
"27","EHI_058110A",31.60663242,2.391568978,0.855318777,2.796114199,0.005172112,0.843437393,18,55,30,26,12,6,16.13724302,49.49502026,94.0757173,15.36960131,11.26818855,3.294024101,15.66,"DOWN_pEhEx_UP_EhMyb10"
"28","EHI_199650A",14.95843854,-1.719608754,0.617701625,-2.783882516,0.005371249,0.844628838,7,9,2,33,23,51,6.275594507,8.099185133,6.271714487,19.50757089,21.59736138,27.99920486,15.54,"UP_pEhEx_DOWN_EhMyb10"
"29","EHI_050740A",292.5618703,-1.140839827,0.419433642,-2.719953083,0.006529118,0.958256877,260,167,52,734,443,654,233.0935103,150.2848797,163.0645767,433.8956678,415.9839605,359.048627,4.17,"UP_pEhEx_DOWN_EhMyb10"
"30","EHI_093840A",15.75400206,-1.628125749,0.596363707,-2.730088587,0.006331731,0.958256877,9,7,3,35,27,45,8.068621509,6.299366215,9.40757173,20.68984792,25.35342423,24.70518076,4.17,"UP_pEhEx_DOWN_EhMyb10"
"31","EHI_086540A",29.48546857,-1.480880007,0.548059587,-2.702041971,0.006891506,0.978816195,24,13,4,81,46,73,21.51632402,11.69882297,12.54342897,47.88221947,43.19472276,40.07729323,2.12,"UP_pEhEx_DOWN_EhMyb10"
"32","EHI_124880A",78.47457647,-1.631706343,0.609221592,-2.678346209,0.00739867,0.987161939,47,57,6,124,122,311,42.13613455,51.29483918,18.81514346,73.30117548,114.5599169,170.7402493,1.28,"UP_pEhEx_DOWN_EhMyb10"
"33","EHI_126210A",91.07358346,-1.42641663,0.532043817,-2.68101345,0.007339957,0.987161939,62,35,20,202,190,180,55.58383706,31.49683107,62.71714487,119.4099794,178.4129853,98.82072304,1.28,"UP_pEhEx_DOWN_EhMyb10"
"34","EHI_000130A",247.2603669,-0.438341053,0.911807198,-0.48073875,0.630702187,0.999126624,78,68,160,236,368,666,69.92805308,61.19384323,501.7371589,139.5086888,345.5577821,365.6366752,0.09,"UP_pEhEx_DOWN_EhMyb10"
"35","EHI_000140A",149.0087606,-0.902820644,0.982891464,-0.918535441,0.358338613,0.999126624,241,32,21,476,290,54,216.0597537,28.7971027,65.85300211,281.3819317,272.3145566,29.64621691,0.09,"UP_pEhEx_DOWN_EhMyb10"
"36","EHI_000250A",649.5027471,1.486406706,0.729124842,2.038617558,0.041488211,0.999126624,461,685,588,438,278,917,413.292724,616.4379796,1843.884059,258.9186682,261.046368,503.4366835,0.09,"DOWN_pEhEx_UP_EhMyb10"
"37","EHI_000260A",142.5404875,1.906996546,0.857005431,2.22518607,0.02606875,0.999126624,91,86,165,147,57,70,81.58272859,77.3922135,517.4164451,86.89736126,53.5238956,38.43028118,0.09,"DOWN_pEhEx_UP_EhMyb10"
"38","EHI_000280A",50.27760823,-0.152129409,0.492901948,-0.308640307,0.757595156,0.999126624,40,54,19,74,71,86,35.86054004,48.5951108,59.58128762,43.74424988,66.67011557,47.21434545,0.09,"UP_pEhEx_DOWN_EhMyb10"
"39","EHI_000290A",28.51179981,-0.142454533,0.868613332,-0.164002241,0.86972938,0.999126624,14,26,15,25,12,113,12.55118901,23.39764594,47.03785865,14.7784628,11.26818855,62.03745391,0.09,"UP_pEhEx_DOWN_EhMyb10"
"40","EHI_000300A",67.39681757,-0.266586928,0.90042259,-0.29606868,0.767177632,0.999126624,116,76,3,180,98,44,103.9955661,68.3931189,9.40757173,106.4049322,92.0235398,24.15617674,0.09,"UP_pEhEx_DOWN_EhMyb10"
"41","EHI_000410A",44.0373437,0.858584483,1.009672283,0.850359565,0.39512521,0.999126624,19,12,46,38,21,91,17.03375652,10.79891351,144.2494332,22.46326345,19.71932996,49.95936554,0.09,"DOWN_pEhEx_UP_EhMyb10"
"42","EHI_000430A",17.31745772,0.630809554,0.615627497,1.024661109,0.30552312,0.999126624,21,22,8,35,12,15,18.82678352,19.7980081,25.08685795,20.68984792,11.26818855,8.235060253,0.09,"DOWN_pEhEx_UP_EhMyb10"
"43","EHI_000440A",243.6354932,-0.166949858,0.445691535,-0.37458611,0.707968305,0.999126624,227,332,59,545,235,422,203.5085647,298.7699405,185.0155774,322.170489,220.6686924,231.6796951,0.09,"UP_pEhEx_DOWN_EhMyb10"
"44","EHI_000480A",16.16369925,0.157452083,0.62000753,0.253951889,0.799532727,0.999126624,24,18,4,34,19,16,21.51632402,16.19837027,12.54342897,20.09870941,17.84129853,8.78406427,0.09,"DOWN_pEhEx_UP_EhMyb10"
"45","EHI_000510A",7172.272806,-0.199521953,0.797868741,-0.250068642,0.802534266,0.999126624,12088,9033,339,12568,10304,10746,10837.0552,8128.882146,1063.055605,7429.428818,9675.617899,5899.597166,0.09,"UP_pEhEx_DOWN_EhMyb10"
"46","EHI_000520A",12.56392804,0.015327316,0.787551129,0.019461995,0.984472555,0.999126624,16,24,0,23,17,18,14.34421602,21.59782702,0,13.59618577,15.96326711,9.882072304,0.09,"DOWN_pEhEx_UP_EhMyb10"
"47","EHI_000540A",32.0598245,0.014200719,0.767426081,0.018504348,0.985236509,0.999126624,21,39,14,44,11,106,18.82678352,35.09646891,43.90200141,26.01009453,10.32917284,58.19442579,0.09,"DOWN_pEhEx_UP_EhMyb10"
"48","EHI_000550A",165.3994656,-0.209466783,0.693680047,-0.30196455,0.762679087,0.999126624,252,202,16,388,225,171,225.9214023,181.7817108,50.17371589,229.3617426,211.2785353,93.87968689,0.09,"UP_pEhEx_DOWN_EhMyb10"
"49","EHI_000560A",31.00516702,0.374183971,0.99027799,0.377857505,0.705536452,0.999126624,66,46,1,63,41,12,59.16989107,41.39583513,3.135857243,37.24172625,38.4996442,6.588048203,0.09,"DOWN_pEhEx_UP_EhMyb10"
"50","EHI_000570A",52.16396062,-0.456503033,0.662730491,-0.688821533,0.490935583,0.999126624,39,72,10,67,41,189,34.96402654,64.79348107,31.35857243,39.6062803,38.4996442,103.7617592,0.09,"UP_pEhEx_DOWN_EhMyb10"
"51","EHI_000580A",124.2386191,0.270138332,0.517121792,0.522388219,0.601400057,0.999126624,179,192,23,187,100,247,160.4759167,172.7826162,72.1247166,110.5429017,93.90157123,135.6039922,0.09,"DOWN_pEhEx_UP_EhMyb10"
"52","EHI_000590A",7800.919024,0.115230182,0.892878839,0.129054668,0.897314392,0.999126624,12628,13625,240,13989,9838,9040,11321.17249,12261.26638,752.6057384,8269.436644,9238.036577,4962.996313,0.09,"DOWN_pEhEx_UP_EhMyb10"
"53","EHI_000610A",2911.644222,0.854998485,0.857659986,0.996896787,0.318814611,0.999126624,1800,1347,2687,1952,2279,5326,1613.724302,1212.178042,8426.048413,1153.902375,2140.016808,2923.995394,0.09,"DOWN_pEhEx_UP_EhMyb10"
"54","EHI_000620A",25.74015869,-0.379568491,1.090239743,-0.348151399,0.727726485,0.999126624,9,2,19,25,28,80,8.068621509,1.799818919,59.58128762,14.7784628,26.29243994,43.92032135,0.09,"UP_pEhEx_DOWN_EhMyb10"
"55","EHI_000650A",49.49979916,0.02379464,0.47873658,0.049702991,0.960359073,0.999126624,53,64,14,103,53,68,47.51521555,57.59420539,43.90200141,60.88726673,49.76783275,37.33227315,0.09,"DOWN_pEhEx_UP_EhMyb10"
"56","EHI_000660A",14.67040673,0.19689291,0.662180205,0.297340375,0.76620666,0.999126624,23,21,2,33,9,26,20.61981052,18.89809864,6.271714487,19.50757089,8.45114141,14.27410444,0.09,"DOWN_pEhEx_UP_EhMyb10"
"57","EHI_000670A",40.4432065,0.701293209,1.148475195,0.610629826,0.541444672,0.999126624,10,33,36,11,10,137,8.96513501,29.69701216,112.8908608,6.502523632,9.390157123,75.21355031,0.09,"DOWN_pEhEx_UP_EhMyb10"
"58","EHI_000690A",67.30614966,-4.650000387,3.559982328,-1.306186368,0.191489188,0.999126624,17,0,0,184,298,0,15.24072952,0,0,108.7694862,279.8266823,0,0.09,"UP_pEhEx_DOWN_EhMyb10"
"59","EHI_000700A",42.23837025,0.263682403,0.826132174,0.319177017,0.749592284,0.999126624,79,66,2,79,52,39,70.82456658,59.39402431,6.271714487,46.69994244,48.82881704,21.41115666,0.09,"DOWN_pEhEx_UP_EhMyb10"
"60","EHI_000710A",17.66833686,-0.249675263,0.928066831,-0.269027245,0.787908717,0.999126624,23,29,0,46,26,14,20.61981052,26.09737432,0,27.19237155,24.41440852,7.686056236,0.09,"UP_pEhEx_DOWN_EhMyb10"
"61","EHI_000720A",117.4231627,0.042121786,0.392683135,0.107266604,0.914577478,0.999126624,149,123,36,218,107,215,133.5805117,110.6888635,112.8908608,128.8681956,100.4746812,118.0358636,0.09,"DOWN_pEhEx_UP_EhMyb10"
"62","EHI_000730A",869.2170863,-0.258813914,0.657588493,-0.393580357,0.693890886,0.999126624,945,448,359,916,835,2757,847.2052585,403.1594378,1125.77275,541.482877,784.0781197,1513.604075,0.09,"UP_pEhEx_DOWN_EhMyb10"
"63","EHI_000740A",84.2981926,0.967387423,0.630868812,1.533420902,0.125172182,0.999126624,109,175,25,124,79,45,97.71997161,157.4841554,78.39643108,73.30117548,74.18224127,24.70518076,0.09,"DOWN_pEhEx_UP_EhMyb10"
"64","EHI_000780A",17.28608315,0.451301568,1.088120403,0.414753337,0.678322482,0.999126624,28,34,1,28,29,2,25.10237803,30.59692162,3.135857243,16.55187833,27.23145566,1.098008034,0.09,"DOWN_pEhEx_UP_EhMyb10"
"65","EHI_000790A",95.6675204,0.37995495,0.831069634,0.457187864,0.647536021,0.999126624,60,80,64,71,40,306,53.79081006,71.99275674,200.6948636,41.97083435,37.56062849,167.9952292,0.09,"DOWN_pEhEx_UP_EhMyb10"
"66","EHI_000800A",240.9329589,0.056349469,0.4232528,0.133134309,0.894087162,0.999126624,234,294,84,344,211,558,209.7841592,264.573381,263.4120084,203.3516481,198.1323153,306.3442414,0.09,"DOWN_pEhEx_UP_EhMyb10"
"67","EHI_000900A",29.2252926,-0.834866782,0.726574442,-1.149045072,0.250537396,0.999126624,16,18,11,27,35,112,14.34421602,16.19837027,34.49442968,15.96073982,32.86554993,61.48844989,0.09,"UP_pEhEx_DOWN_EhMyb10"
"68","EHI_001040A",38.24699142,2.344286934,1.686216445,1.390264542,0.164448561,0.999126624,0,8,59,6,2,58,0,7.199275674,185.0155774,3.546831072,1.878031425,31.84223298,0.09,"DOWN_pEhEx_UP_EhMyb10"
"69","EHI_001050A",472.9675026,-0.333948855,0.450743958,-0.740883707,0.458763955,0.999126624,587,446,104,774,494,1207,526.2534251,401.3596188,326.1291533,457.5412083,463.8737619,662.6478484,0.09,"UP_pEhEx_DOWN_EhMyb10"
"70","EHI_001060A",19.08091921,0.809456065,1.160427985,0.69754959,0.485458917,0.999126624,3,3,22,22,16,22,2.689540503,2.699728378,68.98885935,13.00504726,15.0242514,12.07808837,0.09,"DOWN_pEhEx_UP_EhMyb10"
"71","EHI_001070A",384.5246136,-0.410656269,1.111182006,-0.369567062,0.711705097,0.999126624,642,449,3,892,651,327,575.5616677,404.0593472,9.40757173,527.2955527,611.2992287,179.5243135,0.09,"UP_pEhEx_DOWN_EhMyb10"
"72","EHI_001100A",98.50799149,0.994632901,1.233987998,0.80603126,0.420224825,0.999126624,23,36,109,25,19,298,20.61981052,32.39674053,341.8084395,14.7784628,17.84129853,163.603197,0.09,"DOWN_pEhEx_UP_EhMyb10"
"73","EHI_001120A",54.55009717,-0.357117286,0.926738914,-0.385348322,0.699979365,0.999126624,123,28,2,105,90,71,110.2711606,25.19746486,6.271714487,62.06954376,84.5114141,38.9792852,0.09,"UP_pEhEx_DOWN_EhMyb10"
"74","EHI_001130A",1081.747371,0.549688168,1.256823173,0.437363171,0.661847989,0.999126624,1586,2481,64,1537,1816,39,1421.870413,2232.675368,200.6948636,908.5798929,1705.252533,21.41115666,0.09,"DOWN_pEhEx_UP_EhMyb10"
"75","EHI_001140A",19.59292772,-0.287537626,0.883255216,-0.325543083,0.744770081,0.999126624,19,19,6,57,30,5,17.03375652,17.09827973,18.81514346,33.69489518,28.17047137,2.745020084,0.09,"UP_pEhEx_DOWN_EhMyb10"
"76","EHI_001150A",49.669037,0.363643328,0.74230132,0.489886409,0.624214281,0.999126624,78,86,6,115,47,36,69.92805308,77.3922135,18.81514346,67.98092887,44.13373848,19.76414461,0.09,"DOWN_pEhEx_UP_EhMyb10"
"77","EHI_001400A",1557.284634,0.006836039,0.486922827,0.014039266,0.988798654,0.999126624,2110,2029,307,2391,1910,2653,1891.643487,1825.916293,962.7081737,1413.412182,1793.52001,1456.507657,0.09,"DOWN_pEhEx_UP_EhMyb10"
"78","EHI_001410A",14.60176961,-0.186699596,0.612009523,-0.305059953,0.760320491,0.999126624,20,17,2,35,14,26,17.93027002,15.29846081,6.271714487,20.68984792,13.14621997,14.27410444,0.09,"UP_pEhEx_DOWN_EhMyb10"
"79","EHI_001420A",6128.211003,-0.259154402,0.864934857,-0.299623029,0.764464716,0.999126624,10326,7310,287,12112,10697,5153,9257.398411,6578.338147,899.9910288,7159.869657,10044.65107,2829.017699,0.09,"UP_pEhEx_DOWN_EhMyb10"
"80","EHI_001430A",8.00071094,0.113492357,0.859091367,0.132107435,0.894899315,0.999126624,9,11,2,12,16,3,8.068621509,9.899004052,6.271714487,7.093662143,15.0242514,1.647012051,0.09,"DOWN_pEhEx_UP_EhMyb10"
"81","EHI_001635A",180.6873383,-0.007398307,1.465865848,-0.005047056,0.995973049,0.999126624,535,67,0,548,210,42,479.634723,60.29393377,0,323.9439046,197.1932996,23.05816871,0.09,"UP_pEhEx_DOWN_EhMyb10"
"82","EHI_001780A",7603.48676,-0.0092265,0.880655985,-0.010476849,0.991640837,0.999126624,3162,7441,4212,6330,2494,30597,2834.77569,6696.226286,13208.23071,3741.906781,2341.905186,16797.8759,0.09,"UP_pEhEx_DOWN_EhMyb10"
"83","EHI_001800A",19.19821803,1.130806761,1.147157451,0.985746778,0.324257389,0.999126624,7,16,19,12,1,49,6.275594507,14.39855135,59.58128762,7.093662143,0.939015712,26.90119683,0.09,"DOWN_pEhEx_UP_EhMyb10"
"84","EHI_001810A",363.3999297,-0.171129585,0.733009095,-0.233461749,0.815402869,0.999126624,501,537,29,847,447,431,449.153264,483.2513796,90.93986006,500.6943196,419.7400234,236.6207313,0.09,"UP_pEhEx_DOWN_EhMyb10"
"85","EHI_001820A",15.91561056,-0.583828111,0.762622744,-0.765552976,0.443942334,0.999126624,25,15,0,34,21,36,22.41283753,13.49864189,0,20.09870941,19.71932996,19.76414461,0.09,"UP_pEhEx_DOWN_EhMyb10"
"86","EHI_001830A",35.83704969,-0.693179606,0.580773667,-1.193545173,0.232655932,0.999126624,33,42,4,70,39,104,29.58494553,37.79619729,12.54342897,41.37969584,36.62161278,57.09641776,0.09,"UP_pEhEx_DOWN_EhMyb10"
"87","EHI_001840A",190.2207711,0.691035776,0.670023227,1.031360927,0.302371597,0.999126624,168,141,137,167,124,399,150.6142682,126.8872338,429.6124423,98.7201315,116.4379483,219.0526027,0.09,"DOWN_pEhEx_UP_EhMyb10"
"88","EHI_001850A",181.0337466,-0.096154752,0.549951318,-0.174842297,0.861203552,0.999126624,216,143,65,235,131,543,193.6469162,128.6870527,203.8307208,138.9175503,123.0110583,298.1091812,0.09,"UP_pEhEx_DOWN_EhMyb10"
"89","EHI_001870A",10.18135812,0.389456888,0.846195642,0.460244497,0.645340735,0.999126624,11,5,7,13,3,26,9.861648511,4.499547296,21.9510007,7.684800655,2.817047137,14.27410444,0.09,"DOWN_pEhEx_UP_EhMyb10"
"90","EHI_001910A",33.83886649,1.260582212,0.950477879,1.326261495,0.184753096,0.999126624,17,22,35,22,9,67,15.24072952,19.7980081,109.7550035,13.00504726,8.45114141,36.78326913,0.09,"DOWN_pEhEx_UP_EhMyb10"
"91","EHI_001930A",21.35530289,1.228954137,1.244134804,0.987798214,0.323251482,0.999126624,4,10,25,7,3,55,3.586054004,8.999094593,78.39643108,4.137969584,2.817047137,30.19522093,0.09,"DOWN_pEhEx_UP_EhMyb10"
"92","EHI_001950A",137.3699141,-0.407943619,1.134158057,-0.359688508,0.719080087,0.999126624,236,150,2,338,267,38,211.5771862,134.9864189,6.271714487,199.804817,250.7171952,20.86215264,0.09,"UP_pEhEx_DOWN_EhMyb10"
