"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"25","EHI_000650A",48.53274439,-0.060594972,0.625909082,-0.096811141,0.922876377,0.999772996,69,53,7,103,53,68,69.72503467,54.85373619,16.50320277,61.17215022,49.9649267,38.97741575,0.02,"UP_pEhEx_DOWN_U2AF84"
"26","EHI_000660A",14.69196381,0.099899642,0.619288121,0.161313674,0.871846354,0.999772996,20,15,4,33,9,26,20.21015498,15.52464232,9.430401584,19.59884425,8.484610194,14.90312955,0.02,"DOWN_pEhEx_UP_U2AF84"
"27","EHI_000670A",30.5277936,-0.122989711,1.200694572,-0.102432137,0.918413676,0.999772996,16,4,29,11,10,137,16.16812398,4.139904618,68.37041148,6.532948082,9.427344659,78.5280288,0.02,"UP_pEhEx_DOWN_U2AF84"
"28","EHI_000690A",68.6579624,-4.157248077,3.661620297,-1.135357503,0.256225558,0.999772996,0,21,0,184,298,0,0,21.73449925,0,109.2784043,280.9348709,0,0.02,"UP_pEhEx_DOWN_U2AF84"
"29","EHI_000700A",42.65300826,0.242168814,0.872441226,0.277576078,0.781337797,0.999772996,67,63,2,79,52,39,67.70401918,65.20349774,4.715200792,46.91844532,49.02219223,22.35469433,0.02,"DOWN_pEhEx_UP_U2AF84"
"30","EHI_000710A",18.71104071,-0.135142073,0.858293761,-0.157454334,0.874886795,0.999772996,27,22,1,46,26,14,27.28370922,22.7694754,2.357600396,27.31960107,24.51109611,8.024762067,0.02,"UP_pEhEx_DOWN_U2AF84"
"31","EHI_000720A",124.5644182,0.15637477,0.350818268,0.44574295,0.655782936,0.999772996,125,140,52,218,107,215,126.3134686,144.8966616,122.5952206,129.4711529,100.8725879,123.2374175,0.02,"DOWN_pEhEx_UP_U2AF84"
"32","EHI_000730A",945.3308821,-0.078547394,0.792517198,-0.099111281,0.921049915,0.999772996,387,467,800,916,835,2757,391.0664988,483.3338642,1886.080317,544.0164039,787.1832791,1580.30493,0.02,"UP_pEhEx_DOWN_U2AF84"
"33","EHI_000740A",72.46373602,0.599507769,0.631139046,0.949882236,0.342172094,0.999772996,106,103,20,124,79,45,107.1138214,106.6025439,47.15200792,73.64414202,74.47602281,25.79387807,0.02,"DOWN_pEhEx_UP_U2AF84"
"34","EHI_000770A",18.28478632,0.461102412,1.098844405,0.419624844,0.674759536,0.999772996,10,7,20,8,4,64,10.10507749,7.244833082,47.15200792,4.751234969,3.770937864,36.68462659,0.02,"DOWN_pEhEx_UP_U2AF84"
