baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,CmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,CmasM_1.1,CmasM_2.1,CmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_010520A,37.93541536,-1.530012778,0.924519823,-1.654926957,0.097939315,0.781095766,20,11,27,26,13,172,25.89930142,12.61809324,20.19717936,19.83869192,15.76099111,133.2982351,21.89,UP_pEhEx_DOWN_CmasM
EHI_042690A,89.22571327,0.936577616,0.569104566,1.645703923,0.099824731,0.781095766,61,119,181,85,75,37,78.99286934,136.5048269,135.3959061,64.85726206,90.92879487,28.67462035,21.89,DOWN_pEhEx_UP_CmasM
EHI_094100A,2053.296331,-0.744131677,0.450949743,-1.650143255,0.09891364,0.781095766,1207,1291,2088,2364,1570,5170,1563.022841,1480.905307,1561.915204,1803.794912,1903.442773,4006.696951,21.89,UP_pEhEx_DOWN_CmasM
EHI_098420A,67.50356197,-1.63401018,0.99360615,-1.644525027,0.100067799,0.781095766,20,17,71,31,23,329,25.89930142,19.50068956,53.11110129,23.65382499,27.88483043,254.9716242,21.89,UP_pEhEx_DOWN_CmasM
EHI_099200A,26.80490581,-0.929047726,0.560556469,-1.657366879,0.097445323,0.781095766,11,21,23,36,22,66,14.24461578,24.0890871,17.20500464,27.46895805,26.67244649,51.14932278,21.89,UP_pEhEx_DOWN_CmasM
EHI_124520A,775.716779,-0.925172166,0.562233182,-1.645531063,0.099860342,0.781095766,403,461,742,787,510,2361,521.8709236,528.8128168,555.0484107,600.501944,618.3158051,1829.750774,21.89,UP_pEhEx_DOWN_CmasM
EHI_128150A,96.38919813,-1.450948854,0.881678366,-1.645666845,0.099832369,0.781095766,46,33,77,86,24,424,59.56839327,37.85427973,57.59936337,65.62028867,29.09721436,328.5956494,21.89,UP_pEhEx_DOWN_CmasM
EHI_133540A,86.51580356,1.447217274,0.87301383,1.657725484,0.097372888,0.781095766,55,91,272,51,77,10,71.22307891,104.3860441,203.467881,38.91435724,93.35356273,7.749897391,21.89,DOWN_pEhEx_UP_CmasM
EHI_134490A,492.9330731,-0.834523942,0.505176397,-1.651945631,0.098545635,0.781095766,149,427,507,789,693,585,192.9497956,489.8114377,379.2581459,602.0279973,840.1820646,453.3689974,21.89,UP_pEhEx_DOWN_CmasM
EHI_136330A,13.12776684,1.074173426,0.652424245,1.64643395,0.099674448,0.781095766,16,16,19,13,9,6,20.71944114,18.35359017,14.21282992,9.919345962,10.91145538,4.649938434,21.89,DOWN_pEhEx_UP_CmasM
EHI_137890A,236.344926,-0.64846749,0.392582773,-1.651798127,0.098575711,0.781095766,105,204,243,338,296,322,135.9713325,234.0082747,181.7746143,257.902995,358.8656437,249.546696,21.89,UP_pEhEx_DOWN_CmasM
EHI_140260A,424.1672008,-0.70531335,0.428749896,-1.645046113,0.099960302,0.781095766,196,370,387,541,366,930,253.8131539,424.4267727,289.4929042,412.7973974,443.732519,720.7404573,21.89,UP_pEhEx_DOWN_CmasM
EHI_140610A,223.2138174,0.866256495,0.526878136,1.644130654,0.100149217,0.781095766,238,194,446,260,168,94,308.2016869,222.5372808,333.6274814,198.3869192,203.6805005,72.84903547,21.89,DOWN_pEhEx_UP_CmasM
EHI_167300A,15501.93987,-0.964713084,0.585540313,-1.647560487,0.099442894,0.781095766,7850,7726,16688,11682,13848,46191,10165.47581,8862.489854,12483.35293,8913.676887,16789.09268,35797.55104,21.89,UP_pEhEx_DOWN_CmasM
EHI_175050A,1821.661828,-0.597191706,0.361580593,-1.651614377,0.098613187,0.781095766,855,1430,2141,2205,1966,3245,1107.195136,1640.352122,1601.561519,1682.473681,2383.546809,2514.841703,21.89,UP_pEhEx_DOWN_CmasM
EHI_178940A,226.5875179,0.608844084,0.368262374,1.653288871,0.098272087,0.781095766,238,236,325,302,112,221,308.2016869,270.715455,243.1141961,230.434037,135.7870003,171.2727323,21.89,DOWN_pEhEx_UP_CmasM
EHI_199700A,19.17073906,1.242866318,0.755324156,1.645474077,0.099872084,0.781095766,15,27,40,16,16,4,19.42447607,30.97168341,29.92174721,12.2084258,19.39814291,3.099958956,21.89,DOWN_pEhEx_UP_CmasM
EHI_004600A,920.7830108,-0.750811422,0.457102245,-1.642545907,0.100476921,0.782029021,494,571,1022,905,864,2229,639.7127451,654.9937492,764.5006411,690.5390843,1047.499717,1727.452128,21.8,UP_pEhEx_DOWN_CmasM
EHI_011530A,26.29686027,0.863656745,0.528916952,1.632877793,0.102494701,0.782029021,34,25,39,30,17,16,44.02881242,28.67748464,29.17370353,22.89079837,20.61052684,12.39983583,21.8,DOWN_pEhEx_UP_CmasM
EHI_023890A,451.9118238,0.54321016,0.332613633,1.633156631,0.102436059,0.782029021,479,357,773,535,296,434,620.288269,409.5144807,578.2377648,408.2192377,358.8656437,336.3455468,21.8,DOWN_pEhEx_UP_CmasM
EHI_045190A,22.44888029,-1.581973035,0.968747929,-1.633007914,0.102467332,0.782029021,7,5,25,13,12,99,9.064755497,5.735496929,18.701092,9.919345962,14.54860718,76.72398417,21.8,UP_pEhEx_DOWN_CmasM
EHI_053160A,32.60334102,1.78320638,1.089557259,1.636633932,0.101706981,0.782029021,18,35,117,13,28,1,23.30937128,40.1484785,87.52111058,9.919345962,33.94675008,0.774989739,21.8,DOWN_pEhEx_UP_CmasM
EHI_053840A,16.88693878,-1.766804386,1.079280969,-1.637019865,0.101626319,0.782029021,4,7,13,4,11,80,5.179860284,8.0296957,9.724567842,3.05210645,13.33622325,61.99917913,21.8,UP_pEhEx_DOWN_CmasM
EHI_055640A,85.66672975,1.027717204,0.62968608,1.632110406,0.10265623,0.782029021,60,115,180,88,68,26,77.69790426,131.9164294,134.6478624,67.1463419,82.44210735,20.14973322,21.8,DOWN_pEhEx_UP_CmasM
EHI_056130A,37.23908736,1.151142689,0.701903251,1.640030429,0.10099884,0.782029021,49,44,54,55,16,10,63.45328848,50.47237297,40.39435873,41.96646369,19.39814291,7.749897391,21.8,DOWN_pEhEx_UP_CmasM
EHI_090030A,30.9464231,-1.397643162,0.854997721,-1.634674723,0.102117254,0.782029021,6,14,36,21,22,119,7.769790426,16.0593914,26.92957249,16.02355886,26.67244649,92.22377895,21.8,UP_pEhEx_DOWN_CmasM
EHI_093360A,41.53429595,0.854845443,0.522003515,1.637623921,0.10150017,0.782029021,46,48,61,47,31,20,59.56839327,55.06077051,45.63066449,35.86225079,37.58390188,15.49979478,21.8,DOWN_pEhEx_UP_CmasM
EHI_094120A,1515.868847,-0.740667973,0.453453808,-1.633392331,0.102386509,0.782029021,719,988,1792,1555,1420,3590,931.0798861,1133.334193,1340.494275,1186.506382,1721.585183,2782.213163,21.8,UP_pEhEx_DOWN_CmasM
EHI_113590A,240.1903408,-0.628246614,0.383562385,-1.637925506,0.101437234,0.782029021,118,202,243,334,202,484,152.8058784,231.7140759,181.7746143,254.8508886,244.9015542,375.0950337,21.8,UP_pEhEx_DOWN_CmasM
EHI_146330A,22.77257224,1.009759789,0.616007431,1.639200664,0.101171476,0.782029021,32,20,36,27,14,10,41.43888227,22.94198771,26.92957249,20.60171854,16.97337504,7.749897391,21.8,DOWN_pEhEx_UP_CmasM
EHI_149870A,15.85521177,-1.267257725,0.775567144,-1.633975517,0.102263991,0.782029021,2,12,15,16,22,37,2.589930142,13.76519263,11.2206552,12.2084258,26.67244649,28.67462035,21.8,UP_pEhEx_DOWN_CmasM
EHI_182040A,29.57700607,-1.655151213,1.014661643,-1.631234633,0.10284082,0.782135989,13,9,21,18,7,145,16.83454592,10.32389447,15.70891728,13.73447902,8.486687521,112.3735122,21.79,UP_pEhEx_DOWN_CmasM
EHI_005060A,610.8658232,-0.615805317,0.380087528,-1.620167123,0.105196382,0.782431083,422,441,528,729,801,891,546.47526,505.8708291,394.9670631,556.2464005,971.1195292,690.5158575,21.76,UP_pEhEx_DOWN_CmasM
EHI_016110A,27.99605604,-1.866431912,1.15108613,-1.621452872,0.104920549,0.782431083,8,0,34,24,30,100,10.35972057,0,25.43348513,18.3126387,36.37151795,77.49897391,21.76,UP_pEhEx_DOWN_CmasM
EHI_029230A,28.00982202,-1.150143442,0.708058658,-1.624361809,0.104298613,0.782431083,16,16,18,23,22,92,20.71944114,18.35359017,13.46478624,17.54961209,26.67244649,71.299056,21.76,UP_pEhEx_DOWN_CmasM
EHI_050740A,434.2836564,-0.678437935,0.42082009,-1.612180479,0.106922672,0.782431083,157,398,457,734,443,654,203.3095162,456.5455555,341.8559618,560.0615336,537.0860817,506.8432894,21.76,UP_pEhEx_DOWN_CmasM
EHI_059890A,14.94460925,1.200074215,0.741476345,1.618492921,0.105556411,0.782431083,16,7,45,14,6,12,20.71944114,8.0296957,33.66196561,10.68237257,7.27430359,9.299876869,21.76,DOWN_pEhEx_UP_CmasM
EHI_062760A,123.804233,-0.949170495,0.586220199,-1.619136457,0.105417906,0.782431083,37,69,168,114,142,298,47.91370763,79.14985762,125.6713383,86.98503382,172.1585183,230.9469422,21.76,UP_pEhEx_DOWN_CmasM
EHI_066760A,642.219794,-0.998152009,0.612359194,-1.630010652,0.103099246,0.782431083,309,367,621,609,389,2105,400.144207,420.9854746,464.5351254,464.683207,471.6173494,1631.353401,21.76,UP_pEhEx_DOWN_CmasM
EHI_076260A,20.94449824,1.066514209,0.656357741,1.62489774,0.10418435,0.782431083,24,20,42,31,6,12,31.07916171,22.94198771,31.41783457,23.65382499,7.27430359,9.299876869,21.76,DOWN_pEhEx_UP_CmasM
EHI_088040A,61.33770615,1.008325899,0.623293461,1.617738614,0.105718941,0.782431083,74,79,80,95,24,26,95.82741526,90.62085147,59.84349441,72.48752819,29.09721436,20.14973322,21.76,DOWN_pEhEx_UP_CmasM
EHI_090000A,313.5300859,-0.623681525,0.386912878,-1.611943052,0.106974333,0.782431083,258,157,303,441,314,546,334.1009883,180.0946036,226.6572351,336.4947361,380.6885545,423.1443975,21.76,UP_pEhEx_DOWN_CmasM
EHI_092350A,11.77215064,-1.478749417,0.916604098,-1.613291301,0.106681236,0.782431083,2,10,6,22,24,8,2.589930142,11.47099386,4.488262081,16.78658547,29.09721436,6.199917913,21.76,UP_pEhEx_DOWN_CmasM
EHI_099290A,33.61813934,-1.485332735,0.913631173,-1.625746557,0.104003581,0.782431083,13,10,33,17,18,147,16.83454592,11.47099386,24.68544145,12.97145241,21.82291077,113.9234916,21.76,UP_pEhEx_DOWN_CmasM
EHI_103470A,40.15038404,-1.372515742,0.847416768,-1.619646664,0.105308199,0.782431083,7,17,51,31,27,152,9.064755497,19.50068956,38.15022769,23.65382499,32.73436615,117.7984403,21.76,UP_pEhEx_DOWN_CmasM
EHI_107250A,340.3109481,-1.069126099,0.656642977,-1.628169549,0.10348894,0.782431083,156,144,390,297,218,1151,202.0145511,165.1823115,291.7370353,226.6189039,264.2996971,892.0131897,21.76,UP_pEhEx_DOWN_CmasM
EHI_118700A,25.63288747,-1.559264504,0.961617306,-1.621502124,0.104909995,0.782431083,6,4,35,20,16,104,7.769790426,4.588397543,26.18152881,15.26053225,19.39814291,80.59893286,21.76,UP_pEhEx_DOWN_CmasM
EHI_131470A,3874.65336,-0.877535218,0.543072002,-1.615872692,0.106121841,0.782431083,858,3248,4487,5832,4039,7365,1111.080031,3725.778805,3356.471993,4449.971204,4896.8187,5707.799428,21.76,UP_pEhEx_DOWN_CmasM
EHI_140540A,8147.679197,-0.731114263,0.453374712,-1.612604859,0.106830382,0.782431083,2501,6986,9526,12921,8262,13719,3238.707643,8013.636309,7125.864097,9859.06686,10016.71604,10632.08423,21.76,UP_pEhEx_DOWN_CmasM
EHI_151390A,487.3858492,-0.64142071,0.395431355,-1.622078528,0.104786535,0.782431083,226,403,518,673,398,1014,292.6621061,462.2810524,387.4866263,513.5169102,482.5288048,785.8395954,21.76,UP_pEhEx_DOWN_CmasM
EHI_154450A,3920.406918,-0.743557606,0.459490642,-1.618221436,0.105614885,0.782431083,1620,3519,3557,4681,5658,5543,2097.843415,4036.642738,2660.79137,3571.727573,6859.668285,4295.768124,21.76,UP_pEhEx_DOWN_CmasM
EHI_170010A,51.45304367,-0.707158153,0.437650856,-1.615804339,0.106136623,0.782431083,24,40,54,79,41,105,31.07916171,45.88397543,40.39435873,60.27910239,49.7077412,81.3739226,21.76,UP_pEhEx_DOWN_CmasM
EHI_177580A,18.56977057,-1.652222884,1.023070382,-1.614965025,0.106318269,0.782431083,8,6,13,7,9,88,10.35972057,6.882596314,9.724567842,5.341186287,10.91145538,68.19909704,21.76,UP_pEhEx_DOWN_CmasM
EHI_179000A,5405.242413,-0.571849066,0.354540348,-1.612930851,0.106759532,0.782431083,2537,4489,6160,7046,6375,8108,3285.326385,5149.329143,4607.94907,5376.285512,7728.947564,6283.616804,21.76,UP_pEhEx_DOWN_CmasM
EHI_182750A,32.74563882,-1.41643746,0.876398086,-1.616203278,0.10605037,0.782431083,14,12,29,26,12,140,18.12951099,13.76519263,21.69326673,19.83869192,14.54860718,108.4985635,21.76,UP_pEhEx_DOWN_CmasM
EHI_200210A,17.00750442,1.172025024,0.725857597,1.614676252,0.106380823,0.782431083,11,24,38,16,13,5,14.24461578,27.53038526,28.42565985,12.2084258,15.76099111,3.874948695,21.76,DOWN_pEhEx_UP_CmasM
EHI_169960A,25.058382,-1.257030987,0.780296406,-1.61096601,0.107187131,0.782739144,10,11,25,18,18,91,12.94965071,12.61809324,18.701092,13.73447902,21.82291077,70.52406626,21.73,UP_pEhEx_DOWN_CmasM
EHI_137010A,28.78044253,0.79314995,0.493754447,1.606365176,0.108193698,0.787581424,37,28,40,34,15,24,47.91370763,32.1187828,29.92174721,25.94290482,18.18575897,18.59975374,21.24,DOWN_pEhEx_UP_CmasM
EHI_137270A,28.78044253,0.79314995,0.493754447,1.606365176,0.108193698,0.787581424,37,28,40,34,15,24,47.91370763,32.1187828,29.92174721,25.94290482,18.18575897,18.59975374,21.24,DOWN_pEhEx_UP_CmasM
EHI_011870A,606.456871,-0.500846544,0.313338977,-1.598417625,0.109950065,0.7897948,407,434,644,725,642,1033,527.0507839,497.8411334,481.74013,553.1942941,778.3504841,800.5644005,21.02,UP_pEhEx_DOWN_CmasM
EHI_050880A,45.23695049,-0.895328349,0.559223757,-1.601019874,0.109372517,0.7897948,30,23,40,45,41,119,38.84895213,26.38328587,29.92174721,34.33619756,49.7077412,92.22377895,21.02,UP_pEhEx_DOWN_CmasM
EHI_059830A,316.2965837,-0.872634463,0.544991801,-1.60118824,0.109335233,0.7897948,141,162,403,272,320,816,182.590075,185.8301005,301.4616031,207.5432386,387.9628581,632.3916271,21.02,UP_pEhEx_DOWN_CmasM
EHI_065810A,153.9528264,-0.679510763,0.424961825,-1.598992483,0.109822273,0.7897948,75,146,121,221,188,222,97.12238033,167.4765103,90.5132853,168.6288814,227.9281791,172.0477221,21.02,UP_pEhEx_DOWN_CmasM
EHI_068260A,354.7934704,-0.691469587,0.432715158,-1.597978657,0.110047727,0.7897948,168,295,345,379,362,757,217.5541319,338.3943188,258.0750697,289.1870861,438.8829832,586.6672325,21.02,UP_pEhEx_DOWN_CmasM
EHI_115820A,184.4741197,0.790976579,0.493987352,1.601208159,0.109330822,0.7897948,183,272,204,227,123,107,236.978608,312.0110329,152.6009108,173.207041,149.1232236,82.92390208,21.02,DOWN_pEhEx_UP_CmasM
EHI_137930A,75.14769231,-1.059844603,0.662072909,-1.600797417,0.109421796,0.7897948,21,30,112,67,89,189,27.19426649,34.41298157,83.78089218,51.12278304,107.9021699,146.4730607,21.02,UP_pEhEx_DOWN_CmasM
EHI_138050A,16.4304678,0.937952893,0.58665289,1.598820884,0.109860407,0.7897948,20,16,28,20,6,14,25.89930142,18.35359017,20.94522305,15.26053225,7.27430359,10.84985635,21.02,DOWN_pEhEx_UP_CmasM
EHI_152190A,21.03537445,-0.994620597,0.621099571,-1.601386708,0.109291295,0.7897948,6,21,14,40,21,36,7.769790426,24.0890871,10.47261152,30.5210645,25.46006256,27.89963061,21.02,UP_pEhEx_DOWN_CmasM
EHI_000670A,28.26710422,-1.566272319,1.068290571,-1.46614822,0.142607912,0.790168442,16,5,22,11,10,137,20.71944114,5.735496929,16.45696096,8.393292737,12.12383932,106.1735943,20.98,UP_pEhEx_DOWN_CmasM
EHI_000900A,35.8659886,-1.180085816,0.786719407,-1.500008522,0.133612195,0.790168442,11,10,53,27,35,112,14.24461578,11.47099386,39.64631505,20.60171854,42.43343761,86.79885078,20.98,UP_pEhEx_DOWN_CmasM
EHI_003020A,14.07491392,-1.371382381,0.881252928,-1.556173418,0.119666861,0.790168442,5,5,15,14,7,54,6.474825355,5.735496929,11.2206552,10.68237257,8.486687521,41.84944591,20.98,UP_pEhEx_DOWN_CmasM
EHI_004530A,92.32092842,1.210988854,0.803305169,1.507507857,0.131680532,0.790168442,106,115,157,109,63,10,137.2662975,131.9164294,117.4428578,83.16990076,76.38018769,7.749897391,20.98,DOWN_pEhEx_UP_CmasM
EHI_004980A,38.14314316,-1.383059469,0.921051398,-1.501609435,0.133198005,0.790168442,14,14,39,23,14,169,18.12951099,16.0593914,29.17370353,17.54961209,16.97337504,130.9732659,20.98,UP_pEhEx_DOWN_CmasM
EHI_008030A,158.6793007,-1.000744972,0.654939861,-1.527995211,0.126513727,0.790168442,81,71,175,140,98,528,104.8921708,81.44405639,130.907644,106.8237257,118.8136253,409.1945822,20.98,UP_pEhEx_DOWN_CmasM
EHI_008110A,23.25456627,-1.316992363,0.830021906,-1.58669591,0.112581533,0.790168442,8,8,27,17,16,87,10.35972057,9.176795086,20.19717936,12.97145241,19.39814291,67.4241073,20.98,UP_pEhEx_DOWN_CmasM
EHI_008640A,14.07491392,-1.371382381,0.881252928,-1.556173418,0.119666861,0.790168442,5,5,15,14,7,54,6.474825355,5.735496929,11.2206552,10.68237257,8.486687521,41.84944591,20.98,UP_pEhEx_DOWN_CmasM
EHI_008790A,103.2193081,-0.858376683,0.581897491,-1.475133843,0.140176563,0.790168442,57,56,110,124,58,302,73.81300905,64.2375656,82.28480482,94.61529995,70.31826803,234.0469012,20.98,UP_pEhEx_DOWN_CmasM
EHI_009690A,25.36776097,0.871089695,0.577555381,1.508235787,0.131494191,0.790168442,25,30,42,31,18,11,32.37412678,34.41298157,31.41783457,23.65382499,21.82291077,8.52488713,20.98,DOWN_pEhEx_UP_CmasM
EHI_009870A,8747.935694,0.618841092,0.412118934,1.501608009,0.133198374,0.790168442,8904,8208,14493,10414,7088,5369,11530.36899,9415.391758,10841.39706,7946.159142,8593.377307,4160.919909,20.98,DOWN_pEhEx_UP_CmasM
EHI_010710A,602.5357482,-0.532135268,0.35880449,-1.48307862,0.138053524,0.790168442,372,471,610,728,529,1213,481.7270064,540.2838107,456.3066449,555.4833739,641.3510998,940.0625535,20.98,UP_pEhEx_DOWN_CmasM
EHI_012260A,14.15971727,1.639890419,1.090646043,1.503595442,0.132685565,0.790168442,13,27,22,16,7,0,16.83454592,30.97168341,16.45696096,12.2084258,8.486687521,0,20.98,DOWN_pEhEx_UP_CmasM
EHI_012280A,42.14907033,0.748568171,0.512508912,1.460595422,0.144126503,0.790168442,45,40,73,62,22,26,58.2734282,45.88397543,54.60718865,47.30764997,26.67244649,20.14973322,20.98,DOWN_pEhEx_UP_CmasM
EHI_013070A,13.97867247,0.914844545,0.580075891,1.577111823,0.114769797,0.790168442,17,15,21,11,8,14,22.01440621,17.20649079,15.70891728,8.393292737,9.699071453,10.84985635,20.98,DOWN_pEhEx_UP_CmasM
EHI_013890A,11295.36782,0.454989064,0.301821963,1.507474999,0.131688947,0.790168442,11747,9667,17224,11585,9011,11384,15211.95469,11089.00976,12884.30435,8839.663306,10924.79161,8822.48319,20.98,DOWN_pEhEx_UP_CmasM
EHI_013960A,20.80620994,1.377099834,0.947901894,1.452787301,0.146282819,0.790168442,26,29,31,27,11,1,33.66909185,33.26588219,23.18935409,20.60171854,13.33622325,0.774989739,20.98,DOWN_pEhEx_UP_CmasM
EHI_014010A,59.3936265,1.290442974,0.887056694,1.454746898,0.145739344,0.790168442,53,73,134,62,44,4,68.63314877,83.73825516,100.2378531,47.30764997,53.34489299,3.099958956,20.98,DOWN_pEhEx_UP_CmasM
EHI_014810A,73.46772562,1.094486691,0.745216643,1.468682566,0.141918908,0.790168442,96,125,44,104,31,30,124.3166468,143.3874232,32.91392193,79.3547677,37.58390188,23.24969217,20.98,DOWN_pEhEx_UP_CmasM
EHI_015220A,17.22643371,1.390596997,0.945998914,1.469977371,0.141567883,0.790168442,26,22,21,16,13,1,33.66909185,25.23618649,15.70891728,12.2084258,15.76099111,0.774989739,20.98,DOWN_pEhEx_UP_CmasM
EHI_016130A,1561.42574,0.50203607,0.344841752,1.455844793,0.14543553,0.790168442,1823,1422,2005,1889,1073,1464,2360.721325,1631.175327,1499.827579,1441.357271,1300.887959,1134.584978,20.98,DOWN_pEhEx_UP_CmasM
EHI_017450A,14.33247026,1.271163977,0.871429503,1.4587112,0.144644612,0.790168442,25,21,6,13,8,7,32.37412678,24.0890871,4.488262081,9.919345962,9.699071453,5.424928174,20.98,DOWN_pEhEx_UP_CmasM
EHI_017690A,1060.810038,1.089408723,0.71646022,1.520543211,0.128374507,0.790168442,1612,1045,1395,1114,842,212,2087.483695,1198.718858,1043.520934,850.0116463,1020.82727,164.2978247,20.98,DOWN_pEhEx_UP_CmasM
EHI_020340A,52.36682475,-1.193485878,0.804343203,-1.483801782,0.137861514,0.790168442,35,18,40,47,22,201,45.32377749,20.64778894,29.92174721,35.86225079,26.67244649,155.7729376,20.98,UP_pEhEx_DOWN_CmasM
EHI_021260A,273.9551464,1.483009385,0.934788854,1.586464558,0.112633966,0.790168442,203,308,794,213,214,15,262.8779094,353.3066108,593.9466821,162.5246685,259.4501614,11.62484609,20.98,DOWN_pEhEx_UP_CmasM
EHI_026330A,135.1680577,0.864300829,0.567711697,1.522429136,0.127901589,0.790168442,101,153,290,191,82,55,130.7914722,175.506206,216.9326673,145.738083,99.41548239,42.62443565,20.98,DOWN_pEhEx_UP_CmasM
EHI_026420A,40.97076673,-1.425906524,0.96615373,-1.47585884,0.139981791,0.790168442,21,13,33,21,13,190,27.19426649,14.91229201,24.68544145,16.02355886,15.76099111,147.2480504,20.98,UP_pEhEx_DOWN_CmasM
EHI_027370A,49.88116716,-0.813954841,0.517224873,-1.573696245,0.11555769,0.790168442,16,33,66,69,46,107,20.71944114,37.85427973,49.37088289,52.64883626,55.76966085,82.92390208,20.98,UP_pEhEx_DOWN_CmasM
EHI_027530A,58.50355831,-0.971207495,0.639953305,-1.517622438,0.129109607,0.790168442,28,26,70,59,39,181,36.25902199,29.82458403,52.36305761,45.01857014,47.28297333,140.2731428,20.98,UP_pEhEx_DOWN_CmasM
EHI_029030A,55.65647337,-2.332840764,1.520390224,-1.534369748,0.124938716,0.790168442,8,13,40,21,0,339,10.35972057,14.91229201,29.92174721,16.02355886,0,262.7215215,20.98,UP_pEhEx_DOWN_CmasM
EHI_029060A,118.2056189,-0.690519954,0.459357381,-1.503230345,0.132779655,0.790168442,68,93,103,140,95,278,88.05762483,106.6802429,77.04849906,106.8237257,115.1764735,215.4471475,20.98,UP_pEhEx_DOWN_CmasM
EHI_029550A,22.21062737,-1.625690325,1.035446169,-1.570038476,0.11640616,0.790168442,11,5,17,12,7,107,14.24461578,5.735496929,12.71674256,9.15631935,8.486687521,82.92390208,20.98,UP_pEhEx_DOWN_CmasM
EHI_031350A,25.93517346,-0.779755394,0.534759502,-1.458142195,0.144801353,0.790168442,17,16,23,31,23,60,22.01440621,18.35359017,17.20500464,23.65382499,27.88483043,46.49938434,20.98,UP_pEhEx_DOWN_CmasM
EHI_031410A,2060.499716,0.441076682,0.285615098,1.544304504,0.122514582,0.790168442,1899,2089,3027,2730,1300,2044,2459.13867,2396.290617,2264.32822,2083.062652,1576.099111,1584.079027,20.98,DOWN_pEhEx_UP_CmasM
EHI_035220A,88.18871471,-1.177556294,0.776115231,-1.51724415,0.129205053,0.790168442,9,98,51,166,101,152,11.65468564,112.4157398,38.15022769,126.6624177,122.4507771,117.7984403,20.98,UP_pEhEx_DOWN_CmasM
EHI_037810A,60.55943707,-0.853741328,0.571917904,-1.492769017,0.13549766,0.790168442,15,51,68,93,87,75,19.42447607,58.50206867,50.86697025,70.96147496,105.477402,58.12423043,20.98,UP_pEhEx_DOWN_CmasM
EHI_038540A,22.34362016,-0.945922551,0.600183317,-1.576056057,0.115012885,0.790168442,8,10,31,39,31,28,10.35972057,11.47099386,23.18935409,29.75803789,37.58390188,21.69971269,20.98,UP_pEhEx_DOWN_CmasM
EHI_038570A,56.64823671,-2.147292891,1.377446425,-1.558893945,0.119021484,0.790168442,17,2,51,18,4,334,22.01440621,2.294198771,38.15022769,13.73447902,4.849535726,258.8465729,20.98,UP_pEhEx_DOWN_CmasM
EHI_038900A,11.50217806,1.038353951,0.695660907,1.492615067,0.135537977,0.790168442,14,9,24,14,6,6,18.12951099,10.32389447,17.95304832,10.68237257,7.27430359,4.649938434,20.98,DOWN_pEhEx_UP_CmasM
EHI_039860A,378.8925352,0.608943121,0.399648683,1.523696054,0.127584656,0.790168442,341,375,670,526,248,256,441.5830892,430.1622696,501.1892657,401.3519982,300.671215,198.3973732,20.98,DOWN_pEhEx_UP_CmasM
EHI_042720A,80695.42202,0.355880802,0.227684693,1.563042281,0.11804265,0.790168442,71372,75837,123492,91671,59270,91063,92424.24705,86992.57612,92377.41015,69947.41259,71857.99563,70572.89061,20.98,DOWN_pEhEx_UP_CmasM
EHI_044640A,314.6129596,-0.636676864,0.436958773,-1.457063923,0.145098736,0.790168442,215,226,270,409,228,722,278.4174903,259.2444612,201.9717936,312.0778845,276.4235364,559.5425916,20.98,UP_pEhEx_DOWN_CmasM
EHI_045150A,24.55533937,-1.01004247,0.656072176,-1.539529502,0.123675081,0.790168442,16,9,24,26,20,70,20.71944114,10.32389447,17.95304832,19.83869192,24.24767863,54.24928174,20.98,UP_pEhEx_DOWN_CmasM
EHI_045590A,43.39445187,1.54447675,0.993745866,1.554196905,0.120137455,0.790168442,31,80,82,15,44,3,40.1439172,91.76795086,61.33958177,11.44539919,53.34489299,2.324969217,20.98,DOWN_pEhEx_UP_CmasM
EHI_048210A,312.8909305,0.417305503,0.284641928,1.466071795,0.142628729,0.790168442,295,300,464,361,243,302,382.014696,344.1298157,347.0922676,275.4526071,294.6092954,234.0469012,20.98,DOWN_pEhEx_UP_CmasM
EHI_049910A,943.355693,-0.609356529,0.403239879,-1.511151453,0.130749868,0.790168442,378,817,1088,1202,1017,1638,489.4967969,937.1801981,813.871524,917.1579882,1232.994458,1269.433193,20.98,UP_pEhEx_DOWN_CmasM
EHI_050950A,142.7303428,-1.487027456,1.008221646,-1.47490134,0.14023907,0.790168442,70,45,111,80,24,698,90.64755497,51.61947236,83.0328485,61.042129,29.09721436,540.9428379,20.98,UP_pEhEx_DOWN_CmasM
EHI_051580A,29.81347591,1.025977989,0.690050838,1.486815075,0.137063659,0.790168442,33,20,73,22,7,43,42.73384735,22.94198771,54.60718865,16.78658547,8.486687521,33.32455878,20.98,DOWN_pEhEx_UP_CmasM
EHI_052110A,60.55943707,-0.853741328,0.571917904,-1.492769017,0.13549766,0.790168442,15,51,68,93,87,75,19.42447607,58.50206867,50.86697025,70.96147496,105.477402,58.12423043,20.98,UP_pEhEx_DOWN_CmasM
EHI_052870A,41.42664771,-0.765271269,0.518798678,-1.475083306,0.140190148,0.790168442,25,28,37,39,45,93,32.37412678,32.1187828,27.67761617,29.75803789,54.55727692,72.07404573,20.98,UP_pEhEx_DOWN_CmasM
