"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","U2AF84_1","U2AF84_2","pEhEx_1","pEhEx_2","U2AF84_1.1","U2AF84_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"28","EHI_092170A",101.8734784,-1.565525988,0.398229908,-3.931211487,8.45188811379601e-05,0.008195313,45,46,230,134,50.54056482,52.4106734,156.3598502,148.1828252,99.18,"UP_pEhEx_DOWN_U2AF84"
"29","EHI_000130A",177.7823987,-1.976935721,0.507306584,-3.896925019,9.74217647199563e-05,0.008532261,59,68,236,368,66.2642961,77.47664764,160.4388029,406.9498482,99.15,"UP_pEhEx_DOWN_U2AF84"
"30","EHI_083100A",49.92797767,-2.801552583,0.718136676,-3.901141211,9.57402799702091e-05,0.008532261,7,15,70,115,7.861865639,17.09043698,47.58778051,127.1718276,99.15,"UP_pEhEx_DOWN_U2AF84"
"31","EHI_152800A",621.93722,-2.360555573,0.605546768,-3.898221735,9.69016673407288e-05,0.008532261,90,267,755,1419,101.0811296,304.2097782,513.2682041,1569.189768,99.15,"UP_pEhEx_DOWN_U2AF84"
"32","EHI_135060A",1172.084753,-1.813910926,0.47630799,-3.808273145,0.000139941,0.011873089,282,633,1817,2184,316.7208729,721.2164405,1235.242817,2415.158882,98.81,"UP_pEhEx_DOWN_U2AF84"
"33","EHI_147570A",1923.211857,-1.309267467,0.34604884,-3.783475959,0.000154653,0.012723746,856,1097,3071,3069,961.3938553,1249.880624,2087.743913,3393.829033,98.73,"UP_pEhEx_DOWN_U2AF84"
"34","EHI_058090A",2086.734942,-1.297462701,0.343674081,-3.775270737,0.000159834,0.012763213,1047,1086,3209,3393,1175.910475,1237.347637,2181.559824,3752.121834,98.72,"UP_pEhEx_DOWN_U2AF84"
"35","EHI_062500A",84.08638794,-1.720756002,0.45976315,-3.742700998,0.000182053,0.014117504,31,38,157,137,34.81683354,43.29577368,106.7325934,151.5003511,98.59,"UP_pEhEx_DOWN_U2AF84"
"36","EHI_163670A",2536.08607,-1.41146404,0.377831164,-3.735700421,0.000187193,0.014117504,1184,1265,3643,4428,1329.778417,1441.293519,2476.604063,4896.668282,98.59,"UP_pEhEx_DOWN_U2AF84"
"37","EHI_092110A",166.436772,-1.62334987,0.439330932,-3.695050246,0.000219843,0.016131745,80,64,260,295,89.84989302,72.91919778,176.7546133,326.2233838,98.39,"UP_pEhEx_DOWN_U2AF84"
"38","EHI_051690A",39.76983064,-2.668466741,0.733280127,-3.639082312,0.000273611,0.01954881,4,15,77,77,4.492494651,17.09043698,52.34655856,85.14983237,98.05,"UP_pEhEx_DOWN_U2AF84"
"39","EHI_104360A",692.2362993,-1.497516736,0.413824319,-3.618725787,0.000296057,0.019597832,265,374,1006,1231,297.6277706,426.121562,683.9043884,1361.291476,98.04,"UP_pEhEx_DOWN_U2AF84"
"40","EHI_105140A",7029.619179,-1.405125639,0.388108631,-3.62044419,0.000294098,0.019597832,2523,4277,11325,11496,2833.641001,4873.053264,7699.023061,12712.75939,98.04,"UP_pEhEx_DOWN_U2AF84"
"41","EHI_167270A",7029.619179,-1.405125639,0.388108631,-3.62044419,0.000294098,0.019597832,2523,4277,11325,11496,2833.641001,4873.053264,7699.023061,12712.75939,98.04,"UP_pEhEx_DOWN_U2AF84"
"42","EHI_194430A",58.4641299,-2.187940488,0.605645621,-3.612575425,0.000303171,0.019597832,14,23,92,117,15.72373128,26.2053367,62.5439401,129.3835115,98.04,"UP_pEhEx_DOWN_U2AF84"
"43","EHI_040310A",970.8844088,-0.962519285,0.267443111,-3.59896832,0.000319482,0.019735944,584,580,1757,1241,655.904219,660.8302299,1194.453291,1372.349896,98.03,"UP_pEhEx_DOWN_U2AF84"
"44","EHI_092930A",426.4683963,-1.454953282,0.405607839,-3.587093598,0.000334384,0.019735944,136,266,814,630,152.7448181,303.0704158,553.3779048,696.6804467,98.03,"UP_pEhEx_DOWN_U2AF84"
"45","EHI_110570A",226.8112953,-1.501175255,0.418434351,-3.587600426,0.000333735,0.019735944,106,103,341,397,119.0511082,117.3543339,231.8204736,439.0192656,98.03,"UP_pEhEx_DOWN_U2AF84"
