baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_148910A,9.882039077,-0.021640971,1.052227488,-0.020566818,0.98359121,0.999901938,6,12,8,13,7.12293567,12.26156923,5.518092595,14.62555881,0.01,UP_pEhEx_DOWN_CmasM
EHI_148920A,21.85636828,-0.196880468,0.702618516,-0.280209621,0.779316685,0.999901938,18,19,35,20,21.36880701,19.41415129,24.1416551,22.50085971,0.01,UP_pEhEx_DOWN_CmasM
EHI_148930A,23.79991886,0.232718721,0.681366103,0.341547253,0.732691638,0.999901938,21,26,34,18,24.93027484,26.56673334,23.45189353,20.25077374,0.01,DOWN_pEhEx_UP_CmasM
EHI_148980A,18.35143746,0.464869137,0.756833917,0.614228732,0.53906419,0.999901938,17,22,25,12,20.18165106,22.47954359,17.24403936,13.50051583,0.01,DOWN_pEhEx_UP_CmasM
EHI_148990A,18.39643073,-0.229328681,0.783668508,-0.292634805,0.769801307,0.999901938,12,19,22,22,14.24587134,19.41415129,15.17475464,24.75094568,0.01,UP_pEhEx_DOWN_CmasM
EHI_149000A,50718.75526,0.508595536,0.430682593,1.180905716,0.23764018,0.999901938,62948,43458,53191,41822,74729.09242,44405.27298,36689.1079,47051.54774,0.01,DOWN_pEhEx_UP_CmasM
EHI_149230A,32.01002444,-0.047672766,0.643894202,-0.074038198,0.940979991,0.999901938,27,30,36,36,32.05321051,30.65392308,24.83141668,40.50154748,0.01,UP_pEhEx_DOWN_CmasM
EHI_149730A,15.10344428,-0.566896864,0.822270763,-0.689428457,0.490553681,0.999901938,11,11,23,18,13.05871539,11.2397718,15.86451621,20.25077374,0.01,UP_pEhEx_DOWN_CmasM
EHI_149860A,58.40780268,-0.475666644,0.519546067,-0.915542768,0.359906761,0.999901938,40,49,88,67,47.4862378,50.06807437,60.69901854,75.37788002,0.01,UP_pEhEx_DOWN_CmasM
EHI_149870A,12.605753,-1.258657934,1.0763151,-1.169413989,0.242236876,0.999901938,2,12,16,22,2.37431189,12.26156923,11.03618519,24.75094568,0.01,UP_pEhEx_DOWN_CmasM
EHI_150120A,258.5957313,-0.775952109,0.470842157,-1.648008993,0.099350826,0.999901938,206,134,423,321,244.5541247,136.9208564,291.769146,361.1387983,0.01,UP_pEhEx_DOWN_CmasM
EHI_150370A,64.41636804,-0.026011539,0.528914301,-0.049179118,0.960776552,0.999901938,43,75,102,53,51.04770563,76.6348077,70.35568058,59.62727823,0.01,UP_pEhEx_DOWN_CmasM
EHI_150380A,64.93381075,0.112501995,0.536674104,0.209628141,0.833957914,0.999901938,43,82,93,54,51.04770563,83.78738976,64.14782641,60.75232121,0.01,DOWN_pEhEx_UP_CmasM
