"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EhMyb10_1","EhMyb10_2","pEhEx_1","pEhEx_2","EhMyb10_1.1","EhMyb10_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"3597","EHI_138800A",32.13376381,-0.031432718,0.764881419,-0.04109489,0.967220248,0.999463877,46,14,40,31,48.8204681,14.66081805,28.57908244,36.47468664,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3598","EHI_138810A",12.46264427,-0.199389491,0.943981844,-0.211221743,0.832714245,0.999463877,6,16,16,13,6.367887143,16.75522063,11.43163298,15.29583633,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3599","EHI_138950A",33.70144917,-0.129659981,0.608529523,-0.213070978,0.831271601,0.999463877,29,32,46,32,30.77812119,33.51044126,32.86594481,37.65128943,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3600","EHI_138970A",15.83160288,0.064301525,0.90347611,0.071171251,0.943261462,0.999463877,16,15,33,6,16.98103238,15.70801934,23.57774301,7.059616769,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3601","EHI_138990A",28.24007202,0.068666292,0.651759543,0.105355254,0.916093921,0.999463877,28,27,44,20,29.71680667,28.27443482,31.43699068,23.5320559,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3602","EHI_139000A",7.609661736,0.488472458,1.132836049,0.43119431,0.666327091,0.999463877,5,12,11,4,5.306572619,12.56641547,7.859247671,4.706411179,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3603","EHI_139020A",1902.396706,0.170702611,0.462770429,0.368871043,0.712223848,0.999463877,1441,2388,2991,1226,1529.354229,2500.716679,2137.000889,1442.515026,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3604","EHI_139070A",142.8829673,-0.156813612,0.463893064,-0.338038277,0.735334343,0.999463877,151,105,206,131,160.2584931,109.9561354,147.1822746,154.1349661,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3605","EHI_139310A",20.52761299,-0.282329948,0.736700072,-0.383235944,0.701544829,0.999463877,20,15,27,22,21.22629048,15.70801934,19.29088065,25.88526149,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3606","EHI_139340A",7.305759575,-0.41352461,1.140058891,-0.362722149,0.716812453,0.999463877,4,8,15,5,4.245258095,8.377610316,10.71715591,5.883013974,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3607","EHI_139370A",83.55659246,0.197107824,0.500251765,0.394017248,0.693568305,0.999463877,83,86,90,78,88.08910548,90.05931089,64.30293549,91.775018,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3608","EHI_139380A",343.5263338,0.008338157,0.428558146,0.019456303,0.984477095,0.999463877,336,317,393,344,356.60168,331.9628088,280.789485,404.7513614,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3609","EHI_139410A",11.65225201,0.219448369,0.949876049,0.231028427,0.817292718,0.999463877,9,15,20,6,9.551830714,15.70801934,14.28954122,7.059616769,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3610","EHI_139430A",9.404464622,-0.45339663,1.013587529,-0.447318674,0.654644986,0.999463877,10,5,14,10,10.61314524,5.236006447,10.00267885,11.76602795,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3611","EHI_139450A",18.57810954,-0.099305082,0.81714202,-0.121527322,0.903273375,0.999463877,24,10,29,15,25.47154857,10.47201289,20.71983477,17.64904192,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3612","EHI_139470A",32.27985414,0.177809275,0.613009061,0.290059783,0.771770502,0.999463877,32,33,42,26,33.96206476,34.55764255,30.00803656,30.59167267,0.05,"DOWN_pEhEx_UP_EhMyb10"
