baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1.1	UmasM_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_088600A	94.467969930163	10.002297088423	1.60597686797042	6.22817008632483	4.71914589616324e-10	2.32323552468117e-06	220	140	0	0	273.161879643426	104.710000077226	0	0	100	DOWN_pEhEx_UP_UmasM
EHI_098180A	40.8141674754329	3.67998104941429	0.963366265576244	3.81991894558721	0.000133495535668717	0.328599261048547	69	89	14	0	85.6734986154381	66.5656429062366	11.017528380057	0	67.14	DOWN_pEhEx_UP_UmasM
EHI_156560A	10.9951760929813	6.88742042330081	1.89101757842129	3.64217683743096	0.000270342250884889	0.443631633702103	30	9	0	0	37.2493472241035	6.73135714782168	0	0	55.64	DOWN_pEhEx_UP_UmasM
EHI_152290A	30.4200994324335	3.1864954657784	0.92794640382448	3.43392188670104	0.000594915609787916	0.585753909397183	20	113	6	6	24.8328981494024	84.515928633761	4.72179787716727	7.60977306940325	41.42	DOWN_pEhEx_UP_UmasM
EHI_195110A	105.827122680804	10.1690893509404	2.92650486843135	3.474823999316	0.000511188624055083	0.585753909397183	309	53	0	0	383.668276408266	39.6402143149499	0	0	41.42	DOWN_pEhEx_UP_UmasM
EHI_013100A	7.65155972530633	6.38061356874229	1.88594864900011	3.3832382298029	0.000716364626283971	0.587777175865998	12	21	0	0	14.8997388896414	15.7065000115839	0	0	41.22	DOWN_pEhEx_UP_UmasM
EHI_166800A	42.615416065384	2.28713156756037	0.692593139715315	3.30227291668017	0.000959047073702332	0.674484106262368	61	88	19	11	75.7403393556772	65.8177143342564	14.952359944363	13.9512506272393	32.55	DOWN_pEhEx_UP_UmasM
EHI_006850A	52.7023720417067	-2.57692038693769	0.800917389550748	-3.21746090240736	0.00129330652554613	0.691384094900266	7	28	61	105	8.69151435229083	20.9420000154452	48.0049450845339	133.171028714557	30.86	UP_pEhEx_DOWN_UmasM
EHI_022240A	15.9128630556991	3.75553073600444	1.16977691878679	3.21046746237684	0.00132519270362131	0.691384094900266	24	40	5	0	29.7994777792828	29.9171428792074	3.93483156430606	0	30.86	DOWN_pEhEx_UP_UmasM
EHI_101730A	30.4886587578187	3.23127318125292	1.02057611677554	3.16612659079459	0.00154483547509708	0.691384094900266	52	62	14	0	64.5655351884461	46.3715714627715	11.017528380057	0	30.86	DOWN_pEhEx_UP_UmasM
