"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","pEhEx_1","pEhEx_2","CDC5_1.1","CDC5_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"2695","EHI_103340A",46.05778459,0.258053943,0.615174259,0.419481048,0.674864603,0.913626644,31,58,87,26,40.61330152,60.0081036,56.18647535,27.42325788,8.64,"DOWN_pEhEx_UP_CDC5"
"2696","EHI_104950A",19.95353923,0.322543055,0.770954903,0.418368251,0.675677896,0.913626644,18,20,24,19,23.58191701,20.69244952,15.49971734,20.04007306,8.64,"DOWN_pEhEx_UP_CDC5"
"2697","EHI_108630A",26.26382533,-0.299236552,0.714948301,-0.418542924,0.67555021,0.913626644,16,25,33,35,20.96170401,25.8655619,21.31211134,36.91592406,8.64,"UP_pEhEx_DOWN_CDC5"
"2698","EHI_199660A",112.534964,0.172102901,0.411400842,0.418333857,0.675703039,0.913626644,84,124,163,101,110.0489461,128.293187,105.2689136,106.5288094,8.64,"DOWN_pEhEx_UP_CDC5"
"2699","EHI_017640A",16.46458172,-0.371970357,0.889901319,-0.417990567,0.675954014,0.913627359,6,20,30,17,7.860639004,20.69244952,19.37464667,17.93059169,8.64,"UP_pEhEx_DOWN_CDC5"
"2700","EHI_029060A",89.42735553,-0.193112362,0.463133136,-0.416969435,0.676700764,0.913959418,77,64,140,95,100.8782006,66.21583845,90.4150178,100.2003653,8.6,"UP_pEhEx_DOWN_CDC5"
"2701","EHI_170400A",33.83576332,0.267936986,0.642547573,0.416991672,0.6766845,0.913959418,33,30,57,23,43.23351452,31.03867427,36.81182867,24.25903581,8.6,"DOWN_pEhEx_UP_CDC5"
"2702","EHI_046680A",59.87688613,-0.21026744,0.505736206,-0.415765052,0.677581934,0.914810843,39,58,109,55,51.09415353,60.0081036,70.39454957,58.01073782,8.52,"UP_pEhEx_DOWN_CDC5"
"2703","EHI_017050A",20.72593809,-0.329589805,0.795739937,-0.414192866,0.678732866,0.916025711,9,24,39,20,11.79095851,24.83093942,25.18704067,21.09481375,8.4,"UP_pEhEx_DOWN_CDC5"
"2704","EHI_182860A",732.3086437,-0.152588813,0.368917064,-0.413612781,0.679157711,0.916260107,394,841,1045,823,516.1819613,870.1175021,674.8835257,868.0515859,8.37,"UP_pEhEx_DOWN_CDC5"
"2705","EHI_035790A",40.57787077,-0.249146567,0.608895262,-0.409178035,0.682409013,0.916568857,34,29,82,33,44.54362102,30.0040518,52.95736757,34.80644269,8.34,"UP_pEhEx_DOWN_CDC5"
"2706","EHI_039590A",69.50539565,0.20148893,0.493650409,0.408161173,0.683155352,0.916568857,62,65,83,72,81.22660304,67.25046093,53.60318912,75.9413295,8.34,"DOWN_pEhEx_UP_CDC5"
"2707","EHI_043240A",519.2030971,0.139127537,0.340168034,0.408996506,0.682542226,0.916568857,341,620,804,445,446.7463167,641.465935,519.2405308,469.359606,8.34,"DOWN_pEhEx_UP_CDC5"
"2708","EHI_049060A",32.82474946,0.257590996,0.624447032,0.412510562,0.679965241,0.916568857,27,35,50,26,35.37287552,36.21178665,32.29107778,27.42325788,8.34,"DOWN_pEhEx_UP_CDC5"
"2709","EHI_056630A",24.8007689,0.301846436,0.732980117,0.411807128,0.680480797,0.916568857,27,19,39,18,35.37287552,19.65782704,25.18704067,18.98533238,8.34,"DOWN_pEhEx_UP_CDC5"
"2710","EHI_056700A",181.8627448,-0.54676972,1.336701194,-0.409044087,0.682507308,0.916568857,21,259,370,183,27.51223651,267.9672212,238.9539756,193.0175458,8.34,"UP_pEhEx_DOWN_CDC5"
"2711","EHI_087740A",18.69947688,-0.332086902,0.807986814,-0.411005349,0.681068613,0.916568857,15,13,27,23,19.65159751,13.45009219,17.437182,24.25903581,8.34,"UP_pEhEx_DOWN_CDC5"
"2712","EHI_107130A",141.5495879,-0.226989486,0.555259912,-0.408798621,0.682687452,0.916568857,123,96,119,217,161.1430996,99.32375768,76.85276513,228.8787292,8.34,"UP_pEhEx_DOWN_CDC5"
"2713","EHI_110320A",354.4291696,-0.149423327,0.362875934,-0.411775247,0.680504166,0.916568857,283,291,469,420,370.7601397,301.0751405,302.8903096,442.9910888,8.34,"UP_pEhEx_DOWN_CDC5"
"2714","EHI_135720A",31.59481419,-0.260593679,0.634762269,-0.410537444,0.681411742,0.916568857,21,29,56,31,27.51223651,30.0040518,36.16600712,32.69696131,8.34,"UP_pEhEx_DOWN_CDC5"
"2715","EHI_148780A",17.74892616,-0.33512822,0.816047318,-0.410672534,0.681312669,0.916568857,13,14,35,16,17.03138451,14.48471466,22.60375445,16.875851,8.34,"UP_pEhEx_DOWN_CDC5"
"2716","EHI_174940A",58.19952237,-0.228579089,0.559828371,-0.408302081,0.683051911,0.916568857,27,69,89,65,35.37287552,71.38895083,57.47811846,68.55814469,8.34,"UP_pEhEx_DOWN_CDC5"
"2717","EHI_178990A",31.42246496,-0.283886778,0.689093689,-0.411971234,0.680360507,0.916568857,30,17,51,34,39.30319502,17.58858209,32.93689934,35.86118338,8.34,"UP_pEhEx_DOWN_CDC5"
"2718","EHI_181220A",46.78489014,-0.23113518,0.565593527,-0.408659522,0.682789543,0.916568857,26,50,72,52,34.06276902,51.73112379,46.49915201,54.84651575,8.34,"UP_pEhEx_DOWN_CDC5"
"2719","EHI_187070A",29.20388706,0.290163124,0.710084414,0.408631873,0.682809837,0.916568857,15,43,44,23,19.65159751,44.48876646,28.41614845,24.25903581,8.34,"DOWN_pEhEx_UP_CDC5"
"2720","EHI_063040A",79.17502531,0.256634084,0.629752327,0.407515896,0.683629122,0.916867293,37,119,63,99,48.47394053,123.1200746,40.68675801,104.4193281,8.31,"DOWN_pEhEx_UP_CDC5"
"2721","EHI_105830A",17.46747308,-0.342439968,0.841850146,-0.406770694,0.684176413,0.916927095,14,12,23,23,18.34149101,12.41546971,14.85389578,24.25903581,8.31,"UP_pEhEx_DOWN_CDC5"
"2722","EHI_142720A",650.9717035,-0.127019403,0.312231281,-0.406811906,0.684146141,0.916927095,487,586,944,711,638.0218658,606.2887708,609.6555486,749.9206288,8.31,"UP_pEhEx_DOWN_CDC5"
"2723","EHI_092660A",27.89211841,0.27127937,0.667535645,0.40638934,0.684456551,0.916951359,22,31,36,26,28.82234302,32.07329675,23.24957601,27.42325788,8.3,"DOWN_pEhEx_UP_CDC5"
"2724","EHI_169800A",306.2413499,0.212892929,0.524287084,0.406061746,0.684697232,0.916951359,391,141,440,268,512.2516418,145.8817691,284.1614845,282.6705043,8.3,"DOWN_pEhEx_UP_CDC5"
"2725","EHI_012930A",27.65943797,-0.273178549,0.677881469,-0.402988667,0.686956562,0.917299161,20,23,40,33,26.20213001,23.79631694,25.83286223,34.80644269,8.27,"UP_pEhEx_DOWN_CDC5"
"2726","EHI_022940A",158.8612465,0.154626094,0.382005529,0.404774492,0.68564328,0.917299161,114,179,234,142,149.3521411,185.1974232,151.122244,149.7731776,8.27,"DOWN_pEhEx_UP_CDC5"
"2727","EHI_043010A",772.8447973,-0.161725072,0.400322001,-0.403987468,0.686221935,0.917299161,359,955,1222,800,470.3282338,988.0644644,789.1939411,843.79255,8.27,"UP_pEhEx_DOWN_CDC5"
"2728","EHI_045060A",41.06346554,0.249681018,0.621618466,0.401662807,0.6879322,0.917299161,28,51,75,25,36.68298202,52.76574627,48.43661668,26.36851719,8.27,"DOWN_pEhEx_UP_CDC5"
"2729","EHI_103260A",59.17496594,-0.254516217,0.628350918,-0.405054261,0.685437626,0.917299161,53,37,56,88,69.43564454,38.2810316,36.16600712,92.8171805,8.27,"UP_pEhEx_DOWN_CDC5"
"2730","EHI_111810A",19.10674119,0.341124712,0.848060792,0.402240872,0.687506765,0.917299161,19,17,15,23,24.89202351,17.58858209,9.687323335,24.25903581,8.27,"DOWN_pEhEx_UP_CDC5"
