baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,pEhEx_1,pEhEx_2,UmasM_1.1,UmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_111000A,113.3925566,-0.118913158,0.548945004,-0.21662126,0.828503516,0.999745166,83,153,163,85,103.0565273,114.4330715,128.275509,107.8051185,0.03,UP_pEhEx_DOWN_UmasM
EHI_111020A,160.9775858,-0.156838513,0.530534556,-0.295623558,0.767517581,0.999745166,109,226,230,125,135.3392949,169.0318573,181.002252,158.5369389,0.03,UP_pEhEx_DOWN_UmasM
EHI_111040A,66.47519505,0.013051566,0.655128853,0.019922136,0.984105486,0.999745166,73,58,87,50,90.64007825,43.37985717,68.46606922,63.41477558,0.03,DOWN_pEhEx_UP_UmasM
EHI_111050A,2095.739458,-0.73182292,0.537693371,-1.361041364,0.173500618,0.999745166,964,2611,2574,2529,1196.945691,1952.841501,2025.651289,3207.519349,0.03,UP_pEhEx_DOWN_UmasM
EHI_111060A,85.74955611,0.296657722,0.598768654,0.495446313,0.62028511,0.999745166,93,99,108,54,115.4729764,74.04492863,84.99236179,68.48795762,0.03,DOWN_pEhEx_UP_UmasM
EHI_111070A,1501.572824,0.129181682,0.601238935,0.214859143,0.82987714,0.999745166,1843,1136,1656,1234,2288.351564,849.6468578,1303.216214,1565.076661,0.03,DOWN_pEhEx_UP_UmasM
EHI_111080A,37.9862106,0.436688415,0.689774728,0.633088452,0.526675883,0.999745166,30,67,45,23,37.24934722,50.11121432,35.41348408,29.17079677,0.03,DOWN_pEhEx_UP_UmasM
EHI_111200A,14.3448672,0.895504096,0.945999037,0.946622629,0.343831109,0.999745166,18,20,11,9,22.34960833,14.95857144,8.656629441,11.4146596,0.03,DOWN_pEhEx_UP_UmasM
EHI_111230A,8.54015534,0.34807938,1.133651751,0.307042599,0.758810948,0.999745166,7,14,11,5,8.691514352,10.47100001,8.656629441,6.341477558,0.03,DOWN_pEhEx_UP_UmasM
EHI_111430A,17.96129327,-0.768303096,0.929555078,-0.826527781,0.408504766,0.999745166,6,25,21,23,7.449869445,18.6982143,16.52629257,29.17079677,0.03,UP_pEhEx_DOWN_UmasM
EHI_111550A,2354.288359,0.614005763,0.606389633,1.012559796,0.311270471,0.999745166,3380,2005,2562,1344,4196.759787,1499.596787,2016.207694,1704.589168,0.03,DOWN_pEhEx_UP_UmasM
EHI_111570A,7272.953645,-0.731313218,0.557650556,-1.311418433,0.189716435,0.999745166,2787,9994,10322,7911,3460.464357,7474.798148,8123.066281,10033.48579,0.03,UP_pEhEx_DOWN_UmasM
EHI_111580A,6.120060669,0.288226179,4.599869131,0.062659648,0.950037531,0.999745166,0,18,14,0,0,13.4627143,11.01752838,0,0.03,DOWN_pEhEx_UP_UmasM
