logFC	logCPM	PValue	FDR	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000690A	-1.27403823865492	3.76491808053201	0.661393590634874	1	0	282	0	184	298	0	0	23.4352427265807	0	16.2944181053308	40.5219854007838	0	0	UP_pEhEx_DOWN_UmasM
EHI_000700A	-0.166092766763243	2.51162980657593	0.848829121260886	1	60	69	11	79	52	39	7.99934107527989	5.7341551352272	1.7425094451787	6.99597299087571	7.07095047261999	3.37111442797067	0	UP_pEhEx_DOWN_UmasM
EHI_000710A	0.301476791108602	1.8037427797368	0.789128726763346	1	28	79	3	46	26	14	3.73302583513061	6.56519211134708	0.4752298486851	4.07360452633269	3.53547523630999	1.21014364080999	0	DOWN_pEhEx_UP_UmasM
EHI_000720A	0.180250194983046	4.23766477715303	0.801958993322787	1	163	195	136	218	107	215	21.7315432545104	16.2052210343377	21.5437531403912	19.3053431900114	14.5498403955834	18.5843487695819	0	DOWN_pEhEx_UP_UmasM
EHI_000730A	0.227871682283242	7.293599140987	0.827241354670015	1	252	1015	2457	916	835	2757	33.5972325161755	84.3502530761682	389.213246073097	81.1178640461032	113.543147012263	238.311858408081	0	DOWN_pEhEx_UP_UmasM
EHI_000740A	0.0720607021951395	3.16388387960139	0.944784932086761	1	114	93	25	124	79	45	15.1987480430318	7.72864387791492	3.9602487390425	10.9810208970707	10.7424055257111	3.88974741688924	0	DOWN_pEhEx_UP_UmasM
EHI_000770A	-0.334193517478881	1.17491812758912	0.776633366110473	1	11	10	20	8	4	64	1.46654586380131	0.831036976119884	3.168198991234	0.708452961101338	0.543919267124615	5.53208521513136	0	UP_pEhEx_DOWN_UmasM
EHI_000780A	0.000987551946108878	1.26286252893042	0.999999999999999	1	26	33	2	28	29	2	3.46638113262128	2.74242202119562	0.3168198991234	2.47958536385468	3.94341468665346	0.172877662972855	0	DOWN_pEhEx_UP_UmasM
EHI_000790A	-0.289758446684142	3.56043280476735	0.768573529584171	1	44	87	115	71	40	306	5.86618345520525	7.23002169224299	18.2171441995955	6.28752002977437	5.43919267124615	26.4502824348468	0	UP_pEhEx_DOWN_UmasM
EHI_000800A	0.260370908187513	5.3060257861764	0.739395628864009	1	336	263	392	344	211	558	44.7963100215674	21.8562724719529	62.0967002281864	30.4634773273575	28.6917413408234	48.2328679694266	0	DOWN_pEhEx_UP_UmasM
EHI_000900A	-0.690222025810383	2.25241996393815	0.477304008437104	1	9	39	38	27	35	112	1.19990116129198	3.24104420686755	6.0195780833446	2.39102874371701	4.75929358734038	9.68114912647988	0	UP_pEhEx_DOWN_UmasM
EHI_001040A	0.285478777730389	1.24845817892419	0.840951847557536	1	3	15	35	6	2	58	0.399967053763994	1.24655546417983	5.5443482346595	0.531339720826003	0.271959633562307	5.0134522262128	0	DOWN_pEhEx_UP_UmasM
EHI_001050A	0.160062299648171	6.4082691934119	0.838163664980793	1	414	786	933	774	494	1207	55.1954534194312	65.3195063230229	147.796482941066	68.5428239865544	67.1740294898899	104.331669604118	0	DOWN_pEhEx_UP_UmasM
EHI_001060A	0.475811464489999	1.38752177557329	0.565953104978374	1	8	26	33	22	16	22	1.06657881003732	2.1606961379117	5.2275283355361	1.94824564302868	2.17567706849846	1.90165429270141	0	DOWN_pEhEx_UP_UmasM
EHI_001070A	-0.391853760779134	5.85056045977459	0.68407912028943	1	434	974	65	892	651	327	57.8619004445245	80.9430014740767	10.2966467215105	78.9925051627991	88.522860724531	28.2654978960618	0	UP_pEhEx_DOWN_UmasM
EHI_001100A	0.548209609296986	3.67324744436315	0.691136729711084	1	23	41	242	25	19	298	3.06641407885729	3.40725160209152	38.3352077939314	2.21391550344168	2.58361651884192	25.7587717829554	0	DOWN_pEhEx_UP_UmasM
EHI_001120A	-0.587905433517226	2.97965932133318	0.433363750559497	1	39	71	46	105	90	71	5.19957169893193	5.90036253045118	7.2868576798382	9.29844511445506	12.2381835103038	6.13715703553635	0	UP_pEhEx_DOWN_UmasM
EHI_001130A	0.136934535836836	7.08128203079304	0.923916125688127	1	2185	1443	86	1537	1816	39	291.309337491443	119.918635654099	13.6232556623062	136.111525151594	246.939347274575	3.37111442797067	0	DOWN_pEhEx_UP_UmasM
EHI_001140A	0.365444049985768	1.94821127178198	0.765373721341978	1	24	101	4	57	30	5	3.19973643011196	8.39347345881083	0.6336397982468	5.04772734784703	4.07939450343461	0.432194157432138	0	DOWN_pEhEx_UP_UmasM
EHI_001150A	0.21334909993527	2.86767539508286	0.831726513337431	1	88	112	11	115	47	36	11.7323669104105	9.3076141325427	1.7425094451787	10.1840113158317	6.39105138871422	3.11179793351139	0	DOWN_pEhEx_UP_UmasM
EHI_001180A	0.44537140886782	3.05814598188276	0.799554392414567	1	11	5	166	11	4	221	1.46654586380131	0.415518488059942	26.2960516272422	0.974122821514339	0.543919267124615	19.1029817585005	0	DOWN_pEhEx_UP_UmasM
EHI_001400A	-0.218994768187344	7.76393820068857	0.755825557839271	1	1824	1761	1342	2391	1910	2653	243.179968688509	146.345611494712	212.586152311801	211.738878749162	259.721450052003	229.322219933492	0	UP_pEhEx_DOWN_UmasM
EHI_001410A	-0.0386697346848115	1.37870348859096	0.975402566791461	1	22	34	8	35	14	26	2.93309172760263	2.82552571880761	1.2672795964936	3.09948170481835	1.90371743493615	2.24740961864712	0	UP_pEhEx_DOWN_UmasM
EHI_001420A	-0.520554739936311	9.7159574654139	0.531193555284679	1	6940	10714	1619	12112	10697	5153	925.257117707374	890.373016214844	256.465708340392	1072.59778310743	1454.576100108	445.419298649561	0	UP_pEhEx_DOWN_UmasM
EHI_001430A	0.00562517260376929	0.443437209159518	1	1	10	19	3	12	16	3	1.33322351254665	1.57897025462778	0.4752298486851	1.06267944165201	2.17567706849846	0.259316494459283	0	DOWN_pEhEx_UP_UmasM
EHI_001635A	-0.849325819782593	4.40172805536079	0.606305894060753	1	148	301	0	548	210	42	19.7317079856904	25.0142129812085	0	48.5290278354416	28.5557615240423	3.63043092242996	0	UP_pEhEx_DOWN_UmasM
EHI_001780A	-0.273399831174705	10.07646789154	0.780901585136908	1	6054	5385	10593	6330	2494	30597	807.133514495741	447.513411640557	1678.03659570709	560.563405471433	339.133663052197	2644.76892699022	0	UP_pEhEx_DOWN_UmasM
EHI_001790A	0.676073700975755	0.673810494794285	0.514951694647376	1	6	11	22	9	2	24	0.799934107527989	0.914140673731872	3.4850188903574	0.797009581239005	0.271959633562307	2.07453195567426	0	DOWN_pEhEx_UP_UmasM
EHI_001800A	0.435918925766385	1.23692260613924	0.740433803585869	1	15	5	32	12	1	49	1.99983526881997	0.415518488059942	5.0691183859744	1.06267944165201	0.135979816781154	4.23550274283495	0	DOWN_pEhEx_UP_UmasM
EHI_001810A	-0.173509937816319	5.77140724962407	0.833158942466716	1	485	829	125	847	447	431	64.6613403585124	68.8929653203384	19.8012436952125	75.0074572566041	60.7829781011757	37.2551363706503	0	UP_pEhEx_DOWN_UmasM
EHI_001820A	-0.0601334398686452	1.65533833327062	0.964879004863375	1	7	32	32	34	21	36	0.933256458782654	2.65931832358363	5.0691183859744	3.01092508468068	2.85557615240423	3.11179793351139	0	UP_pEhEx_DOWN_UmasM
EHI_001830A	-0.340772021210228	2.66118628856976	0.680966995523188	1	32	108	18	70	39	104	4.26631524014927	8.97519934209475	2.8513790921106	6.1989634096367	5.30321285446499	8.98963847458846	0	UP_pEhEx_DOWN_UmasM
EHI_001840A	0.323964333858486	4.64631951400796	0.732966906270149	1	121	108	365	167	124	399	16.1320045018144	8.97519934209475	57.8196315900205	14.7889555629904	16.8614972808631	34.4890937630846	0	DOWN_pEhEx_UP_UmasM
EHI_001850A	-0.0902415383312658	4.80134124962615	0.916845957277588	1	120	261	270	235	131	543	15.9986821505598	21.690065076729	42.770686381659	20.8108057323518	17.8133559983311	46.9362854971301	0	UP_pEhEx_DOWN_UmasM
EHI_001860A	0.801771882574303	1.06500788897866	0.571101223215809	1	15	8	29	8	0	39	1.99983526881997	0.664829580895907	4.5938885372893	0.708452961101338	0	3.37111442797067	0	DOWN_pEhEx_UP_UmasM
EHI_001870A	-0.393726505396268	0.431480470500363	0.688122445385876	1	7	11	7	13	3	26	0.933256458782654	0.914140673731872	1.1088696469319	1.15123606178967	0.407939450343461	2.24740961864712	0	UP_pEhEx_DOWN_UmasM
EHI_001910A	0.25759362668138	1.81232969708616	0.767729567538549	1	17	40	33	22	9	67	2.2664799713293	3.32414790447954	5.2275283355361	1.94824564302868	1.22381835103038	5.79140170959064	0	DOWN_pEhEx_UP_UmasM
EHI_001920A	0.196720887494562	0.411210234663388	0.811965231903053	1	8	10	11	8	4	21	1.06657881003732	0.831036976119884	1.7425094451787	0.708452961101338	0.543919267124615	1.81521546121498	0	DOWN_pEhEx_UP_UmasM
EHI_001940A	0.612771478276667	7.92351121984564	0.568976051344268	1	279	1984	4280	1316	1251	3341	37.1969360000515	164.877736062185	677.994584124076	116.54051210117	170.110750793223	288.792135996154	0	DOWN_pEhEx_UP_UmasM
EHI_001950A	-0.426630158098567	4.35144171305502	0.726609740283435	1	156	352	10	338	267	38	20.7982867957277	29.2525015594199	1.584099495617	29.9321376065315	36.306611080568	3.28467559648425	0	UP_pEhEx_DOWN_UmasM
EHI_001990A	-0.632830365868586	2.21393144095204	0.510119964134314	1	32	32	22	54	8	118	4.26631524014927	2.65931832358363	3.4850188903574	4.78205748743403	1.08783853424923	10.1997821153984	0	UP_pEhEx_DOWN_UmasM
EHI_002110A	0.175915885740675	3.7334164718279	0.837144249384723	1	135	172	59	227	89	54	17.9985174193797	14.293835989262	9.3461870241403	20.1023527712505	12.1022036935227	4.66769690026709	0	DOWN_pEhEx_UP_UmasM
EHI_002130A	-0.405204124992708	3.77512763563754	0.646803511298092	1	107	206	21	227	118	115	14.2654915842491	17.1193617080696	3.3266089407957	20.1023527712505	16.0456183801761	9.94046562093916	0	UP_pEhEx_DOWN_UmasM
EHI_002140A	0.395146764086795	5.66903157696111	0.63897212260563	1	355	324	622	359	232	786	47.329434695406	26.9255980262842	98.5309886273774	31.7918266294225	31.5473174932276	67.940921548332	0	DOWN_pEhEx_UP_UmasM
EHI_002150A	0.289241047735659	1.6032275144348	0.699184931905792	1	23	39	19	36	20	20	3.06641407885729	3.24104420686755	3.0097890416723	3.18803832495602	2.71959633562307	1.72877662972855	0	DOWN_pEhEx_UP_UmasM
EHI_002160A	-0.406907651202751	7.17208935683854	0.589478159053841	1	1346	1325	517	1930	1532	1311	179.451884788779	110.112399335885	81.8979439233989	170.914276865698	208.321079308727	113.321308078706	0	UP_pEhEx_DOWN_UmasM
EHI_002180A	0.161545893944619	5.67088784196274	0.859511528586013	1	740	573	91	784	300	387	98.6585399284519	47.6184187316694	14.4153054101147	69.4283901879311	40.7939450343461	33.4518277852475	0	DOWN_pEhEx_UP_UmasM
EHI_002190A	-0.00884224154981799	4.44383663831486	0.99584962611563	1	273	305	17	185	353	6	36.3970018925235	25.3466277716565	2.6929691425489	16.3829747254684	48.0008753237472	0.518632988918565	0	UP_pEhEx_DOWN_UmasM
EHI_002200A	0.200843919915017	3.91490642105204	0.880837369849537	1	227	202	4	253	124	26	30.2641737348089	16.7869469176217	0.6336397982468	22.4048248948298	16.8614972808631	2.24740961864712	0	DOWN_pEhEx_UP_UmasM
EHI_002210A	0.0268254625533774	1.32212343585597	1	1	15	43	8	27	20	20	1.99983526881997	3.5734589973155	1.2672795964936	2.39102874371701	2.71959633562307	1.72877662972855	0	DOWN_pEhEx_UP_UmasM
EHI_002670A	0.757958760581309	6.09633227800502	0.489806801798048	1	112	406	1317	352	282	955	14.9321033405225	33.7401012304673	208.625903572759	31.1719302884589	38.3463083322853	82.5490840695383	0	DOWN_pEhEx_UP_UmasM
EHI_002780A	1.27427026756973	4.89487474439723	0.381209235794116	1	51	110	692	47	20	520	6.7994399139879	9.14140673731872	109.619685096696	4.16216114647036	2.71959633562307	44.9481923729423	0	DOWN_pEhEx_UP_UmasM
EHI_002790A	-0.119234686614912	2.65094477795818	0.89597255191769	1	25	56	60	48	47	96	3.33305878136662	4.65380706627135	9.504596973702	4.25071776660803	6.39105138871422	8.29812782269704	0	UP_pEhEx_DOWN_UmasM
EHI_002990A	0.0332562728958991	2.32980301071144	0.981770410922136	1	44	91	7	83	37	22	5.86618345520525	7.56243648269094	1.1088696469319	7.35019947142638	5.03125322090269	1.90165429270141	0	DOWN_pEhEx_UP_UmasM
EHI_003000A	0.122059335749557	3.3382443882536	0.871580685866358	1	100	98	60	100	60	132	13.3322351254665	8.14416236597486	9.504596973702	8.85566201376672	8.15878900686922	11.4099257562084	0	DOWN_pEhEx_UP_UmasM
EHI_003010A	-0.360062092519665	6.73736397088138	0.611126635551284	1	606	1241	605	1226	1076	1206	80.7933448603269	103.131688736478	95.8380194848285	108.57041628878	146.314282856521	104.245230772632	0	UP_pEhEx_DOWN_UmasM
EHI_003020A	1.14999332802538	1.96610172762399	0.327662766115691	1	5	40	72	14	7	54	0.666611756273324	3.32414790447954	11.4055163684424	1.23979268192734	0.951858717468075	4.66769690026709	0	DOWN_pEhEx_UP_UmasM
EHI_003040A	-0.153422359576051	1.26001093022668	0.870872037598921	1	9	26	18	19	12	41	1.19990116129198	2.1606961379117	2.8513790921106	1.68257578261568	1.63175780137384	3.54399209094353	0	UP_pEhEx_DOWN_UmasM
EHI_003240.mRNA	1.46502708680027	2.25198630488632	0.491582382132383	1	120	49	0	74	5	0	15.9986821505598	4.07208118298743	0	6.55318989018737	0.679899083905768	0	0	DOWN_pEhEx_UP_UmasM
EHI_003260A	-0.141960390896079	7.25665142521189	0.856633431651761	1	1155	801	1358	1436	1115	2335	153.987315699138	66.5660617872027	215.120711504789	127.16730651769	151.617495710986	201.834671520808	0	UP_pEhEx_DOWN_UmasM
EHI_003890A	0.610841667756305	2.15214302146296	0.458859328741949	1	49	42	34	35	10	64	6.53279521147858	3.49035529970351	5.3859382850978	3.09948170481835	1.35979816781154	5.53208521513136	0	DOWN_pEhEx_UP_UmasM
EHI_003900A	0.530811265832217	2.24359311481888	0.479716738604046	1	24	69	45	38	25	50	3.19973643011196	5.7341551352272	7.1284477302765	3.36515156523135	3.39949541952884	4.32194157432138	0	DOWN_pEhEx_UP_UmasM
EHI_003930A	0.0762267664483995	3.60060563514971	0.955154228496119	1	165	150	14	137	162	8	21.9981879570197	12.4655546417983	2.2177392938638	12.1322569588604	22.0287303185469	0.69151065189142	0	DOWN_pEhEx_UP_UmasM
EHI_003940A	-0.196622405110924	9.6630334440369	0.864191015535682	1	8350	13061	425	12824	9564	1860	1113.24163297645	1085.41739451018	67.3242285637225	1135.65009664544	1300.51096769495	160.776226564755	0	UP_pEhEx_DOWN_UmasM
EHI_003950A	1.42097871940933	3.84314993303481	0.345773564689089	1	15	58	348	24	9	228	1.99983526881997	4.82001446149533	55.1266624474716	2.12535888330401	1.22381835103038	19.7080535789055	0	DOWN_pEhEx_UP_UmasM
EHI_004170A	-0.331285517779606	6.89123053302281	0.665295213044121	1	463	1096	1023	1137	1165	1585	61.7282486309098	91.0816525827393	162.053378401619	100.688877096528	158.416486550044	137.005547905988	0	UP_pEhEx_DOWN_UmasM
EHI_004190A	0.263816425964364	2.00084584095575	0.730060944961214	1	47	36	20	45	25	34	6.26615050896925	2.99173311403158	3.168198991234	3.98504790619502	3.39949541952884	2.93892027053854	0	DOWN_pEhEx_UP_UmasM
EHI_004200A	0.131760923558725	12.9696621412099	0.862043268345901	1	74138	36708	77188	61524	57846	111658	9884.25247731834	3050.57053194087	12227.3471867685	5448.35749734984	7865.88848152261	9651.58704611152	0	DOWN_pEhEx_UP_UmasM
EHI_004230A	-0.662938834396167	5.58168727336856	0.371269119115283	1	235	621	175	640	543	519	31.3307525448462	51.6073962170448	27.7217411732975	56.676236888107	73.8370405121664	44.8617535414559	0	UP_pEhEx_DOWN_UmasM
EHI_004350A	-0.0190394526671611	2.57451027916188	0.989337248408567	1	37	140	3	81	73	3	4.9329269964226	11.6345176656784	0.4752298486851	7.17308623115104	9.92652662502422	0.259316494459283	0	UP_pEhEx_DOWN_UmasM
EHI_004370A	-0.105867679436495	5.8847920490553	0.905142826750303	1	248	689	504	329	256	1378	33.0639431111569	57.25844765466	79.8386145790968	29.1351280252925	34.8108330959753	119.112709788297	0	UP_pEhEx_DOWN_UmasM
EHI_004380A	0.208273368262299	6.14707522417381	0.783203182329462	1	377	714	743	662	431	919	50.2625264230086	59.3360400949597	117.698592524343	58.6244825311357	58.6073010326772	79.4372861360269	0	DOWN_pEhEx_UP_UmasM
EHI_004400A	-0.127220964088241	4.76110464476697	0.892271895499195	1	73	147	349	233	227	379	9.73253164159053	12.2162435489623	55.2850723970333	20.6336924920765	30.8674184093219	32.760317133356	0	UP_pEhEx_DOWN_UmasM
EHI_004430A	-0.0295945141825241	2.5548982704089	0.985437254041922	1	92	32	12	79	61	22	12.2656563154292	2.65931832358363	1.9009193947404	6.99597299087571	8.29476882365037	1.90165429270141	0	UP_pEhEx_DOWN_UmasM
EHI_004440A	-0.2120541918268	3.53549900790235	0.807380134550564	1	103	169	24	188	97	79	13.7322021792305	14.044524896426	3.8018387894808	16.6486445858814	13.1900422277719	6.82866768742777	0	UP_pEhEx_DOWN_UmasM
EHI_004470A	0.453311865749577	0.511958918473439	0.632509416327941	1	16	19	3	18	5	9	2.13315762007464	1.57897025462778	0.4752298486851	1.59401916247801	0.679899083905768	0.777949483377848	0	DOWN_pEhEx_UP_UmasM
EHI_004490A	1.0088093949577	9.10561357531892	0.539585773458387	1	325	1149	13058	408	535	11430	43.3297641577661	95.4861485561747	2068.51712137668	36.1311010161682	72.7492019779172	987.995843889866	0	DOWN_pEhEx_UP_UmasM
EHI_004510A	0.303129614204355	-0.0221253840492915	0.726595858167669	1	9	9	4	12	2	8	1.19990116129198	0.747933278507896	0.6336397982468	1.06267944165201	0.271959633562307	0.69151065189142	0	DOWN_pEhEx_UP_UmasM
EHI_004530A	0.531972853348339	2.99774520959084	0.670425700056436	1	138	97	7	109	63	10	18.3984844731437	8.06105866836287	1.1088696469319	9.65267159500572	8.56672845721268	0.864388314864275	0	DOWN_pEhEx_UP_UmasM
EHI_004550A	-0.493633722625082	8.05831691189751	0.52762154760563	1	2215	1421	1580	2558	3540	2621	295.309008029083	118.090354306636	250.287720307486	226.527834312153	481.368551405284	226.556177325927	0	UP_pEhEx_DOWN_UmasM
EHI_004560A	0.833896062897964	1.66777643867587	0.44175741727102	1	5	20	58	17	13	36	0.666611756273324	1.66207395223977	9.1877770745786	1.50546254234034	1.767737618155	3.11179793351139	0	DOWN_pEhEx_UP_UmasM
EHI_004570A	0.691735708011426	4.69609429268793	0.472664052969264	1	121	138	428	171	87	370	16.1320045018144	11.4683102704544	67.7994584124076	15.1431820435411	11.8302440599604	31.9823676499782	0	DOWN_pEhEx_UP_UmasM
EHI_004580A	1.1562074517296	4.22116839003467	0.438436094669657	1	16	66	435	25	24	333	2.13315762007464	5.48484404239123	68.9083280593395	2.21391550344168	3.26351560274769	28.7841308849804	0	DOWN_pEhEx_UP_UmasM
EHI_004590A	-0.100868692391599	2.57305501208044	0.914570735391508	1	32	117	16	48	31	108	4.26631524014927	9.72313262060264	2.5345591929872	4.25071776660803	4.21537432021576	9.33539380053417	0	UP_pEhEx_DOWN_UmasM
EHI_004600A	0.0309969345128201	7.04148843275409	0.971131839666359	1	569	919	1557	905	864	2229	75.8604178639043	76.3722981054173	246.644291467567	80.1437412245888	117.486561698917	192.672155383247	0	DOWN_pEhEx_UP_UmasM
EHI_004610A	-0.30329378833953	3.11159200789123	0.791368815545874	1	70	146	7	138	105	17	9.33256458782654	12.1331398513503	1.1088696469319	12.2208135789981	14.2778807620211	1.46946013526927	0	UP_pEhEx_DOWN_UmasM
EHI_004620A	-0.229453094424909	0.316611783255247	0.87476909395602	1	2	7	13	13	3	20	0.26664470250933	0.581725883283919	2.0593293443021	1.15123606178967	0.407939450343461	1.72877662972855	0	UP_pEhEx_DOWN_UmasM
EHI_004640A	-0.00696135689362393	3.55071905534736	0.995915299242171	1	114	185	24	191	92	60	15.1987480430318	15.3741840582179	3.8018387894808	16.9143144462944	12.5101431438661	5.18632988918565	0	UP_pEhEx_DOWN_UmasM
EHI_004740A	-0.480917415309984	1.04147526771575	0.790424076493581	1	3	9	22	4	0	70	0.399967053763994	0.747933278507896	3.4850188903574	0.354226480550669	0	6.05071820404993	0	UP_pEhEx_DOWN_UmasM
EHI_004750A	-0.158190934950914	4.80558902393972	0.89899329771219	1	285	470	10	473	301	58	37.9968701075795	39.0587378776345	1.584099495617	41.8872813251166	40.9299248511272	5.0134522262128	0	UP_pEhEx_DOWN_UmasM
EHI_004760A	-0.380684691950741	5.86553669796153	0.606254818662428	1	503	620	207	737	586	604	67.0611426810964	51.5242925194328	32.7908595592719	65.2662290414607	79.684172633756	52.2090542178022	0	UP_pEhEx_DOWN_UmasM
EHI_004770A	0.387898924001631	5.6195846329031	0.641500942434052	1	325	288	627	416	252	649	43.3297641577661	23.9338649122527	99.3230383751859	36.8395539772696	34.2669138288507	56.0988016346915	0	DOWN_pEhEx_UP_UmasM
