logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_003040A	-0.777319978645637	1.0150087969621	0.240011066644507	0.8747676826368	11	9	13	19	12	41	1.66862770058094	1.16250858622129	1.1732682245347	1.64439092384478	1.5803868936375	3.5528604239772	12.52	UP_pEhEx_DOWN_CmasM
EHI_003950A	-1.54494438119814	2.43398875948263	0.169145329831016	0.8747676826368	15	11	46	24	9	228	2.27540140988311	1.4208438276038	4.1515644868151	2.07712537748815	1.18529017022812	19.7573701626049	12.52	UP_pEhEx_DOWN_CmasM
EHI_004170A	-0.666430416691485	6.72703076452271	0.150559432151278	0.8747676826368	438	702	975	1137	1165	1585	66.4417211685867	90.6756697252608	87.9951168401027	98.4038147585009	153.42922759064	137.348384683021	12.52	UP_pEhEx_DOWN_CmasM
EHI_004370A	-0.934949414363942	5.53400923132303	0.210894641132197	0.8747676826368	220	119	512	329	256	1378	33.3725540116189	15.3709468622593	46.2087177662898	28.4739270497333	33.7149203975999	119.410772298551	12.52	UP_pEhEx_DOWN_CmasM
EHI_004400A	-0.645040594249567	4.51466322039786	0.267497300160728	0.8747676826368	59	143	282	233	227	379	8.94991221220688	18.4709697588494	25.4508953322143	20.1654255397807	29.8956520713093	32.8422951387161	12.52	UP_pEhEx_DOWN_CmasM
EHI_004430A	1.34503566897807	3.3333191691014	0.0782322443651697	0.8747676826368	91	172	73	79	61	22	13.8041018866242	22.2168307588958	6.58835233777179	6.83720436756515	8.03363337599061	1.90641291042679	12.52	DOWN_pEhEx_UP_CmasM
EHI_004470A	0.796782316964515	0.679055082568495	0.17253401638998	0.8747676826368	12	17	15	18	5	9	1.82032112790648	2.19584955175133	1.35377102830927	1.55784403311611	0.658494539015624	0.779896190629141	12.52	DOWN_pEhEx_UP_CmasM
EHI_004490A	-2.38400974286306	7.76798443864828	0.0615176785623962	0.8747676826368	337	199	1475	408	535	11430	51.1206850087071	25.7043565175597	133.120817783745	35.3111314172985	70.4589156746717	990.468162099009	12.52	UP_pEhEx_DOWN_CmasM
EHI_004530A	1.27852128571914	3.4344267430306	0.127100439236613	0.8747676826368	106	115	157	109	63	10	16.0795032965073	14.8542763794943	14.1694700963037	9.43361108942533	8.29703119159686	0.866551322921268	12.52	DOWN_pEhEx_UP_CmasM
EHI_004570A	-0.627025630068227	4.02230934074684	0.285359180736862	0.8747676826368	76	97	152	171	87	370	11.5287004767411	12.5292592070517	13.7182130868673	14.799518314603	11.4578049788719	32.0623989480869	12.52	UP_pEhEx_DOWN_CmasM
EHI_004580A	-1.87896690160317	2.90625642345218	0.0902545831758202	0.8747676826368	12	14	62	25	24	333	1.82032112790648	1.80834668967757	5.59558691701166	2.16367226821682	3.16077378727499	28.8561590532782	12.52	UP_pEhEx_DOWN_CmasM
EHI_004600A	-0.677037474291742	6.70864339058273	0.194058494065001	0.8747676826368	494	571	1022	905	864	2229	74.9365530988169	73.7547114147064	92.236932728805	78.3249361094488	113.7878563419	193.154289879151	12.52	UP_pEhEx_DOWN_CmasM
EHI_004640A	0.710695202980079	3.91452604853288	0.234562450219023	0.8747676826368	141	142	174	191	92	60	21.3887732529012	18.3418021381582	15.7037439283875	16.5304561291765	12.1162995178875	5.19930793752761	12.52	DOWN_pEhEx_UP_CmasM
EHI_004840A	-0.804577151253211	7.24777019598383	0.113435342054523	0.8747676826368	533	843	1570	1463	1494	2951	80.852596764513	108.888304242728	141.694700963037	126.618101136048	196.758168257868	255.719295394066	12.52	UP_pEhEx_DOWN_CmasM
EHI_004850A	-1.87353254577384	2.12900530968294	0.115352002764079	0.8747676826368	9	7	33	20	6	195	1.36524084592986	0.904173344838783	2.9782962622804	1.73093781457345	0.790193446818749	16.8977507969647	12.52	UP_pEhEx_DOWN_CmasM
EHI_004880A	-0.818103111860465	5.54267705951681	0.0876027338135222	0.8747676826368	195	250	430	474	496	823	29.5802183284804	32.2919051728137	38.8081028115325	41.0232262053909	65.3226582703499	71.3171738764204	12.52	UP_pEhEx_DOWN_CmasM
EHI_004960A	0.743462174689068	4.27412660499075	0.24409024024674	0.8747676826368	128	174	332	229	135	62	19.4167586976692	22.4751660002783	29.9634654265785	19.8192379768661	17.7793525534218	5.37261820211186	12.52	DOWN_pEhEx_UP_CmasM
EHI_004980A	-1.30369063215165	2.19294766704295	0.171637832181571	0.8747676826368	14	14	39	23	14	169	2.12370798255756	1.80834668967757	3.51980467360411	1.99057848675947	1.84378470924375	14.6447173573694	12.52	UP_pEhEx_DOWN_CmasM
EHI_005010A	-1.12668284638409	4.0936454504029	0.0374851837164728	0.8747676826368	49	114	106	198	190	314	7.43297793895148	14.725108758803	9.56664860005218	17.1362843642772	25.0227924825937	27.2097115397278	12.52	UP_pEhEx_DOWN_CmasM
EHI_005020A	-0.581415777915949	6.96672983299352	0.255224518490632	0.8747676826368	477	890	1249	1570	1609	1170	72.3577648342827	114.959182415217	112.724000957219	135.878618444016	211.903542655228	101.386504781788	12.52	UP_pEhEx_DOWN_CmasM
EHI_005040A	-0.883936794407674	1.01607119347676	0.210644447497703	0.8747676826368	5	6	24	15	18	39	0.758467136627702	0.775005724147528	2.16603364529483	1.29820336093009	2.37058034045625	3.37955015939295	12.52	UP_pEhEx_DOWN_CmasM
EHI_005060A	-0.543479849554542	6.11435322067654	0.246670662159864	0.8747676826368	422	441	528	729	801	891	64.014626331378	56.9629207248433	47.6527401964864	63.0926833412024	105.490825150303	77.209722872285	12.52	UP_pEhEx_DOWN_CmasM
