logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000650A	-0.132678770948495	2.7157238935276	0.869520919526091	1	69	53	7	103	53	68	8.96473501354765	6.96023080062005	2.03495860379828	8.33929794142804	6.60750038934324	4.99350101907557	0	UP_pEhEx_DOWN_U2AF84
EHI_000660A	0.0323594739352384	1.10316819991945	0.999999999999994	1	20	15	4	33	9	26	2.59847391697033	1.96987664168492	1.16283348788473	2.67181390356432	1.12202836800168	1.90927980141125	0	DOWN_pEhEx_UP_U2AF84
EHI_000670A	-0.171684392547173	2.02541477129791	0.915585742788075	1	16	4	29	11	10	137	2.07877913357627	0.525300437782645	8.43054278716432	0.890604634521441	1.24669818666854	10.060435876667	0	UP_pEhEx_DOWN_U2AF84
EHI_000690A	-4.19531398650521	3.23212987686138	0.130648345233905	1	0	21	0	184	298	0	0	2.75782729835889	0	14.8973866138132	37.1516059627224	0	0	UP_pEhEx_DOWN_U2AF84
EHI_000700A	0.174783148964506	2.53725655845468	0.883382432785042	1	67	63	2	79	52	39	8.70488762185061	8.27348189507666	0.581416743942367	6.39616055701762	6.48283057067639	2.86391970211687	0	DOWN_pEhEx_UP_U2AF84
EHI_000710A	-0.211764142369155	1.43316994376273	0.821959546841285	1	27	22	1	46	26	14	3.50793978790995	2.88915240780455	0.290708371971183	3.7243466534533	3.24141528533819	1.02807373922144	0	UP_pEhEx_DOWN_U2AF84
EHI_000720A	0.089185758153729	4.02832541466101	0.900845788755203	1	125	140	52	218	107	215	16.2404619810646	18.3855153223926	15.1168353425015	17.6501645750613	13.3396705973533	15.7882752809007	0	DOWN_pEhEx_UP_U2AF84
EHI_000730A	-0.146793711698934	6.91900509793157	0.876187651196005	1	387	467	800	916	835	2757	50.2804702933759	61.3288261111238	232.566697576947	74.1630768383309	104.099298586823	202.457092788108	0	UP_pEhEx_DOWN_U2AF84
EHI_000740A	0.522066649093	3.26571366654407	0.528452981486681	1	106	103	20	124	79	45	13.7719117599428	13.5264862729031	5.81416743942366	10.0395431527872	9.84891567468143	3.30452273321178	0	DOWN_pEhEx_UP_U2AF84
EHI_000770A	0.408594815303496	1.32066285653418	0.722803979269192	1	10	7	20	8	4	64	1.29923695848517	0.919275766119629	5.81416743942366	0.647712461470139	0.498679274667414	4.6997656650123	0	DOWN_pEhEx_UP_U2AF84
EHI_000780A	0.194284588199787	1.24203737958654	0.883307644972222	1	20	27	2	28	29	2	2.59847391697033	3.54577795503286	0.581416743942367	2.26699361514549	3.61542474133875	0.146867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_000790A	-0.137003182066569	3.43540291377024	0.891303114100929	1	43	52	62	71	40	306	5.58671892148621	6.82890569117439	18.0239190622134	5.74844809554748	4.98679274667414	22.4707545858401	0	UP_pEhEx_DOWN_U2AF84
EHI_000800A	0.221066860434219	5.11190000874015	0.76563018527628	1	225	203	190	344	211	558	29.2328315659162	26.6589972174693	55.2345906745248	27.851635843216	26.3053317387061	40.976081891826	0	DOWN_pEhEx_UP_U2AF84
EHI_000900A	-1.25430051733657	1.91307684927935	0.177924450911173	1	9	11	13	27	35	112	1.16931326263665	1.44457620390227	3.77920883562538	2.18602955746172	4.36344365333987	8.22458991377153	0	UP_pEhEx_DOWN_U2AF84
EHI_001040A	3.23732861748032	3.14592791204115	0.10408123591225	1	2	8	160	6	2	58	0.259847391697033	1.05060087556529	46.5133395153893	0.485784346102604	0.249339637333707	4.2591626339174	0	DOWN_pEhEx_UP_U2AF84
EHI_001050A	-0.277958243949422	6.02191650569889	0.695052284566155	1	499	427	188	774	494	1207	64.8319242284098	56.0758217332974	54.6531739305825	62.6661806472359	61.5868904214257	88.6346430885914	0	UP_pEhEx_DOWN_U2AF84
EHI_001060A	0.861630128346457	1.45072102001079	0.426495345629763	1	5	8	29	22	16	22	0.649618479242583	1.05060087556529	8.43054278716432	1.78120926904288	1.99471709866966	1.61554444734798	0	DOWN_pEhEx_UP_U2AF84
EHI_001070A	-0.36764543739194	5.71982065090026	0.725183065880938	1	414	587	22	892	651	327	53.7884100812859	77.0878392446032	6.39558418336603	72.2199394539205	81.1600519521217	24.0128651946722	0	UP_pEhEx_DOWN_U2AF84
EHI_001100A	0.71352637838524	3.55438464145757	0.626892769017296	1	20	16	133	25	19	298	2.59847391697033	2.10120175113058	38.6642134721674	2.02410144209418	2.36872655467022	21.8832838777135	0	DOWN_pEhEx_UP_U2AF84
EHI_001120A	-0.663503237402334	2.8061660278206	0.421497454366581	1	36	67	7	105	90	71	4.6772530505466	8.79878233285931	2.03495860379828	8.50122605679557	11.2202836800168	5.21380253462302	0	UP_pEhEx_DOWN_U2AF84
EHI_001130A	0.266138855157605	7.0230452968559	0.841306989267143	1	1402	1468	173	1537	1816	39	182.15302157962	192.785260666231	50.2925483510147	124.44175665995	226.400390699006	2.86391970211687	0	DOWN_pEhEx_UP_U2AF84
EHI_001140A	-0.514857013242066	1.42993881868484	0.624310402639611	1	18	23	2	57	30	5	2.3386265252733	3.02047751725021	0.581416743942367	4.61495128797474	3.74009456000561	0.367169192579086	0	UP_pEhEx_DOWN_U2AF84
EHI_001150A	0.30779737478882	2.77862464405565	0.749361780676059	1	80	74	6	115	47	36	10.3938956678813	9.71805809897894	1.7442502318271	9.31086663363325	5.85948147734212	2.64361818656942	0	DOWN_pEhEx_UP_U2AF84
EHI_001180A	1.75399882449165	3.69795494564765	0.389604720015824	1	8	2	201	11	4	221	1.03938956678813	0.262650218891323	58.4323827662078	0.890604634521441	0.498679274667414	16.2288783119956	0	DOWN_pEhEx_UP_U2AF84
EHI_001400A	-0.179522970499004	7.62085004952783	0.815178342160051	1	1849	1691	312	2391	1910	2653	240.228913623907	222.070760072613	90.7010120550092	193.585061921888	238.11935365369	194.819973582463	0	UP_pEhEx_DOWN_U2AF84
EHI_001410A	0.044243619437559	1.26888515486825	1	1	22	21	3	35	14	26	2.85832130866737	2.75782729835889	0.87212511591355	2.83374201893186	1.74537746133595	1.90927980141125	0	DOWN_pEhEx_UP_U2AF84
EHI_001420A	-0.287401876207839	9.6736648024267	0.768411520334013	1	6990	8827	477	12112	10697	5153	908.166633981131	1159.20674107685	138.667893430254	980.63666666579	1333.59305027933	378.404569872006	0	UP_pEhEx_DOWN_U2AF84
EHI_001430A	-0.170295039355981	0.270840488213467	0.890301200426064	1	7	9	2	12	16	3	0.909465870939616	1.18192598501095	0.581416743942367	0.971568692205208	1.99471709866966	0.220301515547452	0	UP_pEhEx_DOWN_U2AF84
EHI_001635A	0.397529280485899	4.84217185295791	0.817010924111115	1	286	455	0	548	210	42	37.1581770126757	59.7529247977759	0	44.3683036107045	26.1806619200392	3.08422121766432	0	DOWN_pEhEx_UP_U2AF84
EHI_001780A	0.11634719753135	10.0588604065021	0.913441005407905	1	4841	3112	7880	6330	2494	30597	628.960611602669	408.683740594898	2290.78197113292	512.502485138247	310.926527755133	2246.85515706846	0	DOWN_pEhEx_UP_U2AF84
EHI_001800A	1.2912355529114	1.53368240730186	0.358002808490658	1	7	8	34	12	1	49	0.909465870939616	1.05060087556529	9.88408464702023	0.971568692205208	0.124669818666854	3.59825808727504	0	DOWN_pEhEx_UP_U2AF84
EHI_001810A	-0.185982183319961	5.61636150967841	0.819846496835987	1	472	427	67	847	447	431	61.3239844404998	56.0758217332974	19.4774609220693	68.576556858151	55.7274089440835	31.6499844003172	0	UP_pEhEx_DOWN_U2AF84
EHI_001820A	-2.03676236370304	0.932431322630149	0.143485923803412	1	14	0	0	34	21	36	1.81893174187923	0	0	2.75277796124809	2.61806619200392	2.64361818656942	0	UP_pEhEx_DOWN_U2AF84
EHI_001830A	-0.936455157125407	2.27462399207162	0.206550915029563	1	29	31	5	70	39	104	3.76778717960698	4.0710783928155	1.45354185985592	5.66748403786372	4.86212292800729	7.63711920564499	0	UP_pEhEx_DOWN_U2AF84
EHI_001840A	0.869499992739869	4.79020365949434	0.385659460438601	1	90	107	279	167	124	399	11.6931326263665	14.0517867106858	81.1076357799601	13.5209976331892	15.4590575146898	29.3001015678111	0	DOWN_pEhEx_UP_U2AF84
EHI_001850A	-0.280449565096138	4.53087301244082	0.71968016735545	1	131	133	95	235	131	543	17.0200041561557	17.466239556273	27.6172953372624	19.0265535556853	16.3317462453578	39.8745743140888	0	UP_pEhEx_DOWN_U2AF84
EHI_001860A	0.820336070176226	0.862782587078586	0.668100115913074	1	11	0	17	8	0	39	1.42916065433368	0	4.94204232351012	0.647712461470139	0	2.86391970211687	0	DOWN_pEhEx_UP_U2AF84
EHI_001870A	0.804869054774033	0.818101985376004	0.441442316857227	1	6	6	16	13	3	26	0.7795421750911	0.787950656673968	4.65133395153893	1.05253274988898	0.374009456000561	1.90927980141125	0	DOWN_pEhEx_UP_U2AF84
EHI_001910A	0.898342658239954	1.98782855642141	0.355519396561431	1	28	13	33	22	9	67	3.63786348375846	1.7072264227936	9.59337627504905	1.78120926904288	1.12202836800168	4.92006718055975	0	DOWN_pEhEx_UP_U2AF84
EHI_001920A	0.746918098035675	0.534077964084777	0.400560541513908	1	7	6	11	8	4	21	0.909465870939616	0.787950656673968	3.19779209168302	0.647712461470139	0.498679274667414	1.54211060883216	0	DOWN_pEhEx_UP_U2AF84
EHI_001940A	1.24267756376873	8.15531527991947	0.339670342751525	1	336	489	3764	1316	1251	3341	43.6543618051016	64.2179785189284	1094.22631209953	106.548699911838	155.961943152234	245.342454481345	0	DOWN_pEhEx_UP_U2AF84
EHI_001950A	-0.331842353046984	4.26320623231727	0.787171806517831	1	167	204	6	338	267	38	21.6972572067023	26.7903223269149	1.7442502318271	27.3658514971134	33.2868415840499	2.79048586360105	0	UP_pEhEx_DOWN_U2AF84
EHI_001990A	-0.198844347844103	2.21150986230902	0.865922898495167	1	27	17	23	54	8	118	3.50793978790995	2.23252686057624	6.68629255533722	4.37205911492344	0.997358549334829	8.66519294486643	0	UP_pEhEx_DOWN_U2AF84
EHI_002110A	0.395914031245354	3.71380024463564	0.654480492607385	1	134	146	25	227	89	54	17.4097752437012	19.1734659790666	7.26770929927958	18.3788410942152	11.09561386135	3.96542727985413	0	DOWN_pEhEx_UP_U2AF84
EHI_002130A	-0.240756775771374	3.70006662028729	0.771777063745899	1	116	118	15	227	118	115	15.0711487184279	15.496362914588	4.36062557956775	18.3788410942152	14.7110386026887	8.44489142931898	0	UP_pEhEx_DOWN_U2AF84
EHI_002140A	0.418115138984318	5.50121041857239	0.606212791245567	1	275	250	297	359	232	786	35.7290163583421	32.8312773614153	86.3403864754414	29.0660967084725	28.92339793071	57.7189970734323	0	DOWN_pEhEx_UP_U2AF84
EHI_002150A	0.826165149060401	1.7669676706781	0.288196050010259	1	24	18	24	36	20	20	3.1181687003644	2.3638519700219	6.9770009273084	2.91470607661563	2.49339637333707	1.46867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_002160A	-0.223908211150624	7.10259513556681	0.814565932392788	1	1414	1314	80	1930	1532	1311	183.712105929802	172.561193811599	23.2566697576947	156.260631329671	190.99416219762	96.2717622942364	0	UP_pEhEx_DOWN_U2AF84
EHI_002180A	0.30353595585585	5.59600609140459	0.75287384911818	1	621	524	34	784	300	387	80.6826151219288	68.8143573495265	9.88408464702023	63.4758212240736	37.4009456000561	28.4188955056213	0	DOWN_pEhEx_UP_U2AF84
EHI_002190A	-0.00804955244432887	4.31933841012798	0.996417021124106	1	88	267	43	185	353	6	11.4332852346695	35.0638042219916	12.5004599947609	14.978350671497	44.0084459893993	0.440603031094903	0	UP_pEhEx_DOWN_U2AF84
EHI_002200A	0.742129484697653	4.09535532416672	0.581470967350409	1	234	243	3	253	124	26	30.4021448285529	31.9120015952957	0.87212511591355	20.4839065939931	15.4590575146898	1.90927980141125	0	DOWN_pEhEx_UP_U2AF84
EHI_002210A	0.0606040839125494	1.20637495893513	0.961713070101128	1	17	16	7	27	20	20	2.20870282942478	2.10120175113058	2.03495860379828	2.18602955746172	2.49339637333707	1.46867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_002670A	0.93103562890311	6.02233413326737	0.42556461073863	1	171	120	748	352	282	955	22.2169519900963	15.7590131334794	217.449862234445	28.4993483046861	35.1568888640527	70.1293157826054	0	DOWN_pEhEx_UP_U2AF84
EHI_002780A	2.18051036125446	5.36341394438529	0.217133286302817	1	39	26	666	47	20	520	5.06702413809215	3.41445284558719	193.611775732808	3.80531071113707	2.49339637333707	38.185596028225	0	DOWN_pEhEx_UP_U2AF84
EHI_002790A	0.10260472647046	2.59649833683541	0.894331322886176	1	30	30	36	48	47	96	3.8977108754555	3.93975328336984	10.4655013909626	3.88627476882083	5.85948147734212	7.04964849751845	0	DOWN_pEhEx_UP_U2AF84
EHI_002990A	0.109786682697679	2.2328993909947	0.912162639405945	1	53	35	8	83	37	22	6.88595587997138	4.59637883059815	2.32566697576947	6.72001678775269	4.61278329067358	1.61554444734798	0	DOWN_pEhEx_UP_U2AF84
EHI_003000A	-0.0641073049776111	3.08041957069739	0.933861278270376	1	70	76	17	100	60	132	9.09465870939616	9.98070831787026	4.94204232351012	8.09640576837674	7.48018912001121	9.69326668408787	0	UP_pEhEx_DOWN_U2AF84
EHI_003010A	-0.535716248642834	6.50612206490338	0.474394369054567	1	599	743	160	1226	1076	1206	77.8242938132614	97.5745563181264	46.5133395153893	99.2619347202988	134.144724885534	88.5612092500756	0	UP_pEhEx_DOWN_U2AF84
EHI_003020A	1.3740180151931	1.90808135047581	0.325715070614295	1	5	5	50	14	7	54	0.649618479242583	0.656625547228307	14.5354185985592	1.13349680757274	0.872688730667975	3.96542727985413	0	DOWN_pEhEx_UP_U2AF84
EHI_003040A	-0.461563596175106	0.976617801890809	0.503212624760616	1	13	13	3	19	12	41	1.68900804603072	1.7072264227936	0.87212511591355	1.53831709599158	1.49603782400224	3.01078737914851	0	UP_pEhEx_DOWN_U2AF84
EHI_003240.mRNA	2.13716426371972	2.63711362616911	0.311650962665375	1	141	83	0	74	5	0	18.3192411146408	10.8999840839899	0	5.99134026859879	0.623349093334268	0	0	DOWN_pEhEx_UP_U2AF84
EHI_003260A	0.316033785995417	7.32096211983376	0.657773913773827	1	1361	1172	690	1436	1115	2335	176.826150049831	153.913028270315	200.588776660116	116.26438683389	139.006847813542	171.468012934433	0	DOWN_pEhEx_UP_U2AF84
EHI_003890A	0.695581143212786	2.02849477135407	0.374568032406043	1	38	26	21	35	10	64	4.93710044224363	3.41445284558719	6.10487581139485	2.83374201893186	1.24669818666854	4.6997656650123	0	DOWN_pEhEx_UP_U2AF84
EHI_003900A	0.0510893774777072	1.84739204792519	0.93886260748926	1	20	18	19	38	25	50	2.59847391697033	2.3638519700219	5.52345906745248	3.07663419198316	3.11674546667134	3.67169192579086	0	DOWN_pEhEx_UP_U2AF84
EHI_003930A	0.196696429436091	3.538867564786	0.88737096073424	1	102	165	5	137	162	8	13.2522169765487	21.6686430585341	1.45354185985592	11.0920759026761	20.1965106240303	0.587470708126538	0	DOWN_pEhEx_UP_U2AF84
EHI_003940A	-0.154029439245457	9.54948988481586	0.900383748406631	1	7301	8584	177	12824	9564	1860	948.57290339002	1127.29473948156	51.4553818388994	1038.28307573663	1192.34214572979	136.58693963942	0	UP_pEhEx_DOWN_U2AF84
EHI_003950A	2.77663086820769	4.70451936388929	0.137280981819649	1	20	11	455	24	9	228	2.59847391697033	1.44457620390227	132.272309246888	1.94313738441042	1.12202836800168	16.7429151816063	0	DOWN_pEhEx_UP_U2AF84
EHI_004170A	-0.585796883107376	6.62155020726198	0.419846285907314	1	522	548	330	1137	1165	1585	67.8201692329257	71.9661599762224	95.9337627504905	92.0561335864435	145.240338746884	116.39263404757	0	UP_pEhEx_DOWN_U2AF84
EHI_004190A	0.330918672302287	1.88346259771747	0.644665625185764	1	35	35	8	45	25	34	4.54732935469808	4.59637883059815	2.32566697576947	3.64338259576953	3.11674546667134	2.49675050953779	0	DOWN_pEhEx_UP_U2AF84
EHI_004200A	0.270420309925914	12.8723593579504	0.687248783649821	1	61668	48752	35025	61524	57846	111658	8012.13447558632	6402.36173569488	10182.0607282907	4981.2326849361	7211.65033060281	8199.47554099912	0	DOWN_pEhEx_UP_U2AF84
EHI_004210A	0.715069246548799	-0.364811820291804	0.637618330519207	1	8	7	0	11	1	3	1.03938956678813	0.919275766119629	0	0.890604634521441	0.124669818666854	0.220301515547452	0	DOWN_pEhEx_UP_U2AF84
EHI_004230A	-0.734280487902364	5.40186241267909	0.371409487043426	1	295	337	41	640	543	519	38.3274902753124	44.2565618831879	11.9190432508185	51.8169969176111	67.6957115361015	38.1121621897091	0	UP_pEhEx_DOWN_U2AF84
EHI_004350A	-0.413899386274592	2.27940624583248	0.73342514403903	1	33	46	5	81	73	3	4.28748196300105	6.04095503450042	1.45354185985592	6.55808867238516	9.10089676268031	0.220301515547452	0	UP_pEhEx_DOWN_U2AF84
EHI_004370A	-0.095614298468826	5.69451194167126	0.922557188514142	1	249	168	328	329	256	1378	32.3510002662806	22.0626183868711	95.3523460065481	26.6371749779595	31.9154735787145	101.191829474796	0	UP_pEhEx_DOWN_U2AF84
EHI_004380A	-0.25855118288867	5.74780919831287	0.715401080472462	1	360	308	203	662	431	919	46.772530505466	40.4481337092637	59.0137995101502	53.598206186654	53.7326918454139	67.485697596036	0	UP_pEhEx_DOWN_U2AF84
EHI_004400A	0.0611300830897776	4.6877235671549	0.946799619716866	1	82	92	192	233	227	379	10.6537430595784	12.0819100690008	55.8160074184672	18.8646254403178	28.3000488373758	27.8314247974947	0	DOWN_pEhEx_UP_U2AF84
EHI_004430A	-3.03901731549881	1.67282192537024	0.0995232578421413	1	0	0	7	79	61	22	0	0	2.03495860379828	6.39616055701762	7.60485893867807	1.61554444734798	0	UP_pEhEx_DOWN_U2AF84
EHI_004440A	0.465752128536754	3.74006851526277	0.649723018303469	1	163	170	7	188	97	79	21.1775624233082	22.3252686057624	2.03495860379828	15.2212428445483	12.0929724106848	5.80127324274956	0	DOWN_pEhEx_UP_U2AF84
EHI_004470A	-0.197585031735688	0.108076895156328	0.855426889562906	1	7	8	1	18	5	9	0.909465870939616	1.05060087556529	0.290708371971183	1.45735303830781	0.623349093334268	0.660904546642355	0	UP_pEhEx_DOWN_U2AF84
EHI_004490A	1.21687064598049	9.02365216921797	0.509438833879235	1	335	170	7283	408	535	11430	43.5244381092531	22.3252686057624	2117.22907306613	33.0333355349771	66.6983529867667	839.348774235791	0	DOWN_pEhEx_UP_U2AF84
EHI_004510A	0.802894618961997	0.0883236850706206	0.269825695045528	1	8	10	3	12	2	8	1.03938956678813	1.31325109445661	0.87212511591355	0.971568692205208	0.249339637333707	0.587470708126538	0	DOWN_pEhEx_UP_U2AF84
EHI_004530A	0.733515984614045	2.99182902616714	0.57823585464463	1	96	120	2	109	63	10	12.4726748014576	15.7590131334794	0.581416743942367	8.82508228753064	7.85419857601178	0.734338385158172	0	DOWN_pEhEx_UP_U2AF84
EHI_004550A	-0.357767359190692	7.96421503702648	0.653660703861757	1	2018	2058	425	2558	3540	2621	262.186018222306	270.267075239171	123.551058087753	207.106059555077	441.331158080662	192.470090749957	0	UP_pEhEx_DOWN_U2AF84
EHI_004560A	1.09840377578058	1.63781572597782	0.519663497194962	1	3	0	41	17	13	36	0.38977108754555	0	11.9190432508185	1.37638898062405	1.6207076426691	2.64361818656942	0	DOWN_pEhEx_UP_U2AF84
EHI_004570A	0.651023374211272	4.48847563769864	0.472464518379677	1	100	110	187	171	87	370	12.9923695848517	14.4457620390227	54.3624655586113	13.8448538639242	10.8462742240163	27.1705202508524	0	DOWN_pEhEx_UP_U2AF84
EHI_004580A	1.59083886550319	4.31087338893436	0.386494159543811	1	18	3	297	25	24	333	2.3386265252733	0.393975328336984	86.3403864754414	2.02410144209418	2.99207564800449	24.4534682257671	0	DOWN_pEhEx_UP_U2AF84
EHI_004590A	-0.833805272404187	2.11152519675398	0.247424755662408	1	25	24	8	48	31	108	3.24809239621291	3.15180262669587	2.32566697576947	3.88627476882083	3.86476437867246	7.93085455970826	0	UP_pEhEx_DOWN_U2AF84
EHI_004600A	-0.248793071103618	6.72847899572218	0.764460600500909	1	493	470	566	905	864	2229	64.0523820533187	61.7228014394608	164.54093853569	73.2724722038095	107.714723328161	163.684026051757	0	UP_pEhEx_DOWN_U2AF84
EHI_004610A	-0.377268362881814	2.95382934218924	0.738770500664142	1	66	74	4	138	105	17	8.57496392600209	9.71805809897894	1.16283348788473	11.1730399603599	13.0903309600196	1.24837525476889	0	UP_pEhEx_DOWN_U2AF84
EHI_004620A	0.19302048083375	0.367461015400446	0.795275056558905	1	4	6	8	13	3	20	0.519694783394066	0.787950656673968	2.32566697576947	1.05253274988898	0.374009456000561	1.46867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_004640A	0.318029516384854	3.57859093083726	0.723779385492468	1	133	129	16	191	92	60	17.2798515478527	16.9409391184903	4.65133395153893	15.4641350175996	11.4696233173505	4.40603031094903	0	DOWN_pEhEx_UP_U2AF84
EHI_004750A	0.0194168694777564	4.76020313342014	0.989375033552472	1	268	325	12	473	301	58	34.8195504874024	42.6806605698399	3.4885004636542	38.295999284422	37.5256154187229	4.2591626339174	0	DOWN_pEhEx_UP_U2AF84
EHI_004760A	-0.348421046311512	5.72550232858412	0.695046357104963	1	479	497	39	737	586	604	62.2334503114394	65.2685793944937	11.3376265068761	59.6705105129366	73.0565137387762	44.3540384635536	0	UP_pEhEx_DOWN_U2AF84
EHI_004770A	1.22410525970393	5.9749398510955	0.206166822553931	1	253	271	672	416	252	649	32.8706950496747	35.5891046597742	195.356025964635	33.6810479964472	31.4167943040471	47.6585611967654	0	DOWN_pEhEx_UP_U2AF84
EHI_004780A	0.0644943676773734	4.12150550123644	0.954086220290562	1	185	188	13	303	151	96	24.0358837319756	24.6891205757843	3.77920883562538	24.5321094781815	18.8251426186949	7.04964849751845	0	DOWN_pEhEx_UP_U2AF84
EHI_004790A	-0.0859617288002035	9.05301943809388	0.898896965306454	1	3935	4266	1630	6325	4836	7153	511.249743163913	560.232916895191	473.854646313029	512.097664849829	602.903243072904	525.272246903641	0	UP_pEhEx_DOWN_U2AF84
