logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000130A	-0.314014950354172	5.10767089570085	0.777308127361972	1	59	68	259	236	368	666	7.66549805506248	8.93010744230497	75.2934683405365	19.1075176133691	45.8784932694021	48.9069364515343	0	UP_pEhEx_DOWN_U2AF84
EHI_000140A	-0.57168084190787	4.46955155700191	0.567405690738091	1	117	200	39	476	290	54	15.2010724142764	26.2650218891323	11.3376265068761	38.5388914574733	36.1542474133875	3.96542727985413	0	UP_pEhEx_DOWN_U2AF84
EHI_000240A	1.50935213775179	8.46317334142593	0.205967306903952	1	682	842	4704	1584	1644	2955	88.6079605686883	110.575742153247	1367.49218175245	128.247067371088	204.957181888307	216.99699281424	0	DOWN_pEhEx_UP_U2AF84
EHI_000250A	1.14652898557393	6.20646952957594	0.199890015789247	1	422	393	682	438	278	917	54.827799648074	51.6107680121449	198.263109684347	35.4622572654901	34.6582095893853	67.3388299190044	0	DOWN_pEhEx_UP_U2AF84
EHI_000260A	1.70891323138201	4.11974975961143	0.0617157660601488	1	103	106	179	147	57	70	13.3821406723972	13.9204616012401	52.0367985828418	11.9017164795138	7.10617966401065	5.14036869610721	0	DOWN_pEhEx_UP_U2AF84
EHI_000280A	0.106877344799498	2.91833225307391	0.891209337272017	1	40	34	46	74	71	86	5.19694783394066	4.46505372115249	13.3725851106744	5.99134026859879	8.8515571253466	6.31531011236028	0	DOWN_pEhEx_UP_U2AF84
EHI_000290A	-0.27589373018531	1.94557517846037	0.806362667244518	1	15	19	19	25	12	113	1.94885543772775	2.49517707946757	5.52345906745248	2.02410144209418	1.49603782400224	8.29802375228735	0	UP_pEhEx_DOWN_U2AF84
EHI_000300A	-0.446451527030822	3.15526446645709	0.708843444762512	1	74	91	1	180	98	44	9.61435349279023	11.9505849595552	0.290708371971183	14.5735303830781	12.2176422293517	3.23108889469596	0	UP_pEhEx_DOWN_U2AF84
EHI_000410A	0.701558617910487	2.49328764990325	0.520918397048396	1	15	15	57	38	21	91	1.94885543772775	1.96987664168492	16.5703772023574	3.07663419198316	2.61806619200392	6.68247930493937	0	DOWN_pEhEx_UP_U2AF84
EHI_000430A	0.682705658564955	1.37172098319861	0.325387902163476	1	18	23	12	35	12	15	2.3386265252733	3.02047751725021	3.4885004636542	2.83374201893186	1.49603782400224	1.10150757773726	0	DOWN_pEhEx_UP_U2AF84
EHI_000440A	-0.386899627652453	4.95109200463409	0.605224751784473	1	283	216	50	545	235	422	36.7684059251302	28.3662236402628	14.5354185985592	44.1254114376532	29.2974073867106	30.9890798536749	0	UP_pEhEx_DOWN_U2AF84
EHI_000480A	-0.0562451689230344	1.17941119888199	0.936402435740072	1	21	17	3	34	19	16	2.72839761281885	2.23252686057624	0.87212511591355	2.75277796124809	2.36872655467022	1.17494141625308	0	UP_pEhEx_DOWN_U2AF84
EHI_000510A	-0.26599507847074	9.88247884137425	0.771368467204188	1	9106	9374	538	12568	10304	10746	1183.08517439659	1231.04157594363	156.401104120497	1017.55627696959	1284.59781154326	789.120028690972	0	UP_pEhEx_DOWN_U2AF84
EHI_000520A	-0.261360169689751	0.875692292005357	0.668282945895264	1	14	10	4	23	17	18	1.81893174187923	1.31325109445661	1.16283348788473	1.86217332672665	2.11938691733651	1.32180909328471	0	UP_pEhEx_DOWN_U2AF84
EHI_000540A	0.110917219715171	2.21934659675763	0.909250001662218	1	33	14	27	44	11	106	4.28748196300105	1.83855153223926	7.84912604322195	3.56241853808576	1.37136800533539	7.78398688267663	0	DOWN_pEhEx_UP_U2AF84
EHI_000550A	0.161124208619214	4.68036928062345	0.866673645587415	1	278	290	21	388	225	171	36.1187874458876	38.0842817392418	6.10487581139485	31.4140543813017	28.0507092000421	12.5571863862047	0	DOWN_pEhEx_UP_U2AF84
EHI_000560A	0.302570105666158	2.11700473403013	0.744986317218567	1	23	52	13	63	41	12	2.98824500451588	6.82890569117439	3.77920883562538	5.10073563407734	5.111462565341	0.881206062189807	0	DOWN_pEhEx_UP_U2AF84
EHI_000570A	-0.278889124684035	2.93934666397794	0.727087658376586	1	56	43	25	67	41	189	7.27572696751693	5.64697970616344	7.26770929927958	5.42459186481241	5.111462565341	13.8789954794895	0	UP_pEhEx_DOWN_U2AF84
EHI_000580A	0.0802030535976926	3.99213707964549	0.911860711684677	1	130	131	49	187	100	247	16.8900804603072	17.2035893373816	14.244710226588	15.1402787868645	12.4669818666854	18.1381581134069	0	DOWN_pEhEx_UP_U2AF84
EHI_000590A	-0.105617901840347	9.92526673266033	0.916931221425457	1	10622	10122	344	13989	9838	9040	1380.04949730294	1329.27275780898	100.003679958087	1132.60620293822	1226.50167604451	663.841900182988	0	UP_pEhEx_DOWN_U2AF84
EHI_000610A	1.07995506649598	8.7570508015507	0.326222097393037	1	1120	1253	4994	1952	2279	5326	145.514539350339	164.550362135414	1451.79760962409	158.041840598714	284.122516741759	391.108623935243	0	DOWN_pEhEx_UP_U2AF84
EHI_000620A	0.673013823419372	2.35299577979222	0.621800106091485	1	3	9	58	25	28	80	0.38977108754555	1.18192598501095	16.8610855743286	2.02410144209418	3.4907549226719	5.87470708126538	0	DOWN_pEhEx_UP_U2AF84
