logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_163670A	-1.85886509163682	8.4901116699609	0.00232109536127305	0.455645919548182	1009	1046	1743	3643	4428	9302	170.277891926356	145.866387430112	149.784887282524	328.01897575095	617.378135261118	744.674779820073	54.44	UP_pEhEx_DOWN_CDC5
EHI_194430A	-2.43480664227586	3.25306068912603	0.00240119951487122	0.455645919548182	8	16	58	92	117	282	1.35007248306328	2.23122581155047	4.98423606562616	8.28376222044673	16.312836907306	22.5756060964589	54.44	UP_pEhEx_DOWN_CDC5
EHI_087730A	2.537119384643	0.354449576464274	0.00258251733322775	0.456436026450474	9	17	19	6	3	0	1.51883154344619	2.37067742477237	1.63276698701547	0.540245362203047	0.418277869418101	0	54.36	DOWN_pEhEx_UP_CDC5
EHI_058110A	2.63575505761858	2.48975516826259	0.0029923433633819	0.482442895875338	51	30	176	26	12	6	8.60671207952841	4.18354839665713	15.124578406038	2.34106323621321	1.67311147767241	0.480332044605508	51.76	DOWN_pEhEx_UP_CDC5
EHI_096200A	-2.56791140619349	1.48973801932534	0.00289604109844978	0.482442895875338	3	3	14	19	30	92	0.50627718114873	0.418354839665713	1.20309146411666	1.71077698030965	4.18277869418101	7.36509135061779	51.76	UP_pEhEx_DOWN_CDC5
EHI_140010A	-2.51684529855481	1.68322967782922	0.0030329603680344	0.482442895875338	7	5	9	29	22	118	1.18131342268037	0.697258066109522	0.773415941217852	2.61118591731473	3.06737104239941	9.44653021057499	51.76	UP_pEhEx_DOWN_CDC5
EHI_006810A	-2.09264795596276	6.34100135613931	0.00410453016589841	0.50627879866634	196	231	312	699	599	3077	33.0767758350504	32.2133226542599	26.8117526288855	62.938584696655	83.5161479271476	246.330283541858	49.37	UP_pEhEx_DOWN_CDC5
EHI_017650A	-2.43392804875203	0.133409612026559	0.00397684059889846	0.50627879866634	3	2	1	16	10	19	0.50627718114873	0.278903226443809	0.0859351045797613	1.44065429920813	1.394259564727	1.52105147458411	49.37	UP_pEhEx_DOWN_CDC5
EHI_025360A	-1.98929549487983	5.74188235747032	0.00422523303600091	0.50627879866634	126	152	254	545	379	1916	21.2636416082467	21.1966452097295	21.8275165632594	49.0722870667768	52.8424375031535	153.386032910692	49.37	UP_pEhEx_DOWN_CDC5
EHI_035970A	-3.14294104302129	2.99486664574508	0.00428926815145039	0.50627879866634	8	14	16	34	29	430	1.35007248306328	1.95232258510666	1.37496167327618	3.06139038581727	4.04335273770831	34.4237965300614	49.37	UP_pEhEx_DOWN_CDC5
EHI_049660A	-1.9051912555526	3.68679169384301	0.00435282614006611	0.50627879866634	38	38	50	137	141	348	6.41284429455058	5.29916130243236	4.29675522898807	12.3356024369696	19.6590598626508	27.8592585871195	49.37	UP_pEhEx_DOWN_CDC5
EHI_056460A	-1.8631355181287	4.63162396520862	0.00425975373513008	0.50627879866634	63	110	68	387	305	477	10.6318208041233	15.3396774544095	5.84358711142377	34.8458258620966	42.5249167241736	38.1863975461379	49.37	UP_pEhEx_DOWN_CDC5
EHI_067190A	2.64444672557166	-0.11629649013774	0.00401274018913345	0.50627879866634	7	10	14	5	0	1	1.18131342268037	1.39451613221904	1.20309146411666	0.450204468502539	0	0.0800553407675847	49.37	DOWN_pEhEx_UP_CDC5
EHI_079280A	2.0562331411299	0.729562128700622	0.00431087126376098	0.50627879866634	15	10	36	8	4	5	2.53138590574365	1.39451613221904	3.09366376487141	0.720327149604063	0.557703825890802	0.400276703837923	49.37	DOWN_pEhEx_UP_CDC5
EHI_095200A	2.48993049104159	0.953935885527979	0.00334940825331449	0.50627879866634	21	14	39	9	5	1	3.54394026804111	1.95232258510666	3.35146907861069	0.810368043304571	0.697129782363502	0.0800553407675847	49.37	DOWN_pEhEx_UP_CDC5
EHI_136360A	2.64444672557166	-0.11629649013774	0.00401274018913345	0.50627879866634	7	10	14	5	0	1	1.18131342268037	1.39451613221904	1.20309146411666	0.450204468502539	0	0.0800553407675847	49.37	DOWN_pEhEx_UP_CDC5
EHI_171280A	-2.04544564504522	6.90830252813213	0.00394341597055349	0.50627879866634	312	500	209	1594	1434	2942	52.6528268394679	69.7258066109521	17.9604368571701	143.52518455861	199.936821581852	235.522812538234	49.37	UP_pEhEx_DOWN_CDC5
EHI_187160A	-2.32939556025596	3.32946579178113	0.00445593242749084	0.50627879866634	19	33	23	81	83	377	3.20642214727529	4.60190323632284	1.97650740533451	7.29331238974114	11.5723543872341	30.1808634693794	49.37	UP_pEhEx_DOWN_CDC5
EHI_152460A	-2.28910041490375	1.85488708578664	0.00462639436758226	0.513422184234943	10	10	5	37	38	102	1.6875906038291	1.39451613221904	0.429675522898807	3.33151306691879	5.29818634596262	8.16564475829364	48.66	UP_pEhEx_DOWN_CDC5
EHI_065340A	-2.38091534473303	5.14475485289071	0.00495962764705144	0.525940958482877	62	151	29	696	511	537	10.4630617437404	21.0571935965075	2.49211803281308	62.6684620155535	71.2466637575499	42.989717992193	47.41	UP_pEhEx_DOWN_CDC5
EHI_136980A	-2.85450781080323	2.62796778344047	0.0048963265348567	0.525940958482877	12	15	3	50	51	245	2.02510872459492	2.09177419832856	0.257805313739284	4.50204468502539	7.11072378010772	19.6135584880582	47.41	UP_pEhEx_DOWN_CDC5
EHI_026360A	-2.53990192047859	2.3351566892316	0.00509603522733424	0.528658263148673	9	18	3	57	78	108	1.51883154344619	2.51012903799428	0.257805313739284	5.13233094092895	10.8752246048706	8.64597680289915	47.13	UP_pEhEx_DOWN_CDC5
EHI_169580A	-3.86537680808651	7.00798550451576	0.00544970541176815	0.553319026062927	56	80	335	236	203	8389	9.45050738144296	11.1561290577523	28.78826003422	21.2496509133199	28.3034691639582	671.584253699268	44.67	UP_pEhEx_DOWN_CDC5
EHI_091470A	-2.13675966394541	1.43427683433534	0.00567649239709778	0.55411949069964	5	8	9	27	20	85	0.84379530191455	1.11561290577523	0.773415941217852	2.43110412991371	2.78851912945401	6.8047039652447	44.59	UP_pEhEx_DOWN_CDC5
EHI_136420A	-2.00963853447582	0.108542010942365	0.00580594604672715	0.55411949069964	2	3	3	14	10	18	0.33751812076582	0.418354839665713	0.257805313739284	1.26057251180711	1.394259564727	1.44099613381652	44.59	UP_pEhEx_DOWN_CDC5
EHI_147570A	-1.57288094991483	7.85470628779655	0.00580167922486603	0.55411949069964	650	825	1446	3071	3069	4173	109.693389248892	115.047580908071	124.262161222335	276.51558455426	427.898260414718	334.070937023131	44.59	UP_pEhEx_DOWN_CDC5
EHI_019860A	-2.54357174010789	2.42591838071154	0.00617981826120256	0.562956941611253	13	8	14	41	27	234	2.19386778497783	1.11561290577523	1.20309146411666	3.69167664172082	3.76450082476291	18.7329497396148	43.7	UP_pEhEx_DOWN_CDC5
EHI_035510A	-2.05075625823797	4.08240308767592	0.00625245555435801	0.562956941611253	33	37	101	168	119	612	5.56904899263603	5.15970968921046	8.67944556255589	15.1268701416853	16.5916888202514	48.9938685497618	43.7	UP_pEhEx_DOWN_CDC5
EHI_169280A	-1.71486557103117	6.62699925400543	0.00603348275830444	0.562956941611253	315	383	368	1184	978	2629	53.1591040206167	53.4099678639894	31.6241184853522	106.608418141401	136.358585430301	210.46549087798	43.7	UP_pEhEx_DOWN_CDC5
EHI_105120A	-2.12958481221324	2.03990362951266	0.00646746443850109	0.571532227787541	12	14	5	61	48	84	2.02510872459492	1.95232258510666	0.429675522898807	5.49249451573098	6.69244591068962	6.72464862447711	42.85	UP_pEhEx_DOWN_CDC5
EHI_052720A	-2.08928319762532	1.45670490987731	0.00664234073605047	0.576313636226051	6	5	13	46	45	24	1.01255436229746	0.697258066109522	1.1171563595369	4.14188111022336	6.27416804127152	1.92132817842203	42.37	UP_pEhEx_DOWN_CDC5
EHI_014070A	2.27808680358781	1.63310837602935	0.00689493886910827	0.577239443568152	25	18	89	20	4	7	4.21897650957275	2.51012903799428	7.64822430759876	1.80081787401016	0.557703825890802	0.560387385373093	42.28	DOWN_pEhEx_UP_CDC5
EHI_138050A	1.88496098102396	1.67072037251204	0.00688773812422326	0.577239443568152	20	29	77	20	6	14	3.3751812076582	4.04409678343522	6.61700305264162	1.80081787401016	0.836555738836203	1.12077477074619	42.28	DOWN_pEhEx_UP_CDC5
EHI_066740A	-1.95636541589552	1.31313273682779	0.0073864933680781	0.577841743483094	5	11	5	33	27	50	0.84379530191455	1.53396774544095	0.429675522898807	2.97134949211676	3.76450082476291	4.00276703837923	42.22	UP_pEhEx_DOWN_CDC5
EHI_099670A	2.0906836671956	0.724180038607813	0.00714059005282064	0.577841743483094	16	12	31	9	5	2	2.70014496612656	1.67341935866285	2.6639882419726	0.810368043304571	0.697129782363502	0.160110681535169	42.22	DOWN_pEhEx_UP_CDC5
EHI_174220A	-1.82781765448619	5.45901834608201	0.00726939651457818	0.577841743483094	119	198	117	519	418	1246	20.0823281855663	27.6114194179371	10.0544072358321	46.7312238305636	58.2800498055888	99.7489545964105	42.22	UP_pEhEx_DOWN_CDC5
EHI_188240A	2.33597959469624	0.499847517712316	0.00720710321696096	0.577841743483094	11	9	34	9	2	1	1.85634966421201	1.25506451899714	2.92179355571189	0.810368043304571	0.278851912945401	0.0800553407675847	42.22	DOWN_pEhEx_UP_CDC5
EHI_023400A	2.09689824958022	7.85250568034955	0.00862305473612372	0.663697051625523	2623	3888	1610	1723	438	578	442.655015384373	542.187872206764	138.355518373416	155.140459845975	61.0685689350428	46.271986963664	33.63	DOWN_pEhEx_UP_CDC5
EHI_066730A	1.8468709640171	2.00442577698325	0.00879884149789014	0.665299681913609	22	52	80	23	14	12	3.71269932842402	7.25148388753902	6.87480836638091	2.07094055511168	1.95196339061781	0.960664089211016	33.47	DOWN_pEhEx_UP_CDC5
EHI_198550A	-1.77154856976224	2.79993683619461	0.00892271157637699	0.665299681913609	19	19	38	65	83	173	3.20642214727529	2.64958065121618	3.26553397403093	5.85265809053301	11.5723543872341	13.8495739527922	33.47	UP_pEhEx_DOWN_CDC5
EHI_099200A	-1.77619186699287	1.44547991804265	0.00920375053039546	0.675696885093033	4	9	16	36	22	66	0.67503624153164	1.25506451899714	1.37496167327618	3.24147217321828	3.06737104239941	5.28365249066059	32.43	UP_pEhEx_DOWN_CDC5
EHI_161860A	-1.71024849381984	2.49874815437791	0.010146089526622	0.733593018500606	16	14	34	69	52	143	2.70014496612656	1.95232258510666	2.92179355571189	6.21282166533504	7.25014973658042	11.4479137297646	26.64	UP_pEhEx_DOWN_CDC5
EHI_039070A	-1.9791999054498	3.89105297269801	0.0103951530321197	0.740383138347388	36	49	56	116	110	550	6.07532617378476	6.83312904787331	4.81236585646663	10.4447436692589	15.3368552119971	44.0304374221716	25.96	UP_pEhEx_DOWN_CDC5
EHI_098250A	-1.95838613757468	1.42592624893342	0.0108114757932051	0.758711213017276	8	10	4	41	25	56	1.35007248306328	1.39451613221904	0.343740418319045	3.69167664172082	3.48564891181751	4.48309908298474	24.13	UP_pEhEx_DOWN_CDC5
EHI_015290A	-4.56601455823173	4.44460464147283	0.011213531908267	0.773930524208383	6	5	40	6	19	1506	1.01255436229746	0.697258066109522	3.43740418319045	0.540245362203047	2.64909317298131	120.563343195983	22.61	UP_pEhEx_DOWN_CDC5
EHI_128180A	-1.98332035587477	0.894260627758844	0.0113527109586309	0.773930524208383	2	5	10	14	16	54	0.33751812076582	0.697258066109522	0.859351045797613	1.26057251180711	2.23081530356321	4.32298840144957	22.61	UP_pEhEx_DOWN_CDC5
EHI_006700A	-2.7839337264083	2.66526403020814	0.0118495932714115	0.78536470959966	11	17	5	41	25	308	1.85634966421201	2.37067742477237	0.429675522898807	3.69167664172082	3.48564891181751	24.6570449564161	21.46	UP_pEhEx_DOWN_CDC5
EHI_021190A	1.88208274282946	4.66759255632498	0.0117335523377258	0.78536470959966	164	146	824	145	92	80	27.6764859027972	20.359935530398	70.8105261737233	13.0559295865736	12.8271879954884	6.40442726140678	21.46	DOWN_pEhEx_UP_CDC5
EHI_014400A	-1.7644720653864	6.54874526633685	0.0121977125024932	0.79649461485402	274	319	427	850	656	3308	46.2399825449174	44.4850646177875	36.6942896555581	76.5347596454317	91.4634274460915	264.82306725917	20.35	UP_pEhEx_DOWN_CDC5
EHI_038600A	1.92238940901893	0.603543860527811	0.0124623976933783	0.79649461485402	11	13	30	12	2	3	1.85634966421201	1.81287097188476	2.57805313739284	1.08049072440609	0.278851912945401	0.240166022302754	20.35	DOWN_pEhEx_UP_CDC5
EHI_081130A	-2.04613659976299	3.34483908739858	0.0129649673685985	0.79649461485402	11	52	29	160	180	107	1.85634966421201	7.25148388753902	2.49211803281308	14.4065429920813	25.0966721650861	8.56592146213156	20.35	UP_pEhEx_DOWN_CDC5
EHI_096320A	-3.06201975082778	3.19544576929509	0.0127910719046306	0.79649461485402	11	17	17	32	16	531	1.85634966421201	2.37067742477237	1.46089677785594	2.88130859841625	2.23081530356321	42.5093859475875	20.35	UP_pEhEx_DOWN_CDC5
EHI_159780A	1.92397362754526	1.54383174155554	0.0130189815504219	0.79649461485402	22	31	56	16	12	4	3.71269932842402	4.32300000987903	4.81236585646663	1.44065429920813	1.67311147767241	0.320221363070339	20.35	DOWN_pEhEx_UP_CDC5
EHI_176850A	2.01799402840502	2.42686494057831	0.012775743794951	0.79649461485402	63	27	122	21	24	12	10.6318208041233	3.76519355699142	10.4840827587309	1.89085876771067	3.34622295534481	0.960664089211016	20.35	DOWN_pEhEx_UP_CDC5
EHI_000730A	-1.87716018550818	6.47933206786355	0.0152907457116486	0.811690906615826	260	412	151	916	835	2757	43.8773556995566	57.4540646474246	12.976200791544	82.4774586296652	116.420673654705	220.712574496231	18.83	UP_pEhEx_DOWN_CDC5
EHI_004880A	-1.49688132920482	5.33442047756146	0.0154842489085945	0.811690906615826	151	175	153	474	496	823	25.4826181178194	24.4040323138333	13.1480710007035	42.6793836140407	69.1552744104594	65.8855454517222	18.83	UP_pEhEx_DOWN_CDC5
EHI_008610A	1.92578825760451	2.14654277674081	0.015426475891133	0.811690906615826	37	26	118	31	12	10	6.24408523416767	3.62574194376951	10.1403423404118	2.79126770471574	1.67311147767241	0.800553407675847	18.83	DOWN_pEhEx_UP_CDC5
EHI_044550A	1.32856538334268	13.5816848118056	0.0144831410774562	0.811690906615826	98905	103273	250407	80340	53808	77595	16691.1148671717	14401.5864522657	21518.7517325043	7233.8853998988	7502.23186588307	6211.89416686073	18.83	DOWN_pEhEx_UP_CDC5
EHI_068170A	-1.4804891853253	6.01465420908606	0.0156486930864744	0.811690906615826	206	218	428	613	749	1561	34.7643664388795	30.4004516823751	36.7802247601378	55.1950678384113	104.430041398053	124.9663869382	18.83	UP_pEhEx_DOWN_CDC5
EHI_103310A	-2.45706245419081	7.27900429844708	0.0148656066774847	0.811690906615826	237	652	145	3240	3191	632	39.9958973107497	90.9224518206816	12.4605901640654	291.732495589646	444.908227104387	50.5949753651135	18.83	UP_pEhEx_DOWN_CDC5
EHI_103900A	2.90141074973236	4.29193829774503	0.0152774670333884	0.811690906615826	233	279	285	79	47	1	39.320861069218	38.9070000889113	24.491504805232	7.11323060234012	6.55301995421692	0.0800553407675847	18.83	DOWN_pEhEx_UP_CDC5
EHI_110730A	-2.23588942626413	2.18918416207671	0.0146714348106985	0.811690906615826	10	19	3	55	43	130	1.6875906038291	2.64958065121618	0.257805313739284	4.95224915352793	5.99531612832612	10.407194299786	18.83	UP_pEhEx_DOWN_CDC5
EHI_115270A	1.53076791306579	4.79813626415213	0.0146420135105437	0.811690906615826	246	252	540	144	147	115	41.5147288541959	35.1418065319199	46.4049564730711	12.9658886928731	20.495615601487	9.20636418827224	18.83	DOWN_pEhEx_UP_CDC5
EHI_115400A	1.53076791306579	4.79813626415213	0.0146420135105437	0.811690906615826	246	252	540	144	147	115	41.5147288541959	35.1418065319199	46.4049564730711	12.9658886928731	20.495615601487	9.20636418827224	18.83	DOWN_pEhEx_UP_CDC5
EHI_143780A	-2.04566127675295	0.661024348205053	0.0153009397180755	0.811690906615826	3	6	3	13	11	47	0.50627718114873	0.836709679331426	0.257805313739284	1.1705316181066	1.53368552119971	3.76260101607648	18.83	UP_pEhEx_DOWN_CDC5
EHI_172280A	-2.3643368252831	3.39233588421131	0.0154163335041246	0.811690906615826	7	10	85	135	227	100	1.18131342268037	1.39451613221904	7.30448388927971	12.1555206495686	31.649692119303	8.00553407675847	18.83	UP_pEhEx_DOWN_CDC5
EHI_195110A	6.1517015924053	5.33474046767242	0.0143613125872833	0.811690906615826	958	545	5	0	0	41	161.671179846828	76.0011292059378	0.429675522898807	0	0	3.28226897147097	18.83	DOWN_pEhEx_UP_CDC5
EHI_199720A	1.87618220170892	0.623597759015363	0.0156161567098648	0.811690906615826	10	8	40	5	3	10	1.6875906038291	1.11561290577523	3.43740418319045	0.450204468502539	0.418277869418101	0.800553407675847	18.83	DOWN_pEhEx_UP_CDC5
EHI_059830A	-1.61092817321904	4.90579483364435	0.0160457532302441	0.823336929190589	85	139	120	272	320	816	14.3445201325474	19.3837742378447	10.3122125495714	24.4911230865381	44.6163060712642	65.3251580663491	17.67	UP_pEhEx_DOWN_CDC5
EHI_126270A	2.13747499715778	2.45824809097819	0.0164133659365292	0.823820915507221	54	52	111	40	14	4	9.11298926067714	7.25148388753902	9.53879660835351	3.60163574802032	1.95196339061781	0.320221363070339	17.62	DOWN_pEhEx_UP_CDC5
EHI_142900A	-1.81257125820605	1.65141588484761	0.0165250779169228	0.823820915507221	8	8	16	32	19	100	1.35007248306328	1.11561290577523	1.37496167327618	2.88130859841625	2.64909317298131	8.00553407675847	17.62	UP_pEhEx_DOWN_CDC5
EHI_161870A	-1.97924619250304	2.86442489115408	0.0165730946958703	0.823820915507221	15	38	9	125	86	131	2.53138590574365	5.29916130243236	0.773415941217852	11.2551117125635	11.9906322566522	10.4872496405536	17.62	UP_pEhEx_DOWN_CDC5
EHI_189950A	-1.52808712599936	1.40431239722739	0.0171601233559447	0.827152612672406	6	10	15	29	29	52	1.01255436229746	1.39451613221904	1.28902656869642	2.61118591731473	4.04335273770831	4.1628777199144	17.28	UP_pEhEx_DOWN_CDC5
EHI_196580A	-1.68131778617006	3.45040606696406	0.0170904357994422	0.827152612672406	21	29	88	118	97	310	3.54394026804111	4.04409678343522	7.562289203019	10.6248254566599	13.5243177778519	24.8171556379513	17.28	UP_pEhEx_DOWN_CDC5
EHI_199110A	-1.67800564540704	3.08724833830352	0.0171412844787025	0.827152612672406	24	38	29	85	92	216	4.05021744918984	5.29916130243236	2.49211803281308	7.65347596454317	12.8271879954884	17.2919536057983	17.28	UP_pEhEx_DOWN_CDC5
EHI_050520A	-1.50021743213668	6.74374937917199	0.0174945615924618	0.831354970579245	219	359	936	1211	1190	2488	36.9582342238573	50.0631291466636	80.4352578866566	109.039522271315	165.916888202514	199.177687829751	16.86	UP_pEhEx_DOWN_CDC5
EHI_065630A	1.69551813856698	5.45259707901788	0.0175957359657384	0.831354970579245	300	250	1329	261	188	150	50.627718114873	34.8629033054761	114.207753986503	23.5006732558326	26.2120798168677	12.0083011151377	16.86	DOWN_pEhEx_UP_CDC5
EHI_179080A	-1.54430572602704	2.57717904887299	0.0179460043382133	0.839591497077981	18	26	25	75	73	109	3.03766308689238	3.62574194376951	2.14837761449403	6.75306702753809	10.1780948225071	8.72603214366673	16.04	UP_pEhEx_DOWN_CDC5
EHI_029210A	-1.58939180727503	3.05365952115147	0.020692133309692	0.847788978993771	24	17	65	90	91	195	4.05021744918984	2.37067742477237	5.58578179768449	8.10368043304571	12.6877620390157	15.610791449679	15.22	UP_pEhEx_DOWN_CDC5
EHI_038300A	-1.73207619292428	2.77362964327708	0.0205203597931669	0.847788978993771	11	12	64	138	75	96	1.85634966421201	1.67341935866285	5.49984669310473	12.4256433306701	10.4569467354525	7.68531271368813	15.22	UP_pEhEx_DOWN_CDC5
EHI_044830A	1.39821132190685	12.3226832361069	0.0199860948218466	0.847788978993771	42177	50178	95027	36062	26602	18706	7117.75088977	6997.40304824871	8166.15518290098	3247.05470862772	3709.00929408678	1497.51520439844	15.22	DOWN_pEhEx_UP_CDC5
EHI_068210A	-2.33008462623287	2.68182861366748	0.0207715873064639	0.847788978993771	13	21	12	30	34	292	2.19386778497783	2.92848387765999	1.03122125495714	2.70122681101524	4.74048252007182	23.3761595041347	15.22	UP_pEhEx_DOWN_CDC5
EHI_068610A	1.68651110447392	3.90545834461832	0.0196919879191857	0.847788978993771	149	192	184	96	69	35	25.1450999970536	26.7747097386056	15.8120592426761	8.64392579524876	9.62039099661633	2.80193692686546	15.22	DOWN_pEhEx_UP_CDC5
EHI_073180A	-1.47499231846956	5.02840577127275	0.0203435997036903	0.847788978993771	75	88	307	540	405	475	12.6569295287183	12.2717419635276	26.3820771059867	48.6220825982743	56.4675123714437	38.0262868646027	15.22	UP_pEhEx_DOWN_CDC5
EHI_093910A	-2.29644895564873	3.17272064688925	0.0201269653599683	0.847788978993771	11	16	55	32	68	392	1.85634966421201	2.23122581155047	4.72643075188687	2.88130859841625	9.48096504014363	31.3816935808932	15.22	UP_pEhEx_DOWN_CDC5
