pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_103510A	3036.77326016573	734.92326478392	1.58477025787626	0.983373968539775	2.04687366665159	474	790	2698	3823	543.805000091605	915.056252867966	1921.53378925683	4198.18799064878	98.34	UP_pEhEx_DOWN_U2AF84
EHI_105140A	10274.5008844456	3954.06051582707	1.73432367527614	0.999999985027413	1.37766145584381	2523	4277	11325	11496	2894.55699415848	4954.04505508391	8065.74135038309	12624.213743264	100	UP_pEhEx_DOWN_U2AF84
EHI_110570A	336.994539510372	121.150438970505	0.99306521825731	0.961461370970634	1.47592558270485	106	103	341	397	121.610400864367	119.304802589115	242.862498938687	435.961452337841	96.15	UP_pEhEx_DOWN_U2AF84
EHI_111760A	10194.4828844739	4982.65417404146	2.32608261008969	0.999999999999994	1.03280224549405	3491	5085	13331	10035	4005.11235299535	5889.95069092862	9494.42807434499	11019.8316730736	100	UP_pEhEx_DOWN_U2AF84
EHI_112800A	211.177912512993	82.486041408863	0.878635674946688	0.962222896155328	1.35623704148646	59	83	250	225	67.68880802828	96.1388215038496	178.05168543892	247.081427647391	96.22	UP_pEhEx_DOWN_U2AF84
EHI_118670A	147.970726059061	40.0901509877103	0.921528137250487	0.968373324787135	1.88399203092837	28	41	138	182	32.1235021151159	47.4902612247932	98.2845303622841	199.861421474779	96.84	UP_pEhEx_DOWN_U2AF84
EHI_119540A	3678.35956993513	1186.29812558809	1.719285283881	0.99999977267834	1.63259589861982	839	1203	3831	4262	962.557795520795	1393.43376227869	2728.46402766602	4680.2713094808	100	UP_pEhEx_DOWN_U2AF84
EHI_126210A	175.086498128586	66.2260627706626	0.845800880084166	0.956584467498167	1.40259683829122	47	67	202	190	53.9215928360874	77.6060366356376	143.865761834648	208.646538902241	95.66	UP_pEhEx_DOWN_U2AF84
EHI_134810A	921.602166022291	318.201769272304	1.53675537506823	0.984619281490339	1.534202250125	193	354	1181	923	221.422711007763	410.03786520919	841.11616201346	1013.58292319352	98.46	UP_pEhEx_DOWN_U2AF84
EHI_134840A	73.9853630295303	15.1403874226191	0.885883964596445	0.964196368004275	2.28883775944564	8	18	69	91	9.17814346146169	20.8493829767385	49.142265181142	99.9307107373893	96.42	UP_pEhEx_DOWN_U2AF84
EHI_135060A	1832.9286878621	532.819029034268	1.43425015684904	0.994911478357371	1.78243314462982	282	633	1817	2184	323.529557016525	733.203301348636	1294.07964977007	2398.33705769734	99.49	UP_pEhEx_DOWN_U2AF84
EHI_136740A	320.156529894834	61.0547882959871	1.05932434841125	0.971447033825411	2.39060108551694	39	66	199	459	44.7434493746258	76.4477375813744	141.729141609381	504.046112400678	97.14	UP_pEhEx_DOWN_U2AF84
EHI_141800A	1599.22132641413	550.426326273082	1.72883112769033	0.999999956262049	1.53874823709491	369	578	1890	1706	423.341867159921	669.496853364157	1346.07074191824	1873.42629140644	100	UP_pEhEx_DOWN_U2AF84
EHI_144610A	1636.94872317426	639.790368569545	1.30043983806144	0.982696668336439	1.35533795128098	484	618	1654	1930	555.277679418432	715.828815534687	1177.9899508639	2119.4095793754	98.27	UP_pEhEx_DOWN_U2AF84
EHI_147570A	2759.85858023627	1133.88059340581	1.58922733987118	0.983735106933855	1.28332562171238	856	1097	3071	3069	982.061350376401	1270.65406252678	2187.1869039317	3370.19067311041	98.37	UP_pEhEx_DOWN_U2AF84
EHI_148190A	1793.32681713536	587.598413406376	1.38558440640791	0.997558061374774	1.609736024377	440	572	1695	2191	504.797890380393	662.547059038578	1207.19042727588	2406.02403544637	99.76	UP_pEhEx_DOWN_U2AF84
EHI_152800A	1039.49922176193	208.15334586578	1.23410499329493	0.96018040786559	2.32017002438057	90	267	755	1419	103.254113941444	309.265847488287	537.71609002554	1558.26020369621	96.02	UP_pEhEx_DOWN_U2AF84
EHI_155680A	534.128887615812	117.778353923305	1.53558757761889	0.984634567828669	2.18111349689467	95	108	550	623	108.990453604858	125.096297860431	391.713707965625	684.141019663665	98.46	UP_pEhEx_DOWN_U2AF84
EHI_155900A	112.292671108234	0.0579762708474589	3.97226485742681	0.999999999999999	10.9195136121656	0	0	82	153	0.573633966341356	0.579149527131624	58.4009528239659	168.015370800226	100	UP_pEhEx_DOWN_U2AF84
EHI_156660A	8678.50934165624	3997.61910640345	5.60442987921745	1	1.11830624191639	3568	3330	12553	7754	4093.45198381191	3857.13585069662	8940.33122925907	8514.97506656831	100	UP_pEhEx_DOWN_U2AF84
EHI_157010A	533.155791832032	1118.35632573589	-1.78762481872787	0.999993532907184	-1.06875086129433	1009	921	787	466	1157.59334407686	1066.79342897645	560.506705761721	511.733090149708	100	DOWN_pEhEx_UP_U2AF84
EHI_161940A	485.495151188684	206.581883823337	1.07293119841132	0.973584672069263	1.23274314425258	164	192	566	523	188.151940959965	222.393418418544	403.109015833716	574.32705182038	97.36	UP_pEhEx_DOWN_U2AF84
EHI_163670A	3701.65505570379	1420.37798477273	1.44289922880095	0.992826230129525	1.38189555725079	1184	1265	3643	4428	1358.36523229633	1465.24830364301	2594.56916021595	4862.56249610066	99.28	UP_pEhEx_DOWN_U2AF84
EHI_165810.mRNA	372.468634354188	963.206930461096	-1.60205535060183	0.998092181564814	-1.37072683150635	902	761	627	275	1034.83567527981	881.465580294332	446.553627080812	301.988411569034	99.81	DOWN_pEhEx_UP_U2AF84
EHI_167270A	10274.5008844456	3954.06051582707	1.73432367527614	0.999999985027413	1.37766145584381	2523	4277	11325	11496	2894.55699415848	4954.04505508391	8065.74135038309	12624.213743264	100	UP_pEhEx_DOWN_U2AF84
EHI_170060A	664.111300056406	221.015333444509	1.40123728928371	0.998709903446806	1.58727858330894	137	243	839	673	157.175706777532	281.466670185969	597.541456333017	739.048003585307	99.87	UP_pEhEx_DOWN_U2AF84
EHI_172280A	171.350167672661	19.1255136794334	1.40455626910765	0.998703665012039	3.16337720176629	17	16	135	227	19.5035548556061	18.532784868212	96.147910137017	249.277707004257	99.87	UP_pEhEx_DOWN_U2AF84
EHI_176820A	1299.34616065256	464.223536982446	1.15691633514021	0.979423161671116	1.48489425549663	413	388	1125	1655	473.82165619796	449.42003305414	801.232584475142	1817.42116780637	97.94	UP_pEhEx_DOWN_U2AF84
EHI_177520A	2079.52485106672	761.178979170976	1.35046042400406	0.988312088270889	1.44994630021038	484	825	2107	2448	555.277679418432	955.59671976718	1500.61960487922	2688.24593280361	98.83	UP_pEhEx_DOWN_U2AF84
EHI_179390A	285.465927243298	69.8643758269815	1.09924244524961	0.974694730941832	2.03068964685836	38	82	300	329	43.596181441943	94.9805224495863	213.662022526704	361.287954204407	97.47	UP_pEhEx_DOWN_U2AF84
EHI_182550A	220.062041491866	66.8790381816449	0.922112775712561	0.968309787021102	1.71828431156174	42	73	220	261	48.1852531726739	84.5558309612171	156.68548318625	286.614456070974	96.83	UP_pEhEx_DOWN_U2AF84
EHI_187780A	99.3267125310895	17.4061926546936	1.22595719591559	0.954086151051244	2.51258109315137	14	16	99	118	16.061751057558	18.532784868212	70.5084674338125	129.580482055076	95.41	UP_pEhEx_DOWN_U2AF84
EHI_188170A	475.893651270567	196.15946647125	1.00072407532457	0.962287691564235	1.27861224794082	154	184	510	542	176.679261633138	213.127025984438	363.225438295398	595.191705710604	96.23	UP_pEhEx_DOWN_U2AF84
EHI_188880A	83.9515564867895	6.95715250169506	1.4690792471137	0.98766622285455	3.592988223176	6	6	68	110	6.88360759609627	6.94979432557949	48.4300584393863	120.795364627613	98.77	UP_pEhEx_DOWN_U2AF84
EHI_188960A	6457.25383965602	2292.12166481345	2.08497652584356	0.999999999999999	1.49423711791312	1556	2388	7493	6979	1785.1489032543	2766.01814158064	5336.56511597532	7663.91681578285	100	UP_pEhEx_DOWN_U2AF84
EHI_194430A	96.2930172655875	21.5111215156115	0.958468948996382	0.961240346023474	2.16234844027715	14	23	92	117	16.061751057558	26.6408782480547	65.5230202415227	128.482342376643	96.12	UP_pEhEx_DOWN_U2AF84
EHI_194730A	20.2645101129331	67.8255811912989	-1.0958041258439	0.968547242530118	-1.74287420569886	59	58	31	17	67.68880802828	67.1813451472684	22.0784089944261	18.6683745333584	96.85	DOWN_pEhEx_UP_U2AF84
EHI_195110A	0.0449518903185059	419.47152868059	-4.66814521179097	1	-13.1879034864009	559	169	0	0	641.322774369636	195.752540170489	0.356103370877841	0.549069839216425	100	DOWN_pEhEx_UP_U2AF84
EHI_201940A	193.456960644794	84.5921098354661	0.896976724548056	0.966830071737613	1.19341762819615	77	69	246	195	88.3396308165688	79.9226347441641	175.202858471898	214.137237294406	96.68	UP_pEhEx_DOWN_U2AF84
