pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_036630A	69.7404369541826	0.0565053346868306	4.50411352976864	1	10.2693926086563	0	0	76	76	0.600464658302008	0.526225342766945	55.1017220119251	85.0088067018047	100	UP_pEhEx_DOWN_CmasM
EHI_075040A	0.917637328344508	188.06495173667	-3.17362449587791	1	-7.67909121466519	117	223	1	1	140.50873004267	234.696502874057	0.725022658051645	1.1185369302869	100	DOWN_pEhEx_UP_CmasM
EHI_116040A	23.4801663352516	0.0565053346868306	4.10766098604307	1	8.69883983404477	0	0	28	24	0.600464658302008	0.526225342766945	20.3006344254461	26.8448863268857	100	UP_pEhEx_DOWN_CmasM
EHI_155900A	114.539060660753	0.0565053346868306	3.69858245565567	1	10.9851649773152	0	0	82	153	0.600464658302008	0.526225342766945	59.4518579602349	171.136150333896	100	UP_pEhEx_DOWN_CmasM
EHI_174150A	15.9782387835622	0.0565053346868306	3.10561749538523	1	8.14350560000927	0	0	15	19	0.600464658302008	0.526225342766945	10.8753398707747	21.2522016754512	100	UP_pEhEx_DOWN_CmasM
EHI_006770A	0.0458818664172254	63.5833649565915	-4.63052070112867	0.999999999999999	-10.436509573828	53	60	0	0	63.6492537800129	63.1470411320334	0.362511329025823	0.559268465143452	100	DOWN_pEhEx_UP_CmasM
EHI_089770A	37.9447883119916	0.0565053346868306	4.96480737328861	0.999999999999997	9.39129895157484	0	0	51	35	0.600464658302008	0.526225342766945	36.9761555606339	39.1487925600416	100	UP_pEhEx_DOWN_CmasM
EHI_006680A	62.3425919755877	0.0565053346868306	5.20039699773378	0.999999999999996	10.1076153435629	0	0	80	60	0.600464658302008	0.526225342766945	58.0018126441316	67.1122158172142	100	UP_pEhEx_DOWN_CmasM
EHI_158270A	3012.83133385157	6079.45607158719	-2.12056356275622	0.999999999999996	-1.01282234227586	5573	5158	4054	2776	6692.77908143418	5428.5406359838	2939.24185574137	3105.05851847644	100	DOWN_pEhEx_UP_CmasM
EHI_140640A	39.8793690843985	0.0565053346868306	3.2969874720746	0.999999999999985	9.46303979101471	0	0	32	51	0.600464658302008	0.526225342766945	23.2007250576527	57.0453834446321	100	UP_pEhEx_DOWN_CmasM
EHI_023400A	869.944783478328	3918.44708320365	-1.53182996370576	0.999999999833483	-2.17128627496905	4388	2413	1723	438	5269.67784125842	2539.56350419328	1249.21403982299	489.919175465664	100	DOWN_pEhEx_UP_CmasM
EHI_123020A	0.0458818664172254	28.4820929772957	-3.7385474909799	0.999999615534307	-9.27791537023616	28	22	0	0	33.6260208649125	23.1539150817456	0.362511329025823	0.559268465143452	100	DOWN_pEhEx_UP_CmasM
EHI_188960A	6591.39876798169	2252.21595465913	1.76182746381497	0.999678170970459	1.5492394861622	1117	2996	7493	6979	1341.43804664669	3153.14225385953	5432.59477678098	7806.2692364723	99.97	UP_pEhEx_DOWN_CmasM
EHI_114920A	2135.58758315785	399.751261591582	1.34492203661293	0.976818719213825	2.4174585740619	40	713	1963	2567	48.0371726641607	750.397338785664	1423.21947775538	2871.28430004648	97.68	UP_pEhEx_DOWN_CmasM
EHI_147570A	2816.95739591679	1216.57207548281	1.34044847352177	0.976625938883051	1.21131594945825	808	1384	3071	3069	970.350887816045	1456.5917487789	2226.5445828766	3432.78983905051	97.66	UP_pEhEx_DOWN_CmasM
EHI_141800A	1632.50532308497	665.513570852006	1.33203715035745	0.974031403171274	1.29454770561777	429	772	1890	1706	515.198676823123	812.491929232163	1370.29282371761	1908.22400306946	97.4	UP_pEhEx_DOWN_CmasM
EHI_058090A	3046.52741414368	1268.59102634602	1.35732427977241	0.973052742573775	1.26393868038621	882	1398	3209	3393	1059.21965724474	1471.32605837638	2326.59770968773	3795.19580446346	97.31	UP_pEhEx_DOWN_CmasM
EHI_135060A	1870.45206085967	486.931059598922	1.32452272429331	0.96941129063039	1.94159755747407	188	709	1817	2184	225.774711521555	746.187536043528	1317.36616967984	2442.8846557466	96.94	UP_pEhEx_DOWN_CmasM
EHI_049000A	5714.25126035636	2019.08971770733	1.17811549174065	0.968625123543604	1.50085945630482	211	3591	6747	5885	253.396085803447	3779.3504117522	4891.72787387445	6582.58983473843	96.86	UP_pEhEx_DOWN_CmasM
EHI_087570A	5372.77525366682	1945.08152752254	1.18102989799438	0.968388216660731	1.46583686391044	683	2910	5229	6267	820.234723240543	3062.63149490362	3791.14347895205	7009.87094210802	96.84	UP_pEhEx_DOWN_CmasM
EHI_010020A	921.695263637663	185.447894506228	1.18211590973793	0.968222709378995	2.31327594887778	131	202	610	1264	157.321740475126	212.595038477846	442.263821411504	1413.83067988265	96.82	UP_pEhEx_DOWN_CmasM
EHI_178340A	3375.10573519505	459.732266596352	1.4363519717986	0.967521347715826	2.87606686829782	287	544	1876	4864	344.666713865353	572.533172930436	1360.14250650489	5440.5636289155	96.75	UP_pEhEx_DOWN_CmasM
EHI_158570A	8294.8633541076	1340.3301281179	1.19176797156369	0.964857290935938	2.62962982964579	215	2298	4325	12142	258.199803069863	2418.53167535688	3135.72299607337	13581.2754075436	96.49	UP_pEhEx_DOWN_CmasM
EHI_163670A	3777.38726311898	1425.03876572997	1.36931363205235	0.964496540757824	1.40638753265978	1116	1427	3643	4428	1340.23711733008	1501.84712825686	2641.25754328214	4952.88152731041	96.45	UP_pEhEx_DOWN_CmasM
EHI_103310A	2946.02737782087	1033.37503362181	1.15674014585557	0.963635227739492	1.51140690385921	238	1689	3240	3191	285.821177351756	1777.58920786674	2349.07341208733	3569.25134454551	96.36	UP_pEhEx_DOWN_CmasM
EHI_015310A	11028.2277915585	4887.706107526	1.15572696990457	0.963214773617307	1.17397152690712	1597	7449	12746	11539	1917.88411861661	7839.70515654195	9241.13879952627	12906.7976385806	96.32	UP_pEhEx_DOWN_CmasM
EHI_183560A	12.1043007813717	2.7870291286948	0.98308880493976	0.961425563162764	2.11871975684131	2	3	15	12	2.40185863320803	3.15735205660167	10.8753398707747	13.4224431634428	96.14	UP_pEhEx_DOWN_CmasM
EHI_062500A	133.000666258115	32.6881081692356	0.974913097333706	0.961236563399771	2.0245956844594	21	38	157	137	25.2195156486843	39.9931260502878	113.828557314108	153.239559449306	96.12	UP_pEhEx_DOWN_CmasM
EHI_172280A	174.795653069584	20.4778494341805	0.985360787923416	0.960835467774597	3.09353318958337	6	32	135	227	7.2055758996241	33.6784219370845	97.8780588369721	253.907883175127	96.08	UP_pEhEx_DOWN_CmasM
