pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_088600A	0.0515610578754355	194.090102131619	-3.75281465614339	1	-11.8781570637331	220	140	0	0	275.96393363391	109.701344894987	0.405783640905498	0.638792867946782	100	DOWN_pEhEx_UP_UmasM
EHI_195110A	0.0515610578754355	215.238294597107	-2.9365489857009	0.999999999999999	-12.0273652968595	309	53	0	0	387.603888603991	41.5297948531022	0.405783640905498	0.638792867946782	100	DOWN_pEhEx_UP_UmasM
EHI_018630A	0.0515610578754355	11.0156309447643	-2.94992715721303	0.999999999999994	-7.73905455193559	8	15	0	0	10.0350521321422	11.7537155244629	0.405783640905498	0.638792867946782	100	DOWN_pEhEx_UP_UmasM
EHI_013100A	0.0515610578754355	15.9243285335718	-3.19527698610182	0.999999999999988	-8.27073496193982	12	21	0	0	15.0525781982133	16.455201734248	0.405783640905498	0.638792867946782	100	DOWN_pEhEx_UP_UmasM
EHI_055340A	0.0515610578754355	10.2168070999981	-2.96207588317087	0.999999999999984	-7.63044682460578	8	13	0	0	10.0350521321422	10.1865534545345	0.405783640905498	0.638792867946782	100	DOWN_pEhEx_UP_UmasM
EHI_126240A	3546.33093665615	1575.48855011571	1.37032832206939	0.999995748991518	1.17052790240593	787	2707	4297	2881	987.198253499486	2121.15386164807	3487.30460994185	3680.72450510936	100	UP_pEhEx_DOWN_UmasM
EHI_112990A	1618.30117265498	757.782907652186	1.36676452285913	0.999991733313106	1.09462362008569	659	861	1945	1325	826.637419385211	674.66327110417	1578.49836312239	1692.80110005897	100	UP_pEhEx_DOWN_UmasM
EHI_156560A	0.0515610578754355	22.4364027102638	-2.20271283304254	0.997490403566423	-8.76534380421393	30	9	0	0	37.6314454955331	7.05222931467773	0.405783640905498	0.638792867946782	99.75	DOWN_pEhEx_UP_UmasM
EHI_131470A	4893.67663928734	2311.21845683813	1.2981216573563	0.963491402068143	1.08226514516163	1098	4060	5832	4039	1377.31090513651	3181.33900195462	4733.06038752173	5160.1687872741	96.35	UP_pEhEx_DOWN_UmasM
