pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_060020A	1242.73895438053	669.750699020873	0.90750445872062	0.918288733590713	0.891827193556951	543	823	1702	882	681.12916346915	644.88719177553	1381.28751364231	1126.83061905812	91.83	UP_pEhEx_DOWN_UmasM
EHI_142730A	20970.5768814772	10972.1422565724	0.90624773131105	0.917822282509809	0.934521316884833	11183	9886	17135	22417	14027.7484992182	7746.48211165601	13906.2053738314	28639.639441526	91.78	UP_pEhEx_DOWN_UmasM
EHI_107290A	13994.6804673355	7254.50306638467	0.969502674480442	0.917796263517765	0.947929848894723	7073	7041	11824	14707	8872.24046633019	5517.19406718288	9595.97154013321	18789.4534177866	91.78	UP_pEhEx_DOWN_UmasM
EHI_033710A	44633.2329660261	20895.9519267399	0.936798018729603	0.91607989094077	1.09489482769145	17788	24346	31107	51199	22312.9384158181	19077.0638772382	25245.4234352946	65411.1120920145	91.61	UP_pEhEx_DOWN_UmasM
EHI_052860A	5433.55285114623	3565.16138097686	0.939974696731876	0.915117446911509	0.607928461948908	2954	4281	5549	5087	3705.4429997935	3354.51041068171	4503.38684676922	6499.07863849056	91.51	UP_pEhEx_DOWN_UmasM
EHI_096570A	26758.5168890692	13247.102591989	0.946910919143236	0.913368195061382	1.01432130800619	11242	15489	20093	29756	14101.7570086928	12136.8866505604	16306.8213934283	38015.8411572489	91.34	UP_pEhEx_DOWN_UmasM
EHI_056480A	10559.7417722424	5649.1063719743	0.958628879880542	0.913255845242683	0.902479983675219	4590	6926	8833	11155	5757.61116081657	5427.082248162	7168.57380023653	14251.4688838927	91.33	UP_pEhEx_DOWN_UmasM
EHI_148790A	5927.88190124988	3416.5371791127	0.958373120457183	0.913204868850942	0.794981879255465	2849	4074	5483	5921	3573.73294055913	3192.30913644412	4449.82340616969	7564.58514222579	91.32	UP_pEhEx_DOWN_UmasM
EHI_110400A	22587.1324587451	18181.8617001297	0.949682937222892	0.912935266068552	0.313001196180925	14928	22048	25047	19859	18725.4072785773	17276.3946588905	20327.32570752	25371.5751291103	91.29	UP_pEhEx_DOWN_UmasM
EHI_130260A	24654.5757576247	15428.9000015042	0.955161648493775	0.912777976702579	0.676220218857025	8268	25628	26518	22211	10371.2263785689	20081.6147640623	21521.141179064	28376.4567799319	91.28	UP_pEhEx_DOWN_UmasM
EHI_140120A	55338.8344281249	27120.8295227576	1.02035228491119	0.912620787844794	1.02889095187509	24725	29023	43799	60078	31014.5829959019	22741.8723777658	35545.8353760398	76754.7958410135	91.26	UP_pEhEx_DOWN_UmasM
EHI_151810A	15433.1413930189	9919.89493644279	1.02165828939355	0.910479721655981	0.637635004294424	9030	10637	15567	14575	11327.0650941555	8334.95146891412	12633.6678759518	18620.8121006487	91.05	UP_pEhEx_DOWN_UmasM
EHI_129000A	1608.78083195369	971.991457640692	0.893952621101892	0.91005730515529	0.726952257808933	822	1141	1817	1393	1031.10160657761	894.065960894144	1474.61775105058	1779.67693009973	91.01	UP_pEhEx_DOWN_UmasM
EHI_156310A	712.968752166711	127.264551502484	0.893860222805695	0.90997920620269	2.48600822362415	57	229	266	968	71.499746441513	179.4400570068	215.876896961725	1236.70299234497	91	UP_pEhEx_DOWN_UmasM
EHI_197480A	23792.0773469769	10989.693877426	0.889381645352217	0.905868524943906	1.11433004268159	2204	24049	22670	23333	2764.65686240517	18844.3403098539	18398.2302786553	29809.9079756045	90.59	UP_pEhEx_DOWN_UmasM
EHI_090020A	19381.5656916671	8309.72875309346	0.888168575546729	0.904673471463453	1.22181182970109	1724	18094	16174	20499	2162.55373447664	14178.1152466421	13126.289216011	26189.2300000822	90.47	UP_pEhEx_DOWN_UmasM
EHI_030070A	20755.7659051505	11098.9326671257	0.812843132577377	0.898321430249541	0.903091223624039	2970	23118	22124	18829	3725.51310405778	18114.8263663022	17955.1145427865	24055.6618211399	89.83	UP_pEhEx_DOWN_UmasM
EHI_154450A	5437.65144344243	3091.45150116987	0.812792761859104	0.898318639255749	0.814699304040667	1960	4658	4681	5658	2458.58777237483	3649.92046086321	3798.94644615727	7228.58009368578	89.83	UP_pEhEx_DOWN_UmasM
EHI_163750A	50873.1101795203	28390.9113783169	0.812382622686616	0.898267985546475	0.841474135686688	29209	25152	40518	55065	36639.2297159676	19708.6301914194	32883.0831244179	70350.2585469791	89.83	UP_pEhEx_DOWN_UmasM
EHI_046690A	10781.3117794755	8541.52242386104	0.818727062069711	0.897774691118532	0.33596758283287	6097	11798	14350	7922	7647.96410620885	9244.68905050754	11645.9904939878	10121.0341997488	89.78	UP_pEhEx_DOWN_UmasM
EHI_092470A	17610.2564201233	10359.0514539501	0.819395553656183	0.897592566986953	0.765524010188906	4227	19289	18512	16144	5302.27067032062	15114.4945834243	15023.7335208852	20625.3441202657	89.76	UP_pEhEx_DOWN_UmasM
EHI_124330A	17196.5389775857	11778.3039559559	0.819922418039149	0.897427556443119	0.545986423473257	10988	12211	16971	16484	13783.1441034973	9568.30801794775	13773.1083396144	21059.7232704695	89.74	UP_pEhEx_DOWN_UmasM
EHI_187020A	33426.4492834466	16128.2763367774	0.881164990123728	0.897388356009	1.05139785031769	15673	15735	23462	38236	19659.921508383	12329.6475851616	19040.9915658496	48849.7681976263	89.74	UP_pEhEx_DOWN_UmasM
EHI_139570.mRNA	3788.84526905983	2043.50177800924	0.821980543070332	0.896666312039277	0.89071472486	1943	2061	3213	3974	2437.26328659403	1614.9605130612	2607.56567645873	5077.12571444102	89.67	UP_pEhEx_DOWN_UmasM
EHI_134720A	2509.31341353102	1490.50319684914	0.805827108840642	0.896174952541346	0.751493205133884	866	2370	2663	2284	1086.29439330439	1857.08705286514	2161.20367146268	2918.0058207809	89.62	UP_pEhEx_DOWN_UmasM
EHI_126190A	34550.1499519045	19710.7452177645	0.82315293489899	0.896145316328329	0.80970964972038	20067	17795	28591	36699	25171.6738919621	13943.8245171878	23203.5201542582	46886.1189215579	89.61	UP_pEhEx_DOWN_UmasM
EHI_092430A	11479.5147998163	6147.86897366172	0.879920974728985	0.896075030508484	0.900903342413607	2247	11859	11807	10693	2818.59526761543	9292.48749364036	9582.17489634243	13661.2242739099	89.61	UP_pEhEx_DOWN_UmasM
EHI_044770A	10765.7417622228	6485.22926002575	0.823914412897653	0.895777964512762	0.731218243612371	3153	11279	10867	10162	3955.06492158053	8838.01049336113	8819.30165144009	12982.8262481504	89.58	UP_pEhEx_DOWN_UmasM
EHI_186480A	30953.0932562992	22212.3451566761	1.02995280689725	0.895062070064375	0.478721871265704	20270	23739	33742	27593	25426.3133398152	18601.430189015	27383.9032228666	35252.4232105111	89.51	UP_pEhEx_DOWN_UmasM
EHI_111570A	9137.68541257198	5742.11625577589	0.826837714036577	0.894159476630589	0.670246235186906	2787	9994	10322	7911	3495.96128653503	7831.10886343214	8376.9974828531	10106.980756654	89.42	UP_pEhEx_DOWN_UmasM
EHI_201250A	3511.43193823574	2381.91715461537	0.876673546727129	0.892711054647572	0.559936236071596	1802	3130	3759	3175	2260.39549276502	2452.60863943792	3050.68141232753	4056.33471146206	89.27	UP_pEhEx_DOWN_UmasM
EHI_126870A	63654.6757408374	33477.36334176	0.800062117728121	0.892178317492082	0.92708058436465	7034	72756	68859	57090	8823.319587186	57010.2217798548	55883.7114582234	72937.3696621635	89.22	UP_pEhEx_DOWN_UmasM
EHI_094030A	3106.19324834164	2325.69518865874	0.799710730275724	0.89187701988421	0.417485562142588	1895	2843	3546	2665	2377.05297380118	2227.7208824032	2877.81758130179	3404.76598615635	89.19	UP_pEhEx_DOWN_UmasM
EHI_044590A	7731.91097804734	6758.15340797592	0.830496309213239	0.891798718113179	0.194195927463112	5552	8190	9672	6084	6964.32617970667	6417.52867635674	7849.47874967595	7772.83161717644	89.18	UP_pEhEx_DOWN_UmasM
EHI_165350A	14498.9264194375	10917.4392949503	0.799614331182448	0.891794468935118	0.409311569872915	7319	15825	15793	12933	9180.81831939357	12400.1698783083	12817.0820816411	16523.0163223115	89.18	UP_pEhEx_DOWN_UmasM
EHI_000610A	2217.27860435172	1171.30028308246	0.830588627538823	0.891735984278481	0.920679075291916	967	1412	1952	2279	1212.98692647268	1106.41642136944	1584.17933409506	2911.61789210143	89.17	UP_pEhEx_DOWN_UmasM
EHI_105060A	6145.32689954711	4923.31997312699	1.03191794542277	0.891101270677565	0.319858251246229	3898	6197	7213	5144	4889.57915138627	4855.8516736731	5853.83480370271	6571.90102543649	89.11	UP_pEhEx_DOWN_UmasM
EHI_152610A	9164.63840681181	7963.93951032436	0.83471301190185	0.888833425121923	0.202595696793409	6434	9822	10802	7642	8070.69067727534	7696.3329254183	8766.54977812238	9763.31019369861	88.88	UP_pEhEx_DOWN_UmasM
EHI_180390A	173.937916087452	20.7751488622743	0.795532977544831	0.887855524531851	3.06564173508552	14	30	19	266	17.5613412312488	23.5074310489258	15.4197783544089	339.837805747688	88.79	UP_pEhEx_DOWN_UmasM
EHI_038620A	7619.25807182429	5086.05551080415	0.79476397215821	0.887042884048686	0.583103313435398	2931	8125	8123	6911	3676.59222491359	6366.59590908406	6592.36103015072	8829.39502076042	88.7	UP_pEhEx_DOWN_UmasM
EHI_078300A	10486.8918281421	7341.99051832971	0.837311737170693	0.886998033698719	0.514343989704446	5300	10048	10516	9944	6648.22203754419	7873.42223932021	8534.44153552443	12704.3125577256	88.7	UP_pEhEx_DOWN_UmasM
EHI_126250A	49356.9241418088	38212.7823642197	0.794213481398452	0.886443475063751	0.369197182841306	34203	41890	52500	44847	42903.6110094573	32824.20955465	42607.2822950773	57295.8874976186	88.64	UP_pEhEx_DOWN_UmasM
EHI_185580A	26404.1448621246	21076.4338134279	0.840089027815996	0.885129754376775	0.325133638391577	19194	22587	30696	22294	24076.5988280421	17698.7448367362	24911.8692824703	28482.4963960111	88.51	UP_pEhEx_DOWN_UmasM
EHI_058080A	2928.05361827534	1620.57281343242	0.792768701881733	0.884838699525378	0.853438129000103	806	2790	2900	2800	1011.03150231332	2186.1910875501	2353.54511725189	3577.24006050198	88.48	UP_pEhEx_DOWN_UmasM
EHI_125780A	5269.46479018376	2930.56877796015	0.841149245517239	0.884458111257906	0.846475740868837	1459	5043	5036	5158	1830.14263259943	3951.59915932442	4087.05283120017	6589.787225739	88.45	UP_pEhEx_DOWN_UmasM
EHI_039610A	1593.03500041013	849.129618908534	0.790639881813996	0.882378836636213	0.907721262654806	648	1107	1463	1598	812.839222703516	867.424205705361	1187.32293328949	2041.58200595791	88.24	UP_pEhEx_DOWN_UmasM
EHI_128100A	3442.23653888093	2082.54961957998	0.844964228080945	0.88231805982295	0.724995367746204	1712	2522	3275	3379	2147.50115627842	1976.19137017969	2657.88284793101	4316.96220158435	88.23	UP_pEhEx_DOWN_UmasM
EHI_050130A	1334.53991729781	625.22574543756	0.790186447167989	0.881845127329792	1.09389336672065	357	1004	1199	1356	447.814201396844	786.715359104049	973.069170891384	1732.40625787167	88.18	UP_pEhEx_DOWN_UmasM
EHI_170340A	73509.1137400323	53222.66961916	0.86231244387928	0.881531194939383	0.465882250994867	35845	76888	75864	68305	44963.3054595795	60247.9786163268	61568.7402673094	87265.4936902098	88.15	UP_pEhEx_DOWN_UmasM
EHI_167320A	23406.3939895562	11289.1229188617	0.861306196309201	0.88110688479798	1.05196928489482	10950	11046	16134	26966	13735.4776058696	8655.43611221447	13093.8265247386	34451.3769541058	88.11	UP_pEhEx_DOWN_UmasM
EHI_001420A	11605.9491599717	8638.01154098546	0.859217853823113	0.880413217281398	0.426093365071252	6940	10714	12112	10697	8705.40772463333	8395.28720860636	9829.70291729478	13666.3346168534	88.04	UP_pEhEx_DOWN_UmasM
EHI_068250A	4043.34137067812	3017.13333873427	0.858019989288433	0.880129333062353	0.42236955627353	2311	3920	4559	3506	2898.87568467257	3071.63765705963	3699.93523777633	4479.21559004283	88.01	UP_pEhEx_DOWN_UmasM
EHI_182900A	33542.3629709368	19274.6040738743	0.8512775313856	0.880110986565283	0.799283100979453	19550	17516	28679	35029	24523.1586479224	13725.2054084328	23274.9380750575	44752.5507426156	88.01	UP_pEhEx_DOWN_UmasM
EHI_040460A	1864.47957933693	1295.4130942201	0.788030878452262	0.879273741003164	0.525360763884045	991	1685	2171	1572	1243.09208286911	1320.33404391466	1761.91256881167	2008.36477682468	87.93	UP_pEhEx_DOWN_UmasM
EHI_158570A	9344.69802476342	3010.43295305604	0.787281364126047	0.878372131983299	1.63417705707422	299	7067	4325	12142	375.060073438814	5537.56717409195	3510.02849383256	15512.4460052196	87.84	UP_pEhEx_DOWN_UmasM
EHI_118170A	2411.69280198962	1710.80031694538	0.786777228908083	0.877766265725254	0.495374770889182	1267	2291	2758	2066	1589.30138142802	1795.18415110297	2238.30256323473	2639.4921303561	87.78	UP_pEhEx_DOWN_UmasM
EHI_131890A	1706.65170366876	1140.62062901412	0.777221238927573	0.867012695251249	0.581349630468952	1011	1266	2084	1376	1268.17971319947	992.013590264668	1691.30621529412	1757.95797258954	86.7	UP_pEhEx_DOWN_UmasM
EHI_103440A	2770.99830147283	1867.80702855782	0.776069564030691	0.865906301697891	0.569060414984375	1220	2758	3124	2403	1530.34545015168	2161.11649443124	2535.33618837755	3070.03852335223	86.59	UP_pEhEx_DOWN_UmasM
EHI_103700A	2770.99830147283	1867.80702855782	0.776069564030691	0.865906301697891	0.569060414984375	1220	2758	3124	2403	1530.34545015168	2161.11649443124	2535.33618837755	3070.03852335223	86.59	UP_pEhEx_DOWN_UmasM
EHI_050550A	17420.6678107405	13340.7868748339	0.774535638292921	0.864521022210325	0.38495616684188	10111	17502	17967	16195	12683.0515135112	13714.2352739433	14581.4293522982	20690.5009927963	86.45	UP_pEhEx_DOWN_UmasM
EHI_052400A	5412.814479294	4191.02201144582	0.768951668741042	0.860504594449341	0.369076842871986	3747	4601	6313	4557	4700.16754239209	3605.25634187025	5123.42425007282	5821.95819846697	86.05	UP_pEhEx_DOWN_UmasM
EHI_105140A	11785.433641621	6349.16803019763	0.766860333664405	0.859440526871459	0.892365378766553	1957	12819	11325	11496	2454.82462782528	10044.725287206	9190.99946650953	14687.1256198324	85.94	UP_pEhEx_DOWN_UmasM
EHI_167270A	11785.433641621	6349.16803019763	0.766860333664405	0.859440526871459	0.892365378766553	1957	12819	11325	11496	2454.82462782528	10044.725287206	9190.99946650953	14687.1256198324	85.94	UP_pEhEx_DOWN_UmasM
EHI_141940A	20952.2529120038	13173.1420784847	0.741475778064929	0.858867894976769	0.669505878974803	5774	23902	21731	19399	7242.79887637361	18729.1538977141	17636.1686010347	24783.8856905992	85.89	UP_pEhEx_DOWN_UmasM
EHI_175050A	2124.49695729191	1348.84777006758	0.741279996977081	0.858864747830043	0.655393741412949	919	1932	2205	1966	1152.77661367983	1513.87855955082	1789.50585639325	2511.73355676675	85.89	UP_pEhEx_DOWN_UmasM
EHI_058920A	4955.88389571547	3984.80691746049	0.744467465477515	0.858784270217859	0.314632568460366	3039	5198	5656	4253	3812.06542869751	4073.05421974387	4590.22454592299	5433.57213475533	85.88	UP_pEhEx_DOWN_UmasM
EHI_098780A	26170.0193711671	19769.6040653783	0.748167670508114	0.85838656962117	0.404631014412233	17215	22427	26466	24670	21594.1778068534	17573.3718711419	21478.9396804098	31518.0401044942	85.84	UP_pEhEx_DOWN_UmasM
EHI_029530A	5122.23161437988	3988.02916943531	0.736615033831032	0.858274324041585	0.361096527432871	2826	5541	5867	4382	3544.88216567922	4341.82251473659	4761.46524238511	5598.38069468559	85.83	UP_pEhEx_DOWN_UmasM
EHI_130930A	10593.122488255	7850.08066719225	0.735526630126965	0.857977849601758	0.432348524623927	7206	8323	11065	9757	9039.07320802706	6521.74495400697	8979.99197323867	12465.4040251135	85.8	UP_pEhEx_DOWN_UmasM
EHI_126110A	4234.00927189687	3062.23082467745	0.751614931411708	0.857925030453769	0.467441394323301	1944	4610	5202	3393	2438.51766811055	3612.30857118493	4221.7729999808	4334.84840188686	85.79	UP_pEhEx_DOWN_UmasM
EHI_148320A	23978.4821287471	17152.4618560373	0.752792677332246	0.857782241958569	0.483324678858494	16180	17502	23953	22797	20295.8929372575	13714.2352739433	19439.4711012188	29125.1220211656	85.78	UP_pEhEx_DOWN_UmasM
EHI_006850A	90.3990955479933	15.5799294221177	0.753304074774056	0.8577242012321	2.53661964047268	7	28	61	105	8.7806706156244	21.9402689789974	49.5056041904707	134.146502268824	85.77	UP_pEhEx_DOWN_UmasM
EHI_004840A	1528.04775237022	834.369152752	0.760719422960281	0.857695712774431	0.872931902679255	552	1221	1463	1494	692.41859711781	956.752443691279	1187.32293328949	1908.71308942498	85.77	UP_pEhEx_DOWN_UmasM
EHI_049000A	6419.00484384201	3143.09786471994	0.753990521817353	0.857658185210058	1.03016245651136	446	7168	6747	5885	559.454156366926	5616.70885862333	5475.64445037879	7518.59205573362	85.77	UP_pEhEx_DOWN_UmasM
EHI_006980A	7018.12351968335	5105.25585063655	0.7593746649994	0.857557381086112	0.45910207575628	3698	6967	7208	6544	4638.70284808272	5459.20907059553	5849.77696729366	8360.52105568748	85.76	UP_pEhEx_DOWN_UmasM
EHI_083140A	90.3307097526488	6.82140550619441	0.756267181148514	0.857506803348841	3.72707561155975	0	17	27	127	0.627190758258885	13.3208775943913	21.9123166088969	162.253388458483	85.75	UP_pEhEx_DOWN_UmasM
EHI_142210A	3094.27894468423	2120.05196182294	0.758218270836749	0.85749730299683	0.545503634245642	1469	2998	3306	2802	1842.68644776461	2349.17594282265	2683.04143366715	3579.79523197376	85.75	UP_pEhEx_DOWN_UmasM
EHI_159480A	109566.635398163	75485.3635890033	0.757131567845942	0.857487346506805	0.537539702035888	71788	76108	103259	108194	90049.5403077777	59636.7854090548	83801.6259525216	138227.111109268	85.75	UP_pEhEx_DOWN_UmasM
EHI_120950A	41.843000232878	11.8144547895306	0.733565149709509	0.857276597825019	1.82443324590061	8	17	43	39	10.0350521321422	13.3208775943913	34.8973931178728	49.825843699849	85.73	UP_pEhEx_DOWN_UmasM
EHI_125840A	15481.1810839885	9835.61431460727	0.733241357388048	0.857146653465777	0.654428472643335	10134	8690	14049	15639	12711.9022883911	6809.31919383883	11401.7087421627	19980.1633236394	85.71	UP_pEhEx_DOWN_UmasM
EHI_039020A	949.981621796201	195.885473748044	0.728854722974081	0.854657937331701	2.27788918771314	6	481	248	1359	7.52628909910663	376.902477817777	201.268685889127	1736.23901507935	85.47	UP_pEhEx_DOWN_UmasM
EHI_153330A	2739.30001777188	2007.74728829989	0.726779132035119	0.853049936652085	0.448229592560592	1577	2547	3026	2416	1978.15965154853	1995.7808960538	2455.80259476007	3086.64713791885	85.3	UP_pEhEx_DOWN_UmasM
EHI_153690A	1933.34195338756	1130.19412884769	0.72386630498501	0.85033894549625	0.774526232191889	630	1839	1996	1796	790.260355406196	1441.00552329915	1619.88829449475	2294.54398166484	85.03	UP_pEhEx_DOWN_UmasM
EHI_083590A	3953.49726205671	2697.96825108346	0.722542603018232	0.848933242975643	0.551256054366038	2365	3036	3915	3781	2966.61228656453	2378.95202215129	3177.28590829005	4830.55166741356	84.89	UP_pEhEx_DOWN_UmasM
EHI_159160A	14532.7108057097	7212.90481516821	1.0550307055421	0.848323271320501	1.01065154530162	5394	9577	12067	15410	6766.13390009686	7504.35557185207	9793.18238961329	19687.5961901198	84.83	UP_pEhEx_DOWN_UmasM
EHI_121800A	4835.25380174031	3593.01246609441	0.717674159806545	0.842905050681448	0.428397677699517	3109	4107	5130	4402	3899.87213485375	3218.16731059794	4163.34015569041	5623.93240940347	84.29	UP_pEhEx_DOWN_UmasM
EHI_067520A	3693.12060789899	2039.71236509757	0.717521479667416	0.842699288078551	0.856474656593934	770	3896	3611	3562	965.873767718684	3052.83171222049	2930.56945461951	4550.76039125287	84.27	UP_pEhEx_DOWN_UmasM
EHI_118750A	23226.2237680419	8909.18581822408	1.05979584854698	0.841047320609696	1.38238911323096	2274	18730	19632	24403	2852.46356856141	14676.4727848793	15932.6888765135	31176.9247130106	84.1	UP_pEhEx_DOWN_UmasM
EHI_200080A	1872.15500822697	1208.64213923781	0.712167142588843	0.834695213912567	0.631312742726633	1029	1408	1930	1741	1290.75858049679	1103.28209722958	1566.32485389522	2224.27676619069	83.47	UP_pEhEx_DOWN_UmasM
EHI_161040A	1652.4806155612	932.115048114006	0.708993896431128	0.829478495056259	0.826053409859382	562	1450	1577	1619	704.962412282987	1136.19250069808	1279.84160341594	2068.41130641168	82.95	UP_pEhEx_DOWN_UmasM
EHI_009530A	15148.9852467689	11682.5293401632	0.708823389627645	0.829191404291581	0.374868497681662	10915	12086	16507	13509	13691.5742527915	9470.36038857723	13396.5411208541	17258.9057061861	82.92	UP_pEhEx_DOWN_UmasM
EHI_186720A	16038.9360445893	8986.29927583978	0.704122059954107	0.821078882546128	0.835779427990895	2061	19258	17410	14346	2585.28030554313	15090.2035713404	14129.3863763294	18328.2449671291	82.11	UP_pEhEx_DOWN_UmasM
EHI_123390A	12975.8102620254	9862.64381415415	0.703438083667289	0.819880744652545	0.39577829175962	8839	10794	13401	12051	11087.4782245006	8457.97369140349	10875.8131435492	15396.1857032533	81.99	UP_pEhEx_DOWN_UmasM
EHI_198580A	947.637234181616	434.03809965872	0.701909028599146	0.817200786565027	1.12651319817063	258	681	782	1008	323.630431261585	533.618684810615	634.645614376199	1287.80642178071	81.72	UP_pEhEx_DOWN_UmasM
EHI_174910A	1119.94333784298	504.951196715073	0.700389883421776	0.814547069858508	1.14920987879806	231	901	940	1181	289.762130315605	706.006512502737	762.873244902336	1508.8287540903	81.45	UP_pEhEx_DOWN_UmasM
EHI_197160A	1832.33181385797	863.095302222648	0.699939523316872	0.813763374784761	1.0860890078615	475	1414	1283	2098	595.831220345941	1107.98358343937	1041.24082256351	2680.3748739047	81.38	UP_pEhEx_DOWN_UmasM
