pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_126870A	55513.1989717573	23623.8648832343	1.69735459316124	0.99999311919392	1.23258582130223	11410	29134	68859	57090	13090.3271119097	33745.8846469055	49041.8440305545	62692.7942417314	100	UP_pEhEx_DOWN_U2AF84
EHI_092470A	15356.5444899099	7592.59987139397	1.68164564698442	0.99994501116958	1.01618773365211	4960	8100	18512	16144	5690.44894610625	9382.22233953231	13184.3712033812	17728.3669686199	99.99	UP_pEhEx_DOWN_U2AF84
EHI_049000A	5597.51661211676	2094.3422006347	1.65567034018016	0.999179395422709	1.41828971701708	951	2642	6747	5885	1091.05180398126	3060.2261013635	4805.25888662558	6462.55200757732	99.92	UP_pEhEx_DOWN_U2AF84
EHI_170060A	664.111300056406	221.015333444509	1.40123728928371	0.998709903446806	1.58727858330894	137	243	839	673	157.175706777532	281.466670185969	597.541456333017	739.048003585307	99.87	UP_pEhEx_DOWN_U2AF84
EHI_172280A	171.350167672661	19.1255136794334	1.40455626910765	0.998703665012039	3.16337720176629	17	16	135	227	19.5035548556061	18.532784868212	96.147910137017	249.277707004257	99.87	UP_pEhEx_DOWN_U2AF84
EHI_035670A	260.759352640928	44.1950798486282	1.41399609221144	0.998223492692741	2.56076132746853	28	48	284	294	32.1235021151159	55.5983546046359	202.266714658614	322.853065459258	99.82	UP_pEhEx_DOWN_U2AF84
EHI_010030A	668.777878854539	150.231754197426	1.64572805106174	0.998181892201066	2.15433734346355	124	135	704	770	142.261223652656	156.370372325538	501.393546196	845.567552393294	99.82	UP_pEhEx_DOWN_U2AF84
EHI_165810.mRNA	372.468634354188	963.206930461096	-1.60205535060183	0.998092181564814	-1.37072683150635	902	761	627	275	1034.83567527981	881.465580294332	446.553627080812	301.988411569034	99.81	DOWN_pEhEx_UP_U2AF84
EHI_023400A	850.95103168753	2349.50967447	-1.60734596678066	0.997859195662492	-1.46521168931373	2311	1748	1723	438	2651.33619242975	2024.70674685216	1227.13221604504	480.985179153588	99.79	DOWN_pEhEx_UP_U2AF84
EHI_148190A	1793.32681713536	587.598413406376	1.38558440640791	0.997558061374774	1.609736024377	440	572	1695	2191	504.797890380393	662.547059038578	1207.19042727588	2406.02403544637	99.76	UP_pEhEx_DOWN_U2AF84
EHI_010020A	903.70612420645	159.401466329372	1.37955675267116	0.996552840704691	2.50318879884654	140	135	610	1264	160.61751057558	156.370372325538	434.446112470966	1388.04855353912	99.66	UP_pEhEx_DOWN_U2AF84
EHI_135060A	1832.9286878621	532.819029034268	1.43425015684904	0.994911478357371	1.78243314462982	282	633	1817	2184	323.529557016525	733.203301348636	1294.07964977007	2398.33705769734	99.49	UP_pEhEx_DOWN_U2AF84
EHI_118270A	40531.0910162194	7486.11460257779	1.43445379105427	0.994864920070419	2.4367399710987	4325	8539	25137	58145	4961.93380885273	9890.71562435387	17902.7408675126	63851.331602478	99.49	UP_pEhEx_DOWN_U2AF84
