U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2
EHI_000010A	8.03087552877898	5.79149527131624	7.8342741593125	2.1962793568657
EHI_000130A	67.68880802828	78.7643356899009	168.080791054341	404.115401663288
EHI_000140A	134.230348123877	231.65981085265	339.010409075704	318.460506745526
EHI_000240A	782.436730089609	975.287803689655	1128.135478941	1805.3416313436
EHI_000250A	484.147067592104	455.211528325456	311.946552888989	305.282830604332
EHI_000260A	118.168597066319	122.779699751904	104.694391038085	62.5939616706724
EHI_000280A	45.8907173073085	39.3821678449504	52.7032988899204	77.9679171687323
EHI_000290A	17.2090189902407	22.0076820310017	17.805168543892	13.1776761411942
EHI_000300A	84.8978270185207	105.405213937956	128.197213516023	107.617688486419
EHI_000410A	17.2090189902407	17.3744858139487	27.0638561867159	23.0609332470898
EHI_000430A	20.6508227882888	26.6408782480547	24.9272359614489	13.1776761411942
EHI_000440A	324.676824949207	250.192595720862	388.152674256846	258.06282443172
EHI_000480A	24.0926265863369	19.6910839224752	24.2150292196932	20.8646538902241
EHI_000510A	10447.0217950088	10857.8953346637	8951.01433038541	11315.2312465721
EHI_000520A	16.061751057558	11.5829905426325	16.3807550603807	18.6683745333584
EHI_000540A	37.8598417785295	16.2161867596855	31.33709663725	12.0795364627613
EHI_000550A	318.940485285794	335.906725736342	276.336215801204	247.081427647391
EHI_000560A	26.3871624517024	60.2315508216889	44.8690247306079	45.0237268157468
EHI_000570A	64.2470042302319	49.8068593333197	47.7178516976307	45.0237268157468
EHI_000580A	149.144831248753	151.737176108485	133.182660708312	109.813967843285
EHI_000590A	12186.2799809558	11724.3030272526	9963.06011042023	10803.4981564224
EHI_000610A	1284.94008460464	1451.34871499185	1390.22755990709	2502.66032714846
EHI_000620A	3.44180379804813	10.4246914883692	17.805168543892	30.7479109961198
EHI_000650A	79.1614873551071	61.3898498759521	73.3572944008352	58.201402956941
EHI_000660A	22.9453586536542	17.3744858139487	23.5028224779375	9.88325710589564
EHI_000670A	18.3562869229234	4.63319621705299	7.8342741593125	10.9813967843285
EHI_000690A	0	24.3242801395282	131.046040483045	327.245624172989
EHI_000700A	76.8669514897417	72.9728404185846	56.2643325986988	57.1032632785082
EHI_000710A	30.9762341824332	25.4825791937915	32.7615101207614	28.5516316392541
EHI_000720A	143.408491585339	162.161867596855	155.261069702739	117.500945592315
EHI_000730A	443.992689948209	540.925658340937	652.381375448204	916.946631491429
EHI_000740A	121.610400864367	119.304802589115	88.3136359777045	86.7530345961951
EHI_000770A	11.4726793268271	8.10809337984274	5.69765393404545	4.3925587137314
EHI_000780A	22.9453586536542	31.2740744651077	19.9417887691591	31.8460506745526
EHI_000790A	49.3325211053566	60.2315508216889	50.5666786646534	43.925587137314
EHI_000800A	258.13528485361	235.134708015439	244.999119163954	231.707472149331
EHI_000900A	10.3254113941444	12.7412895968957	19.2295820274034	38.4348887451497
EHI_001050A	572.486698408673	494.593696170407	551.248018118898	542.481001145827
EHI_001060A	5.73633966341356	9.26639243410598	15.668548318625	17.5702348549256
EHI_001070A	474.968924130643	679.921544852527	635.288413646068	714.888930659785
EHI_001100A	22.9453586536542	18.532784868212	17.805168543892	20.8646538902241
EHI_001120A	41.3016455765776	77.6060366356376	74.7817078843466	98.8325710589564
EHI_001130A	1608.46964162116	1700.38301165845	1094.66176207848	1994.22165603405
