CDC5_1	CDC5_2	pEhEx_1	pEhEx_2
EHI_000010A	9.44022344528395	6.6022478157773	7.42834743558279	2.10352596674318
EHI_000130A	68.7787708156402	38.5131122587009	159.371817708867	387.048777880745
EHI_000140A	105.19106124745	136.446454859398	321.444852667037	305.011265177761
EHI_000240A	830.739663184988	706.440516288171	1069.68203072392	1729.09834466289
EHI_000250A	466.616758866893	479.763341279817	295.78328879866	292.390109377302
EHI_000260A	12.1374301439365	101.234466508585	99.2697339118792	59.9504900521806
EHI_000280A	55.2927373223774	39.6134868946638	49.9725191121024	74.6751718193828
EHI_000290A	16.1832401919153	25.3086166271463	16.8826078081427	12.6211558004591
EHI_000300A	47.2011172264198	66.022478157773	121.554776218628	103.072772370416
EHI_000410A	13.4860334932628	18.706368811369	25.6615638683769	22.0870226508034
EHI_000430A	9.44022344528395	24.2082419911834	23.6356509313998	12.6211558004591
EHI_000440A	316.921787091676	304.803774161719	368.040850217511	247.164301092323
EHI_000480A	14.8346368425891	26.4089912631092	22.9603466190741	19.9834966840602
EHI_000510A	9513.04802614757	10262.0938549899	8487.22459730951	10837.3657806608
EHI_000520A	21.5776535892205	13.2044956315546	15.5319991834913	17.879970717317
EHI_000540A	31.0178770345044	28.609740535035	29.7133897423312	11.5693928170875
EHI_000550A	289.94972010515	303.703399525756	262.018073182375	236.646671258607
EHI_000560A	76.8703909115979	62.7213542498844	42.5441716765196	43.1222823182351
EHI_000570A	80.9162009595767	69.3236020656617	45.2453889258225	43.1222823182351
EHI_000580A	146.997765076564	152.952074398841	126.281906404908	105.176298337159
EHI_000590A	13545.3720406331	12561.8768441523	9446.83202512434	10347.2442304097
EHI_000610A	1553.59105842387	1306.14469288794	1318.19401765978	2396.96783910385
EHI_000620A	1.34860334932628	1.10037463596288	16.8826078081427	29.4493635344045
EHI_000650A	36.4122904318095	67.1228527937359	69.556344169548	55.7434381186942
EHI_000660A	20.2290502398942	24.2082419911834	22.2850423067484	9.4658668503443
EHI_000670A	16.1832401919153	8.80299708770307	7.42834743558279	10.5176298337159
EHI_000690A	0	0	124.25599346793	313.425369044733
EHI_000700A	57.98994402103	66.022478157773	53.349040673731	54.6916751353226
EHI_000710A	21.5776535892205	31.9108644429236	31.0639983669826	27.3458375676613
EHI_000720A	121.374301439365	123.241959227843	147.216340087004	112.53863922076
EHI_000730A	350.636870824833	453.354350016708	618.578750090349	878.222091115276
EHI_000740A	155.089385172522	116.639711412066	83.7377347283879	83.0892756863555
EHI_000780A	10.7888267946102	38.5131122587009	18.9085207451198	30.5011265177761
EHI_000790A	79.5675976102505	61.6209796139215	47.9466061751253	42.0705193348635
EHI_000800A	300.73854689976	290.498903894201	232.304683440044	221.921989491405
EHI_000900A	16.1832401919153	8.80299708770307	18.2332164327941	36.8117044180056
EHI_001050A	540.789943079838	489.666713003483	522.685537740098	519.570913785565
EHI_001060A	0	3.30112390788865	14.8566948711656	16.8282077339454
EHI_001070A	596.082680402215	582.098182424365	602.371446594532	684.697702174904
EHI_001100A	33.715083733157	17.6059941754061	16.8826078081427	19.9834966840602
EHI_001120A	72.8245808636191	51.7176078902555	70.9069527941994	94.658668503443
EHI_001130A	3607.5139594478	2364.70509268424	1037.94272804461	1910.00157780281
EHI_001140A	17.5318435412416	22.0074927192577	38.4923458025654	31.5528895011477
EHI_001150A	74.1731842129454	85.8292216051049	77.6599959174565	49.4328602184647
EHI_001180A	16.1832401919153	11.0037463596288	7.42834743558279	4.20705193348635
EHI_001400A	1301.40223209986	1881.64062749653	1614.65261077077	2008.86729823973
EHI_001410A	14.8346368425891	22.0074927192577	23.6356509313998	14.7246817672022
EHI_001420A	9441.57204863328	8288.02175807244	8179.28583088898	11250.7086331259
EHI_001430A	12.1374301439365	14.3048702675175	8.1036517479085	16.8282077339454
EHI_001635A	126.76871483667	310.305647341533	370.066763154488	220.870226508034
EHI_001780A	7535.99551603525	4978.09485309608	4274.67629702174	2623.09688052874
EHI_001800A	14.8346368425891	11.0037463596288	8.1036517479085	1.05176298337159
EHI_001810A	633.843574183351	557.889940433182	571.982752539875	470.1380535671
EHI_001820A	0	28.609740535035	22.9603466190741	22.0870226508034
EHI_001830A	33.715083733157	34.1116137148494	47.2713018627996	41.018756351492
EHI_001840A	98.4480445008184	140.847953403249	112.775820158393	130.418609938077
EHI_001850A	151.043575124543	136.446454859398	158.696513396542	137.780950821678
EHI_001860A	14.8346368425891	8.80299708770307	5.40243449860567	0
EHI_001870A	12.1374301439365	2.20074927192577	8.77895606023421	3.15528895011477
EHI_001910A	14.8346368425891	13.2044956315546	14.8566948711656	9.4658668503443
EHI_001940A	401.883798099231	271.792535082832	888.700475020633	1315.75549219786
EHI_001950A	145.649161727238	192.565561293505	228.25285756609	280.820716560214
EHI_001990A	35.0636870824833	22.0074927192577	36.4664328655883	8.41410386697271
EHI_002110A	159.135195220501	154.052449034804	153.294078897936	93.6069055200714
EHI_002130A	90.3564244048607	129.84420704362	153.294078897936	124.108032037847
EHI_002140A	364.122904318095	279.495157534572	242.434248124929	244.009012142209
EHI_002150A	21.5776535892205	22.0074927192577	24.3109552437255	21.0352596674318
EHI_002160A	1487.50949430689	1511.914749813	1303.33732278862	1611.30089052527
EHI_002180A	767.355305766653	758.158124178427	529.438580863356	315.528895011477
EHI_002190A	353.334077523485	318.008269793273	124.931297780256	371.272333130171
EHI_002200A	141.603351679259	265.190287267055	170.851991018404	130.418609938077
EHI_002210A	14.8346368425891	15.4052449034804	18.2332164327941	21.0352596674318
