UmasM_1	UmasM_2	pEhEx_1	pEhEx_2
EHI_000010A	7.52628909910663	14.8880396643197	8.92724009992095	2.55517147178713
EHI_000130A	55.1927867267819	495.22321409737	191.529878507395	470.151550808831
EHI_000140A	122.929388618742	428.618826125413	386.306026142034	370.499863409133
EHI_000240A	777.716540241018	1346.97579910345	1285.52257438862	2100.35094980902
EHI_000250A	736.321950195932	246.044444978756	355.466469433216	355.168834578411
EHI_000260A	124.183770135259	111.268506964915	119.300390426216	72.8223869459331
EHI_000280A	60.210312792853	68.9551310768489	60.0559788540137	90.708587248443
EHI_000290A	27.596393363391	22.7238500139616	20.2891820452749	15.3310288307228
EHI_000300A	84.0435616066907	133.208775943913	146.082110725979	125.203402117569
EHI_000410A	21.3244857808021	28.2089172587109	30.8395567088178	26.8293004537648
EHI_000430A	32.6139194294621	41.5297948531022	28.4048548633849	15.3310288307228
EHI_000440A	353.735587658011	557.126115859541	442.304168586993	300.232647934987
EHI_000470A	11.2894336486599	9.40297241957031	7.30410553629896	6.38792867946782
EHI_000480A	20.0701042642843	19.5895258741048	27.5932875815739	24.2741289819777
EHI_000510A	11577.941397459	7871.85507725028	10199.7775978006	13164.2434226473
EHI_000520A	25.0876303303554	24.29101208389	18.6660474816529	21.7189575101906
EHI_000540A	40.1402085285687	27.4253362237467	35.7089603996838	14.0534430948292
EHI_000550A	316.104142162478	249.962350153577	314.888105342666	287.456790576052
EHI_000560A	70.2453649249952	53.2835103775651	51.1287387540927	52.3810151716361
EHI_000570A	77.7716540241018	65.8208069369922	54.3750078813367	52.3810151716361
EHI_000580A	166.832741696864	153.581882852982	151.763081698656	127.758573589356
EHI_000590A	15767.5756626284	8576.29442768309	11353.014705254	12568.8884697209
EHI_000610A	1212.98692647268	1106.41642136944	1584.17933409506	2911.61789210143
EHI_000620A	6.27190758258886	50.9327672726725	20.2891820452749	35.7724006050198
EHI_000650A	85.2979431232084	74.4401983215983	83.5914300265326	67.7120440023589
EHI_000660A	28.8507748799087	18.8059448391406	26.7817202997629	11.4982716230421
EHI_000670A	22.5788672973199	14.8880396643197	8.92724009992095	12.7758573589356
EHI_000690A	0	220.969851859902	149.328379853223	380.720549296282
EHI_000700A	75.2628909910663	54.0670914125293	64.1138152630687	66.4344582664653
EHI_000710A	35.1226824624976	61.9029017621712	37.3320949633058	33.2172291332326
EHI_000720A	204.464187192397	152.798301818018	176.921667434797	136.701673740611
EHI_000730A	316.104142162478	795.334750488655	743.395630138872	1066.78408947113
EHI_000740A	142.999492883026	72.8730362516699	100.634342944563	100.929273135592
EHI_000770A	13.7981966816955	7.83581034964193	6.49253825448797	5.11034294357425
EHI_000780A	32.6139194294621	25.8581741538184	22.7238838907079	37.0499863409133
EHI_000790A	55.1927867267819	68.1715500418848	57.6212770085807	51.1034294357425
EHI_000800A	421.472189549971	206.081812195583	279.179144942983	269.570590273542
EHI_000900A	11.2894336486599	30.5596603636035	21.9123166088969	44.7155007562747
EHI_000910A	12.5438151651777	6.26864827971354	7.30410553629896	2.55517147178713
EHI_001050A	519.313947838357	615.894693481855	628.153076121711	631.12735353142
EHI_001060A	10.0350521321422	20.373106909069	17.8544801998419	20.441371774297
EHI_001070A	544.401578168713	763.207928055124	723.918015375408	831.70831406671
EHI_001100A	28.8507748799087	32.1268224335319	20.2891820452749	24.2741289819777
EHI_001120A	48.9208791441931	55.6342534824577	85.2145645901546	114.982716230421
EHI_001130A	2740.82361359133	1130.70743345333	1247.3789121435	2320.09569638271
EHI_001140A	30.1051563964265	79.1416845313834	46.2593350632268	38.3275720768069
EHI_001150A	110.385573453564	87.7610759159896	93.3302374082645	60.0465295869975
EHI_001180A	13.7981966816955	3.91790517482096	8.92724009992095	5.11034294357425
EHI_001400A	2287.99188612841	1379.88620257194	1940.45737081009	2440.18875555671
EHI_001410A	27.596393363391	26.6417551887825	28.4048548633849	17.8862003025099
EHI_001420A	8705.40772463333	8395.28720860636	9829.70291729478	13666.3346168534
EHI_001430A	12.5438151651777	14.8880396643197	9.73880738173195	20.441371774297
EHI_001635A	185.64846444463	235.857891524222	444.738870432426	268.293004537648
EHI_001760A	10.0350521321422	7.83581034964193	7.30410553629896	5.11034294357425
EHI_001780A	7594.02570099859	4219.58387328218	5137.2208938636	3186.29882531855
EHI_001800A	18.8157227477666	3.91790517482096	9.73880738173195	1.27758573589356
EHI_001810A	608.375035511119	649.588677985316	687.397487693913	571.080823944423
EHI_001820A	8.7806706156244	25.0745931188542	27.5932875815739	26.8293004537648
EHI_001830A	40.1402085285687	84.6267517761328	56.8097097267697	49.825843699849
EHI_001840A	151.78016349865	84.6267517761328	135.531736062436	158.420631250802
EHI_001850A	150.525781982133	204.514650125654	190.718311225584	167.363731402057
EHI_001860A	18.8157227477666	6.26864827971354	6.49253825448797	0
EHI_001870A	8.7806706156244	8.61939138460612	10.5503746635429	3.83275720768069
EHI_001910A	21.3244857808021	31.3432413985677	17.8544801998419	11.4982716230421
EHI_001920A	10.0350521321422	7.83581034964193	6.49253825448797	5.11034294357425
EHI_001940A	349.972443108458	1554.62477336896	1068.02254286327	1598.25975560285
EHI_001950A	195.683516576772	275.820524307396	274.309741252117	341.115391483581
EHI_001990A	40.1402085285687	25.0745931188542	43.8246332177938	10.2206858871485
EHI_002110A	169.341504729899	134.775938013841	184.225772971096	113.705130494527
EHI_002120A	11.2894336486599	7.83581034964193	4.86940369086597	0
EHI_002130A	134.218822267401	161.417693202624	184.225772971096	150.75511683544
EHI_002140A	445.305438363809	253.880255328398	291.352654170148	296.399890727307
EHI_002150A	28.8507748799087	30.5596603636035	29.2164221451958	25.5517147178713
EHI_002160A	1688.39752123292	1038.24487132756	1566.32485389522	1957.26134738894
EHI_002180A	928.242322223151	448.991933034482	636.268748939821	383.275720768069
EHI_002190A	342.446154009352	238.992215664079	150.139947135034	450.987764770428
EHI_002200A	284.744604249534	158.283369062767	205.326522298182	158.420631250802
EHI_002210A	18.8157227477666	33.6939845034603	21.9123166088969	25.5517147178713
EHI_002670A	140.49072984999	318.133900195462	285.67168319747	360.279177521985
EHI_002780A	63.9734573424063	86.1939138460612	38.1436622451168	25.5517147178713
EHI_002790A	31.3595379129443	43.8805379579948	38.9552295269278	60.0465295869975
EHI_002990A	55.1927867267819	71.3058741817415	67.3600843903127	47.2706722280618
EHI_003000A	125.438151651777	76.7909414264909	81.1567281810996	76.6551441536138
EHI_003010A	760.155199009769	972.424064390563	994.981487500281	1374.68225182147
EHI_003020A	6.27190758258886	31.3432413985677	11.3619419453539	8.94310015125494
EHI_003040A	11.2894336486599	20.373106909069	15.4197783544089	15.3310288307228
EHI_003240.mRNA	150.525781982133	38.3954707132454	60.0559788540137	6.38792867946782
EHI_003260A	1448.81065157803	627.648409006318	1165.41061668059	1424.50809552132
EHI_003890A	61.4646943093708	32.9104034684961	28.4048548633849	12.7758573589356
EHI_003900A	30.1051563964265	54.0670914125293	30.8395567088178	31.9396433973391
EHI_003930A	206.972950225432	117.537155244629	111.184717608106	206.968889214757
EHI_003940A	10474.0856629234	10234.3518976673	10407.5388219442	12218.829978086
EHI_003950A	18.8157227477666	45.4477000279232	19.4776147634639	11.4982716230421
EHI_004170A	580.778642147728	858.804814320755	922.751999419102	1488.387382316
EHI_004190A	58.9559312763352	28.2089172587109	36.5205276814948	31.9396433973391
EHI_004200A	92997.3368715945	28763.6926314656	49930.8654461397	73903.2244784991
EHI_004210A	6.27190758258886	7.05222931467773	8.92724009992095	1.27758573589356
EHI_004230A	294.779656381676	486.603822712764	519.403060359037	693.729054590205
EHI_004350A	46.4121161111575	109.701344894987	65.7369498266907	93.2637587202301
EHI_004370A	311.086616096407	539.887333090329	267.005635715818	327.061948388752
EHI_004380A	472.9018317272	559.476858964434	537.257540558879	550.639452170126
EHI_004400A	91.5698507057973	115.186412139736	189.095176661962	290.011962047839
EHI_004430A	115.403099519635	25.0745931188542	64.1138152630687	77.9327298895074
EHI_004440A	129.20129620133	132.425194908949	152.574648980467	123.925816381676
EHI_004470A	20.0701042642843	14.8880396643197	14.6082110725979	6.38792867946782
EHI_004490A	407.673992868276	900.334609173857	331.119450978886	683.508368703056
EHI_004510A	11.2894336486599	7.05222931467773	9.73880738173195	2.55517147178713
EHI_004530A	173.104649279452	76.0073603915267	88.4608337173985	80.4879013612945
EHI_004550A	2778.45505908686	1113.46865068412	2075.98910687253	4522.65350506321
EHI_004560A	6.27190758258886	15.6716206992839	13.7966437907869	16.6086145666163
EHI_004570A	151.78016349865	108.134182825059	138.77800518968	111.14995902274
EHI_004580A	20.0701042642843	51.7163483076367	20.2891820452749	30.6620576614455
EHI_004590A	40.1402085285687	91.6789810908105	38.9552295269278	39.6051578127005
EHI_004600A	713.743082898612	720.110971132093	734.468390038951	1103.83407581204
EHI_004610A	87.806706156244	114.402831104772	111.996284889917	134.146502268824
EHI_004640A	142.999492883026	144.962491468376	155.0093508259	117.537887702208
