pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_134810A	890.245362843547	201.778335924655	2.28436442938954	1	2.14143172904869	149	187	1181	923	200.941899049616	205.770056925059	797.534392856662	970.777233651976	100	UP_pEhEx_DOWN_CDC5
EHI_135060A	1770.43137513332	303.270589447718	1.90549108157647	1	2.54542342326389	279	210	1817	2184	376.260334462032	231.078673552206	1227.02793549581	2297.05035568355	100	UP_pEhEx_DOWN_CDC5
EHI_140540A	8776.60821917384	3506.75295950223	7.43485631686936	0.999999999999999	1.32352770748774	2646	3177	12921	8262	3568.40446231733	3495.89021845408	8725.60701956048	8689.66576861607	100	UP_pEhEx_DOWN_CDC5
EHI_140550A	3362.91565501948	1106.31386491235	2.25628072685703	1	1.60395185420501	687	1193	4183	3669	926.490500987154	1312.74694070372	2824.79793845844	3858.91838599036	100	UP_pEhEx_DOWN_CDC5
EHI_140640A	37.7565962134266	0.0609275189815029	3.3448856139409	1	9.27541900131462	0	0	32	51	0.67430167466314	0.550187317981442	21.6097379944227	53.639912151951	100	UP_pEhEx_DOWN_CDC5
EHI_141810A	419.646832971477	172.792918402938	1.07390183489179	0.986024430818419	1.28013160045564	137	148	537	448	184.7586588577	162.855446122507	362.638415718905	471.189816550472	98.6	UP_pEhEx_DOWN_CDC5
EHI_141890A	119.407941377696	34.0328134331738	1.1027176966911	0.983738778335186	1.81090046164856	24	33	152	128	32.3664803838307	36.3123629867752	102.646255473508	134.625661871563	98.37	UP_pEhEx_DOWN_CDC5
EHI_143440A	259.527326678464	54.0801316279111	1.27982138066956	0.982389533589901	2.26271588558474	47	41	291	304	63.3843574183351	45.1153600744782	196.513554886781	319.735946944963	98.24	UP_pEhEx_DOWN_CDC5
EHI_144610A	1581.14157415796	489.040765673327	1.51900666513791	0.992344730748217	1.69293991514053	352	465	1654	1930	474.70837896285	511.674205722741	1116.95333258672	2029.90255790717	99.23	UP_pEhEx_DOWN_CDC5
EHI_147570A	2665.83978166326	885.150053021668	1.86547282594879	0.999999999999999	1.59059612573046	650	825	3071	3069	876.592177062081	907.809074669379	2073.85954315225	3227.86059596741	100	UP_pEhEx_DOWN_CDC5
EHI_148150A	203.122132321414	77.7954738185153	0.945752985169784	0.967485658530422	1.38458931919004	49	83	278	205	66.0815641169877	91.3310947849193	187.734598826547	215.611411591176	96.75	UP_pEhEx_DOWN_CDC5
EHI_148190A	1732.15906515502	416.131859829124	1.57718490197271	0.998219676587284	2.05745876651722	369	306	1695	2191	497.634635901397	336.714638604642	1144.64080939208	2304.41269656715	99.82	UP_pEhEx_DOWN_CDC5
EHI_151350A	73.3821789732053	8.99376758159897	1.10845159388565	0.982127746036054	3.02843223663537	10	4	99	75	13.4860334932628	4.40149854385153	66.8551269202452	78.8822237528692	98.21	UP_pEhEx_DOWN_CDC5
EHI_151890A	48.2338373889874	9.90304134510332	1.05837192814872	0.984195401858315	2.28410202499344	9	7	64	50	12.1374301439365	7.70262245174018	43.2194759888454	52.5881491685794	98.42	UP_pEhEx_DOWN_CDC5
EHI_152800A	1003.98639132543	69.6491221167217	1.77681413003819	0.999999999999997	3.84949073530376	72	38	755	1419	97.0994411514921	41.8142361665896	509.85475580591	1492.45167340428	100	UP_pEhEx_DOWN_CDC5
EHI_155420A	692.357401861575	255.666717074758	1.22196641109348	0.989138994125389	1.43725260239944	181	247	787	804	244.097206228057	271.792535082832	531.464493800333	845.617438630757	98.91	UP_pEhEx_DOWN_CDC5
EHI_155680A	515.92185392233	66.3151204509339	1.86926994395747	1	2.95974279831641	47	64	550	623	63.3843574183351	70.4239767016245	371.41737177914	655.2483386405	100	UP_pEhEx_DOWN_CDC5
EHI_155900A	108.456481821567	0.0609275189815029	3.77637142141394	0.999999999999998	10.7977346629132	0	0	82	153	0.67430167466314	0.550187317981442	55.3749536107081	160.919736455853	100	UP_pEhEx_DOWN_CDC5
EHI_158570A	7856.69740069406	677.507834247601	1.74161727815834	0.999999999999978	3.5356134622998	439	707	4325	12142	592.036870354236	777.964867625759	2920.69115080869	12770.5061440978	100	UP_pEhEx_DOWN_CDC5
EHI_159820A	105.116214745488	31.9730304016344	1.05425072310136	0.98363935922118	1.71705783574176	21	33	144	106	28.3206703358519	36.3123629867752	97.243820974902	111.486876237388	98.36	UP_pEhEx_DOWN_CDC5
EHI_160210A	69.4372827658978	16.5957903906322	1.10265872119715	0.983754541516456	2.06489315224177	11	17	86	76	14.8346368425891	18.706368811369	58.0761708600109	79.9339867362407	98.38	UP_pEhEx_DOWN_CDC5
EHI_166030A	321.101493959666	131.943646558021	1.08890824390319	0.986119289503756	1.28310749469056	93	128	435	327	125.420111487344	140.847953403249	293.757375861683	343.92649556251	98.61	UP_pEhEx_DOWN_CDC5
EHI_166800A	12.3029777647249	64.2058523926723	-1.26475461290253	0.968325055020001	-2.38369726354448	54	51	19	11	72.8245808636191	56.1191064341071	12.8307819341885	11.5693928170875	96.83	DOWN_pEhEx_UP_CDC5
EHI_167270A	9924.45728400321	2571.79699202616	2.43009654323979	1	1.94821144481881	1784	2532	11325	11496	2405.90837519808	2786.14857825802	7647.82133708865	12091.0672568398	100	UP_pEhEx_DOWN_CDC5
EHI_169350A	2440.39975318637	144.512651309939	1.76628342845176	0.999999999999997	4.07784978627461	133	100	1248	3834	179.364245460395	110.037463596288	842.779781782484	4032.45927824667	100	UP_pEhEx_DOWN_CDC5
EHI_170060A	641.512408040633	153.054876824326	1.92125061116209	1	2.06742815544848	116	138	839	673	156.437988521848	151.851699762878	566.580318041269	707.836487809079	100	UP_pEhEx_DOWN_CDC5
EHI_170120A	257.977230045008	91.6634429186345	1.13620961427188	0.975121342172993	1.49282535396272	63	91	346	265	84.9620110075556	100.134091872622	233.655292064695	278.717190593471	97.51	UP_pEhEx_DOWN_CDC5
EHI_171280A	1300.31003754076	480.195453171895	1.60616385472419	0.999799861705869	1.43716200287725	312	500	1594	1434	420.764244989799	550.187317981442	1076.43507384718	1508.22811815486	99.98	UP_pEhEx_DOWN_CDC5
EHI_172280A	165.498906837503	10.1257207647612	1.66868057910241	0.999999931621061	4.03072517762363	7	10	135	227	9.44022344528395	11.0037463596288	91.1660821639707	238.750197225351	100	UP_pEhEx_DOWN_CDC5
EHI_174180A	1061.36374867474	300.765453978047	2.13020488174211	1	1.81920840564483	194	315	1430	1086	261.629049769298	346.618010328308	965.685166625763	1142.21459994155	100	UP_pEhEx_DOWN_CDC5
EHI_177520A	2008.63077492198	451.816216025452	1.88885070958788	0.999999999999999	2.15240443707944	328	426	2107	2448	442.34189857902	468.759594920188	1422.86618607027	2574.71578329365	100	UP_pEhEx_DOWN_CDC5
EHI_178340A	3196.65201571098	278.021237033462	1.72055037432933	0.999999999997047	3.52329470784056	243	209	1876	4864	327.710613886286	229.978298916243	1266.87088992303	5115.77515111941	100	UP_pEhEx_DOWN_CDC5
EHI_179390A	275.736669885072	50.2018010693631	1.31326856749286	0.978479383949955	2.45748011317591	46	35	300	329	62.0357540690088	38.5131122587009	202.591293697713	346.030021529253	97.85	UP_pEhEx_DOWN_CDC5
EHI_181610A	90.80670504001	330.932303308465	-1.33163126241266	0.990472513001947	-1.8656653912296	279	262	139	82	376.260334462032	288.298154622275	93.8672994132735	86.2445646364703	99.05	DOWN_pEhEx_UP_CDC5
EHI_182550A	212.559056750602	41.1214362912963	1.2678842892867	0.985356261346203	2.36990116983094	32	36	220	261	43.1553071784409	39.6134868946638	148.566948711656	274.510138659985	98.54	UP_pEhEx_DOWN_CDC5
EHI_186720A	13511.6452092615	3286.93763539357	3.75196275828322	1	2.0393873623916	2057	3524	17410	14346	2774.07708956416	3877.7202171332	11757.0480775906	15088.5917594488	100	UP_pEhEx_DOWN_CDC5
EHI_186950A	269.865267886742	92.3500372624809	1.24382818582765	0.989403571613796	1.54705486304118	64	91	376	268	86.3106143568819	100.134091872622	253.914421434466	281.872479543586	98.94	UP_pEhEx_DOWN_CDC5
