CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000130A	5.30926995639391	12.1417563449779	15.523241124613	20.4250662119668	48.4651980715499	57.7123181065565
EHI_000140A	7.73636479360256	35.7794309314775	31.046482249226	41.1963199868482	38.1926832629062	4.67937714377485
EHI_000240A	82.0661441831173	144.409399932823	105.864894413785	137.090274914218	216.513004428337	256.065915923235
EHI_000250A	82.824611319745	48.4378577592205	46.9307289813881	37.9075381391587	36.6122963692687	79.4627563118803
EHI_000260A	11.0736201947644	12.2709239656692	4.24181588870238	12.7223929371149	7.50683774477811	6.06585926044888
EHI_000280A	6.82620422964932	5.6833753104152	9.74715140382676	6.40446991392178	9.35062245402186	7.45234137712291
EHI_000290A	3.18556197383635	1.67917906898631	2.88804486039311	2.16367226821682	1.5803868936375	9.79202994901033
EHI_000300A	7.1295910843004	16.1459525864068	13.3572074793181	15.5784403311611	12.9064929647062	3.81282582085358
EHI_000410A	1.82032112790648	2.45418479313384	2.79779345850583	3.28878184768956	2.76567706386562	7.88561703858354
EHI_000430A	3.18556197383635	3.10002289659011	2.70754205661854	3.02914117550355	1.5803868936375	1.2998269843819
EHI_000440A	42.9292399331279	33.454413759035	51.7140532814142	47.1680554471266	30.9492433337343	36.5684658272775
EHI_000480A	2.57878826453419	3.22919051728137	2.3465364490694	2.94259428477487	2.50227924825937	1.38648211667403
EHI_000510A	1300.46775246186	1329.78065501647	1420.64731710775	1087.72132267796	1357.0255460034	931.196051611195
EHI_000520A	1.97201455523202	1.29167620691255	3.42955327171682	1.99057848675947	2.23888143265312	1.55979238125828
EHI_000540A	3.03386854651081	2.45418479313384	4.78332430002609	3.8080631920616	1.44868798583437	9.18544402296544
EHI_000550A	30.7937657470847	36.8127718970076	30.414722436015	33.580193602725	29.6322542557031	14.8180276219537
EHI_000560A	4.85418967441729	9.55840393115284	9.83740280571404	5.45245411590638	5.39965521992812	1.03986158750552
EHI_000570A	9.70837934883458	4.65003434488517	8.66413458117934	5.79864167882107	5.39965521992812	16.377820003212
EHI_000580A	23.0574009534821	17.4376287933194	18.5015373868934	16.1842685662618	13.1698907803125	21.4038176761553
EHI_000590A	1828.36087955474	1469.41085298371	1541.49394423482	1210.7044544034	1295.65385496714	783.362395920826
EHI_000610A	189.161703874949	156.421988657109	187.181407514229	168.939530702369	300.141810883321	461.525234587867
EHI_000620A	0.606773709302161	0.775005724147528	1.53427383208384	2.16367226821682	3.68756941848749	6.93241058337014
EHI_000650A	10.3151530581367	9.42923631046159	4.87357570191338	8.91432974505329	6.98004211356561	5.89254899586462
EHI_000660A	2.27540140988311	2.32501717244258	1.26351962642199	2.8560473940462	1.18529017022812	2.2530334395953
EHI_000670A	2.42709483720865	0.645838103456273	1.98553084152026	0.9520157980154	1.31698907803125	11.8717531240214
EHI_000690A	0	12.658426827743	1.8050280377457	15.9246278940758	39.2462745253312	0
