logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_089770A	-6.18719897465219	-0.953481270118501	-9.62918375010026	3.84583244482733e-05	0.18040799998685	-2.61722520149824	0	0	0	51	35	47	0	0	0	4.41389142716231	4.60946177310937	4.07279121772996	81.96	UP_pEhEx_DOWN_CmasM
EHI_006680A	-6.10382572000511	-1.00320496086885	-8.33088247641262	9.42459156649462e-05	0.221053795192131	-2.69435282110213	0	0	0	80	60	14	0	0	0	6.92375125829382	7.90193446818749	1.21317185208978	77.89	UP_pEhEx_DOWN_CmasM
EHI_000130A	-1.91865440475332	4.30118824453081	-4.03722118707271	0.00552639739391639	0.444215247904029	-2.09677040695839	35	94	172	236	368	666	5.30926995639391	12.1417563449779	15.523241124613	20.4250662119668	48.4651980715499	57.7123181065565	55.58	UP_pEhEx_DOWN_CmasM
EHI_000240A	-0.865227515832093	7.18670167698822	-2.3892083248909	0.0501202450502895	0.444215247904029	-3.64007444344395	541	1118	1173	1584	1644	2955	82.0661441831173	144.409399932823	105.864894413785	137.090274914218	216.513004428337	256.065915923235	55.58	UP_pEhEx_DOWN_CmasM
EHI_000590A	0.584832832740412	10.3570786107907	2.24926743041778	0.0612875213612772	0.444215247904029	-3.83052220940658	12053	11376	17080	13989	9838	9040	1828.36087955474	1469.41085298371	1541.49394423482	1210.7044544034	1295.65385496714	783.362395920826	55.58	DOWN_pEhEx_UP_CmasM
EHI_000620A	-2.02157350361742	0.951481515841562	-4.08392409120624	0.00522108082243653	0.444215247904029	-2.68947261110599	4	6	17	25	28	80	0.606773709302161	0.775005724147528	1.53427383208384	2.16367226821682	3.68756941848749	6.93241058337014	55.58	UP_pEhEx_DOWN_CmasM
EHI_000730A	-0.872153703708645	6.56636505473071	-2.8488913537256	0.0261660764296651	0.444215247904029	-3.13495754076944	409	451	1062	916	835	2757	62.042611776146	58.2545969317558	95.8469888042964	79.2769519074642	109.968588015609	238.908199729394	55.58	UP_pEhEx_DOWN_CmasM
EHI_000900A	-1.05495110650454	1.71254058562557	-2.41091458591893	0.0485855272749836	0.444215247904029	-3.65077771071773	11	10	53	27	35	112	1.66862770058094	1.29167620691255	4.78332430002609	2.33676604967416	4.60946177310937	9.7053748167182	55.58	UP_pEhEx_DOWN_CmasM
EHI_001060A	-2.43206022240243	-0.288761391577706	-2.68408669440545	0.032954613804827	0.444215247904029	-3.77140668752462	5	0	7	22	16	22	0.758467136627702	0	0.631759813210993	1.9040315960308	2.10718252485	1.90641291042679	55.58	UP_pEhEx_DOWN_CmasM
EHI_001150A	0.843087721918865	2.97770424904106	2.32008846778529	0.0553484655313146	0.444215247904029	-3.7059673258733	79	100	85	115	47	36	11.9837807587177	12.9167620691255	7.67136916041921	9.95289243379736	6.18984866674686	3.11958476251657	55.58	DOWN_pEhEx_UP_CmasM
EHI_001180A	-2.25914378073158	0.580027242439732	-3.21691068572691	0.0158211350427152	0.444215247904029	-3.17594390092939	6	3	24	11	4	221	0.910160563953242	0.387502862073764	2.16603364529483	0.9520157980154	0.526795631212499	19.15078423656	55.58	UP_pEhEx_DOWN_CmasM
EHI_001940A	-1.39844008163519	6.75754776511375	-3.16916871388352	0.0168710429512842	0.444215247904029	-2.80007193032357	206	713	1132	1316	1251	3341	31.2488460290613	92.0965135528646	102.164586936406	113.895708198933	164.755333661709	289.514796987996	55.58	UP_pEhEx_DOWN_CmasM
EHI_002180A	0.840039647334456	5.90811346675915	2.61618692729359	0.0362703298905437	0.444215247904029	-3.38691312340389	569	654	788	784	300	387	86.3135601482325	84.4756239320805	71.1181046871804	67.8527623312794	39.5096723409374	33.5355361970531	55.58	DOWN_pEhEx_UP_CmasM
EHI_002200A	1.42630650174942	4.00415907804205	2.69268994001378	0.0325578073744444	0.444215247904029	-3.31523554401332	212	235	233	253	124	26	32.1590065930146	30.3543908624448	21.0285766397374	21.8963633543542	16.3306645675875	2.2530334395953	55.58	DOWN_pEhEx_UP_CmasM
EHI_002670A	-0.862785010480819	5.08564119407806	-2.4397537707258	0.0466212398887517	0.444215247904029	-3.57884655855846	166	187	295	352	282	955	25.1811089360397	24.1543450692646	26.624163556749	30.4645055364928	37.1390920004812	82.7556513389811	55.58	UP_pEhEx_DOWN_CmasM
EHI_002780A	-1.4649206184993	2.45839863141953	-2.29929357183383	0.0570285875919223	0.444215247904029	-3.73233973887348	20	22	67	47	20	520	3.03386854651081	2.8416876552076	6.04684392644808	4.06770386424762	2.6339781560625	45.0606687919059	55.58	UP_pEhEx_DOWN_CmasM
EHI_003020A	-1.24632368951583	0.379854097907439	-2.37270379773834	0.0513205856452563	0.444215247904029	-3.7806625467865	5	5	15	14	7	54	0.758467136627702	0.645838103456273	1.35377102830927	1.21165647020142	0.921892354621873	4.67937714377485	55.58	UP_pEhEx_DOWN_CmasM
EHI_004430A	1.39427074948849	2.96101406933489	3.79167191402964	0.00749160984460303	0.444215247904029	-2.37907016938426	91	172	73	79	61	22	13.8041018866242	22.2168307588958	6.58835233777179	6.83720436756515	8.03363337599061	1.90641291042679	55.58	DOWN_pEhEx_UP_CmasM
EHI_004490A	-1.402868659653	6.44308698041657	-2.31093240375613	0.0560818891086021	0.444215247904029	-3.72631346688675	337	199	1475	408	535	11430	51.1206850087071	25.7043565175597	133.120817783745	35.3111314172985	70.4589156746717	990.468162099009	55.58	UP_pEhEx_DOWN_CmasM
