logFC	logCPM	PValue	FDR	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_168450A	4.34193600707825	0.1006005794395	0.000670559430398696	0.275097006321065	15	9	0	1	2.37599415295936	0.906606687405082	0	0.15759781493759	72.49	DOWN_pEhEx_UP_UmasM
EHI_146540A	2.45048341272321	1.80224622600052	0.00075978555171151	0.287724943928905	22	73	10	6	3.4847914243404	7.353587575619	1.02482330451268	0.945586889625537	71.23	DOWN_pEhEx_UP_UmasM
EHI_101730A	3.20919076849767	2.07813730079427	0.000987551097188155	0.347265289389806	52	62	14	0	8.23677973025913	6.24551273545723	1.43475262631775	0	65.27	DOWN_pEhEx_UP_UmasM
EHI_128470A	2.92244624655347	0.0942480209650117	0.00111741540308272	0.366735735291749	9	15	3	0	1.42559649177562	1.51101114567514	0.307446991353803	0	63.33	DOWN_pEhEx_UP_UmasM
EHI_147990A	3.30117479405484	0.479816488361515	0.00124578821705843	0.383313462036164	15	18	0	3	2.37599415295936	1.81321337481016	0	0.472793444812769	61.67	DOWN_pEhEx_UP_UmasM
EHI_006850A	-2.49134046800245	2.7837033295807	0.00154192163488217	0.446522365207348	7	28	61	105	1.10879727138104	2.82055413859359	6.25142215752734	16.5477705684469	55.35	UP_pEhEx_DOWN_UmasM
EHI_172850A	1.8648107700076	2.00169539832978	0.00238411699538833	0.652055998238708	42	52	20	7	6.65278362828622	5.2381719716738	2.04964660902536	1.10318470456313	34.79	DOWN_pEhEx_UP_UmasM
EHI_120950A	-1.78563489677183	1.85547768845967	0.00385159449746953	0.997968405844343	8	17	43	39	1.26719688157833	1.71247929843182	4.40674020940452	6.14631478256599	0.2	UP_pEhEx_DOWN_UmasM
EHI_000010A	0.932044640455203	0.441148668124437	0.309639365705837	1	6	19	11	2	0.950397661183746	1.91394745118851	1.12730563496395	0.315195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_000130A	-0.21543435070908	5.26587742812827	0.831364162863809	1	44	632	236	368	6.9695828486808	63.6639362711124	24.1858299864992	57.9959958970329	0	UP_pEhEx_DOWN_UmasM
EHI_000140A	-0.417087070333119	5.37727812923625	0.558503708610573	1	98	547	476	290	15.5231617993345	55.1015397789533	48.7815892948035	45.703366331901	0	UP_pEhEx_DOWN_UmasM
EHI_000240A	-0.634194324635354	7.43830201172664	0.292093557242394	1	620	1719	1584	1644	98.2077583223204	173.161877294371	162.332011434808	259.090807757397	0	UP_pEhEx_DOWN_UmasM
EHI_000250A	0.488646124436518	5.74230425695895	0.463980589820055	1	587	314	438	278	92.9805711858098	31.6304999827995	44.8872607376553	43.8121925526499	0	DOWN_pEhEx_UP_UmasM
EHI_000260A	0.311897155525351	3.78325445256765	0.587503976383855	1	99	142	147	57	15.6815614095318	14.3042388457246	15.0649025763364	8.9830754514426	0	DOWN_pEhEx_UP_UmasM
EHI_000280A	-0.180678880099033	3.17769714304995	0.753746982702942	1	48	88	74	71	7.60318128946996	8.86459872129413	7.58369245339382	11.1894448605689	0	UP_pEhEx_DOWN_UmasM
EHI_000290A	0.498613190531677	1.5671625990129	0.4093870707471	1	22	29	25	12	3.4847914243404	2.92128821497193	2.5620582612817	1.89117377925107	0	DOWN_pEhEx_UP_UmasM
EHI_000300A	-0.285632979528108	3.97059204490034	0.618152076230207	1	67	170	180	98	10.6127738832185	17.1247929843182	18.4468194812282	15.4445858638838	0	UP_pEhEx_DOWN_UmasM
EHI_000410A	-0.181618584197036	1.86458627232687	0.772260926876306	1	17	36	38	21	2.69279337335395	3.62642674962033	3.89432855714818	3.30955411368938	0	UP_pEhEx_DOWN_UmasM
EHI_000430A	0.767374469444064	2.00194006024324	0.217387048566601	1	26	53	35	12	4.11838986512956	5.33890604805215	3.58688156579437	1.89117377925107	0	DOWN_pEhEx_UP_UmasM
EHI_000440A	0.324023703770792	5.71632312578841	0.573764413995008	1	282	711	545	235	44.668690075636	71.6219283050014	55.852870095941	37.0354865103335	0	DOWN_pEhEx_UP_UmasM
EHI_000470A	0.587092563060614	0.413610517759122	0.459609790593535	1	9	12	9	5	1.42559649177562	1.20880891654011	0.92234097406141	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_000480A	-0.363373949075294	1.64834166879211	0.570372462712506	1	16	25	34	19	2.53439376315665	2.51835190945856	3.48439923534311	2.9943584838142	0	UP_pEhEx_DOWN_UmasM
EHI_000510A	-0.235123914872066	10.3952085673048	0.674896704118989	1	9230	10046	12568	10304	1462.028402121	1011.97453129683	1287.99792911153	1623.88788511692	0	UP_pEhEx_DOWN_UmasM
EHI_000520A	0.324935343443978	1.62083727613684	0.605263608009739	1	20	31	23	17	3.16799220394582	3.12275636772861	2.35709360037916	2.67916285393902	0	DOWN_pEhEx_UP_UmasM
EHI_000540A	0.425468999969283	1.98777227855406	0.531133010838756	1	32	35	44	11	5.06878752631331	3.52569267324198	4.50922253985578	1.73357596431348	0	DOWN_pEhEx_UP_UmasM
EHI_000550A	-0.0635128691405645	5.21186211900155	0.906927897280207	1	252	319	388	225	39.9167017697173	32.1341703646912	39.7631442150919	35.4595083609576	0	UP_pEhEx_DOWN_UmasM
EHI_000560A	0.277724228993432	2.88696120456143	0.62037035099993	1	56	68	63	41	8.87037817104829	6.84991719372728	6.45638681842987	6.46151041244117	0	DOWN_pEhEx_UP_UmasM
EHI_000570A	0.451347791149509	3.02604804381556	0.412012219353689	1	62	84	67	41	9.82077583223204	8.46166241578076	6.86631614023494	6.46151041244117	0	DOWN_pEhEx_UP_UmasM
EHI_000580A	0.222476271446616	4.2619095183552	0.686908873336606	1	133	196	187	100	21.0671481562397	19.7438789701551	19.1641957943871	15.759781493759	0	DOWN_pEhEx_UP_UmasM
EHI_000590A	0.0519697741723789	10.5695167917975	0.928876260277333	1	12570	10945	13989	9838	1991.08310017995	1102.53446596096	1433.62532068279	1550.44730335601	0	DOWN_pEhEx_UP_UmasM
EHI_000610A	-0.920414963794242	7.74060159698124	0.112814100699442	1	967	1412	1952	2279	153.17242306078	142.236515846219	200.045509040875	359.165420242767	0	UP_pEhEx_DOWN_UmasM
EHI_000620A	0.101789245861152	1.94882909721991	0.956828244671126	1	5	65	25	28	0.791998050986455	6.54771496459226	2.5620582612817	4.41273881825251	0	DOWN_pEhEx_UP_UmasM
EHI_000650A	0.100056180813455	3.33099305384133	0.864316178484879	1	68	95	103	53	10.7711734934158	9.56973725594253	10.5556800364806	8.35268419169225	0	DOWN_pEhEx_UP_UmasM
EHI_000660A	0.292177556927264	1.57033800319444	0.655344565608041	1	23	24	33	9	3.64319103453769	2.41761783308022	3.38191690489184	1.41838033443831	0	DOWN_pEhEx_UP_UmasM
EHI_000670A	0.813495299012075	1.06727395970376	0.234022318002398	1	18	19	11	10	2.85119298355124	1.91394745118851	1.12730563496395	1.5759781493759	0	DOWN_pEhEx_UP_UmasM
EHI_000690A	-1.2085952174982	4.57327166778125	0.487116757141786	1	0	282	184	298	0	28.4070095386926	18.8567488030333	46.9641488514017	0	UP_pEhEx_DOWN_UmasM
EHI_000700A	0.00912212848427756	3.07421496546123	1	1	60	69	79	52	9.50397661183746	6.95065127010563	8.09610410565016	8.19508637675466	0	DOWN_pEhEx_UP_UmasM
EHI_000710A	0.498808920580076	2.4789009038908	0.42196078161888	1	28	79	46	26	4.43518908552415	7.95799203388905	4.71418720075832	4.09754318837733	0	DOWN_pEhEx_UP_UmasM
EHI_000720A	0.209873841248023	4.42037072724506	0.709256172220234	1	163	195	218	107	25.8191364621584	19.6431448937768	22.3411480383764	16.8629661983221	0	DOWN_pEhEx_UP_UmasM
EHI_000730A	-0.66365586114948	6.52615762746026	0.304941551546776	1	252	1015	916	835	39.9167017697173	102.245087524018	93.8738146933613	131.594175472887	0	UP_pEhEx_DOWN_UmasM
EHI_000740A	0.118422378922317	3.74088186196565	0.852081785757627	1	114	93	124	79	18.0575555624912	9.36826910318584	12.7078089759572	12.4502273800696	0	DOWN_pEhEx_UP_UmasM
EHI_000770A	0.848989949873768	0.363602437764741	0.329056725438798	1	11	10	8	4	1.7423957121702	1.00734076378342	0.819858643610142	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_000780A	0.00857356544165166	1.98089289769492	0.999999999999999	1	26	33	28	29	4.11838986512956	3.3242245204853	2.8695052526355	4.5703366331901	0	DOWN_pEhEx_UP_UmasM
EHI_000790A	0.213250224768892	2.92388119510418	0.713081640581868	1	44	87	71	40	6.9695828486808	8.76386464491579	7.27624546204001	6.30391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_000800A	0.216172606740479	5.22021815532688	0.716083780199043	1	336	263	344	211	53.2222690262898	26.4930620875041	35.2539216752361	33.2531389518314	0	DOWN_pEhEx_UP_UmasM
EHI_000900A	-0.585784876984281	1.86998150592428	0.434232518216256	1	9	39	27	35	1.42559649177562	3.92862897875535	2.76702292218423	5.51592352281563	0	UP_pEhEx_DOWN_UmasM
EHI_000910A	0.818345903589846	0.201926823504772	0.327481911708709	1	10	8	9	2	1.58399610197291	0.805872611026739	0.92234097406141	0.315195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_001050A	-0.118351439813283	6.24293220446213	0.821324659924947	1	414	786	774	494	65.5774386216784	79.1769840333771	79.3213237692813	77.8533205791692	0	UP_pEhEx_DOWN_UmasM
EHI_001060A	-0.255881949585528	1.27900277720517	0.69754885362375	1	8	26	22	16	1.26719688157833	2.6190859858369	2.25461126992789	2.52156503900143	0	UP_pEhEx_DOWN_UmasM
EHI_001070A	-0.216635757351862	6.49941604641012	0.687047294751329	1	434	974	892	651	68.7454308256243	98.1149903925055	91.4142387625309	102.596177524371	0	UP_pEhEx_DOWN_UmasM
EHI_001100A	0.494163228623398	1.84022487111368	0.422139327373992	1	23	41	25	19	3.64319103453769	4.13009713151204	2.5620582612817	2.9943584838142	0	DOWN_pEhEx_UP_UmasM
EHI_001120A	-0.89640183927433	3.29378755505296	0.107538367978067	1	39	71	105	90	6.17758479769435	7.15211942286231	10.7606446973831	14.1838033443831	0	UP_pEhEx_DOWN_UmasM
EHI_001130A	0.147361990910985	7.87028106611646	0.825569726644008	1	2185	1443	1537	1816	346.103148281081	145.359272213948	157.515341903599	286.197631926663	0	DOWN_pEhEx_UP_UmasM
EHI_001140A	0.41134249213749	2.68372709639646	0.559801365022515	1	24	101	57	30	3.80159064473498	10.1741417142126	5.84149283572227	4.72793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_001150A	0.385357052363034	3.50538502999289	0.508492308054667	1	88	112	115	47	13.9391656973616	11.2822165543743	11.7854680018958	7.40709730206671	0	DOWN_pEhEx_UP_UmasM
EHI_001180A	0.25220266917935	0.301924134602045	0.829062059703836	1	11	5	11	4	1.7423957121702	0.503670381891712	1.12730563496395	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_001400A	-0.227893797238855	7.98476886856431	0.688537312909468	1	1824	1761	2391	1910	288.920888999859	177.392708502261	245.035252108981	301.011826530796	0	UP_pEhEx_DOWN_UmasM
EHI_001410A	0.233004316562599	1.78040762181884	0.69339209766159	1	22	34	35	14	3.4847914243404	3.42495859686364	3.58688156579437	2.20636940912625	0	DOWN_pEhEx_UP_UmasM
EHI_001420A	-0.426061403105996	10.3181413615462	0.436940925181322	1	6940	10714	12112	10697	1099.2932947692	1079.26489431756	1241.26598642576	1685.8238263874	0	UP_pEhEx_DOWN_UmasM
EHI_001430A	-0.054747159250666	1.03326943862977	1	1	10	19	12	16	1.58399610197291	1.91394745118851	1.22978796541521	2.52156503900143	0	UP_pEhEx_DOWN_UmasM
EHI_001635A	-0.731198887855704	5.17125546193891	0.204466464338918	1	148	301	548	210	23.4431423091991	30.3209569898811	56.1603170872948	33.0955411368938	0	UP_pEhEx_DOWN_UmasM
EHI_001760A	0.489961675584406	0.26869654824096	0.500129144978612	1	8	10	9	4	1.26719688157833	1.00734076378342	0.92234097406141	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_001780A	0.52707668635494	9.31294676187875	0.386576732573058	1	6054	5385	6330	2494	958.951240134399	542.453001297374	648.713151756525	393.048950454348	0	DOWN_pEhEx_UP_UmasM
EHI_001800A	0.935157291433187	0.375905886740568	0.418514739967246	1	15	5	12	1	2.37599415295936	0.503670381891712	1.22978796541521	0.15759781493759	0	DOWN_pEhEx_UP_UmasM
EHI_001810A	0.0277710851781984	6.31566791032701	0.959090466921552	1	485	829	847	447	76.8238109456861	83.5085493176459	86.8025338922238	70.4462232771025	0	DOWN_pEhEx_UP_UmasM
EHI_001820A	-0.608775688579742	1.61007979179416	0.390496518874094	1	7	32	34	21	1.10879727138104	3.22349044410696	3.48439923534311	3.30955411368938	0	UP_pEhEx_DOWN_UmasM
EHI_001830A	0.267181660685814	2.92541418049898	0.685928465932441	1	32	108	70	39	5.06878752631331	10.879280248861	7.17376313158875	6.14631478256599	0	DOWN_pEhEx_UP_UmasM
EHI_001840A	-0.290513580643782	4.07885722127361	0.630125654313177	1	121	108	167	124	19.1663528338722	10.879280248861	17.1145491853617	19.5421290522611	0	UP_pEhEx_DOWN_UmasM
EHI_001850A	0.0193834493457035	4.50920474450036	0.976525868036348	1	120	261	235	131	19.0079532236749	26.2915939347474	24.0833476560479	20.6453137568242	0	DOWN_pEhEx_UP_UmasM
EHI_001860A	1.77435381877366	0.301285551277757	0.130864605549947	1	15	8	8	0	2.37599415295936	0.805872611026739	0.819858643610142	0	0	DOWN_pEhEx_UP_UmasM
EHI_001870A	0.225982350933455	0.34404760720912	0.906439299269127	1	7	11	13	3	1.10879727138104	1.10807484016177	1.33227029586648	0.472793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_001910A	0.857075839377056	1.52110847203398	0.182881588038835	1	17	40	22	9	2.69279337335395	4.0293630551337	2.25461126992789	1.41838033443831	0	DOWN_pEhEx_UP_UmasM
EHI_001920A	0.595412536089383	0.235214775777302	0.497566671694413	1	8	10	8	4	1.26719688157833	1.00734076378342	0.819858643610142	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_001940A	-0.443132134512023	7.17284001827277	0.572485623036527	1	279	1984	1316	1251	44.1934912450442	199.856407534631	134.866746873868	197.154866486925	0	UP_pEhEx_DOWN_UmasM
EHI_001950A	-0.347948006002183	5.10738946813168	0.528237351044939	1	156	352	338	267	24.7103391907774	35.4583948851765	34.6390276925285	42.0786165883364	0	UP_pEhEx_DOWN_UmasM
EHI_001990A	0.253991147883399	2.01360545877144	0.757647101734996	1	32	32	54	8	5.06878752631331	3.22349044410696	5.53404584436846	1.26078251950072	0	DOWN_pEhEx_UP_UmasM
EHI_002110A	0.0491126475674742	4.26729678619661	0.940175956178843	1	135	172	227	89	21.3839473766343	17.3262611370749	23.2634890124378	14.0262055294455	0	DOWN_pEhEx_UP_UmasM
EHI_002120A	1.74413374509109	0.0195807361259441	0.071283629461222	1	9	10	6	0	1.42559649177562	1.00734076378342	0.614893982707607	0	0	DOWN_pEhEx_UP_UmasM
EHI_002130A	-0.150823586702511	4.33292112643265	0.788189842969892	1	107	206	227	118	16.9487582911101	20.7512197339385	23.2634890124378	18.5965421626356	0	UP_pEhEx_DOWN_UmasM
EHI_002140A	0.275026484390851	5.34982495596156	0.627528105582496	1	355	324	359	232	56.2318616200383	32.6378407465829	36.7911566320051	36.5626930655208	0	DOWN_pEhEx_UP_UmasM
EHI_002150A	0.142364988383985	1.94771203241064	0.815278701968961	1	23	39	36	20	3.64319103453769	3.92862897875535	3.68936389624564	3.15195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_002160A	-0.341601636520107	7.61985323418258	0.545635169035522	1	1346	1325	1930	1532	213.205875325554	133.472651201304	197.790897770947	241.439852484387	0	UP_pEhEx_DOWN_UmasM
EHI_002180A	0.453028606973086	6.24552461724951	0.465866467678356	1	740	573	784	300	117.215711545995	57.7206257647902	80.346147073794	47.2793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_002190A	-0.010584541715461	5.22254559424164	0.991364854016316	1	273	305	185	353	43.2430935838604	30.7238932953944	18.9592311334845	55.6320286729691	0	UP_pEhEx_DOWN_UmasM
EHI_002200A	0.304126273912776	4.68240310603327	0.606465994483677	1	227	202	253	124	35.956711514785	20.3482834284252	25.9280296041708	19.5421290522611	0	DOWN_pEhEx_UP_UmasM
EHI_002210A	0.205119164903471	1.77370300632917	0.811020360047095	1	15	43	27	20	2.37599415295936	4.33156528426872	2.76702292218423	3.15195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_002670A	-0.453598452412604	5.13145480309428	0.467366929315912	1	112	406	352	282	17.7407563420966	40.898035009607	36.0737803188463	44.4425838124003	0	UP_pEhEx_DOWN_UmasM
EHI_002780A	1.25471957847087	2.818290387533	0.0313960684173677	1	51	110	47	20	8.07838012006184	11.0807484016177	4.81666953120959	3.15195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_002790A	-0.341282649184967	2.51721088912819	0.556879947104463	1	25	56	48	47	3.95999025493227	5.64110827718717	4.91915186166085	7.40709730206671	0	UP_pEhEx_DOWN_UmasM
EHI_002990A	0.168138589237244	2.9796086644727	0.767302814966421	1	44	91	83	37	6.9695828486808	9.16680095042916	8.50603342745523	5.83111915269081	0	DOWN_pEhEx_UP_UmasM
EHI_003000A	0.37745025055102	3.53414891676922	0.515780085031029	1	100	98	100	60	15.8399610197291	9.87193948507756	10.2482330451268	9.45586889625537	0	DOWN_pEhEx_UP_UmasM
EHI_003010A	-0.417042694016004	7.01455697307553	0.445935819642574	1	606	1241	1226	1076	95.9901637795583	125.010988785523	125.643337133254	169.575248872846	0	UP_pEhEx_DOWN_UmasM
EHI_003020A	0.940050775374033	1.09558478464303	0.303666747016421	1	5	40	14	7	0.791998050986455	4.0293630551337	1.43475262631775	1.10318470456313	0	DOWN_pEhEx_UP_UmasM
EHI_003040A	0.10379027406905	1.16022123892253	0.941973194925463	1	9	26	19	12	1.42559649177562	2.6190859858369	1.94716427857409	1.89117377925107	0	DOWN_pEhEx_UP_UmasM
EHI_003240.mRNA	1.49432619703073	3.05197526749661	0.168408536782823	1	120	49	74	5	19.0079532236749	4.93596974253878	7.58369245339382	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_003260A	-0.292990692790952	7.19813803799931	0.636162363012784	1	1155	801	1436	1115	182.951549777871	80.6879951790523	147.164626528021	175.721563655412	0	UP_pEhEx_DOWN_UmasM
EHI_003890A	1.17490953883356	2.17774296405097	0.081933854558374	1	49	42	35	10	7.76158089966726	4.23083120789038	3.58688156579437	1.5759781493759	0	DOWN_pEhEx_UP_UmasM
EHI_003900A	0.469706828801455	2.29750136128582	0.456732014492744	1	24	69	38	25	3.80159064473498	6.95065127010563	3.89432855714818	3.93994537343974	0	DOWN_pEhEx_UP_UmasM
EHI_003930A	0.0600075549074538	4.35122410983761	0.930556199144248	1	165	150	137	162	26.135935682553	15.1101114567514	14.0400792718237	25.5308460198895	0	DOWN_pEhEx_UP_UmasM
EHI_003940A	-0.0968251068401985	10.4148933534454	0.856944217301659	1	8350	13061	12824	9564	1322.63674514738	1315.68777157753	1314.23340570706	1507.26550206311	0	UP_pEhEx_DOWN_UmasM
EHI_003950A	1.0756135386722	1.72937097320432	0.146239426803737	1	15	58	24	9	2.37599415295936	5.84257642994386	2.45957593083043	1.41838033443831	0	DOWN_pEhEx_UP_UmasM
EHI_004170A	-0.706800831117595	6.92130578940593	0.220346014018673	1	463	1096	1137	1165	73.3390195213457	110.404547710663	116.522409723091	183.601454402292	0	UP_pEhEx_DOWN_UmasM
EHI_004190A	0.352031843744663	2.35942353797142	0.579784229160016	1	47	36	45	25	7.44478167927267	3.62642674962033	4.61170487030705	3.93994537343974	0	DOWN_pEhEx_UP_UmasM
EHI_004200A	0.001829160114817	12.9136120142806	0.997945006330538	1	74138	36708	61524	57846	11743.4303008068	3697.74647569619	6305.1228986838	9116.4032028798	0	DOWN_pEhEx_UP_UmasM
EHI_004210A	0.305678177260642	0.0245507807987919	0.787477372339898	1	5	9	11	1	0.791998050986455	0.906606687405082	1.12730563496395	0.15759781493759	0	DOWN_pEhEx_UP_UmasM
EHI_004230A	-0.597282587335282	5.97698099324502	0.292187010443469	1	235	621	640	543	37.2239083963634	62.5558614309506	65.5886914888114	85.5756135111111	0	UP_pEhEx_DOWN_UmasM
EHI_004350A	0.0231731513240135	3.35169676205272	0.988767340330346	1	37	140	81	73	5.86078557729976	14.1027706929679	8.30106876655269	11.504640490444	0	DOWN_pEhEx_UP_UmasM
EHI_004370A	0.555221980164206	5.52216377974745	0.333569562385869	1	248	689	329	256	39.2831033289281	69.4057786246779	33.7166867184671	40.3450406240229	0	DOWN_pEhEx_UP_UmasM
EHI_004380A	-0.0440663715721125	6.06838219284005	0.934229093057602	1	377	714	662	431	59.7166530443787	71.9241305341365	67.8433027587393	67.9246582381011	0	UP_pEhEx_DOWN_UmasM
EHI_004400A	-1.1724381828158	4.44218216237697	0.0417501049483732	1	73	147	233	227	11.5631715444022	14.8079092276163	23.8783829951454	35.7747039908328	0	UP_pEhEx_DOWN_UmasM
EHI_004430A	-0.00200331527505594	3.18140640628916	1	1	92	32	79	61	14.5727641381508	3.22349044410696	8.09610410565016	9.61346671119296	0	UP_pEhEx_DOWN_UmasM
EHI_004440A	-0.0530934964879061	4.10689347785991	0.928736565471059	1	103	169	188	97	16.315159850321	17.0240589079399	19.2666781248384	15.2869880489462	0	UP_pEhEx_DOWN_UmasM
EHI_004470A	0.690856277972996	1.01685229062701	0.322189222922316	1	16	19	18	5	2.53439376315665	1.91394745118851	1.84468194812282	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_004490A	0.40876632340748	6.20159171827193	0.540232962556197	1	325	1149	408	535	51.4798733141196	115.743453758715	41.8127908241173	84.3148309916104	0	DOWN_pEhEx_UP_UmasM
EHI_004510A	0.481443723647687	0.291668011118157	0.563712735620034	1	9	9	12	2	1.42559649177562	0.906606687405082	1.22978796541521	0.315195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_004530A	0.576741821442837	3.74409113257155	0.366063971520495	1	138	97	109	63	21.8591462072261	9.77120540869921	11.1705740191882	9.92866234106814	0	DOWN_pEhEx_UP_UmasM
EHI_004550A	-0.73132129589898	8.36062278988541	0.296217544423276	1	2215	1421	2558	3540	350.855136586999	143.143122533625	262.149801294343	557.896264879067	0	UP_pEhEx_DOWN_UmasM
EHI_004560A	-0.372550738674414	0.934079218775438	0.578083833437484	1	5	20	17	13	0.791998050986455	2.01468152756685	1.74219961767155	2.04877159418866	0	UP_pEhEx_DOWN_UmasM
EHI_004570A	0.0773323270656298	4.02851475723697	0.89475042322952	1	121	138	171	87	19.1663528338722	13.9013025402113	17.5244785071668	13.7110098995703	0	DOWN_pEhEx_UP_UmasM
EHI_004580A	0.560776310453059	2.05430136057307	0.443448327012892	1	16	66	25	24	2.53439376315665	6.6484490409706	2.5620582612817	3.78234755850215	0	DOWN_pEhEx_UP_UmasM
EHI_004590A	0.790099955771983	2.79648748682171	0.217898191486849	1	32	117	48	31	5.06878752631331	11.7858869362661	4.91915186166085	4.88553226306528	0	DOWN_pEhEx_UP_UmasM
EHI_004600A	-0.324706049671314	6.68840401041823	0.548710182778054	1	569	919	905	864	90.1293782022585	92.5746161916967	92.7465090583974	136.164512106077	0	UP_pEhEx_DOWN_UmasM
EHI_004610A	-0.245860571410121	3.8451961625133	0.662958444281276	1	70	146	138	105	11.0879727138104	14.707175151238	14.142561602275	16.5477705684469	0	UP_pEhEx_DOWN_UmasM
EHI_004640A	0.104603016168278	4.16595551815419	0.85024407027262	1	114	185	191	92	18.0575555624912	18.6358041299933	19.5741251161922	14.4989989742582	0	DOWN_pEhEx_UP_UmasM
EHI_004750A	-0.0523024492693999	5.56529042815213	0.92248383217125	1	285	470	473	301	45.1438889062279	47.3450158978209	48.4741423034497	47.4369422962145	0	UP_pEhEx_DOWN_UmasM
EHI_004760A	-0.240361668094223	6.28046169184911	0.651539881512072	1	503	620	737	586	79.6750039292373	62.4551273545723	75.5294775425844	92.3523195534275	0	UP_pEhEx_DOWN_UmasM
EHI_004770A	-0.0349957585058267	5.35537630718494	0.955886263578125	1	325	288	416	252	51.4798733141196	29.0114139969626	42.6326494677274	39.7146493642726	0	UP_pEhEx_DOWN_UmasM
EHI_004780A	0.191692683651589	4.88985414348105	0.735214644047903	1	238	249	303	151	37.6991072269552	25.0827850182073	31.0521461267341	23.797270055576	0	DOWN_pEhEx_UP_UmasM
EHI_004790A	-0.171874802965542	9.37896561666783	0.755803583998291	1	4625	5156	6325	4836	732.598197162471	519.384897806733	648.200740104269	762.143033038183	0	UP_pEhEx_DOWN_UmasM
EHI_004800A	0.073485704959833	3.81355897308999	0.90047701725755	1	99	126	165	63	15.6815614095318	12.6924936236711	16.9095845244592	9.92866234106814	0	DOWN_pEhEx_UP_UmasM
EHI_004810A	0.189656424530017	6.90386025373461	0.731131319699816	1	982	985	1081	714	155.54841721374	99.2230652326673	110.783399217821	112.524839865439	0	DOWN_pEhEx_UP_UmasM
EHI_004820A	-0.142516868735999	4.82756416268348	0.800088415718522	1	188	236	266	202	29.7791267170907	23.7732420252888	27.2602999000372	31.8347586173931	0	UP_pEhEx_DOWN_UmasM
EHI_004830A	-0.0933070957471704	4.50740164331485	0.867576390234572	1	142	209	212	157	22.4927446480153	21.0534219630736	21.7262540556688	24.7428569452016	0	UP_pEhEx_DOWN_UmasM
