logFC	logCPM	PValue	FDR	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_088600A	10.6263944779354	3.63501783029355	7.174241985755e-14	3.53187932958719e-10	220	140	0	0	34.847914243404	14.1027706929679	0	0	100	DOWN_pEhEx_UP_UmasM
EHI_195110A	10.7761752671116	3.77607345399579	3.33821139877566e-08	8.21700735808628e-05	309	53	0	0	48.9454795509629	5.33890604805215	0	0	99.99	DOWN_pEhEx_UP_UmasM
EHI_013100A	7.0382396611393	0.329616520519487	1.288973175017e-06	0.0021152049802029	12	21	0	0	1.90079532236749	2.11541560394519	0	0	99.79	DOWN_pEhEx_UP_UmasM
EHI_022240A	3.66180212075031	1.22865720535262	8.96468832222282e-06	0.0110332901525757	24	40	5	0	3.80159064473498	4.0293630551337	0.512411652256339	0	98.9	DOWN_pEhEx_UP_UmasM
EHI_159450A	3.8323426253082	0.771947352039249	1.76217930689849e-05	0.0173504174557225	22	21	3	0	3.4847914243404	2.11541560394519	0.307446991353803	0	98.26	DOWN_pEhEx_UP_UmasM
EHI_018630A	6.51717807017256	-0.0761972959202893	4.16663664701472e-05	0.0341872536887557	8	15	0	0	1.26719688157833	1.51101114567514	0	0	96.58	DOWN_pEhEx_UP_UmasM
EHI_156560A	7.49996694619277	0.675370089218732	6.68828039075318e-05	0.0411580054545974	30	9	0	0	4.75198830591873	0.906606687405082	0	0	95.88	DOWN_pEhEx_UP_UmasM
EHI_166800A	2.31365309783107	2.53517992287492	6.31917923975298e-05	0.0411580054545974	61	88	19	11	9.66237622203475	8.86459872129413	1.94716427857409	1.73357596431348	95.88	DOWN_pEhEx_UP_UmasM
EHI_055340A	6.4004601613904	-0.162648992936975	8.30697274520362e-05	0.0454391409162638	8	13	0	0	1.26719688157833	1.30954299291845	0	0	95.46	DOWN_pEhEx_UP_UmasM
EHI_098180A	3.66515298240382	2.4795135461374	0.000156313653093186	0.0769532114177754	69	89	14	0	10.9295731036131	8.96533279767247	1.43475262631775	0	92.3	DOWN_pEhEx_UP_UmasM
EHI_152290A	3.2340718251729	2.11710538450913	0.000211429052004514	0.0946241111834746	20	113	6	6	3.16799220394582	11.3829506307527	0.614893982707607	0.945586889625537	90.54	DOWN_pEhEx_UP_UmasM
