EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2
EHI_000010A	0.78952918233041	1.30186626686979	1.0341749531492	0.286525331435681
EHI_000130A	10.2638793702953	8.85269061471458	22.1877535402919	52.7206609841653
EHI_000140A	31.7127554902715	4.16597205398333	44.7515706999107	41.5461730581737
EHI_000240A	124.87719900526	70.6913382910296	148.921193253484	235.52382244013
EHI_000250A	60.6621588423865	89.1778392805807	41.1789663163044	39.8270210695596
EHI_000260A	11.9745259320112	11.1960498950802	13.8203380102665	8.1659719459169
EHI_000280A	5.26352788220273	7.03007784109687	6.95717695754914	10.1716492659667
EHI_000290A	1.84223475877096	3.38485229386146	2.35039762079363	1.71915198861409
EHI_000300A	15.2642308583879	9.89418362821041	16.9228628697141	14.0397412403484
EHI_000410A	2.5001757440463	1.56223952024375	3.57260438360631	3.00851598007465
EHI_000430A	2.76335213815643	2.86410578711354	3.29055666911108	1.71915198861409
EHI_000440A	29.8705207315005	43.2219600600771	51.2386681333011	33.6667264436925
EHI_000480A	3.15811672932164	2.34335928036562	3.19654076427933	2.72199064863897
EHI_000510A	1590.63812600167	1175.97579886348	1181.59189192537	1476.17850755663
EHI_000520A	2.10541115288109	3.1244790404875	2.16236581113014	2.43546531720329
EHI_000540A	2.76335213815643	5.07727844079218	4.13669981259679	1.57588932289624
EHI_000550A	33.1602256578772	26.2976985907698	36.4781710747171	32.2340997865141
EHI_000560A	8.68482100563451	5.98858482760104	5.92300200439994	5.87376929443146
EHI_000570A	5.13193968514766	9.37343712146249	6.29906562372692	5.87376929443146
EHI_000580A	23.5542872728572	24.9958323239	17.5809742035363	14.326266571784
EHI_000590A	1661.6957524114	1773.79278861009	1315.18849269128	1409.41810533211
EHI_000610A	236.858754699123	175.361386147361	183.519046231566	326.495615170958
EHI_000620A	1.18429377349561	0.260373253373958	2.35039762079363	4.01135464009953
EHI_000650A	6.97417444391862	8.33194410796666	9.68363819766975	7.59292128304554
EHI_000660A	3.02652853226657	2.73391916042656	3.10252485944759	1.28936399146056
EHI_000670A	1.31588197055068	4.29615868067031	1.0341749531492	1.4326266571784
EHI_000690A	2.23699934993616	0	17.2989264890411	42.6922743839164
EHI_000700A	10.3954675673504	8.59231736134062	7.42725648170787	7.4496586173277
EHI_000710A	3.02652853226657	3.77541217392239	4.32473162226028	3.72482930866385
EHI_000720A	19.6066413612052	16.0129550824984	20.4954672533204	15.3291052318089
EHI_000730A	124.35084621704	58.3236087557666	86.1185688258785	119.624325874397
EHI_000740A	14.3431134790024	22.7826596702213	11.6579721991364	11.3177505917094
EHI_000780A	3.68446951754191	4.42634530735729	2.63244533528886	4.15461730581737
EHI_000790A	7.8952918233041	10.4149301349583	6.6751292430539	5.73050662871362
EHI_000800A	30.791638110886	38.2748682459719	32.3414712621203	30.2284224664643
EHI_000900A	2.10541115288109	2.34335928036562	2.53842943045712	5.01419330012442
EHI_001050A	77.2422716713251	58.0632355023927	72.7683103397707	70.7717568646132
EHI_001060A	0.394764591165205	0.390559880060937	2.06834990629839	2.29220265148545
EHI_001070A	84.4796225093539	58.4537953824536	83.8621871099167	93.2639953823141
EHI_001100A	3.02652853226657	4.68671856073125	2.35039762079363	2.72199064863897
EHI_001120A	16.1853482377734	3.64522554723541	9.87167000733324	12.8936399146056
EHI_001130A	208.698880529338	322.993020810395	144.502445726392	260.165000943598
EHI_001140A	2.5001757440463	2.4735459070526	5.35890657540947	4.29787997153521
EHI_001150A	10.2638793702953	11.1960498950802	10.8118290556507	6.7333452887385
EHI_001180A	0.921117379385478	1.43205289355677	1.0341749531492	0.573050662871362
EHI_001400A	277.651095786194	264.148665547881	224.792028452703	273.631691521075
EHI_001410A	2.63176394110137	2.21317265367864	3.29055666911108	2.00567732004977
EHI_001420A	1358.77972279064	951.664241081817	1138.7206393221	1532.48073518374
EHI_001430A	1.18429377349561	1.43205289355677	1.12819085798094	2.29220265148545
EHI_001635A	70.3996854244616	8.7225039880276	51.5207158477963	30.0851598007465
EHI_001760A	1.31588197055068	1.43205289355677	0.846143143485706	0.573050662871362
EHI_001780A	416.081879088126	968.718689177811	595.120677584947	357.297088300294
EHI_001800A	0.921117379385478	2.08298602699167	1.12819085798094	0.14326266571784
EHI_001810A	65.9256867245892	69.9102185309078	79.6314713924881	64.0384115758747
EHI_001820A	3.28970492637671	1.95279940030469	3.19654076427933	3.00851598007465
EHI_001830A	4.34241050281725	5.46783832085312	6.58111333822216	5.58724396299578
EHI_001840A	22.1068171052515	18.3563143628641	15.7006561069014	17.7645705490122
EHI_001850A	28.4230505638948	18.616687616238	22.0937376354601	18.7674092090371
EHI_001870A	1.44747016760575	0.650933133434895	1.22220676281269	0.429787997153521
EHI_001910A	2.23699934993616	2.86410578711354	2.06834990629839	1.28936399146056
EHI_001940A	66.4520395128095	33.4579630585536	123.724930758577	179.221594813018
EHI_001950A	31.0548145049961	19.5279940030469	31.7773758331299	38.2511317466634
EHI_001990A	5.26352788220273	2.4735459070526	5.07685886091424	1.14610132574272
EHI_002110A	17.369642011269	18.0959411094901	21.3416103968061	12.7503772488878
EHI_002130A	25.3965220316282	18.746874242925	21.3416103968061	16.9049945547052
EHI_002140A	40.2659882988509	51.5539041680437	33.7517098345965	33.236938446539
EHI_002150A	2.63176394110137	2.60373253373958	3.38457257394282	2.86525331435681
EHI_002160A	242.517047172491	243.188618651277	181.450696325268	219.478403879732
EHI_002180A	80.6635647947569	66.0046197302984	73.7084693880882	42.9787997153521
EHI_002190A	20.1329941494255	28.5108712444484	17.3929423938729	50.5717209983977
