logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_075040A	7.51974694206559	3.61705879166276	1.05999255249744e-21	4.9310853542181e-18	117	223	1	1	18.1873512330663	29.9648647649871	0.0952725904637623	0.144764360189123	100	DOWN_pEhEx_UP_CmasM
EHI_006770A	8.99659015686514	2.08421782170958	1.47266592116574e-18	3.42542093263151e-15	53	60	0	0	8.23871466113261	8.06229545246291	0	0	100	DOWN_pEhEx_UP_CmasM
EHI_006680A	-8.99386825215779	2.14024522573741	5.63530174252741e-17	8.73847456874584e-14	0	0	80	60	0	0	7.62180723710099	8.68586161134736	100	UP_pEhEx_DOWN_CmasM
EHI_036630A	-9.15087821947667	2.28368663473373	7.61349701034798e-17	8.8544970230347e-14	0	0	76	76	0	0	7.24071687524594	11.0020913743733	100	UP_pEhEx_DOWN_CmasM
EHI_089770A	-8.28113291641534	1.49007325914922	2.69788933501088e-14	2.51011623729413e-11	0	0	51	35	0	0	4.85890211365188	5.0667526066193	100	UP_pEhEx_DOWN_CmasM
EHI_155900A	-9.86767061336372	2.9542818713307	1.52377864971786e-13	1.18143637974792e-10	0	0	82	153	0	0	7.81235241802851	22.1489471089358	100	UP_pEhEx_DOWN_CmasM
EHI_123020A	7.83687789261537	1.00231244498808	4.01673646278661e-10	2.66940828926904e-07	28	22	0	0	4.352528500221	2.9561749992364	0	0	100	DOWN_pEhEx_UP_CmasM
EHI_140640A	-8.33835231636631	1.52433886107751	8.32466650209927e-10	4.84079357097072e-07	0	0	32	51	0	0	3.04872289484039	7.38298236964526	100	UP_pEhEx_DOWN_CmasM
EHI_116040A	-7.58041335248186	0.877313228448166	1.60608714924634e-09	8.30168602032663e-07	0	0	28	24	0	0	2.66763253298535	3.47434464453895	100	UP_pEhEx_DOWN_CmasM
EHI_174150A	-7.01392735772206	0.399833682164843	2.79651792817583e-06	0.0013009401401874	0	0	15	19	0	0	1.42908885695644	2.75052284359333	99.87	UP_pEhEx_DOWN_CmasM
