logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1.1	CmasM_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_006680A	-8.99386825215779	2.14024522573741	5.63530174252741e-17	8.73847456874584e-14	0	0	80	60	0	0	7.62180723710099	8.68586161134736	100	UP_pEhEx_DOWN_CmasM
EHI_006770A	8.99659015686514	2.08421782170958	1.47266592116574e-18	3.42542093263151e-15	53	60	0	0	8.23871466113261	8.06229545246291	0	0	100	DOWN_pEhEx_UP_CmasM
EHI_010020A	-2.34121603452954	6.17766906661667	0.000222017753951557	0.0368866639779515	131	202	610	1264	20.3636154831768	27.1430613566251	58.116280182895	182.982151279051	96.31	UP_pEhEx_DOWN_CmasM
EHI_036630A	-9.15087821947667	2.28368663473373	7.61349701034798e-17	8.8544970230347e-14	0	0	76	76	0	0	7.24071687524594	11.0020913743733	100	UP_pEhEx_DOWN_CmasM
EHI_062500A	-2.04129284694708	3.47114613841839	1.91162932131369e-05	0.00635207114482233	21	38	157	137	3.26439637516575	5.10612045322651	14.9577967028107	19.8327173459098	99.36	UP_pEhEx_DOWN_CmasM
EHI_075040A	7.51974694206559	3.61705879166276	1.05999255249744e-21	4.9310853542181e-18	117	223	1	1	18.1873512330663	29.9648647649871	0.0952725904637623	0.144764360189123	100	DOWN_pEhEx_UP_CmasM
EHI_089770A	-8.28113291641534	1.49007325914922	2.69788933501088e-14	2.51011623729413e-11	0	0	51	35	0	0	4.85890211365188	5.0667526066193	100	UP_pEhEx_DOWN_CmasM
EHI_116040A	-7.58041335248186	0.877313228448166	1.60608714924634e-09	8.30168602032663e-07	0	0	28	24	0	0	2.66763253298535	3.47434464453895	100	UP_pEhEx_DOWN_CmasM
EHI_123020A	7.83687789261537	1.00231244498808	4.01673646278661e-10	2.66940828926904e-07	28	22	0	0	4.352528500221	2.9561749992364	0	0	100	DOWN_pEhEx_UP_CmasM
EHI_140640A	-8.33835231636631	1.52433886107751	8.32466650209927e-10	4.84079357097072e-07	0	0	32	51	0	0	3.04872289484039	7.38298236964526	100	UP_pEhEx_DOWN_CmasM
EHI_155900A	-9.86767061336372	2.9542818713307	1.52377864971786e-13	1.18143637974792e-10	0	0	82	153	0	0	7.81235241802851	22.1489471089358	100	UP_pEhEx_DOWN_CmasM
EHI_172280A	-3.10462102134125	3.70063013001594	0.000124726857737661	0.0248298396541003	6	32	135	227	0.932684678618786	4.29989090798022	12.8617997126079	32.8615097629309	97.52	UP_pEhEx_DOWN_CmasM
EHI_178340A	-2.90611622738085	7.96791915263812	0.000110086071067348	0.0243866858383477	287	544	1876	4864	44.6134171272653	73.0981454356637	178.731379710018	704.133847959893	97.56	UP_pEhEx_DOWN_CmasM
EHI_188880A	-3.10129568482167	2.70012122630531	4.50916494814014e-06	0.00190696684897708	6	12	68	110	0.932684678618786	1.61245909049258	6.47853615153584	15.9240796208035	99.81	UP_pEhEx_DOWN_CmasM
