logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_103510A	-2.05761870613044	7.98876935235973	4.52957130836161e-05	0.00544254017589598	474	790	2698	3823	73.2505160538159	123.258047884	255.420061294515	562.910502346329	99.46	UP_pEhEx_DOWN_U2AF84
EHI_105140A	-1.38684059259891	9.90061314500213	0.000674091143914577	0.0304962349223502	2523	4277	11325	11496	389.896734185185	667.30970987325	1072.13943445529	1692.7070716645	96.95	UP_pEhEx_DOWN_U2AF84
EHI_110570A	-1.47901360816922	4.95884367044312	0.000210739736255107	0.0134816474517794	106	103	341	397	16.3809170922036	16.0703530785468	32.282520719581	58.4555243085254	98.65	UP_pEhEx_DOWN_U2AF84
EHI_111760A	-1.03939549957535	9.99217599231294	0.00132841626781678	0.0465831304581083	3491	5085	13331	10035	539.488505366817	793.376168974859	1262.04775282327	1477.58485248376	95.34	UP_pEhEx_DOWN_U2AF84
EHI_112800A	-1.35902538933493	4.32513132856273	0.000244750767539595	0.0152453964938479	59	83	250	225	9.11768026830199	12.9498961700911	23.6675371844435	33.1297052126403	98.48	UP_pEhEx_DOWN_U2AF84
EHI_118670A	-1.88481387028968	3.69461252133703	0.000163237679809684	0.0117085935790764	28	41	138	182	4.32703470360094	6.39693666233417	13.0644805258128	26.7982504386691	98.83	UP_pEhEx_DOWN_U2AF84
EHI_119540A	-1.64131749708466	8.35410258259403	4.73903993416058e-05	0.00544254017589598	839	1203	3831	4262	129.656504154328	187.69548304361	362.681339814413	627.550238294547	99.46	UP_pEhEx_DOWN_U2AF84
EHI_126210A	-1.40445263798743	4.04681612572986	0.000300631890016089	0.0182460431709765	47	67	202	190	7.26323682390158	10.4535306433266	19.1233700450304	27.9761955128963	98.18	UP_pEhEx_DOWN_U2AF84
EHI_134810A	-1.54145796130872	6.38472285676239	0.000109129746301573	0.00935351764252682	193	354	1181	923	29.8256320641065	55.2320872796657	111.805445659311	135.905412938965	99.06	UP_pEhEx_DOWN_U2AF84
EHI_134840A	-2.28280949458543	2.65569427340267	0.00013865369862496	0.0105554549689089	8	18	69	91	1.23629562960027	2.80841121761012	6.53224026290642	13.3991252193345	98.94	UP_pEhEx_DOWN_U2AF84
EHI_135060A	-1.79340138915151	7.31560845645926	0.000725594190095182	0.0315134210633999	282	633	1817	2184	43.5794209434095	98.7624611526226	172.015660256536	321.579005264029	96.85	UP_pEhEx_DOWN_U2AF84
EHI_136740A	-2.3996186412962	4.69700582757679	0.000451623403016628	0.0248602929055897	39	66	199	459	6.02694119430131	10.2975077979038	18.8393595988171	67.5845986337863	97.51	UP_pEhEx_DOWN_U2AF84
EHI_141800A	-1.54630278771928	7.17670568291078	4.7724423726035e-05	0.00544254017589598	369	578	1890	1706	57.0241359153124	90.1812046543695	178.926581114393	251.196787078953	99.46	UP_pEhEx_DOWN_U2AF84
EHI_144610A	-1.3633458890974	7.26014704681708	0.000694216018813875	0.0307141928323821	484	618	1654	1930	74.7958855908163	96.4221184712809	156.584426012278	284.179249157315	96.93	UP_pEhEx_DOWN_U2AF84
EHI_147570A	-1.29075982753531	8.03249000765417	0.000322993225192087	0.0188771596056708	856	1097	3071	3069	132.283632367229	171.157061428795	290.732026773704	451.889179100414	98.11	UP_pEhEx_DOWN_U2AF84
EHI_148190A	-1.61846711676592	7.32532081039747	0.000201682236424909	0.0133825189638468	440	572	1695	2191	67.9962596280148	89.2450675818328	160.465902110527	322.609707203978	98.66	UP_pEhEx_DOWN_U2AF84
EHI_152800A	-2.33406641717653	6.39694490803438	0.00123222886959307	0.0441922080958605	90	267	755	1419	13.908325833003	41.6580997278835	71.4759622970195	208.938007541052	95.58	UP_pEhEx_DOWN_U2AF84
EHI_155680A	-2.18592910495139	5.46517597565375	4.93568116674475e-08	1.66896533166926e-05	95	108	550	623	14.6810106015032	16.8504673056607	52.0685818057758	91.7324726554441	100	UP_pEhEx_DOWN_U2AF84
EHI_155900A	-9.83381165648028	2.97977017225621	8.59540341808365e-14	1.0172659945302e-10	0	0	82	153	0	0	7.76295219649748	22.5281995445954	100	UP_pEhEx_DOWN_U2AF84
EHI_156660A	-1.12151289242634	9.73240356178516	3.89560870845653e-05	0.00542406224289212	3568	3330	12553	7754	551.38785080172	519.556075257873	1188.39437710528	1141.72326319472	99.46	UP_pEhEx_DOWN_U2AF84
EHI_157010A	1.06519588473093	6.79258816196819	0.000196570693443249	0.0132937951822906	1009	921	787	466	155.927786283334	143.697040634385	74.5054070566283	68.6153005737351	98.67	DOWN_pEhEx_UP_U2AF84
EHI_161940A	-1.2372083753277	5.54824565616101	0.000234292164559321	0.0147885214269843	164	192	566	523	25.3440604068055	29.9563863211746	53.5833041855802	77.008159227604	98.52	UP_pEhEx_DOWN_U2AF84
EHI_163670A	-1.38971745990312	8.42877043139662	0.000422228176553107	0.0237955736643144	1184	1265	3643	4428	182.97175318084	197.368899459822	344.883351851711	651.992598584762	97.62	UP_pEhEx_DOWN_U2AF84
EHI_165810.mRNA	1.36724776578777	6.48639357389518	4.65360925222327e-05	0.00544254017589598	902	761	627	275	139.39233223743	118.733385366739	59.3581832585844	40.4918619265604	99.46	DOWN_pEhEx_UP_U2AF84
EHI_167270A	-1.38684059259891	9.90061314500213	0.000674091143914577	0.0304962349223502	2523	4277	11325	11496	389.896734185185	667.30970987325	1072.13943445529	1692.7070716645	96.95	UP_pEhEx_DOWN_U2AF84
