logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_164840A	-3.81097171314018	0.69096412979735	2.56906573703783e-05	0.00394421739277064	1	1	19	21	0.154536953700034	0.156022845422785	1.79873282601771	3.09210581984643	99.61	UP_pEhEx_DOWN_U2AF84
EHI_029380A	6.41858699356482	-0.162542730346605	2.91582994898954e-05	0.0043136059307864	7	11	0	0	1.08175867590024	1.71625129965063	0	0	99.57	DOWN_pEhEx_UP_U2AF84
EHI_073410A	-6.23590518332394	-0.0929242440510637	3.84568858487392e-05	0.00542406224289212	0	0	11	10	0	0	1.04137163611552	1.47243134278401	99.46	UP_pEhEx_DOWN_U2AF84
EHI_156660A	-1.12151289242634	9.73240356178516	3.89560870845653e-05	0.00542406224289212	3568	3330	12553	7754	551.38785080172	519.556075257873	1188.39437710528	1141.72326319472	99.46	UP_pEhEx_DOWN_U2AF84
EHI_035510A	-1.36990748673934	3.57719700436938	4.40196260574482e-05	0.00544254017589598	38	45	168	119	5.87240424060128	7.0210280440253	15.9045849879461	17.5219329791298	99.46	UP_pEhEx_DOWN_U2AF84
EHI_054940A	1.47190308650443	2.8661792007803	4.50905881938889e-05	0.00544254017589598	70	65	38	27	10.8175867590024	10.141484952481	3.59746565203542	3.97556462551684	99.46	DOWN_pEhEx_UP_U2AF84
EHI_083100A	-2.76373706751982	2.81572085852953	4.12943411944756e-05	0.00544254017589598	7	15	70	115	1.08175867590024	2.34034268134177	6.62691041164419	16.9329604420162	99.46	UP_pEhEx_DOWN_U2AF84
EHI_103510A	-2.05761870613044	7.98876935235973	4.52957130836161e-05	0.00544254017589598	474	790	2698	3823	73.2505160538159	123.258047884	255.420061294515	562.910502346329	99.46	UP_pEhEx_DOWN_U2AF84
EHI_119540A	-1.64131749708466	8.35410258259403	4.73903993416058e-05	0.00544254017589598	839	1203	3831	4262	129.656504154328	187.69548304361	362.681339814413	627.550238294547	99.46	UP_pEhEx_DOWN_U2AF84
EHI_141800A	-1.54630278771928	7.17670568291078	4.7724423726035e-05	0.00544254017589598	369	578	1890	1706	57.0241359153124	90.1812046543695	178.926581114393	251.196787078953	99.46	UP_pEhEx_DOWN_U2AF84
EHI_165810.mRNA	1.36724776578777	6.48639357389518	4.65360925222327e-05	0.00544254017589598	902	761	627	275	139.39233223743	118.733385366739	59.3581832585844	40.4918619265604	99.46	DOWN_pEhEx_UP_U2AF84
EHI_170060A	-1.59415971823145	5.90128320481	4.82861612563648e-05	0.00544254017589598	137	243	839	673	21.1715626569046	37.9135514377366	79.4282547909925	99.0946293693642	99.46	UP_pEhEx_DOWN_U2AF84
EHI_048650A	4.09287007727371	-0.230035884245143	5.04536374840684e-05	0.00555459348487395	7	9	1	0	1.08175867590024	1.40420560880506	0.0946701487377742	0	99.44	DOWN_pEhEx_UP_U2AF84
EHI_178340A	-3.07837917831155	7.96661922055402	5.47065257315567e-05	0.0056300150611563	217	463	1876	4864	33.5345189529073	72.2385774307492	177.601199032064	716.190605130145	99.44	UP_pEhEx_DOWN_U2AF84
EHI_188960A	-1.50235227904408	9.19928750063517	5.38933717545799e-05	0.0056300150611563	1556	2388	7493	6979	240.459499957252	372.58255486961	709.363424492142	1027.60983412896	99.44	UP_pEhEx_DOWN_U2AF84
EHI_194430A	-2.15819181031186	3.04156435060389	5.44609368423399e-05	0.0056300150611563	14	23	92	117	2.16351735180047	3.58852544472404	8.70965368387522	17.227446710573	99.44	UP_pEhEx_DOWN_U2AF84
EHI_179390A	-2.03751666990622	4.5977964790218	5.86278259085173e-05	0.00590519420959406	38	82	300	329	5.87240424060128	12.7938733246683	28.4010446213323	48.4429911775941	99.41	UP_pEhEx_DOWN_U2AF84
EHI_105280A	-1.44505117251622	3.3524677572352	6.76128568157266e-05	0.00666831800345103	31	37	136	109	4.79064556470104	5.77284528064303	12.8751402283373	16.0495016363458	99.33	UP_pEhEx_DOWN_U2AF84
