CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_000130A	5.44066062527625	12.6309295421919	22.4843313494479	53.2732845495972
EHI_000140A	7.92781976825968	37.2209306722037	45.3497530607509	41.9816644548456
EHI_000240A	84.0970685221272	150.227438597559	150.9117832946	237.992608150918
EHI_000250A	84.8743057543095	50.3893465778932	41.7293946231279	40.2444921325761
EHI_000260A	11.3476635898619	12.7653011330663	14.0050707981731	8.25156853078
EHI_000280A	6.9951350896409	5.9123499984728	7.05017169431841	10.2782695734277
EHI_000290A	3.26439637516575	1.74683068136696	2.38181476159406	1.73717232226947
EHI_000300A	7.30602998251382	16.7964488592977	17.1490662834772	14.186907298534
EHI_000410A	1.86536935723757	2.55306022661325	3.62035843762297	3.04005156397158
EHI_000430A	3.26439637516575	3.22491818098516	3.33454066623168	1.73717232226947
EHI_000440A	43.9916273415194	34.8022420364649	51.9235618027505	34.0196246444438
EHI_000480A	2.64260658941989	3.35928977185954	3.23926807576792	2.75052284359333
EHI_000510A	1332.65095829981	1383.35552805176	1197.38591694856	1491.65196738872
EHI_000520A	2.02081680367404	1.34371590874382	2.19126958066653	2.46099412321509
EHI_000540A	3.10894892872929	2.55306022661325	4.19199398040554	1.59240796208035
EHI_000550A	31.5558316266023	38.2959033991988	36.9657650999398	32.5719810425526
EHI_000560A	4.97431828596686	9.94349772470425	6.00217319921703	5.93533876775403
EHI_000570A	9.94863657193372	4.83737727147774	6.38326356107208	5.93533876775403
EHI_000580A	23.6280118583426	18.1401647680415	17.8159744167236	14.4764360189123
EHI_000590A	1873.6080718987	1528.61121778697	1332.76826799757	1424.19177554059
EHI_000610A	193.842965706271	162.723996548876	185.972096585264	329.917976871011
EHI_000620A	0.621789785745857	0.806229545246291	2.38181476159406	4.05340208529544
EHI_000650A	10.5704263576796	9.80912613382987	9.81307681776752	7.67251109002351
EHI_000660A	2.33171169654696	2.41868863573887	3.14399548530416	1.3028792417021
EHI_000670A	2.48715914298343	0.671857954371909	1.04799849510139	1.44764360189123
EHI_000690A	0	13.1684159056894	17.5301566453323	43.1397793363586
EHI_000700A	9.32684678618786	8.46541022508605	7.52653464663722	7.52774672983438
EHI_000710A	4.66342339309393	3.35928977185954	4.38253916133307	3.76387336491719
EHI_000720A	17.2546665544475	18.0057931771672	20.7694247211002	15.4897865402361
EHI_000730A	63.5780055925139	60.6015874843462	87.2696928648063	120.878240757917
EHI_000740A	19.1200359116851	11.5559568151968	11.8138012175065	11.4363844549407
EHI_000780A	2.95350148229282	4.97174886235213	2.66763253298535	4.19816644548456
EHI_000790A	10.2595314648066	5.50923522584965	6.76435392292713	5.79057440756491
EHI_000800A	50.0540777525415	29.561749992364	32.7737711195342	30.5452799999049
EHI_000900A	1.70992191080111	1.34371590874382	2.57235994252158	5.0667526066193
EHI_001040A	1.39902701792818	1.07497272699505	0.571635542782574	0.289528720378246
EHI_001050A	63.8889004853868	66.3795658919446	73.740985018952	71.5135939334266
EHI_001060A	0.777237232182322	0	2.09599699020277	2.31622976302596
EHI_001070A	52.8521317883979	91.3726817945796	84.983150693676	94.2415984831189
EHI_001100A	3.41984382160222	1.74683068136696	2.38181476159406	2.75052284359333
EHI_001120A	6.21789785745857	9.40601136120672	10.003621998695	13.028792417021
EHI_001130A	215.605608207376	297.901816968504	146.433971542803	262.892078103447
EHI_001140A	2.64260658941989	3.09054659011078	5.43053765643445	4.34293080567368
EHI_001150A	12.2803482684807	13.4371590874382	10.9563479033327	6.80392492888877
EHI_001400A	274.520190406796	231.253507894811	227.796763798856	276.499927961224
EHI_001410A	3.26439637516575	2.68743181748764	3.33454066623168	2.02670104264772
EHI_001420A	852.162901364697	1163.3892337904	1153.94161569709	1548.54436094305
EHI_001430A	1.08813212505525	2.14994545399011	1.14327108556515	2.31622976302596
EHI_001635A	22.6953271797238	74.7106045261563	52.2093795741418	30.4005156397158
EHI_001780A	902.061531670803	427.704773753157	603.075497635616	361.042314311672
EHI_001810A	76.7910385396134	76.1886920257745	80.6958841228067	64.7096690045379
EHI_001820A	2.95350148229282	1.74683068136696	3.23926807576792	3.04005156397158
EHI_001830A	5.28521317883979	3.89677613535707	6.66908133246336	5.64581004737579
EHI_001840A	24.2498016440884	15.855847723177	15.9105226074483	17.9507806634512
EHI_001850A	23.9389067512155	23.7837715847656	22.3890587589841	18.9641311847751
EHI_001870A	1.70992191080111	0.403114772623145	1.23854367602891	0.434293080567368
EHI_001910A	3.41984382160222	1.61245909049258	2.09599699020277	1.3028792417021
EHI_001940A	32.0221739659116	95.8069442934342	125.378729050311	181.100214596593
EHI_001950A	19.1200359116851	33.4585261277211	32.2021355767517	38.6520841704958
EHI_001990A	3.88618616091161	4.03114772623145	5.14471988504317	1.15811488151298
EHI_002110A	16.7883242151381	25.1274874935094	21.626878035274	12.8840280568319
EHI_002130A	20.5190629296133	16.3933340866746	21.626878035274	17.0821945023165
EHI_002140A	47.877813502431	33.9960124912186	34.2028599764907	33.5853315638765
EHI_002150A	3.26439637516575	3.22491818098516	3.42981325669544	2.89528720378246
EHI_002160A	249.648598976962	179.654816999048	183.876099595061	221.778999809736
EHI_002180A	88.4495970223482	87.8790204318457	74.6937109235897	43.4293080567368
EHI_002190A	17.0992191080111	66.6483090736934	17.625429235796	51.1018191467603
EHI_002200A	32.9548586445304	31.5773238554797	24.1039653873319	17.9507806634512
EHI_002210A	3.10894892872929	2.55306022661325	2.57235994252158	2.89528720378246
EHI_002670A	25.8042761084531	25.1274874935094	33.5359518432443	40.8235495733326
