NOISeq	DESeq2
EHI_177420A	1	0
EHI_177520A	1	0
EHI_178460A	1	0
EHI_178620A	1	0
EHI_178850A	1	0
EHI_180390A	1	0
EHI_180780A	1	0
EHI_181560A	1	0
EHI_182860A	1	0
EHI_182950A	1	0
EHI_183120A	1	0
EHI_183560A	1	0
EHI_183900A	1	0
EHI_184520A	1	0
EHI_185240A	1	0
EHI_185410A	1	0
EHI_186840A	1	0
EHI_187160A	1	0
EHI_188880A	1	0
EHI_188960A	1	0
EHI_189500A	1	0
EHI_189540A	1	0
EHI_190990A	1	0
EHI_191530A	1	0
EHI_191770A	1	0
EHI_193350A	1	0
EHI_193360A	1	0
EHI_194400A	1	0
EHI_194570A	1	0
EHI_195110A	1	0
EHI_196530A	1	0
EHI_197010A	1	0
EHI_197020A	1	0
EHI_197120A	1	0
EHI_197440A	1	0
EHI_197840A	1	0
EHI_197990A	1	0
EHI_198550A	1	0
EHI_198930A	1	0
EHI_199150A	1	0
EHI_199580A	1	0
EHI_202710A	1	0
