NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_000130A	64.2814405310696	148.598046749718	96.0080473919544	255.807634450665	610.594980730218	404.622460486736	45.323777487359	107.827342258261	128.663512990858	180.074280546577	446.157286823496	516.143166225274
EHI_000620A	9.97282785005336	12.3798866709196	10.0357141596158	31.1923991495747	52.0464913179589	45.4733943914368	5.1798602842696	6.88259631435706	12.71674256305	19.0756653121374	33.9467500843965	61.9991791261591
EHI_001060A	10.3704636543644	2.16502731188262	6.04002497061779	24.0310687469045	26.629897132286	16.7287677957061	6.47482535533701	0	5.23630576125587	16.7865854746809	19.3981429053694	17.0497742596937
EHI_001130A	942.54524500342	1323.20970477261	8842.95951646146	633.838994377154	1151.10509472264	95.6296678804412	1796.11655357049	2543.11933815493	3102.13714170401	1172.77190339021	2201.68921975943	30.2245998240025
EHI_001940A	377.216600981651	1142.51289265771	599.371948429105	1454.62214938492	2126.61070705792	1947.27675011221	266.762804639885	817.881862022764	846.785445963092	1004.14302203091	1516.69229841357	2589.24071825622
EHI_002190A	79.7131246233499	311.331338223565	1190.80868406805	81.2584669906879	235.645760042427	16.9717377772392	142.446157817414	568.961295320184	445.085989706749	141.159923309817	427.971527849712	4.64993843446193
EHI_002200A	178.695541890568	174.086956528567	373.095814671357	129.752304140446	98.2427357343012	48.7524796988798	274.532595066289	269.568355645652	174.294177481802	193.045732958831	150.335607516613	20.1497332160017
EHI_004430A	80.7207308366183	132.977831291689	112.521598931202	43.2593794123538	51.0885299377722	39.5243525943164	117.841821467133	197.301094344902	54.6071886530969	60.2791023863543	73.9554198267208	17.0497742596937
EHI_004490A	1101.23384774938	572.984281230963	343.108984590803	809.330497947265	1629.57142317466	2922.72701878845	436.403228949714	228.272777759509	1103.36442826463	311.314857894083	648.625403398289	8858.13271764997
EHI_004530A	93.382025470595	89.0883595727126	240.032607015114	58.8350151608229	52.500944522806	19.7584462903712	137.266297533144	131.91642935851	117.442857788167	83.1699007609192	76.380187689892	7.74989739076988
EHI_005070A	88.3059544303541	132.306373385355	77.1087233498643	183.854969019334	249.570591272531	301.700562708271	64.74825355337	98.6505471724512	98.7417657836821	132.766630572477	186.707125464181	368.895115800646
EHI_005100A	58.2102889144478	75.1890852956932	55.6626568136862	120.412782745076	147.018020014027	159.810873316889	40.1439172030894	52.7665717434041	75.5524116981204	82.4068741484337	104.265018116361	207.697250072633
