NOISeq	DESeq2
EHI_066740A	1	0
EHI_067190A	1	0
EHI_067860A	1	0
EHI_068090A	1	0
EHI_068140A	1	0
EHI_068170A	1	0
EHI_068210A	1	0
EHI_068330A	1	0
EHI_068440A	1	0
EHI_068560A	1	0
EHI_068660A	1	0
EHI_069180A	1	0
EHI_069450A	1	0
EHI_069550A	1	0
EHI_069560A	1	0
EHI_069950A	1	0
EHI_070450A	1	0
EHI_073180A	1	0
EHI_073320A	1	0
EHI_073390A	1	0
EHI_073540A	1	0
EHI_073650A	1	0
EHI_073680A	1	0
EHI_074170A	1	0
EHI_074380A	1	0
EHI_075170A	1	0
EHI_075530A	1	0
EHI_075690A	1	0
EHI_076140A	1	0
EHI_077520A	1	0
EHI_078690A	1	0
EHI_079280A	1	0
EHI_079890A	1	0
EHI_079930A	1	0
EHI_079950A	1	0
EHI_079960A	1	0
EHI_080710A	1	0
EHI_080730A	1	0
EHI_081130A	1	0
EHI_081290A	1	0
EHI_081390A	1	0
EHI_081690A	1	0
EHI_082070A	1	0
EHI_083430A	1	0
EHI_083560A	1	0
EHI_083590A	1	0
EHI_084660A	1	0
EHI_085700A	1	0
EHI_085950A	1	0
EHI_086030A	1	0
EHI_086230A	1	0
EHI_086530A	1	0
EHI_087110A	1	0
EHI_087380A	1	0
EHI_087570A	1	0
EHI_087730A	1	0
EHI_087790A	1	0
EHI_087870A	1	0
EHI_088600A	1	0
EHI_090020A	1	0
EHI_090400A	1	0
EHI_090410A	1	0
EHI_091130A	1	0
EHI_091250A	1	0
EHI_091470A	1	0
EHI_092080A	1	0
EHI_092110A	1	0
EHI_092120A	1	0
EHI_092320A	1	0
EHI_092500A	1	0
EHI_092620A	1	0
EHI_092680A	1	0
EHI_092930A	1	0
EHI_093570A	1	0
EHI_093580A	1	0
EHI_093740A	1	0
EHI_093910A	1	0
EHI_094030A	1	0
EHI_094810A	1	0
EHI_095050A	1	0
EHI_095200A	1	0
EHI_095820A	1	0
EHI_095830A	0	1
EHI_095850A	1	0
EHI_095940A	1	0
EHI_096320A	1	0
EHI_096350A	1	0
EHI_096380A	1	0
EHI_096500A	1	0
EHI_096730A	1	0
EHI_096750A	1	0
EHI_097910A	1	0
EHI_097930A	1	0
EHI_098210A	1	0
EHI_098250A	1	0
EHI_098300A	1	0
EHI_098310A	1	0
EHI_098380A	1	0
EHI_098550A	1	0
EHI_098800A	1	0
EHI_098970A	1	0
EHI_099200A	1	0
EHI_099360A	1	0
EHI_099670A	1	0
EHI_100320A	1	0
EHI_100340A	1	0
EHI_100810A	1	0
