baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1.1	CmasM_2.1	CmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_118670A	124.376425968245	-2.29255017485229	0.646801886343323	-3.54443953126538	0.000393448743293446	0.0502652932773189	9	48	79	138	182	380	11.6546856396066	55.0607705148565	59.0954507341733	105.297672522999	220.653875548577	294.496100849256	94.97	UP_pEhEx_DOWN_CmasM
EHI_141800A	2389.60120953305	-1.41021125834547	0.397375786347681	-3.54881023654426	0.000386975848049119	0.0502652932773189	429	772	3014	1890	1706	9202	555.540015487915	885.560725780608	2254.60365206074	1442.12029759759	2068.32698728501	7131.45557898645	94.97	UP_pEhEx_DOWN_CmasM
EHI_087210A	433.739425340206	1.61418592325898	0.459916160880328	3.5097395146308	0.000448545877691158	0.0553718082170848	632	770	242	590	191	49	818.417924914597	883.266527009156	181.026570603417	450.185701366444	231.565330932847	37.9744972147724	94.46	DOWN_pEhEx_UP_CmasM
EHI_031240A	253.166824540029	-1.8379259737164	0.526194263412942	-3.49286585109357	0.000477866505498545	0.0574787635203506	62	77	148	191	226	1058	80.2878344061789	88.3266527009156	110.710464666553	145.73808298473	273.998768538343	819.939143943453	94.25	UP_pEhEx_DOWN_CmasM
EHI_039020A	656.24980263061	-2.89404670560742	0.840159066980831	-3.44464140107107	0.000571817460160229	0.0638665644193246	26	138	465	248	1359	2014	33.6690918477524	158.299715230212	347.840311283425	189.230599896403	1647.62976302481	1560.82933450105	93.61	UP_pEhEx_DOWN_CmasM
EHI_134840A	69.5180322193605	-1.92033510596153	0.556442769478891	-3.45109184860094	0.000558323527070336	0.0638665644193246	11	26	56	69	91	217	14.2446157817414	29.8245840288806	41.8904460900469	52.6488362614993	110.326937774288	168.172773379706	93.61	UP_pEhEx_DOWN_CmasM
EHI_158270A	4954.13324395178	1.10564625254862	0.320736995460328	3.4472052435416	0.000566418101222441	0.0638665644193246	5573	5158	9573	4054	2776	3834	7216.84034105863	5916.73863157562	7161.02215035749	3093.30988701621	3365.57779408159	2971.31065962117	93.61	DOWN_pEhEx_UP_CmasM
EHI_073540A	27.7763696591522	3.14035585193906	0.916507177051626	3.42643890912179	0.000611551310787479	0.0667159813698619	42	40	57	20	7	0	54.3885329848308	45.8839754290471	42.6384897702263	15.26053224971	8.48668752109911	0	93.33	DOWN_pEhEx_UP_CmasM
EHI_017660A	249.411803999418	-2.25255958413875	0.659858765015682	-3.41369957264296	0.000640872018638484	0.0668073475429584	20	105	157	293	452	595	25.899301421348	120.445435501249	117.442857788167	223.566797458251	547.997537076686	461.118894750808	93.32	UP_pEhEx_DOWN_CmasM
EHI_107170A	279.325564750416	2.2287258853203	0.651728745008856	3.41971395674747	0.000626870141430595	0.0668073475429584	442	624	73	355	45	10	572.374561411791	715.790016693134	54.6071886530969	270.874447432352	54.5572769213514	7.74989739076988	93.32	DOWN_pEhEx_UP_CmasM
