baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1.1	U2AF84_2.1	U2AF84_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_114180A	85.0547522417029	3.97397699118151	0.86256670724083	4.6071532297988	4.08219186860423e-06	0.0193740826083957	4	8	193	0	0	75	4.04203099558695	8.27980923686712	455.016876429607	0	0	42.9897967881567	98.06	DOWN_pEhEx_UP_U2AF84
EHI_050640A	25.0962465868436	4.06683617049952	0.992937096567089	4.09576415722599	4.20778128208158e-05	0.0737570426266521	30	36	31	4	8	0	30.3152324669021	37.259141565902	73.0856122762581	2.37561748444356	7.54187572755561	0	92.62	DOWN_pEhEx_UP_U2AF84
EHI_057550A	413.844258736412	1.60665860387869	0.394568080913273	4.07194266743497	4.6622656527593e-05	0.0737570426266521	731	436	284	341	156	478	738.681164443514	451.249603409258	669.558512466365	202.521390548813	147.066576687334	273.988304863185	92.62	DOWN_pEhEx_UP_U2AF84
EHI_022920A	81.1691823897561	2.90461524650371	0.759413753113528	3.82481254071981	0.000130871627683273	0.155279186246204	16	4	169	3	0	116	16.1681239823478	4.13990461843356	398.434466925407	1.78171311333267	0	66.4908856990157	84.47	DOWN_pEhEx_UP_U2AF84
EHI_004430A	22.2564651506038	-5.38130478945122	1.46700441960777	-3.66822670574504	0.000244238576171802	0.165593754644482	0	0	7	79	61	22	0	0	16.5032027720583	46.9184453177603	57.5068024226115	12.6103403911926	83.44	UP_pEhEx_DOWN_U2AF84
EHI_188960A	3694.37558554786	-1.38449794666185	0.37653877593796	-3.67690669629724	0.000236079340624592	0.165593754644482	1556	2388	887	7493	6979	8726	1572.35005728332	2471.52305720484	2091.19155125939	4450.12545273389	6579.34383782633	5001.7195569794	83.44	UP_pEhEx_DOWN_U2AF84
EHI_195110A	133.10831610218	9.75039113694324	2.59950872277748	3.75085917254599	0.000176229664411523	0.165593754644482	559	169	15	0	0	41	564.873831633276	174.910970128818	35.3640059401249	0	0	23.501088910859	83.44	DOWN_pEhEx_UP_U2AF84
EHI_029380A	17.8151014325029	3.45882326214496	0.988150401811845	3.50030041560774	0.000464734098635176	0.183802336010212	7	11	29	0	0	35	7.07355424227716	11.3847377006923	68.3704114842415	0	0	20.0619051678065	81.62	DOWN_pEhEx_UP_U2AF84
EHI_062540A	104.01347077802	2.16818206055704	0.611177497734919	3.54754890124804	0.000388833561653758	0.183802336010212	8	4	213	2	2	186	8.08406199117389	4.13990461843356	502.168884349773	1.18780874222178	1.8854689318889	106.614696034629	81.62	DOWN_pEhEx_UP_U2AF84
EHI_073540A	19.4198108908835	2.58484154506268	0.73401248414462	3.52152259109724	0.000429076105955835	0.183802336010212	35	56	2	20	7	0	35.3677712113858	57.9586646580698	4.71520079201665	11.8780874222178	6.59914126161116	0	81.62	DOWN_pEhEx_UP_U2AF84
EHI_178340A	1708.36943825665	-2.44325835124019	0.686755448529882	-3.5576832429512	0.000374140094207751	0.183802336010212	217	463	490	1876	4864	4705	219.280181510592	479.193959583685	1155.22419404408	1114.16460020403	4585.46044235381	2696.8932518437	81.62	UP_pEhEx_DOWN_U2AF84
EHI_189960A	103.620910768737	2.07056119848097	0.576968114851696	3.58869259008045	0.000332340439637817	0.183802336010212	20	9	211	10	3	150	20.2101549779347	9.31478539147551	497.453683557757	5.93904371110889	2.82820339783335	85.9795935763134	81.62	DOWN_pEhEx_UP_U2AF84
EHI_131670A	292.710782712312	1.22192063560318	0.351786278344084	3.47347440995982	0.000513766353068531	0.187564239358712	546	447	79	459	237	104	551.737230897618	462.63434110995	186.250431284658	272.602106339898	223.428068428835	59.6125182129106	81.24	DOWN_pEhEx_UP_U2AF84
EHI_103310A	1203.54660089042	-1.55251882408676	0.452570274208308	-3.43044807086063	0.0006025852993316	0.204276416473412	585	1190	44	3240	3191	632	591.147033104591	1231.62162398398	103.734417424366	1924.25016239928	3008.26568082874	362.260687601534	79.57	UP_pEhEx_DOWN_U2AF84
EHI_017750A	794.957345123262	-1.23677234498423	0.36488091156543	-3.38952328220781	0.000700142631522435	0.218452037781926	236	266	436	950	880	3200	238.47982873963	275.303657125832	1027.91377265963	564.209152555345	829.606330031117	1834.23132962802	78.15	UP_pEhEx_DOWN_U2AF84
EHI_130480A	57.0763808126542	2.39575115128976	0.709718904806055	3.37563383906823	0.000736458618733844	0.218452037781926	8	41	105	8	8	56	8.08406199117389	42.434022338944	247.548041580874	4.75123496888711	7.54187572755561	32.0990482684903	78.15	DOWN_pEhEx_UP_U2AF84
EHI_068610A	78.6687272368357	1.25902455865223	0.375734819153441	3.35083280673563	0.000805689308466964	0.22095383466869	124	143	24	96	69	35	125.302960863195	148.001590109	56.5824095041998	57.0148196266454	65.0486781501671	20.0619051678065	77.9	DOWN_pEhEx_UP_U2AF84
EHI_087560A	65.2882315885189	2.34880604097877	0.709490403738558	3.31055364329394	0.000931116033159249	0.22095383466869	10	5	121	2	0	157	10.1050774889674	5.17488077304195	285.269647917007	1.18780874222178	0	89.9919746098747	77.9	DOWN_pEhEx_UP_U2AF84
EHI_098800A	334.982214906679	-1.2602122936404	0.378569376118808	-3.32888071021597	0.000871957424175763	0.22095383466869	219	251	53	699	580	771	221.301197008385	259.779014806706	124.952820988441	415.139155406512	546.785990247782	441.935110982251	77.9	UP_pEhEx_DOWN_U2AF84
