baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1.1	UmasM_2.1	UmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_001040A	19.4763050087168	0.749191085229613	0.71981187604488	1.04081512150947	0.297961360605449	0.999717028849961	3	15	35	6	2	58	3.59970634950209	10.1656570778512	54.6379736878973	4.45054821254644	2.35051101663642	41.6534337078673	0.03	DOWN_pEhEx_UP_UmasM
EHI_001050A	751.241906062532	0.138514004002791	0.393750013228517	0.351781585648869	0.725002069495949	0.999717028849961	414	786	933	774	494	1207	496.759476231289	532.680430879405	1456.49227002309	574.120719418491	580.576221109196	866.822318713722	0.03	DOWN_pEhEx_UP_UmasM
EHI_001060A	21.6096393630947	0.354036663574682	0.671139382243042	0.527515852804586	0.59783541062924	0.999717028849961	8	26	33	22	16	22	9.59921693200558	17.6204722682755	51.5158037628746	16.3186767793369	18.8040881330914	15.7995783029842	0.03	DOWN_pEhEx_UP_UmasM
EHI_001070A	490.649455136849	-0.570300531618976	0.41448912207353	-1.37591193893336	0.168848898483445	0.999717028849961	434	974	65	892	651	327	520.757518561303	660.089999588473	101.470522563238	661.648167598571	765.091335915155	234.839186594355	0.03	UP_pEhEx_DOWN_UmasM
EHI_001100A	114.675452372911	0.595066175766021	0.438302451699767	1.35766107047385	0.174571254927938	0.999717028849961	23	41	242	25	19	298	27.597748679516	27.7861293461267	377.782560927747	18.5439508856102	22.329854658046	214.012469740422	0.03	DOWN_pEhEx_UP_UmasM
EHI_001120A	66.8951119914518	-0.479536288971948	0.50441606321055	-0.950676086561865	0.341768831113704	0.999717028849961	39	71	46	105	90	71	46.7961825435272	48.1174435018292	71.8099082755222	77.8845937195627	105.772995748639	50.9895481596307	0.03	UP_pEhEx_DOWN_UmasM
EHI_001130A	1172.72168152129	0.791570341934658	0.618891395226462	1.27901332615072	0.200892363192336	0.999717028849961	2185	1443	86	1537	1816	39	2621.78612455402	977.936210889289	134.253306775976	1140.08210044731	2134.26400310587	28.0083433552901	0.03	DOWN_pEhEx_UP_UmasM
EHI_001140A	30.7699058038349	0.433415399794389	0.61798678194973	0.701334417585723	0.483094339507256	0.999717028849961	24	101	4	57	30	5	28.7976507960167	68.4487576575316	6.24433985004541	42.2802080191912	35.2576652495463	3.59081325067822	0.03	DOWN_pEhEx_UP_UmasM
EHI_001150A	60.843322009548	0.0922322775880952	0.498327423427615	0.185083688458684	0.853163395296401	0.999717028849961	88	112	11	115	47	36	105.591386252061	75.9035728479559	17.1719345876249	85.3021740738067	55.2370088909559	25.8538554048832	0.03	DOWN_pEhEx_UP_UmasM
EHI_001180A	74.5503142534324	0.448812642672861	0.630939692652005	0.711340002697221	0.476873568357198	0.999717028849961	11	5	166	11	4	221	13.1989232815077	3.38855235928374	259.140103776884	8.15933838966847	4.70102203327284	158.713945679977	0.03	DOWN_pEhEx_UP_UmasM
EHI_001400A	1900.10210258744	-0.120571007859411	0.419730930047374	-0.287257857899113	0.773914887924553	0.999717028849961	1824	1761	1342	2391	1910	2653	2188.62146049727	1193.44814093973	2094.97601969023	1773.54346269976	2244.73802088778	1905.28551080986	0.03	UP_pEhEx_DOWN_UmasM
EHI_001410A	20.5026699276786	-0.0315729946728208	0.584621025288873	-0.0540059171789451	0.956930449896781	0.999717028849961	22	34	8	35	14	26	26.3978465630153	23.0421560431295	12.4886797000908	25.9615312398542	16.4535771164549	18.6722289035267	0.03	UP_pEhEx_DOWN_UmasM
EHI_001420A	7228.71347866387	-0.495053265195975	0.362366769983769	-1.36616628842139	0.171886776003464	0.999717028849961	6940	10714	1619	12112	10697	5153	8327.32068851484	7260.98999547321	2527.39655430588	8984.17332506041	12571.7081724799	3700.69213614897	0.03	UP_pEhEx_DOWN_UmasM
EHI_001430A	9.90307458773507	0.155160575026698	0.786551718359027	0.197266843876977	0.843618724261584	0.999717028849961	10	19	3	12	16	3	11.999021165007	12.8764989652782	4.68325488753405	8.90109642509288	18.8040881330914	2.15448795040693	0.03	DOWN_pEhEx_UP_UmasM
EHI_001635A	177.50437612268	-1.56125986704868	0.653337789603196	-2.38966717047992	0.0168636473295825	0.999717028849961	148	301	0	548	210	42	177.585513242103	203.990852028881	0	406.483403412575	246.803656746824	30.162831305697	0.03	UP_pEhEx_DOWN_UmasM
EHI_001780A	9508.38158671816	0.2099860919598	0.477871540865809	0.439419538521475	0.660357571687775	0.999717028849961	6054	5385	10593	6330	2494	30597	7264.20741329522	3649.47089094859	16536.5730078827	4695.32836423649	2931.08723774562	21973.6226062003	0.03	DOWN_pEhEx_UP_UmasM
EHI_001790A	12.5433890005649	0.780907651000766	0.733448559827567	1.06470677532499	0.287008643085475	0.999717028849961	6	11	22	9	2	24	7.19941269900418	7.45481519042424	34.3438691752497	6.67582231881966	2.35051101663642	17.2359036032554	0.03	DOWN_pEhEx_UP_UmasM
EHI_001800A	19.4346874495358	0.789699263532993	0.848058721493973	0.931184649739617	0.35175805684511	0.999717028849961	15	5	32	12	1	49	17.9985317475105	3.38855235928374	49.9547188003633	8.90109642509288	1.17525550831821	35.1899698566465	0.03	DOWN_pEhEx_UP_UmasM
EHI_001810A	467.007749736196	-0.224963168145022	0.379785244524502	-0.592343097548932	0.553620861800526	0.999717028849961	485	829	125	847	447	431	581.952526502838	561.821981169245	195.135620313919	628.269056004472	525.33921221824	309.528102208462	0.03	UP_pEhEx_DOWN_UmasM
EHI_001820A	25.9657938332133	-0.136921118718902	0.643872307398355	-0.212652597643388	0.831597942613599	0.999717028849961	7	32	32	34	21	36	8.39931481550488	21.686735099416	49.9547188003633	25.2197732044298	24.6803656746824	25.8538554048832	0.03	UP_pEhEx_DOWN_UmasM
EHI_001830A	52.0226784886635	-0.307936796178881	0.561503965616441	-0.54841428562453	0.583407469541176	0.999717028849961	32	108	18	70	39	104	38.3968677280223	73.1927309605289	28.0995293252043	51.9230624797084	45.8349648244102	74.6889156141069	0.03	UP_pEhEx_DOWN_UmasM
EHI_001840A	224.054845120869	0.127343851759446	0.499759676057414	0.254810177491824	0.798869714188486	0.999717028849961	121	108	365	167	124	399	145.188156096584	73.1927309605289	569.796011316643	123.873591915876	145.731683031458	286.546897404122	0.03	DOWN_pEhEx_UP_UmasM
EHI_001850A	243.432925991806	0.0172095209700883	0.371576346916576	0.0463148989780884	0.963059264385271	0.999717028849961	120	261	270	235	131	543	143.988253980084	176.882433154611	421.492939878065	174.313138324736	153.958471589686	389.962319023655	0.03	DOWN_pEhEx_UP_UmasM
EHI_001860A	17.1056811789798	1.37937718699431	0.874244916096689	1.57779263178667	0.114613257118654	0.999717028849961	15	8	29	8	0	39	17.9985317475105	5.42168377485399	45.2714639128292	5.93406428339525	0	28.0083433552901	0.03	DOWN_pEhEx_UP_UmasM
EHI_001870A	9.77042910541787	-0.129793341826522	0.779655940538298	-0.16647515279228	0.867783035511102	0.999717028849961	7	11	7	13	3	26	8.39931481550488	7.45481519042424	10.9275947375795	9.64285446051728	3.52576652495463	18.6722289035267	0.03	UP_pEhEx_DOWN_UmasM
EHI_001910A	29.0059054218242	0.552292987155399	0.551168708959518	1.0020398077351	0.316324367146697	0.999717028849961	17	40	33	22	9	67	20.3983359805119	27.10841887427	51.5158037628746	16.3186767793369	10.5772995748639	48.1168975590881	0.03	DOWN_pEhEx_UP_UmasM
EHI_001920A	9.87745970128576	0.435900622981782	0.734918905952822	0.593127513050759	0.553095818930509	0.999717028849961	8	10	11	8	4	21	9.59921693200558	6.77710471856749	17.1719345876249	5.93406428339525	4.70102203327284	15.0814156528485	0.03	DOWN_pEhEx_UP_UmasM
EHI_001940A	2201.09558930731	0.107814560580811	0.646837853145752	0.16667942368629	0.867622296552507	0.999717028849961	279	1984	4280	1316	1251	3341	334.772690503695	1344.57757616379	6681.44363954858	976.153574618519	1470.24464090608	2399.38141410319	0.03	DOWN_pEhEx_UP_UmasM
EHI_001950A	172.191213882061	-0.504021501441885	0.420863248606354	-1.19758972329112	0.231076778825461	0.999717028849961	156	352	10	338	267	38	187.184730174109	238.554086093576	15.6108496251135	250.714215973449	313.793220720962	27.2901807051545	0.03	UP_pEhEx_DOWN_UmasM
EHI_001990A	38.1046071163596	-0.266907970208804	0.688005887612176	-0.387944311254584	0.698057245440098	0.999717028849961	32	32	22	54	8	118	38.3968677280223	21.686735099416	34.3438691752497	40.0549339129179	9.40204406654568	84.743192716006	0.03	UP_pEhEx_DOWN_UmasM
EHI_002110A	113.735766177352	0.410921748882269	0.49057092233824	0.837639839971895	0.402233010427061	0.999717028849961	135	172	59	227	89	54	161.986785727594	116.566201159361	92.1040127881697	168.37907404134	104.597740240321	38.7807831073248	0.03	DOWN_pEhEx_UP_UmasM
EHI_002130A	115.071432778215	-0.53939263970215	0.451662679062474	-1.19423779007329	0.232384964572488	0.999717028849961	107	206	21	227	118	115	128.389526465575	139.60835720249	32.7827842127384	168.37907404134	138.680149981549	82.588704765599	0.03	UP_pEhEx_DOWN_UmasM
EHI_002140A	453.3274244292	0.433892418586953	0.434296889966537	0.999068675394808	0.317761424318909	0.999717028849961	355	324	622	359	232	786	425.965251357748	219.578192881587	970.994846682061	266.291134717362	272.659277929825	564.475843006616	0.03	DOWN_pEhEx_UP_UmasM
EHI_002150A	24.7101206356668	0.399839831600101	0.546051107149666	0.732238844248894	0.464022799108	0.999717028849961	23	39	19	36	20	20	27.597748679516	26.4307084024132	29.6606142877157	26.7032892752786	23.5051101663642	14.3632530027129	0.03	DOWN_pEhEx_UP_UmasM
EHI_002160A	1248.95187184649	-0.316630817748532	0.411379928761282	-0.76967979138396	0.441489860492425	0.999717028849961	1346	1325	517	1930	1532	1311	1615.06824880994	897.966375210192	807.080925618369	1431.5930083691	1800.4914387435	941.511234327829	0.03	UP_pEhEx_DOWN_UmasM
EHI_002180A	438.39304934061	-0.0087768655714521	0.539019632393084	-0.016283016506255	0.987008606611267	0.999717028849961	740	573	91	784	300	387	887.927566210516	388.328100373917	142.058731588533	581.538299772735	352.576652495463	277.928945602494	0.03	UP_pEhEx_DOWN_UmasM
EHI_002190A	186.202137162392	0.658683084973757	0.671709608568859	0.980606911931994	0.326786624498717	0.999717028849961	273	305	17	185	353	6	327.57327780469	206.701693916308	26.538444362693	137.225236553515	414.865194436328	4.30897590081386	0.03	DOWN_pEhEx_UP_UmasM
EHI_002200A	127.931388418021	-0.151131128448578	0.558245917078652	-0.27072500456333	0.786602543871178	0.999717028849961	227	202	4	253	124	26	272.377780445658	136.897515315063	6.24433985004541	187.664782962375	145.731683031458	18.6722289035267	0.03	UP_pEhEx_DOWN_UmasM
EHI_002210A	19.5874319771629	0.0361614631916422	0.586884883020287	0.0616159390672057	0.950868683520653	0.999717028849961	15	43	8	27	20	20	17.9985317475105	29.1415502898402	12.4886797000908	20.027466956459	23.5051101663642	14.3632530027129	0.03	DOWN_pEhEx_UP_UmasM
EHI_002670A	623.975766157339	0.15287343476023	0.568766380388284	0.268780715653177	0.788098434114156	0.999717028849961	112	406	1317	352	282	955	134.389037048078	275.15045157384	2055.94889562745	261.098828469391	331.422053345735	685.84533087954	0.03	DOWN_pEhEx_UP_UmasM
EHI_002790A	53.5665743485876	-0.111084592485205	0.490736249715931	-0.226363127952149	0.820919003286307	0.999717028849961	25	56	60	48	47	96	29.9975529125174	37.9517864239779	93.6650977506811	35.6043857003715	55.2370088909559	68.9436144130218	0.03	UP_pEhEx_DOWN_UmasM
EHI_002990A	41.040814975593	-0.046300923571786	0.504332869770904	-0.0918062778514087	0.926851956125755	0.999717028849961	44	91	7	83	37	22	52.7956931260307	61.6716529389642	10.9275947375795	61.5659169402257	43.4844538077738	15.7995783029842	0.03	UP_pEhEx_DOWN_UmasM
EHI_003000A	86.5932565836917	0.232240437489534	0.453056499518688	0.512608113416887	0.608225476644306	0.999717028849961	100	98	60	100	60	132	119.99021165007	66.4156262419614	93.6650977506811	74.1758035424406	70.5153304990926	94.797469817905	0.03	DOWN_pEhEx_UP_UmasM
EHI_003010A	925.451702489553	-0.272857591202564	0.387308864615246	-0.70449611700373	0.481123867377741	0.999717028849961	606	1241	605	1226	1076	1206	727.140682599423	841.038695574225	944.456402319368	909.395351430322	1264.57492695039	866.104156063586	0.03	UP_pEhEx_DOWN_UmasM
EHI_003020A	33.8163718198474	1.11499107378834	0.668693928028072	1.66741617809565	0.0954316791542656	0.999717028849961	5	40	72	14	7	54	5.99951058250349	27.10841887427	112.398117300817	10.3846124959417	8.22678855822747	38.7807831073248	0.03	DOWN_pEhEx_UP_UmasM
