logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_012420A	-2.04370686355363	2.43045592163425	-5.32881412930262	0.00164167287202437	0.278805869280683	-0.645508698854193	15	26	113	78	1.97382295582602	3.38485229386146	10.6237972459872	11.1744879259916	72.12	UP_pEhEx_DOWN_EhMyb10
EHI_048140A	-2.67772678505675	6.28442918233151	-5.31529449710136	0.0016634486127976	0.278805869280683	-0.706329448937138	288	190	1320	2204	37.8974007518597	24.735459070526	124.100994377904	315.75091524212	72.12	UP_pEhEx_DOWN_EhMyb10
EHI_134810A	-1.89270095173446	5.9750892355119	-5.33588186756586	0.00163041774682536	0.278805869280683	-0.683459630860459	316	196	1181	923	41.5818702694016	25.5165788306479	111.032783606291	132.231440457567	72.12	UP_pEhEx_DOWN_EhMyb10
EHI_006770A	5.7526323041913	-1.22992514282273	5.06783111330786	0.00212599417751315	0.301478996891159	-1.24761154454722	39	14	0	0	5.13193968514766	1.82261277361771	0	0	69.85	DOWN_pEhEx_UP_EhMyb10
EHI_010030A	-2.33511109557341	5.25295539314331	-5.09120058295195	0.00207659291571875	0.301478996891159	-0.928201144063885	184	91	704	770	24.2122282581326	11.8469830285151	66.1871970015486	110.312252602737	69.85	UP_pEhEx_DOWN_EhMyb10
EHI_069280A	-1.80594084592886	2.97507799417464	-5.06311551539372	0.00213612291225339	0.301478996891159	-0.924135420901034	40	25	156	102	5.26352788220273	3.25466566717448	14.6664811537522	14.6127919032197	69.85	UP_pEhEx_DOWN_EhMyb10
EHI_085680A	-4.20963708487528	-1.79139573393996	-5.05140513695781	0.00216151266284138	0.301478996891159	-1.3103352897514	0	0	10	11	0	0	0.940159048317451	1.57588932289624	69.85	UP_pEhEx_DOWN_EhMyb10
EHI_144610A	-1.94288728188698	6.72108708194444	-5.0410878527301	0.00218416490396322	0.301478996891159	-0.982468292715651	471	356	1654	1930	61.9780408129372	46.3464391005646	155.502306591706	276.496944835432	69.85	UP_pEhEx_DOWN_EhMyb10
EHI_181610A	1.89986293364535	4.58913670296908	5.04440066185589	0.00217686231036583	0.301478996891159	-0.978809218784578	262	481	139	82	34.4761076284279	62.6197674364369	13.0682107716126	11.7475385888629	69.85	DOWN_pEhEx_UP_EhMyb10
EHI_005070A	-1.51993905434206	3.49126438553307	-4.5728508123434	0.00355965445838517	0.304728905224172	-1.46203597740514	56	45	174	154	7.36893903508383	5.85839820091406	16.3587674407237	22.0624505205474	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	5.47033870296632	-1.37295279202021	4.79984172056396	0.00279853415004187	0.304728905224172	-1.43684756026275	11	33	0	0	1.44747016760575	4.29615868067031	0	0	69.53	DOWN_pEhEx_UP_EhMyb10
EHI_033240A	-4.6579895483414	-1.55703818979798	-4.85341885918494	0.00264683366693916	0.304728905224172	-1.41334395694306	0	0	12	18	0	0	1.12819085798094	2.57872798292113	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_035510A	-1.40581338696713	3.33829013371132	-4.7144941209803	0.0030608656423349	0.304728905224172	-1.3046324975767	45	49	168	119	5.92146886747808	6.37914470766198	15.7946720117332	17.048257220423	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_036560A	-1.70886355587875	3.43361313916583	-4.53353320580913	0.00371387528373158	0.304728905224172	-1.5013996378942	60	34	225	125	7.8952918233041	4.42634530735729	21.1535785871427	17.9078332147301	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_038300A	-2.42202077440575	2.36109043177052	-4.87234742649529	0.00259547284150599	0.304728905224172	-1.0878916537369	27	10	138	75	3.55288132048684	1.30186626686979	12.9741948667808	10.744699928838	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_045280A	-1.72492692811697	2.16812549878218	-4.73767162929456	0.00298698458136316	0.304728905224172	-1.22826878588287	16	21	78	63	2.10541115288109	2.73391916042656	7.33324057687612	9.02554794022395	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_049690A	-1.52302058042237	7.96682960166622	-4.53361322898752	0.00371355387024173	0.304728905224172	-1.52714911220521	1410	901	4559	2928	185.539357847646	117.298150644968	428.618510127926	419.473085221837	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_056690A	-2.00325899695245	4.07842158590306	-4.63672006544172	0.00332423087581183	0.304728905224172	-1.40109382984295	93	44	312	271	12.2377023261214	5.72821157422708	29.3329623075045	38.8241824095348	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_057550A	1.6167925335387	5.55427528237564	4.49705545084897	0.00386369492148517	0.304728905224172	-1.5684956009904	508	777	341	156	66.8468041039747	101.155008935783	32.0594235476251	22.3489758519831	69.53	DOWN_pEhEx_UP_EhMyb10
EHI_058090A	-1.55241791198389	7.80241416620446	-4.48067014295747	0.00393319091361782	0.304728905224172	-1.5851955792454	1023	965	3209	3393	134.614725587335	125.630094752935	301.69703860507	486.090224780633	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_058320A	-2.23514970034056	2.22717395150968	-4.5007307137279	0.00384829672978587	0.304728905224172	-1.47276038970529	18	14	76	101	2.36858754699123	1.82261277361771	7.14520876721263	14.4695292375019	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_069950A	-2.06811053310537	1.90678876414209	-4.83492794827529	0.00269811633585705	0.304728905224172	-1.11111880494284	15	12	66	66	1.97382295582602	1.56223952024375	6.20504971889518	9.45533593737747	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_095830A	-2.55000093245401	4.03770208241459	-4.52193838208077	0.0037607778812298	0.304728905224172	-1.5191537193411	94	28	384	304	12.3692905231764	3.64522554723541	36.1021074553901	43.5518503782235	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_103370A	-2.13675294215927	2.52740881469152	-4.95110740910066	0.00239350559769213	0.304728905224172	-1.01819916526736	30	14	134	80	3.94764591165205	1.82261277361771	12.5981312474538	11.4610132574272	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_118230A	-2.08104969653321	3.24295568870095	-4.4786939299109	0.00394166714194481	0.304728905224172	-1.54900569970579	26	46	151	186	3.42129312343178	5.98858482760104	14.1964016295935	26.6468558235183	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_118670A	-1.92464416778472	3.24066893864921	-4.44469357213065	0.00409075666505921	0.304728905224172	-1.58952871972168	37	36	138	182	4.86876329103753	4.68671856073125	12.9741948667808	26.073805160647	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_120950A	-2.74635523307229	0.883906662253406	-4.82347265403286	0.00273044812544745	0.304728905224172	-1.15055010000798	4	6	43	39	0.526352788220273	0.781119760121874	4.04268390776504	5.58724396299578	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_126210A	-1.88573638060753	3.56737359370912	-4.68907330520287	0.00314427296636743	0.304728905224172	-1.33320026721477	62	35	202	190	8.15846821741424	4.55653193404427	18.9912127760125	27.2199064863897	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_146540A	2.15545239029392	1.02094060864152	4.71098109904622	0.0030722423830829	0.304728905224172	-1.22090861261408	29	36	10	6	3.81605771459698	4.68671856073125	0.940159048317451	0.859575994307043	69.53	DOWN_pEhEx_UP_EhMyb10
EHI_151890A	-1.71281741197633	1.86803673567197	-4.52461378387206	0.00374989677830095	0.304728905224172	-1.43691646776051	17	13	64	50	2.23699934993616	1.69242614693073	6.01701790923169	7.16313328589202	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	-2.68375161304106	5.5667257416111	-4.71347723820873	0.00306415387980527	0.304728905224172	-1.32584384363125	191	106	755	1419	25.1333456375181	13.7997824288198	70.9820081479676	203.289722653616	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_157360A	-1.857119398276	2.64397938513423	-4.67375616057554	0.00319576324582398	0.304728905224172	-1.31430615419484	25	24	98	107	3.28970492637671	3.1244790404875	9.21355867351102	15.3291052318089	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_165810.mRNA	1.85928544485185	6.52027226734162	4.75731474400911	0.00292593973140098	0.304728905224172	-1.2785199288404	1022	1740	627	275	134.48313739028	226.524730435344	58.9479723295042	39.3972330724061	69.53	DOWN_pEhEx_UP_EhMyb10
EHI_169350A	-3.46741013322274	6.24471853670069	-4.60167571158798	0.00345116006904109	0.304728905224172	-1.45541337725125	119	250	1248	3834	15.6589954495531	32.5466566717448	117.331849230018	549.2690603622	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	-2.99506412289517	6.94853141237556	-4.71713616927793	0.00305234075205368	0.304728905224172	-1.33212959941256	301	366	1876	4864	39.6080473135756	47.6483053674343	176.373837464354	696.829606051576	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_180000A	-2.14519591693968	1.56763483499907	-4.4452275022637	0.00408836706442649	0.304728905224172	-1.49308325515312	13	8	54	53	1.71064656171589	1.04149301349583	5.07685886091424	7.59292128304554	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_186950A	-1.32838664695148	4.54160431579786	-4.46510624774728	0.00400050449126476	0.304728905224172	-1.60562089619677	125	100	376	268	16.4485246318835	13.0186626686979	35.3499802167362	38.3943944123812	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_201200A	-1.42886326681579	4.42888906431192	-4.44807998564745	0.00407562729136198	0.304728905224172	-1.62284960811117	112	89	324	285	14.7378780701677	11.5866097751411	30.4611531654854	40.8298597295845	69.53	UP_pEhEx_DOWN_EhMyb10
EHI_179850A	-4.65144479073062	-1.55008708848013	-4.41292302047515	0.00423580571705977	0.310603691096273	-1.73255435732564	0	0	11	20	0	0	1.0341749531492	2.86525331435681	68.94	UP_pEhEx_DOWN_EhMyb10
EHI_079890A	-1.5967571211909	2.59687999467028	-4.37220378198176	0.00443021188880927	0.319861298372029	-1.64466688788798	25	27	92	89	3.28970492637671	3.51503892054844	8.64946324452055	12.7503772488878	68.01	UP_pEhEx_DOWN_EhMyb10
EHI_141800A	-1.78268035960384	6.81004495230517	-4.30270829117573	0.00478553221978011	0.336114087364337	-1.78785974036431	640	332	1890	1706	84.2164461152437	43.2219600600771	177.690060131998	244.406107714636	66.39	UP_pEhEx_DOWN_EhMyb10
EHI_188170A	-1.67584035443824	5.09736182858218	-4.30027099158243	0.00479856037788421	0.336114087364337	-1.79247987053702	116	184	510	542	15.2642308583879	23.9543393104042	47.94811146419	77.6483648190695	66.39	UP_pEhEx_DOWN_EhMyb10
EHI_044820A	-1.64668383430677	4.03706348838838	-4.24605508420164	0.0050988734898979	0.346527723186631	-1.84447285133718	84	59	238	262	11.0534085526257	7.68101097453177	22.3757853499553	37.5348184180742	65.35	UP_pEhEx_DOWN_EhMyb10
EHI_095070A	-1.41482813072176	2.35807617521042	-4.22135965356776	0.00524258860989789	0.346527723186631	-1.80417865262097	25	22	83	62	3.28970492637671	2.86410578711354	7.80332010103485	8.88228527450611	65.35	UP_pEhEx_DOWN_EhMyb10
EHI_126860A	-1.68147113003267	2.77321349625747	-4.23000843353354	0.00519174807200824	0.346527723186631	-1.81351010089594	39	21	120	92	5.13193968514766	2.73391916042656	11.2819085798094	13.1801652460413	65.35	UP_pEhEx_DOWN_EhMyb10
EHI_156660A	-1.225875640435	9.54845941282981	-4.2429290186572	0.00511681982774623	0.346527723186631	-1.88047959120791	3295	4247	12553	7754	433.58310929645	552.9026035396	1180.1816533529	1110.85870997613	65.35	UP_pEhEx_DOWN_EhMyb10
EHI_028990A	-2.46356361768963	4.73633791638516	-4.19521907597976	0.005399665684158	0.347131932270596	-1.90527152566095	141	53	450	641	18.5539357847646	6.89989121440989	42.3071571742853	91.8313687251357	65.29	UP_pEhEx_DOWN_EhMyb10
EHI_127400A	-1.53576176035126	1.98733847538308	-4.19930448001169	0.00537477373449663	0.347131932270596	-1.80482258167764	15	20	77	43	1.97382295582602	2.60373253373958	7.23922467204437	6.16029462586714	65.29	UP_pEhEx_DOWN_EhMyb10
EHI_068560A	-1.30078559956956	2.75900004927837	-4.15987674246816	0.00562045994290109	0.356443493405876	-1.89986978676988	34	31	115	72	4.47399869987232	4.03578542729635	10.8118290556507	10.3149119316845	64.36	UP_pEhEx_DOWN_EhMyb10
EHI_000130A	-1.83939544107283	4.18060192492275	-3.93750673993279	0.00726378325588898	0.361235047081491	-2.21078571538382	78	68	236	368	10.2638793702953	8.85269061471458	22.1877535402919	52.7206609841653	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_000690A	-6.14898481372073	1.69922120741864	-4.02540646386183	0.00655755490138614	0.361235047081491	-1.9614600501666	17	0	184	298	2.23699934993616	0	17.2989264890411	42.6922743839164	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_001060A	-2.27799834569096	0.0173736863019309	-3.62101740705263	0.0106013544873306	0.361235047081491	-2.34678748382806	3	3	22	16	0.394764591165205	0.390559880060937	2.06834990629839	2.29220265148545	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_001940A	-1.65408059257183	6.39011699277809	-3.86128566473636	0.00794505458065691	0.361235047081491	-2.31102480328187	505	257	1316	1251	66.4520395128095	33.4579630585536	123.724930758577	179.221594813018	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_004530A	1.05178964014089	3.80234488171277	3.50752610744945	0.012186220766905	0.361235047081491	-2.74882830715331	138	170	109	63	18.1591711935994	22.1317265367864	10.2477336266602	9.02554794022395	63.88	DOWN_pEhEx_UP_EhMyb10
EHI_004860A	-1.08228313745371	5.46323936113684	-3.5765665736414	0.0111932997247616	0.361235047081491	-2.67177647044554	263	203	709	431	34.607695825483	26.4278852174568	66.6572765257073	61.7462089243892	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_008040A	-1.79313483414032	1.70097151951532	-3.74106318789725	0.00916840018749929	0.361235047081491	-2.30163671886802	9	18	53	51	1.18429377349561	2.34335928036562	4.98284295608249	7.30639595160986	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_009490A	-2.09580236882173	3.04909321175706	-3.97066285278343	0.00698790567700936	0.361235047081491	-2.12311886235917	53	17	174	124	6.97417444391862	2.21317265367864	16.3587674407237	17.7645705490122	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_012570A	-1.26510011887969	3.82873572712776	-3.89221977342523	0.00766035772029343	0.361235047081491	-2.26380335730024	68	71	195	184	8.94799739974465	9.24325049477551	18.3331014421903	26.3603304920826	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_013340A	-1.54320276657013	3.03316882654692	-3.70940692440495	0.00952426005988071	0.361235047081491	-2.4507900520787	25	52	136	106	3.28970492637671	6.76970458772291	12.7861630571173	15.1858425660911	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_027370A	-1.46383397847164	1.98927465858122	-4.0347767487502	0.00648689263860821	0.361235047081491	-1.99411182298877	15	21	69	46	1.97382295582602	2.73391916042656	6.48709743339041	6.59008262302066	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_027520A	-1.20332920261471	2.94590817908288	-3.6513290861665	0.010217529647478	0.361235047081491	-2.52384386148039	43	34	112	90	5.65829247336794	4.42634530735729	10.5297813411555	12.8936399146056	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_030170A	-1.41214112934963	3.47419512318105	-3.91556949621123	0.00745296228826662	0.361235047081491	-2.2216504130434	53	50	151	161	6.97417444391862	6.50933133434895	14.1964016295935	23.0652891805723	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_032780A	-1.97290849893738	2.19032332110483	-3.50301525001464	0.0122543896341247	0.361235047081491	-2.63629401602854	13	22	63	97	1.71064656171589	2.86410578711354	5.92300200439994	13.8964785746305	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_035400A	-1.30491901276264	2.56932773024198	-3.96853509848728	0.00700525554825393	0.361235047081491	-2.11244383787413	26	31	106	60	3.42129312343178	4.03578542729635	9.96568591216498	8.59575994307043	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_035650A	-1.60300844975724	3.43897254298378	-4.06862267303903	0.00623863284757644	0.361235047081491	-2.03481223271337	65	34	187	141	8.55323280857944	4.42634530735729	17.5809742035363	20.2000358662155	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_046600A	-1.97899351760762	2.95471235774721	-3.90139288744616	0.00757812590774949	0.361235047081491	-2.20297314633611	45	19	126	139	5.92146886747808	2.4735459070526	11.8460040087999	19.9135105347798	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_049660A	-1.24851410920178	3.39020311129638	-3.52045514402018	0.0119931352334191	0.361235047081491	-2.71063288231853	48	55	137	141	6.31623345864328	7.16026446778385	12.8801789619491	20.2000358662155	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_050000A	-2.76506971372395	1.47857508789689	-3.79824028040412	0.00856234984152169	0.361235047081491	-2.17536129355994	4	14	54	73	0.526352788220273	1.82261277361771	5.07685886091424	10.4581745974024	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_050740A	-1.27569971632302	5.41127587697134	-3.76681908674767	0.00888971163940949	0.361235047081491	-2.43241836527485	260	167	734	443	34.2129312343178	21.7411666567255	69.0076741465009	63.4653609130033	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_050960A	-1.46493655880569	8.33886041466801	-3.51413340602543	0.0120871218480108	0.361235047081491	-2.75424461296357	2155	1027	5271	4079	283.572564653672	133.701665607528	495.557834368129	584.368413463071	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_050980A	-1.22866049704744	2.51814930509094	-3.60408721520055	0.0108226408127075	0.361235047081491	-2.55284579497526	28	28	81	70	3.68446951754191	3.64522554723541	7.61528829137136	10.0283866002488	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_051870A	1.04936667882943	4.05923209643499	3.60191778829406	0.0108513626971186	0.361235047081491	-2.63566980351248	170	196	115	86	22.3699934993616	25.5165788306479	10.8118290556507	12.3205892517343	63.88	DOWN_pEhEx_UP_EhMyb10
EHI_053420A	-1.5253394344433	1.42314809370391	-3.52665895223191	0.0119016831090021	0.361235047081491	-2.53678503718945	11	12	40	38	1.44747016760575	1.56223952024375	3.76063619326981	5.44398129727794	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_056250A	-1.34117751853698	2.19586690475063	-3.53922374211356	0.0117188041074535	0.361235047081491	-2.6074307183762	17	27	71	55	2.23699934993616	3.51503892054844	6.6751292430539	7.87944661448122	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_056460A	-1.58410655116502	4.52820620545455	-3.61470175918131	0.0106833141737339	0.361235047081491	-2.61987727048412	151	68	387	305	19.8698177553153	8.85269061471458	36.3841551698854	43.6951130439413	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_059540A	1.10402829463296	4.27181238416495	3.75689515961563	0.00899596612452971	0.361235047081491	-2.44490670733053	238	196	145	88	31.3179908991063	25.5165788306479	13.632306200603	12.60711458317	63.88	DOWN_pEhEx_UP_EhMyb10
EHI_060860A	-1.17337417147824	4.97138514049171	-3.53452803473913	0.0117867850634419	0.361235047081491	-2.72709460407994	175	145	411	399	23.027934484637	18.877060869612	38.6405368858472	57.1618036214183	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_064640A	-1.10124219817257	3.91603256228046	-3.7814869828507	0.00873520005444744	0.361235047081491	-2.40406642285812	72	85	230	157	9.47435018796492	11.0658632683932	21.6236581113014	22.4922385177009	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_065810A	-1.05813667076374	4.03820412519363	-3.48895003595671	0.0124696521685918	0.361235047081491	-2.77621637202772	84	89	221	188	11.0534085526257	11.5866097751411	20.7775149678157	26.933381154954	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_076020A	-1.66968394280744	5.59388085366202	-3.54497886394698	0.0116360737999531	0.361235047081491	-2.7083268032567	316	135	789	696	41.5818702694016	17.5751946027422	74.1785489122469	99.7108153396169	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_077770A	-2.4783183055592	2.66876018848981	-3.57541184183662	0.0112091550805545	0.361235047081491	-2.57074463319825	44	9	126	132	5.78988067042301	1.17167964018281	11.8460040087999	18.9106718747549	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_079930A	1.66618037523003	1.78008123673572	3.89912627703473	0.0075983532105578	0.361235047081491	-2.13646057015215	37	59	23	11	4.86876329103753	7.68101097453177	2.16236581113014	1.57588932289624	63.88	DOWN_pEhEx_UP_EhMyb10
EHI_083270A	-2.4592985621046	7.7765083466909	-3.6079606489832	0.0107715671770994	0.361235047081491	-2.63349651400251	1538	331	5365	3660	202.382647070695	43.0917734333901	504.395329422313	524.341356527296	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_083410A	-2.4592985621046	7.7765083466909	-3.6079606489832	0.0107715671770994	0.361235047081491	-2.63349651400251	1538	331	5365	3660	202.382647070695	43.0917734333901	504.395329422313	524.341356527296	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_086540A	-1.59243280581539	2.04400549925554	-3.84383978296659	0.00811078093911421	0.361235047081491	-2.21970786909853	24	13	81	46	3.15811672932164	1.69242614693073	7.61528829137136	6.59008262302066	63.88	UP_pEhEx_DOWN_EhMyb10
EHI_087370A	-1.18924827515124	3.32707637929445	-3.88486969531037	0.00772696236628878	0.361235047081491	-2.25585697915261	55	46	169	100	7.23735083802876	5.98858482760104	15.8886879165649	14.326266571784	63.88	UP_pEhEx_DOWN_EhMyb10
