CDC5_1	CDC5_2	pEhEx_1	pEhEx_2
EHI_000010A	1.28605272032142	0.857196669562861	1.0329322126599	0.286565811442552
EHI_000130A	9.36981267662747	5.00031390578335	22.1610911079759	52.7281093054296
EHI_000140A	14.3303017407244	17.7153978376325	44.6977939296464	41.5520426591701
EHI_000240A	113.172639388285	91.7200436432261	148.742238623025	235.557097005778
EHI_000250A	63.5677487473158	62.2896246549012	41.1294826495486	39.8326477905148
EHI_000260A	1.65349635469896	13.1436822666305	13.8037304782732	8.16712562611274
EHI_000280A	7.53259450473973	5.14318001737716	6.94881670334839	10.1730863062106
EHI_000290A	2.20466180626529	3.28592056665763	2.34757321059067	1.71939486865531
EHI_000300A	6.43026360160709	8.57196669562861	16.9025271162528	14.0417247606851
EHI_000410A	1.83721817188774	2.42872389709477	3.56831128009782	3.0089410201468
EHI_000430A	1.28605272032142	3.14305445506382	3.28660249482694	1.71939486865531
EHI_000440A	43.1746270393619	39.5739129114854	51.1770959908767	33.6714828444999
EHI_000480A	2.02093998907651	3.42878667825144	3.19269956640331	2.72237520870425
EHI_000510A	1295.97369844961	1332.36935672387	1180.17200442814	1476.38706055203
EHI_000520A	2.93954907502038	1.71439333912572	2.15976735374342	2.43580939726169
EHI_000540A	4.2256017953418	3.71451890143906	4.13172885063958	1.57611196293404
EHI_000550A	39.5001906955864	39.4310467998916	36.4343362283672	32.2386537872871
EHI_000560A	10.4721435797601	8.14336836084718	5.9158844906885	5.87459913457232
EHI_000570A	11.0233090313264	9.00056503041004	6.291496204383	5.87459913457232
EHI_000580A	20.0256780735764	19.8583895115396	17.5598476152182	14.3282905721276
EHI_000590A	1845.30193184404	1630.95952995494	1313.60806571812	1409.61722648591
EHI_000610A	211.647533401468	169.582074461853	183.29851628292	326.541742138788
EHI_000620A	0.183721817188774	0.14286611159381	2.34757321059067	4.01192136019573
EHI_000650A	4.96048906409689	8.71483280722242	9.67200162763357	7.59399400322764
EHI_000660A	2.75582725783161	3.14305445506382	3.09879663797969	1.28954615149149
EHI_000670A	2.20466180626529	1.14292889275048	1.0329322126599	1.43282905721276
EHI_000690A	0	0	17.2781388299474	42.6983059049403
EHI_000700A	7.90003813911728	8.57196669562861	7.41833134546653	7.45071109750636
EHI_000710A	2.93954907502038	4.14311723622049	4.31953470748684	3.72535554875318
EHI_000720A	16.5349635469897	16.0010044985067	20.4708383963507	15.3312709121765
EHI_000730A	47.7676724690812	58.8608379766498	86.0150824360422	119.641226277266
EHI_000740A	21.128008976709	15.1438078289439	11.6439631245297	11.3193495519808
EHI_000780A	1.46977453751019	5.00031390578335	2.62928199586155	4.15520426591701
EHI_000790A	10.8395872141377	8.00050224925337	6.66710791807751	5.73131622885105
EHI_000800A	40.9699652330966	37.7166534607659	32.3026073777277	30.2326931071893
EHI_000900A	2.20466180626529	1.14292889275048	2.53537906743793	5.01490170024467
EHI_001050A	73.6724486926983	63.5754196592455	72.6808665998872	70.7817554263104
EHI_001060A	0	0.42859833478143	2.06586442531979	2.29252649154042
EHI_001070A	81.2050431974381	75.5761730331256	83.7614121538752	93.2771716245508
EHI_001100A	4.59304542971935	2.28585778550096	2.34757321059067	2.72237520870425
EHI_001120A	9.92097812819379	6.71470724490908	9.85980748448083	12.8954615149149
