logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_017750A	-1.73252004153522	5.88080944275865	-4.66491592774749	0.00264649974724082	0.605148668703839	-1.12238843718549	159	313	950	880	24.7161439833978	42.0583079436815	90.5089609405742	127.392636966428	39.49	UP_pEhEx_DOWN_CmasM
EHI_017890A	-1.53746298612399	1.14568128960803	-3.00929700011493	0.0209709443851436	0.605148668703839	-2.94706763581025	7	10	32	32	1.08813212505525	1.34371590874382	3.04872289484039	4.63245952605193	39.49	UP_pEhEx_DOWN_CmasM
EHI_019290A	1.43353666376019	1.67455059396302	2.38399497850626	0.0505001026759946	0.605148668703839	-3.78021363190383	32	45	37	6	4.97431828596686	6.04672158934718	3.52508584715921	0.868586161134737	39.49	DOWN_pEhEx_UP_CmasM
EHI_019620A	-1.04072690746703	2.24690319387204	-3.1184171172197	0.0180722968421491	0.605148668703839	-2.88151455415388	20	25	69	48	3.10894892872929	3.35928977185954	6.5738087419996	6.94868928907789	39.49	UP_pEhEx_DOWN_CmasM
EHI_019860A	-2.12220678876575	0.940375718276336	-3.91978657577128	0.00638599560239952	0.605148668703839	-2.056364718841	7	5	41	27	1.08813212505525	0.671857954371909	3.90617620901426	3.90863772510631	39.49	UP_pEhEx_DOWN_CmasM
EHI_020080A	-1.16695347279016	6.21930070367764	-3.17830206370826	0.0166668631371232	0.605148668703839	-2.89132964708154	238	496	1073	841	36.9964922518785	66.6483090736934	102.227489567617	121.746826919052	39.49	UP_pEhEx_DOWN_CmasM
EHI_022970A	-0.923090037259563	5.70842033694998	-3.26215725487386	0.0148930475629041	0.605148668703839	-2.78358719703884	254	271	693	541	39.4836513948619	36.4147011269575	66.0239051913873	78.3175188623154	39.49	UP_pEhEx_DOWN_CmasM
EHI_023000A	-2.0127086250771	3.13920329497614	-2.37137456937478	0.051422421846021	0.605148668703839	-3.89926340972952	9	93	157	149	1.39902701792818	12.4965579513175	14.9577967028107	21.5698896681793	39.49	UP_pEhEx_DOWN_CmasM
EHI_023070A	-0.988502543903563	3.72132991368552	-2.36981087989416	0.0515379007779972	0.605148668703839	-3.94806178139553	75	55	144	173	11.6585584827348	7.390437498091	13.7192530267818	25.0442343127182	39.49	UP_pEhEx_DOWN_CmasM
EHI_023400A	2.20564163077849	7.77569085830994	4.01493689475721	0.00568019133673987	0.605148668703839	-1.85003972077619	4388	2413	1723	438	682.103394963205	324.238648779883	164.154673369063	63.4067897628358	39.49	DOWN_pEhEx_UP_CmasM
EHI_024240A	-1.16561436673962	5.31157114136264	-2.97482224968902	0.021987165130367	0.605148668703839	-3.16134015593724	138	243	468	546	21.4517476082321	32.6522965824748	44.5875723370408	79.041340663261	39.49	UP_pEhEx_DOWN_CmasM
EHI_024670A	-0.952080066862775	2.10867101435374	-2.46511028283641	0.0449657950028957	0.605148668703839	-3.71941106611966	15	29	66	39	2.33171169654696	3.89677613535707	6.28799097060831	5.64581004737579	39.49	UP_pEhEx_DOWN_CmasM
EHI_024680A	-0.670054087113508	5.09413794070812	-2.3642710043411	0.0519491753523287	0.605148668703839	-3.99299283875907	182	192	414	324	28.2914352514365	25.7993454478813	39.4428524519976	46.9036527012758	39.49	UP_pEhEx_DOWN_CmasM
EHI_025230A	-1.46631762701301	6.24843014391688	-2.52175212639035	0.0414770043625362	0.605148668703839	-3.77428103141957	159	627	1089	1063	24.7161439833978	84.2509874782374	103.751851015037	153.884514881037	39.49	UP_pEhEx_DOWN_CmasM
EHI_025360A	-0.962783006521604	5.25856823470913	-3.50906720331636	0.0107554435527157	0.605148668703839	-2.46751507980725	180	199	545	379	27.9805403585636	26.739946584002	51.9235618027505	54.8656925116775	39.49	UP_pEhEx_DOWN_CmasM
EHI_025370A	0.971251202272757	5.21356969179927	3.20665248072571	0.0160429286181953	0.605148668703839	-2.85816769987209	325	396	235	216	50.5204200918509	53.2111499862552	22.3890587589841	31.2691018008505	39.49	DOWN_pEhEx_UP_CmasM
EHI_025450A	0.832330326019497	7.93119184196611	2.46135562044769	0.0452075686826886	0.605148668703839	-3.85854473945883	2379	2140	2386	1013	369.809475072349	287.555204471177	227.320400846537	146.646296871581	39.49	DOWN_pEhEx_UP_CmasM
EHI_026310A	0.743824004659062	4.92070457374132	2.44932762170139	0.0459911993288146	0.605148668703839	-3.87736275626436	298	246	250	158	46.3233390380664	33.0554113550979	23.8181476159406	22.8727689098814	39.49	DOWN_pEhEx_UP_CmasM
EHI_026360A	-1.25432939366452	2.34064962662082	-2.71044009249031	0.0317581337607363	0.605148668703839	-3.4089862940941	22	22	57	78	3.41984382160222	2.9561749992364	5.43053765643445	11.2916200947516	39.49	UP_pEhEx_DOWN_CmasM
EHI_026430A	-0.910804237168058	1.94895994154514	-2.40957352780354	0.0486827351952077	0.605148668703839	-3.77926963496205	15	24	62	32	2.33171169654696	3.22491818098516	5.90690060875326	4.63245952605193	39.49	UP_pEhEx_DOWN_CmasM
EHI_027370A	-0.959429851140323	2.25184117690893	-2.45855915865392	0.0453885164922019	0.605148668703839	-3.73958739499208	16	33	69	46	2.48715914298343	4.4342624988546	6.5738087419996	6.65916056869965	39.49	UP_pEhEx_DOWN_CmasM
EHI_027520A	-0.889923870610417	3.11599695842258	-2.57718410284421	0.0383348541722087	0.605148668703839	-3.63911769233078	33	57	112	90	5.12976573240332	7.65918067983976	10.6705301319414	13.028792417021	39.49	UP_pEhEx_DOWN_CmasM
EHI_028880A	-1.1881317325897	5.91899187184198	-3.16342076717754	0.0170047795105667	0.605148668703839	-2.91132657004529	189	405	1057	572	29.3795673764918	54.4204943041246	100.703128120197	82.8052140281782	39.49	UP_pEhEx_DOWN_CmasM
EHI_028930A	1.29496466111546	1.65436441227782	3.24783041226598	0.0151810850398794	0.605148668703839	-2.69516885474214	38	30	21	13	5.90700296458564	4.03114772623145	2.00072439973901	1.8819366824586	39.49	DOWN_pEhEx_UP_CmasM
EHI_028990A	-2.18776477727573	4.88014488468454	-2.72186028499413	0.0312525901938395	0.605148668703839	-3.48759287258866	36	247	450	641	5.59610807171272	33.1897829459723	42.872665708693	92.7939548812277	39.49	UP_pEhEx_DOWN_CmasM
EHI_029560A	-1.0522409382983	2.38903818910911	-2.46707279860998	0.0448399568361227	0.605148668703839	-3.73726041965106	25	24	58	71	3.88618616091161	3.22491818098516	5.52581024689822	10.2782695734277	39.49	UP_pEhEx_DOWN_CmasM
EHI_029600A	0.71814509664668	4.41880735456171	2.50812660021563	0.0422897055713623	0.605148668703839	-3.78928877071905	191	188	185	108	29.6904622693647	25.2618590843838	17.625429235796	15.6345509004253	39.49	DOWN_pEhEx_UP_CmasM
EHI_030150A	1.73362697355405	0.398091935076574	2.93608441826268	0.0231920934962091	0.605148668703839	-3.03951810904397	14	17	5	7	2.1762642501105	2.28431704486449	0.476362952318812	1.01335052132386	39.49	DOWN_pEhEx_UP_CmasM
EHI_030170A	-1.22408972406283	3.58119221781326	-3.25815295548135	0.014972954436471	0.605148668703839	-2.75734063421256	42	68	151	161	6.5287927503315	9.13726817945796	14.3861611600281	23.3070619904488	39.49	UP_pEhEx_DOWN_CmasM
EHI_030390A	-1.57258336295226	3.56701600193064	-2.37445223838102	0.0511959128147827	0.605148668703839	-3.92690617706464	22	98	147	209	3.41984382160222	13.1684159056894	14.0050707981731	30.2557512795267	39.49	UP_pEhEx_DOWN_CmasM
EHI_030480A	-0.676933140523426	4.44146016977008	-2.41082488150345	0.048595577414665	0.605148668703839	-3.92005306708583	103	136	290	188	16.0110869829558	18.2745363589159	27.6290512344911	27.2156997155551	39.49	UP_pEhEx_DOWN_CmasM
EHI_030820A	-0.840784547209163	6.83778702142132	-2.87481928380206	0.0252435169772803	0.605148668703839	-3.29187577034956	557	626	1418	1199	86.5842276651106	84.116615887363	135.096533277615	173.572467866758	39.49	UP_pEhEx_DOWN_CmasM
EHI_031240A	-1.27645548546017	3.97131450647386	-3.40810835870096	0.0122732789678233	0.605148668703839	-2.57679073978262	62	77	191	226	9.63774167906079	10.3466124973274	18.1970647785786	32.7167454027417	39.49	UP_pEhEx_DOWN_CmasM
EHI_032670A	-4.03488348793109	-0.0148764792680791	-2.67727825677816	0.0332755203350042	0.605148668703839	-3.45740835484887	0	5	25	47	0	0.671857954371909	2.38181476159406	6.80392492888877	39.49	UP_pEhEx_DOWN_CmasM
EHI_032780A	-2.42092018019008	1.93316049262881	-2.99386342698172	0.0214195402621296	0.605148668703839	-2.98022609734669	4	26	63	97	0.621789785745857	3.49366136273393	6.00217319921703	14.0421429383449	39.49	UP_pEhEx_DOWN_CmasM
EHI_033740A	-0.805874601575602	4.47598679436782	-2.87210996056802	0.0253385796813917	0.605148668703839	-3.29293975343823	114	118	299	209	17.7210088937569	15.855847723177	28.4865045486649	30.2557512795267	39.49	UP_pEhEx_DOWN_CmasM
EHI_035160A	0.856037595469117	1.9614784225296	2.38333848272374	0.0505476574953754	0.605148668703839	-3.8248646484103	38	34	32	18	5.90700296458564	4.56863408972898	3.04872289484039	2.60575848340421	39.49	DOWN_pEhEx_UP_CmasM
EHI_035510A	-0.908609925779594	3.60259248939877	-3.05442412901622	0.0197159419105179	0.605148668703839	-3.02490686129191	52	71	168	119	8.08326721469614	9.54038295208111	16.0057951979121	17.2269588625056	39.49	UP_pEhEx_DOWN_CmasM
EHI_035600A	-1.13201165061021	8.6309444721294	-2.49113411249299	0.043326495217376	0.605148668703839	-3.82340665743747	1091	3138	5632	4443	169.593164062183	421.65805216381	536.575229491909	643.188052320272	39.49	UP_pEhEx_DOWN_CmasM
EHI_035650A	-1.18213738876767	3.65814141360254	-2.37143343716779	0.0514180796500815	0.605148668703839	-3.94045213162011	31	105	187	141	4.81887083953039	14.1090170418101	17.8159744167236	20.4117747866663	39.49	UP_pEhEx_DOWN_CmasM
EHI_035670A	-1.81623488682798	4.1816031706895	-4.89668300869166	0.00204582964343939	0.605148668703839	-0.881838187947565	75	59	284	294	11.6585584827348	7.92792386158852	27.0574156917085	42.5607218956021	39.49	UP_pEhEx_DOWN_CmasM
EHI_036500A	0.997114720843497	1.79578532788995	2.49561911289609	0.0430503041421049	0.605148668703839	-3.66068644395691	36	32	31	13	5.59610807171272	4.29989090798022	2.95345030437663	1.8819366824586	39.49	DOWN_pEhEx_UP_CmasM
EHI_037810A	-1.34445583688985	2.7193959808195	-2.57860815814245	0.0382574845438431	0.605148668703839	-3.60767333311747	15	51	93	87	2.33171169654696	6.85295113459347	8.8603509131299	12.5944993364537	39.49	UP_pEhEx_DOWN_CmasM
EHI_038540A	-1.586781780953	1.24990561242352	-3.50623238498571	0.0107951635827221	0.605148668703839	-2.39215958682262	8	10	39	31	1.24357957149171	1.34371590874382	3.71563102808673	4.48769516586281	39.49	UP_pEhEx_DOWN_CmasM
EHI_039020A	-2.9576458084524	4.61160165304684	-2.71754110356502	0.0314427854211305	0.605148668703839	-3.47510508555585	26	138	248	1359	4.04163360734807	18.5432795406647	23.6276024350131	196.734765497018	39.49	UP_pEhEx_DOWN_CmasM
EHI_040280A	-1.12778691169629	2.96077990387571	-3.58621702612729	0.0097332807780044	0.605148668703839	-2.32940125992184	37	35	120	79	5.75155551814918	4.70300568060336	11.4327108556515	11.4363844549407	39.49	UP_pEhEx_DOWN_CmasM
EHI_040310A	-1.02168939323425	6.92827596121702	-2.76629185903935	0.0293650209255791	0.605148668703839	-3.43914169475069	403	867	1757	1241	62.6453209138951	116.500169288089	167.39394144483	179.652570994701	39.49	UP_pEhEx_DOWN_CmasM
EHI_040400A	-1.1716054686492	5.12253511409943	-2.40205092831215	0.0492101034284341	0.605148668703839	-3.93790603532042	93	275	446	444	14.4566125185912	36.952187490455	42.491575346838	64.2753759239705	39.49	UP_pEhEx_DOWN_CmasM
EHI_044220A	1.62281091365665	0.300614142565721	2.69201611461992	0.032591952325545	0.605148668703839	-3.30599852065676	15	15	9	3	2.33171169654696	2.01557386311573	0.857453314173861	0.434293080567368	39.49	DOWN_pEhEx_UP_CmasM
EHI_044550A	0.934625692496069	13.3822115429749	3.34228198082656	0.0133872452481929	0.605148668703839	-2.7087919369355	108717	95980	80340	53808	16899.7800342331	12896.9852921232	7654.19991785867	7789.48069305632	39.49	DOWN_pEhEx_UP_CmasM
