logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_023230A	0.0310573405253656	13.2909580762517	0.0441892727007851	0.966080949278555	0.999154291130592	-4.60814547156804	115325	54699	104004	59678	18267.4350460026	5510.05324381895	10658.5722962537	9405.12239984547	0.08	DOWN_pEhEx_UP_UmasM
EHI_023240A	0.54369628155927	2.99376955700065	1.09310713711584	0.313218796947524	0.999154291130592	-4.59197853818959	73	80	89	29	11.5631715444022	8.05872611026739	9.12092741016284	4.5703366331901	0.08	DOWN_pEhEx_UP_UmasM
EHI_023260A	-0.869296162829187	4.3444792668913	-1.8400287359298	0.111620945900319	0.999154291130592	-4.55828326962186	94	149	187	249	14.8895633585453	15.009377380373	19.1641957943871	39.2418559194598	0.08	UP_pEhEx_DOWN_UmasM
EHI_023270A	0.47665134653646	0.327014999706462	0.763317959799452	0.472078915686674	0.999154291130592	-4.59930819459562	9	15	14	4	1.42559649177562	1.51101114567514	1.43475262631775	0.630391259750358	0.08	DOWN_pEhEx_UP_UmasM
EHI_023300A	-0.483147108820268	4.67052374030076	-1.26695178221996	0.248702490231477	0.999154291130592	-4.58401116212221	135	214	265	211	21.3839473766343	21.5570923449653	27.157817569586	33.2531389518314	0.08	UP_pEhEx_DOWN_UmasM
EHI_023310A	0.174324762286253	2.33844314851563	0.36254435720697	0.728451626081662	0.999154291130592	-4.61235470219466	46	39	48	28	7.28638206907538	3.92862897875535	4.91915186166085	4.41273881825251	0.08	DOWN_pEhEx_UP_UmasM
EHI_023320A	0.725273600484834	3.16711599775548	1.53916862336565	0.170941060056454	0.999154291130592	-4.57345386716858	77	109	94	31	12.1967699851914	10.9800143252393	9.63333906241918	4.88553226306528	0.08	DOWN_pEhEx_UP_UmasM
EHI_023340A	0.436871593651402	-0.0151298447415366	0.586593759147908	0.577281574285118	0.999154291130592	-4.60065367736361	4	17	10	4	0.633598440789164	1.71247929843182	1.02482330451268	0.630391259750358	0.08	DOWN_pEhEx_UP_UmasM
EHI_023360A	-0.342596141722234	6.99682580570886	-0.773449790380625	0.466463579906917	0.999154291130592	-4.60370091106478	697	1162	1070	1189	110.404528307512	117.052996751634	109.656093582857	187.383801960794	0.08	UP_pEhEx_DOWN_UmasM
EHI_023370A	0.311453875696425	3.23071541367852	0.79694104335901	0.453622418855934	0.999154291130592	-4.60292886780087	70	97	83	52	11.0879727138104	9.77120540869921	8.50603342745523	8.19508637675466	0.08	DOWN_pEhEx_UP_UmasM
EHI_023400A	1.82680812394601	7.67652930998643	2.10059403633256	0.0768793717831964	0.999154291130592	-4.55264737606939	5665	1587	1723	438	897.333791767653	159.864979212429	176.577055367534	69.0278429426642	0.08	DOWN_pEhEx_UP_UmasM
EHI_023410A	0.0962327184191717	4.25088423916347	0.228109358892582	0.826573882584239	0.999154291130592	-4.61784761629024	99	243	162	129	15.6815614095318	24.4783805599372	16.6021375331054	20.330118126949	0.08	DOWN_pEhEx_UP_UmasM
EHI_023430A	-0.214850409130162	4.42432364106887	-0.541946672875224	0.605934634500764	0.999154291130592	-4.6116777511267	106	233	229	144	16.7903586809128	23.4710397961538	23.4684536733403	22.6940853510129	0.08	UP_pEhEx_DOWN_UmasM
EHI_023440A	0.493861859075824	0.855461746740285	0.781244232799479	0.462175194790223	0.999154291130592	-4.60024523825549	16	19	23	5	2.53439376315665	1.91394745118851	2.35709360037916	0.787989074687948	0.08	DOWN_pEhEx_UP_UmasM
EHI_023450A	-0.606658398964835	1.62306058872764	-1.14736321930898	0.291727362762263	0.999154291130592	-4.59074152551518	11	33	46	19	1.7423957121702	3.3242245204853	4.71418720075832	2.9943584838142	0.08	UP_pEhEx_DOWN_UmasM
EHI_023460A	0.223385746876854	0.17531717233554	0.363563801825326	0.72772559344929	0.999154291130592	-4.60362775583953	9	10	11	5	1.42559649177562	1.00734076378342	1.12730563496395	0.787989074687948	0.08	DOWN_pEhEx_UP_UmasM
EHI_023470A	0.123226456401817	6.1831483742444	0.319757856061611	0.759188556963195	0.999154291130592	-4.61599716841218	486	739	741	405	76.9822105558834	74.442482443595	75.9394068643895	63.8271150497238	0.08	DOWN_pEhEx_UP_UmasM
EHI_023480A	0.307579415894158	2.98104803031709	0.632413691735819	0.548718761231423	0.999154291130592	-4.60771272180416	76	64	81	37	12.0383703749941	6.44698088821391	8.30106876655269	5.83111915269081	0.08	DOWN_pEhEx_UP_UmasM
EHI_023490A	0.14993326926091	4.1556097564608	0.257176311257133	0.804997081706977	0.999154291130592	-4.61740533296726	174	126	110	160	27.5615321743286	12.6924936236711	11.2730563496395	25.2156503900143	0.08	DOWN_pEhEx_UP_UmasM
EHI_023500A	-0.260415967052133	9.30584531467952	-0.593681351261821	0.572806700261422	0.999154291130592	-4.60670605263625	3855	5445	6013	4931	610.630497310557	548.497045880074	616.226253003473	777.114825457254	0.08	UP_pEhEx_DOWN_UmasM
EHI_023600A	-0.0299975790687674	5.87603830821771	-0.0732638555898615	0.943800606098562	0.999154291130592	-4.6188887662553	442	477	537	406	70.0126277072026	48.0501544324693	55.0330114523308	63.9847128646614	0.08	UP_pEhEx_DOWN_UmasM
EHI_023610A	-0.0370507256829122	1.81682414878158	-0.0842867886202334	0.935366669493349	0.999154291130592	-4.61368323046302	19	38	32	24	3.00959259374853	3.82789490237701	3.27943457444057	3.78234755850215	0.08	UP_pEhEx_DOWN_UmasM
EHI_023620A	0.260937637900087	1.06709725006107	0.527073121553738	0.6156540863378	0.999154291130592	-4.60602029310213	12	26	21	10	1.90079532236749	2.6190859858369	2.15212893947662	1.5759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_023840A	-0.142249287285571	11.1949892647892	-0.247049278224977	0.812494656052174	0.999154291130592	-4.60975242875871	21240	14545	22456	16894	3364.40772059046	1465.17714092299	2301.34321261367	2662.45748555564	0.08	UP_pEhEx_DOWN_UmasM
EHI_023850A	0.364304485962006	2.99211834759875	0.816833425180469	0.442944138257409	0.999154291130592	-4.60204853025444	49	103	85	35	7.76158089966726	10.3756098669693	8.71099808835776	5.51592352281563	0.08	DOWN_pEhEx_UP_UmasM
EHI_023870A	-0.602775829045802	2.09220450916832	-1.22283438338895	0.263896022770827	0.999154291130592	-4.58771945666911	15	47	50	34	2.37599415295936	4.73450158978209	5.12411652256339	5.35832570787804	0.08	UP_pEhEx_DOWN_UmasM
EHI_023880A	-0.273257597058314	5.56037448888618	-0.599740453010569	0.568997479569177	0.999154291130592	-4.61002166581526	374	307	499	334	59.2414542137868	30.9253614481511	51.1386828951826	52.6376701891549	0.08	UP_pEhEx_DOWN_UmasM
EHI_023890A	-0.105250639067597	5.6056348336466	-0.223132928691171	0.830284972754289	0.999154291130592	-4.6179534021806	419	327	535	296	66.3694366726649	32.940042975718	54.8280467914283	46.6489532215265	0.08	UP_pEhEx_DOWN_UmasM
EHI_023900A	-0.208574671490268	3.85175120053379	-0.389500263426706	0.709358263236808	0.999154291130592	-4.61491046735987	52	213	157	95	8.23677973025913	21.4563582685869	16.089725880849	14.971792419071	0.08	UP_pEhEx_DOWN_UmasM
EHI_024110A	1.82274993901852	0.326864813814819	0.543614553784972	0.604850064483271	0.999154291130592	-4.60259740108186	0	210	0	182	0	21.1541560394519	0	28.6828023186413	0.08	DOWN_pEhEx_UP_UmasM
EHI_024220A	-0.256078881954566	3.44362822434043	-0.665737942325166	0.528499942764585	0.999154291130592	-4.60737823878633	64	96	120	72	10.1375750526266	9.67047133232087	12.2978796541521	11.3470426755064	0.08	UP_pEhEx_DOWN_UmasM
EHI_024230A	-0.28418352949874	6.9858921087239	-0.658082526261117	0.533102703234539	0.999154291130592	-4.60732607372347	777	1057	1719	708	123.076497123295	106.475918731908	176.167126045729	111.579252975813	0.08	UP_pEhEx_DOWN_UmasM
EHI_024240A	-1.09320960011131	5.46139721348294	-1.32893661775726	0.228643797374765	0.999154291130592	-4.58133604766165	80	709	468	546	12.6719688157833	71.4204601522448	47.9617306511933	86.0484069559239	0.08	UP_pEhEx_DOWN_UmasM
EHI_024350A	0.58062429662689	1.14876652584767	0.908799774207852	0.395921173904936	0.999154291130592	-4.59772512808244	22	22	28	6	3.4847914243404	2.21614968032353	2.8695052526355	0.945586889625537	0.08	DOWN_pEhEx_UP_UmasM
EHI_024380A	0.793802322818366	0.285527446887218	1.16892102191728	0.283535894589892	0.999154291130592	-4.59217421296396	12	14	13	3	1.90079532236749	1.41027706929679	1.33227029586648	0.472793444812769	0.08	DOWN_pEhEx_UP_UmasM
EHI_024390A	0.542934741582775	0.74983049570255	0.97211713169192	0.365788166362978	0.999154291130592	-4.59592301519324	9	26	14	8	1.42559649177562	2.6190859858369	1.43475262631775	1.26078251950072	0.08	DOWN_pEhEx_UP_UmasM
EHI_024400A	0.138340282443053	0.247065748530033	0.240465053204773	0.81738087364042	0.999154291130592	-4.6049353839449	8	11	10	7	1.26719688157833	1.10807484016177	1.02482330451268	1.10318470456313	0.08	DOWN_pEhEx_UP_UmasM
EHI_024420A	-0.113994399077763	5.70227371379062	-0.302137922453668	0.771989423198763	0.999154291130592	-4.61676551261114	333	470	518	350	52.7470701956979	47.3450158978209	53.0858471737567	55.1592352281563	0.08	UP_pEhEx_DOWN_UmasM
EHI_024430A	0.213292280576723	0.705821900882333	0.412912437875329	0.69295688606886	0.999154291130592	-4.60606990801354	12	15	13	10	1.90079532236749	1.51101114567514	1.33227029586648	1.5759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_024450A	0.268527168425556	1.48337761087572	0.59961959531899	0.569073312688701	0.999154291130592	-4.60588326030179	19	30	27	14	3.00959259374853	3.02202229135027	2.76702292218423	2.20636940912625	0.08	DOWN_pEhEx_UP_UmasM
EHI_024460A	0.29183739848838	-0.167557135505747	0.354862116808286	0.73393251290553	0.999154291130592	-4.6019412502298	8	8	13	2	1.26719688157833	0.805872611026739	1.33227029586648	0.315195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_024470A	-0.491401284222402	6.522923294586	-1.23805785530951	0.258565259068255	0.999154291130592	-4.58576297989091	450	839	958	765	71.2798245887809	84.5158900814293	98.1780725723146	120.562328427256	0.08	UP_pEhEx_DOWN_UmasM
EHI_024490A	0.112777418597325	7.01594600097016	0.226538440787407	0.827744852718744	0.999154291130592	-4.61634054990431	1119	1003	1600	605	177.249163810769	101.036278607477	163.971728722029	95.3466780372417	0.08	DOWN_pEhEx_UP_UmasM
EHI_024500A	-0.0562966901320533	0.929859530221304	-0.110780287989537	0.915134947202324	0.999154291130592	-4.60983846069324	11	18	15	15	1.7423957121702	1.81321337481016	1.53723495676902	2.36396722406384	0.08	UP_pEhEx_DOWN_UmasM
EHI_024510A	-0.824536651283423	4.93366539154409	-1.58444131278038	0.160415917303062	0.999154291130592	-4.56949532843227	95	345	331	309	15.0479629687426	34.7532563505281	33.9216513793696	48.6977248157152	0.08	UP_pEhEx_DOWN_UmasM
EHI_024530A	-0.243933718856191	6.61767586291256	-0.606825362688154	0.564562519467334	0.999154291130592	-4.60907836785433	661	769	1049	675	104.702142340409	77.4645047349453	107.50396464338	106.378525082873	0.08	UP_pEhEx_DOWN_UmasM
EHI_024590A	-0.0183925482433094	1.31264539996734	-0.0363169338075468	0.972120246805638	0.999154291130592	-4.61199047812528	11	32	25	15	1.7423957121702	3.22349044410696	2.5620582612817	2.36396722406384	0.08	UP_pEhEx_DOWN_UmasM
EHI_024600A	0.167696267353198	2.83608463202749	0.369798484780531	0.723291995084611	0.999154291130592	-4.61342014262248	59	60	55	50	9.34557700164016	6.04404458270054	5.63652817481973	7.87989074687948	0.08	DOWN_pEhEx_UP_UmasM
EHI_024630A	-0.157585113586134	3.85877698028524	-0.386502354439799	0.711470855591264	0.999154291130592	-4.61498174985033	103	114	137	105	16.315159850321	11.483684707131	14.0400792718237	16.5477705684469	0.08	UP_pEhEx_DOWN_UmasM
EHI_024640A	0.359850224132192	0.96544535171696	0.674618581810586	0.523192194361674	0.999154291130592	-4.60283471696135	17	18	20	8	2.69279337335395	1.81321337481016	2.04964660902536	1.26078251950072	0.08	DOWN_pEhEx_UP_UmasM
EHI_024660A	-0.0198005328743444	0.98937606075988	-0.0161137878534967	0.987627261037678	0.999154291130592	-4.61028364192733	5	35	6	47	0.791998050986455	3.52569267324198	0.614893982707607	7.40709730206671	0.08	UP_pEhEx_DOWN_UmasM
EHI_024670A	-0.626167418017452	2.37922786182904	-1.2691645834188	0.247960788075497	0.999154291130592	-4.58568944742437	18	58	66	39	2.85119298355124	5.84257642994386	6.76383380978368	6.14631478256599	0.08	UP_pEhEx_DOWN_UmasM
EHI_024680A	-0.327310817695206	5.38012176724602	-0.797280878351737	0.453438486159866	0.999154291130592	-4.60354725713966	193	448	414	324	30.5711247680771	45.1288662174974	42.4276848068249	51.061692039779	0.08	UP_pEhEx_DOWN_UmasM
EHI_024690A	0.752335914058591	3.44248878295889	1.45718887495101	0.19164525743584	0.999154291130592	-4.5764357856104	60	206	97	44	9.50397661183746	20.7512197339385	9.94078605377298	6.93430385725394	0.08	DOWN_pEhEx_UP_UmasM
EHI_024990A	-0.0885681807143718	5.95328154560444	-0.234267293834172	0.821988387165256	0.999154291130592	-4.61748555401667	383	589	649	389	60.6670507055624	59.3323709868437	66.5110324628728	61.3055500107223	0.08	UP_pEhEx_DOWN_UmasM
EHI_025090A	0.356671279645432	4.11929307478592	0.692550321686369	0.512579177930457	0.999154291130592	-4.60703229899818	121	200	232	62	19.1663528338722	20.1468152756685	23.7759006646941	9.77106452613055	0.08	DOWN_pEhEx_UP_UmasM
EHI_025100A	0.117599334909187	5.7305186396115	0.296655469637698	0.775988470937398	0.999154291130592	-4.61682902292168	312	613	559	287	49.4206783815548	61.7499888199239	57.2876227222587	45.2305728870882	0.08	DOWN_pEhEx_UP_UmasM
EHI_025110A	0.0906293484359467	5.51366140212258	0.207898282767892	0.841674893004257	0.999154291130592	-4.61820123573747	381	363	492	247	60.3502514851678	36.5664697253383	50.4213065820238	38.9266602895846	0.08	DOWN_pEhEx_UP_UmasM
EHI_025210A	-0.052297798174688	-0.125214579151962	-0.0564827076045817	0.956654997038015	0.999154291130592	-4.60338196088051	4	12	19	2	0.633598440789164	1.20880891654011	1.94716427857409	0.315195629875179	0.08	UP_pEhEx_DOWN_UmasM
EHI_025230A	-1.21333529521407	6.50004895106855	-1.84176785553135	0.111344085676772	0.999154291130592	-4.55968103706143	201	1115	1089	1063	31.8383216496555	112.318495161852	111.603257861431	167.526477278658	0.08	UP_pEhEx_DOWN_UmasM
EHI_025250A	0.296840072498543	0.882539193237351	0.603274654250166	0.566782576877143	0.999154291130592	-4.60397628574001	11	22	16	10	1.7423957121702	2.21614968032353	1.63971728722028	1.5759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_025260A	0.378340871681133	-0.0967267805110521	0.519168827865991	0.620853875311235	0.999154291130592	-4.60096269321655	9	8	10	3	1.42559649177562	0.805872611026739	1.02482330451268	0.472793444812769	0.08	DOWN_pEhEx_UP_UmasM
EHI_025270A	-0.2537168680258	7.46012347486283	-0.597492447531537	0.570408991558339	0.999154291130592	-4.60863109314254	846	1936	1748	1301	134.006070226908	195.021171868471	179.139113628816	205.034757233804	0.08	UP_pEhEx_DOWN_UmasM
EHI_025280A	-0.125245388699229	-0.126994588984342	-0.187772190775991	0.856784863080968	0.999154291130592	-4.60306657015081	4	10	10	5	0.633598440789164	1.00734076378342	1.02482330451268	0.787989074687948	0.08	UP_pEhEx_DOWN_UmasM
EHI_025290A	0.595661284266626	7.67994521303993	1.09224474868833	0.313570641045209	0.999154291130592	-4.59206260865548	2287	1712	2185	801	362.259908521204	172.456738759722	223.92389203602	126.235849765009	0.08	DOWN_pEhEx_UP_UmasM
EHI_025300A	0.174674961861608	1.24176078514276	0.350257068076108	0.737226120388045	0.999154291130592	-4.60940459482831	13	29	26	11	2.05919493256478	2.92128821497193	2.66454059173296	1.73357596431348	0.08	DOWN_pEhEx_UP_UmasM
EHI_025310A	0.361542665449258	1.52069064849421	0.662463743890614	0.530465443518253	0.999154291130592	-4.60452896745244	22	30	36	10	3.4847914243404	3.02202229135027	3.68936389624564	1.5759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_025360A	-0.0184087572381149	5.85610918195309	-0.0227240901110499	0.98255249746569	0.999154291130592	-4.61904227823705	149	1411	545	379	23.6015419193964	142.135781769841	55.852870095941	59.7295718613464	0.08	UP_pEhEx_DOWN_UmasM
EHI_025370A	0.774427562072938	5.22356884355381	1.25476564192498	0.252821724380448	0.999154291130592	-4.58457812117038	554	267	235	216	87.7533840492992	26.8959983930174	24.0833476560479	34.0411280265193	0.08	DOWN_pEhEx_UP_UmasM
EHI_025390A	-0.171037810340974	1.6148260136377	-0.369263061562028	0.723672293803781	0.999154291130592	-4.61044369096886	22	23	31	20	3.4847914243404	2.31688375670188	3.1769522439893	3.15195629875179	0.08	UP_pEhEx_DOWN_UmasM
EHI_025400A	-0.587026100280003	3.66797281428651	-0.956055429891247	0.373259660694955	0.999154291130592	-4.59732104521297	36	180	125	122	5.70238596710247	18.1321337481016	12.8102913064085	19.2269334223859	0.08	UP_pEhEx_DOWN_UmasM
EHI_025430A	0.394996254838863	4.42892730532115	1.03281142032164	0.338603738053329	0.999154291130592	-4.5942587552583	167	228	197	110	26.4527349029476	22.9673694142621	20.1890190988998	17.3357596431348	0.08	DOWN_pEhEx_UP_UmasM
EHI_025440A	1.5063302987123	0.663348960881318	2.58779226396857	0.038495810013285	0.999154291130592	-4.56392339014448	18	25	11	4	2.85119298355124	2.51835190945856	1.12730563496395	0.630391259750358	0.08	DOWN_pEhEx_UP_UmasM
EHI_025450A	0.514434641764138	7.87029879812489	0.884359915107311	0.408040656572472	0.999154291130592	-4.59956322603602	2846	1689	2386	1013	450.80529062149	170.13985500302	244.522840456725	159.646586531778	0.08	DOWN_pEhEx_UP_UmasM
EHI_025470A	-0.304913532018155	3.28037372988842	-0.639723187100979	0.544243381905698	0.999154291130592	-4.60794425683189	38	122	105	69	6.01918518749706	12.2895573181578	10.7606446973831	10.8742492306937	0.08	UP_pEhEx_DOWN_UmasM
EHI_025480A	0.574459453666442	2.82431124238961	0.914401431918403	0.393181767405748	0.999154291130592	-4.59858257548269	81	59	89	22	12.8303684259806	5.9433105063222	9.12092741016284	3.46715192862697	0.08	DOWN_pEhEx_UP_UmasM
EHI_025490A	0.116536222464718	-1.6562634036738	0.0537225802887139	0.958770717107788	0.999154291130592	-4.59835620353024	0	8	0	18	0	0.805872611026739	0	2.83676066887661	0.08	DOWN_pEhEx_UP_UmasM
EHI_025600A	0.199120454231443	13.4029283958877	0.305768695843141	0.769345177782252	0.999154291130592	-4.60668680537524	119272	69917	90687	70620	18892.6383074513	7043.02441814457	9293.81510163412	11129.5576908926	0.08	DOWN_pEhEx_UP_UmasM
EHI_025700A	0.549200968503166	2.10017930127005	1.2272836293423	0.262328370936837	0.999154291130592	-4.58754666393396	34	48	28	27	5.38558674670789	4.83523566616044	2.8695052526355	4.25514100331492	0.08	DOWN_pEhEx_UP_UmasM
EHI_025720A	-0.567894153792065	0.835751612860228	-0.676126414656265	0.522294388069333	0.999154291130592	-4.60245133952732	24	6	21	11	3.80159064473498	0.604404458270054	2.15212893947662	1.73357596431348	0.08	UP_pEhEx_DOWN_UmasM
EHI_025820A	0.278500841542943	0.948335087691491	0.454183426591613	0.664480900408219	0.999154291130592	-4.60669603338531	8	32	20	9	1.26719688157833	3.22349044410696	2.04964660902536	1.41838033443831	0.08	DOWN_pEhEx_UP_UmasM
EHI_025830A	-0.461436332228081	7.83093484586853	-0.716988851358426	0.498341833249802	0.999154291130592	-4.6049265419686	667	3600	2317	1872	105.652540001593	362.642674962033	237.451559655588	295.023109563168	0.08	UP_pEhEx_DOWN_UmasM
EHI_025850A	0.233450967905299	10.5241838630717	0.439289949957614	0.674690934833292	0.999154291130592	-4.60824957731355	14051	11227	14656	7892	2225.67292288214	1130.94147549965	1501.98103509378	1243.76195548746	0.08	DOWN_pEhEx_UP_UmasM
EHI_025860A	0.463853098100177	1.04016598222001	0.913097325260663	0.393818243159276	0.999154291130592	-4.59755107651467	15	24	21	8	2.37599415295936	2.41761783308022	2.15212893947662	1.26078251950072	0.08	DOWN_pEhEx_UP_UmasM
EHI_025890A	-0.0609405645444263	5.71577615993607	-0.141099772718358	0.892066227581097	0.999154291130592	-4.61865994970361	420	393	489	365	66.5278362828622	39.5884920166886	50.11385959067	57.5232024522202	0.08	UP_pEhEx_DOWN_UmasM
EHI_026310A	0.300910303227815	4.81405380144698	0.535702455098908	0.610004650897164	0.999154291130592	-4.61194678904325	333	183	250	158	52.7470701956979	18.4343359772367	25.620582612817	24.9004547601391	0.08	DOWN_pEhEx_UP_UmasM
EHI_026320A	0.0118296692775671	0.18070046272295	0.0177201717347085	0.986393964619395	0.999154291130592	-4.605209154213	4	16	11	7	0.633598440789164	1.61174522205348	1.12730563496395	1.10318470456313	0.08	DOWN_pEhEx_UP_UmasM
EHI_026330A	0.373988938988621	4.18646601064247	0.907478979356079	0.396569174036724	0.999154291130592	-4.59931886911749	139	193	191	82	22.0175458174234	19.4416767410201	19.5741251161922	12.9230208248823	0.08	DOWN_pEhEx_UP_UmasM
EHI_026340A	-0.157072218132853	10.8411221558407	-0.269848539420988	0.795646631236734	0.999154291130592	-4.61000681367598	16665	11254	16396	14288	2639.72950393785	1133.66129556187	1680.30029007899	2251.75757982828	0.08	UP_pEhEx_DOWN_UmasM
EHI_026350A	0.660257966895151	1.22847253807756	1.36819302669891	0.21669143239009	0.999154291130592	-4.58450163046012	15	34	17	12	2.37599415295936	3.42495859686364	1.74219961767155	1.89117377925107	0.08	DOWN_pEhEx_UP_UmasM
EHI_026360A	-1.60886553027907	2.25496233429449	-2.53972573765986	0.0411834221194771	0.999154291130592	-4.5425114945254	10	42	57	78	1.58399610197291	4.23083120789038	5.84149283572227	12.292629565132	0.08	UP_pEhEx_DOWN_UmasM
EHI_026370A	-0.345641953580999	1.24173403822998	-0.707157909151767	0.504037508041128	0.999154291130592	-4.60289297151664	10	25	24	18	1.58399610197291	2.51835190945856	2.45957593083043	2.83676066887661	0.08	UP_pEhEx_DOWN_UmasM
EHI_026390A	-0.0539230237899923	1.66899652469356	-0.105710405026977	0.919001767003425	0.999154291130592	-4.61313784107321	27	22	28	22	4.27678947532686	2.21614968032353	2.8695052526355	3.46715192862697	0.08	UP_pEhEx_DOWN_UmasM
EHI_026410A	-0.120095250119205	11.9594832712697	-0.205757889474465	0.843278505458836	0.999154291130592	-4.60910608945115	35983	25166	38074	28311	5699.69317372912	2535.07376613737	3901.91224960157	4461.7517386981	0.08	UP_pEhEx_DOWN_UmasM
EHI_026420A	0.569794178858438	1.39259077383611	1.1967876502453	0.273235005104639	0.999154291130592	-4.58940768576178	16	38	21	13	2.53439376315665	3.82789490237701	2.15212893947662	2.04877159418866	0.08	DOWN_pEhEx_UP_UmasM
EHI_026430A	-0.50032785508258	2.2664575031611	-1.15391582394467	0.289216816551486	0.999154291130592	-4.59004645937404	22	45	62	32	3.4847914243404	4.53303343702541	6.3539044879786	5.04313007800287	0.08	UP_pEhEx_DOWN_UmasM
EHI_026440A	-0.436931065870032	6.22242280686739	-1.05832353299103	0.327667690880684	0.999154291130592	-4.59322729961314	341	759	760	611	54.0142670772762	76.4571639711619	77.8865711429635	96.2922649268672	0.08	UP_pEhEx_DOWN_UmasM
EHI_026450A	-0.238883190128898	3.56911853243175	-0.593290141513631	0.573053162307466	0.999154291130592	-4.60965065773044	78	95	113	90	12.3551695953887	9.56973725594253	11.5805033409933	14.1838033443831	0.08	UP_pEhEx_DOWN_UmasM
EHI_026470A	0.212737727094213	4.93174468061418	0.508754542377894	0.627740986957031	0.999154291130592	-4.61267974035098	241	280	332	149	38.1743060575471	28.2055413859359	34.0241337098209	23.4820744257008	0.08	DOWN_pEhEx_UP_UmasM
EHI_026480A	-0.272750157538033	6.09456821753306	-0.617818535957065	0.557722258446328	0.999154291130592	-4.6091509442945	475	509	593	588	75.2398148437132	51.2736448765763	60.7720219576018	92.6675151833026	0.08	UP_pEhEx_DOWN_UmasM
EHI_026490A	0.302681963199503	2.85352193384879	0.720825551695501	0.496130587403769	0.999154291130592	-4.60496418608928	50	80	75	34	7.91998050986455	8.05872611026739	7.68617478384509	5.35832570787804	0.08	DOWN_pEhEx_UP_UmasM
EHI_027030A	-0.745145503830855	-0.396941595457754	-0.90847228807976	0.396081768905061	0.999154291130592	-4.59620076106123	2	8	13	4	0.316799220394582	0.805872611026739	1.33227029586648	0.630391259750358	0.08	UP_pEhEx_DOWN_UmasM
EHI_027360A	-0.157213349441187	0.120655736515096	-0.242297796701214	0.816019877814039	0.999154291130592	-4.60415351569141	4	13	10	8	0.633598440789164	1.30954299291845	1.02482330451268	1.26078251950072	0.08	UP_pEhEx_DOWN_UmasM
EHI_027370A	0.229782698520614	2.95032343001021	0.392892581019199	0.706971088944004	0.999154291130592	-4.61326504681635	30	140	69	46	4.75198830591873	14.1027706929679	7.07128080113748	7.24949948712912	0.08	DOWN_pEhEx_UP_UmasM
EHI_027380A	0.256935259854562	8.13520341575476	0.62014903106906	0.556278625429441	0.999154291130592	-4.60734766953844	1782	3322	2708	1511	282.268105371572	334.638601728853	277.522150862033	238.130298370698	0.08	DOWN_pEhEx_UP_UmasM
EHI_027490A	0.274588896936421	3.96901542551113	0.509501079956866	0.627245933711874	0.999154291130592	-4.61228136532536	110	169	224	55	17.423957121702	17.0240589079399	22.956042021084	8.66787982156742	0.08	DOWN_pEhEx_UP_UmasM
EHI_027500A	1.56933888658885	2.78684253990102	2.68406039884331	0.033651825169299	0.999154291130592	-4.53391851431229	54	164	59	16	8.55357895065371	16.5203885260482	6.0464574966248	2.52156503900143	0.08	DOWN_pEhEx_UP_UmasM
EHI_027520A	-0.54781073887596	3.38190174299211	-0.777323770941304	0.464328745207989	0.999154291130592	-4.60370130905867	25	176	112	90	3.95999025493227	17.7291974425883	11.478021010542	14.1838033443831	0.08	UP_pEhEx_DOWN_UmasM
EHI_027530A	-0.378785143347581	2.42969866553497	-0.906989905784119	0.396809322178759	0.999154291130592	-4.59864327745894	26	52	59	39	4.11838986512956	5.2381719716738	6.0464574966248	6.14631478256599	0.08	UP_pEhEx_DOWN_UmasM
EHI_027550A	-0.273458296722949	3.26313608047355	-0.483459639957308	0.644636905562567	0.999154291130592	-4.61200561604255	32	143	97	72	5.06878752631331	14.404972922103	9.94078605377298	11.3470426755064	0.08	UP_pEhEx_DOWN_UmasM
EHI_027570A	0.0325944131547509	9.37921645710443	0.0560619786409485	0.956977474247873	0.999154291130592	-4.61358560445871	6889	4059	6686	4080	1091.21491464914	408.879616019692	685.196861397177	642.999084945365	0.08	DOWN_pEhEx_UP_UmasM
EHI_027600A	-0.318879362028617	6.49988670849935	-0.764164550950091	0.471607942019015	0.999154291130592	-4.60426067217308	417	988	1026	614	66.0526374522703	99.5252674618023	105.146871043001	96.76505837168	0.08	UP_pEhEx_DOWN_UmasM
EHI_027610A	-1.16690515368088	6.34791661411807	-1.78343436607209	0.121006060582196	0.999154291130592	-4.5618928451381	179	1043	1143	797	28.3535302253151	105.065641662611	117.137303705799	125.605458505259	0.08	UP_pEhEx_DOWN_UmasM
EHI_027620A	-0.284060388448677	0.363481641617236	-0.513233832652572	0.624773761891065	0.999154291130592	-4.60311142592186	7	11	14	8	1.10879727138104	1.10807484016177	1.43475262631775	1.26078251950072	0.08	UP_pEhEx_DOWN_UmasM
